contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
JNJ250425C00090000,2025-04-17 15:16:26+00:00,90.0,66.09,64.8,65.5,-2.1200027,-3.1080527,10.0,23,2.50000375,True,REGULAR,USD,JNJ,1,2025-04-25,2025-04-23 13:04:19.411265,155.42999267578125
JNJ250425C00105000,2025-04-23 13:48:23+00:00,105.0,50.63,49.8,50.5,0.7800026,1.5646993,16.0,1,1.8515632421875,True,REGULAR,USD,JNJ,1,2025-04-25,2025-04-23 13:04:19.411265,155.42999267578125
JNJ250425C00110000,2025-04-17 16:49:17+00:00,110.0,47.85,44.9,45.95,0.0,0.0,2.0,1,2.274418376464843,True,REGULAR,USD,JNJ,1,2025-04-25,2025-04-23 13:04:19.411265,155.42999267578125
JNJ250425C00135000,2025-04-07 14:49:13+00:00,135.0,15.6,20.05,20.5,0.0,0.0,,0,0.75195560546875,True,REGULAR,USD,JNJ,1,2025-04-25,2025-04-23 13:04:19.411265,155.42999267578125
JNJ250425C00140000,2025-04-22 16:17:59+00:00,140.0,17.29,14.8,15.55,0.0,0.0,3.0,34,0.63867548828125,True,REGULAR,USD,JNJ,1,2025-04-25,2025-04-23 13:04:19.411265,155.42999267578125
JNJ250425C00142000,2025-04-15 13:38:44+00:00,142.0,12.9,12.85,13.6,0.0,0.0,,1,0.6054726953125001,True,REGULAR,USD,JNJ,1,2025-04-25,2025-04-23 13:04:19.411265,155.42999267578125
JNJ250425C00143000,2025-04-16 14:52:24+00:00,143.0,11.79,12.05,12.75,0.0,0.0,2.0,2,0.6543003320312502,True,REGULAR,USD,JNJ,1,2025-04-25,2025-04-23 13:04:19.411265,155.42999267578125
JNJ250425C00144000,2025-04-10 15:13:59+00:00,144.0,6.9,10.4,12.65,0.0,0.0,,7,0.920899228515625,True,REGULAR,USD,JNJ,1,2025-04-25,2025-04-23 13:04:19.411265,155.42999267578125
JNJ250425C00145000,2025-04-15 13:37:41+00:00,145.0,10.25,9.85,11.55,0.0,0.0,1.0,302,0.5459029785156251,True,REGULAR,USD,JNJ,1,2025-04-25,2025-04-23 13:04:19.411265,155.42999267578125
JNJ250425C00146000,2025-04-22 13:30:14+00:00,146.0,11.6,8.95,10.45,0.0,0.0,1.0,10,0.5039112109375,True,REGULAR,USD,JNJ,1,2025-04-25,2025-04-23 13:04:19.411265,155.42999267578125
JNJ250425C00147000,2025-04-15 14:17:22+00:00,147.0,7.4,7.1,9.5,0.0,0.0,12.0,82,0.7182645361328125,True,REGULAR,USD,JNJ,1,2025-04-25,2025-04-23 13:04:19.411265,155.42999267578125
JNJ250425C00148000,2025-04-21 17:45:36+00:00,148.0,8.3,6.55,8.6,0.0,0.0,1.0,1053,0.6889679541015626,True,REGULAR,USD,JNJ,1,2025-04-25,2025-04-23 13:04:19.411265,155.42999267578125
JNJ250425C00149000,2025-04-21 14:29:10+00:00,149.0,9.0,6.15,7.35,0.0,0.0,1.0,412,0.5708050732421875,True,REGULAR,USD,JNJ,1,2025-04-25,2025-04-23 13:04:19.411265,155.42999267578125
JNJ250425C00150000,2025-04-23 15:18:33+00:00,150.0,5.62,4.9,6.2,-1.8600001,-24.866312,7.0,286,0.47900911621093745,True,REGULAR,USD,JNJ,1,2025-04-25,2025-04-23 13:04:19.411265,155.42999267578125
JNJ250425C00152500,2025-04-22 19:43:03+00:00,152.5,3.35,2.85,3.2,-2.0700002,-38.191883,2.0,2590,0.2172929833984375,True,REGULAR,USD,JNJ,1,2025-04-25,2025-04-23 13:04:19.411265,155.42999267578125
JNJ250425C00155000,2025-04-23 16:25:19+00:00,155.0,1.25,1.28,1.43,-1.5999999,-56.140347,116.0,1152,0.21436332519531248,True,REGULAR,USD,JNJ,1,2025-04-25,2025-04-23 13:04:19.411265,155.42999267578125
JNJ250425C00157500,2025-04-23 16:24:28+00:00,157.5,0.34,0.32,0.4,-1.16,-77.333336,3261.0,1621,0.20313296874999998,False,REGULAR,USD,JNJ,1,2025-04-25,2025-04-23 13:04:19.411265,155.42999267578125
JNJ250425C00160000,2025-04-23 16:28:03+00:00,160.0,0.08,0.08,0.16,-0.37,-82.22222,1544.0,5538,0.2461012890625,False,REGULAR,USD,JNJ,1,2025-04-25,2025-04-23 13:04:19.411265,155.42999267578125
JNJ250425C00162500,2025-04-23 15:24:13+00:00,162.5,0.02,0.02,0.04,-0.09,-69.230774,138.0,6431,0.257819921875,False,REGULAR,USD,JNJ,1,2025-04-25,2025-04-23 13:04:19.411265,155.42999267578125
JNJ250425C00165000,2025-04-23 15:19:52+00:00,165.0,0.02,0.01,0.03,-0.04,-66.66667,10.0,2024,0.31445998046874996,False,REGULAR,USD,JNJ,1,2025-04-25,2025-04-23 13:04:19.411265,155.42999267578125
JNJ250425C00167500,2025-04-22 19:18:37+00:00,167.5,0.02,0.0,0.12,0.0,0.0,1.0,1476,0.47852083984375,False,REGULAR,USD,JNJ,1,2025-04-25,2025-04-23 13:04:19.411265,155.42999267578125
JNJ250425C00170000,2025-04-23 14:31:40+00:00,170.0,0.23,0.0,0.1,0.22,2199.9988,20.0,465,0.5351608984375,False,REGULAR,USD,JNJ,1,2025-04-25,2025-04-23 13:04:19.411265,155.42999267578125
JNJ250425C00172500,2025-04-21 15:42:13+00:00,172.5,0.12,0.0,0.75,0.0,0.0,4.0,365,0.78711150390625,False,REGULAR,USD,JNJ,1,2025-04-25,2025-04-23 13:04:19.411265,155.42999267578125
JNJ250425C00175000,2025-04-23 14:31:32+00:00,175.0,0.01,0.0,0.1,0.0,0.0,10.0,53,0.6054726953125001,False,REGULAR,USD,JNJ,1,2025-04-25,2025-04-23 13:04:19.411265,155.42999267578125
JNJ250425C00177500,2025-04-21 16:39:21+00:00,177.5,0.01,0.0,0.86,0.0,0.0,1.0,4,0.9765627343750001,False,REGULAR,USD,JNJ,1,2025-04-25,2025-04-23 13:04:19.411265,155.42999267578125
JNJ250425C00180000,2025-03-12 13:30:16+00:00,180.0,0.7,0.0,1.28,0.0,0.0,1.0,3,1.1552776611328124,False,REGULAR,USD,JNJ,1,2025-04-25,2025-04-23 13:04:19.411265,155.42999267578125
JNJ250425C00182500,2025-04-01 15:13:17+00:00,182.5,0.09,0.0,1.05,0.0,0.0,1.0,2,1.1796916015624999,False,REGULAR,USD,JNJ,1,2025-04-25,2025-04-23 13:04:19.411265,155.42999267578125
