contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
JPM250425C00150000,2025-04-21 18:04:08+00:00,150.0,76.85,90.0,93.0,0.0,0.0,10.0,10,3.107424106445312,True,REGULAR,USD,JPM,1,2025-04-25,2025-04-23 13:04:21.744932,242.02000427246094
JPM250425C00155000,2025-04-09 17:20:35+00:00,155.0,68.6,85.25,87.8,0.0,0.0,,3,2.799807687988282,True,REGULAR,USD,JPM,1,2025-04-25,2025-04-23 13:04:21.744932,242.02000427246094
JPM250425C00160000,2025-04-09 13:36:25+00:00,160.0,58.45,79.95,82.75,0.0,0.0,4.0,4,2.5957066357421876,True,REGULAR,USD,JPM,1,2025-04-25,2025-04-23 13:04:21.744932,242.02000427246094
JPM250425C00165000,2025-04-04 15:01:23+00:00,165.0,49.35,75.4,77.75,0.0,0.0,1.0,1,2.4306679858398432,True,REGULAR,USD,JPM,1,2025-04-25,2025-04-23 13:04:21.744932,242.02000427246094
JPM250425C00175000,2025-04-07 19:58:41+00:00,175.0,42.0,65.2,67.85,0.0,0.0,9.0,3,2.166996770019531,True,REGULAR,USD,JPM,1,2025-04-25,2025-04-23 13:04:21.744932,242.02000427246094
JPM250425C00180000,2025-04-16 15:24:30+00:00,180.0,53.5,59.8,62.65,0.0,0.0,1.0,3,1.90234423828125,True,REGULAR,USD,JPM,1,2025-04-25,2025-04-23 13:04:21.744932,242.02000427246094
JPM250425C00185000,2025-04-11 14:45:15+00:00,185.0,49.95,54.85,58.15,0.0,0.0,,1,1.984375078125,True,REGULAR,USD,JPM,1,2025-04-25,2025-04-23 13:04:21.744932,242.02000427246094
JPM250425C00187500,2025-04-10 17:22:16+00:00,187.5,37.78,52.8,55.35,0.0,0.0,,2,1.7792979785156249,True,REGULAR,USD,JPM,1,2025-04-25,2025-04-23 13:04:21.744932,242.02000427246094
JPM250425C00190000,2025-04-14 13:35:21+00:00,190.0,49.89,49.9,52.7,0.0,0.0,5.0,13,1.6337908935546874,True,REGULAR,USD,JPM,1,2025-04-25,2025-04-23 13:04:21.744932,242.02000427246094
JPM250425C00192500,2025-04-09 17:02:02+00:00,192.5,28.45,47.5,50.35,0.0,0.0,,3,1.6289081054687498,True,REGULAR,USD,JPM,1,2025-04-25,2025-04-23 13:04:21.744932,242.02000427246094
JPM250425C00195000,2025-04-15 16:33:39+00:00,195.0,42.1,45.1,48.1,0.0,0.0,2.0,16,1.650392373046875,True,REGULAR,USD,JPM,1,2025-04-25,2025-04-23 13:04:21.744932,242.02000427246094
