contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
J250516C00110000,2025-04-09 14:13:55+00:00,110.0,7.32,10.7,12.8,0.0,0.0,3.0,5,0.5910685424804689,True,REGULAR,USD,J,1,2025-05-16,2025-04-23 13:04:18.703286,119.6500015258789
J250516C00115000,2025-04-23 13:47:04+00:00,115.0,9.18,6.7,8.2,3.88,73.20754,2.0,8,0.4643608251953125,True,REGULAR,USD,J,1,2025-05-16,2025-04-23 13:04:18.703286,119.6500015258789
J250516C00120000,2025-04-23 16:30:52+00:00,120.0,4.8,3.4,4.8,1.0000002,26.315796,6.0,74,0.4058897302246094,False,REGULAR,USD,J,1,2025-05-16,2025-04-23 13:04:18.703286,119.6500015258789
J250516C00125000,2025-04-22 19:42:35+00:00,125.0,2.1,1.9,2.85,0.0,0.0,14.0,25,0.40650007568359375,False,REGULAR,USD,J,1,2025-05-16,2025-04-23 13:04:18.703286,119.6500015258789
J250516C00130000,2025-04-15 19:59:50+00:00,130.0,1.35,0.95,1.7,0.25,22.727272,1.0,11,0.4200497448730469,False,REGULAR,USD,J,1,2025-05-16,2025-04-23 13:04:18.703286,119.6500015258789
J250516C00135000,2025-04-23 16:10:55+00:00,135.0,0.53,0.35,1.75,-0.120000005,-18.461538,11.0,13,0.5275926147460939,False,REGULAR,USD,J,1,2025-05-16,2025-04-23 13:04:18.703286,119.6500015258789
J250516P00095000,2025-04-21 18:03:32+00:00,95.0,0.95,0.0,0.75,0.0,0.0,3.0,4,0.56836369140625,False,REGULAR,USD,J,0,2025-05-16,2025-04-23 13:04:18.705291,119.6500015258789
J250516P00100000,2025-04-23 15:00:35+00:00,100.0,0.6,0.3,0.75,0.0,0.0,3.0,124,0.5024463818359376,False,REGULAR,USD,J,0,2025-05-16,2025-04-23 13:04:18.705291,119.6500015258789
J250516P00105000,2025-04-17 19:38:04+00:00,105.0,1.84,0.6,1.5,0.0,0.0,2.0,4,0.5485884985351563,False,REGULAR,USD,J,0,2025-05-16,2025-04-23 13:04:18.705291,119.6500015258789
J250516P00110000,2025-04-21 15:39:42+00:00,110.0,2.95,1.2,2.2,0.0,0.0,4.0,133,0.4936574072265626,False,REGULAR,USD,J,0,2025-05-16,2025-04-23 13:04:18.705291,119.6500015258789
J250516P00115000,2025-04-22 18:53:03+00:00,115.0,2.82,2.3,3.4,0.0,0.0,2.0,7,0.45117736328125,False,REGULAR,USD,J,0,2025-05-16,2025-04-23 13:04:18.705291,119.6500015258789
