contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
KEYS250516C00120000,2025-04-08 19:10:24+00:00,120.0,13.5,17.9,20.8,0.0,0.0,,18,0.643680321044922,True,REGULAR,USD,KEYS,1,2025-05-16,2025-04-23 13:04:28.295816,138.5500030517578
KEYS250516C00125000,2025-04-22 15:59:39+00:00,125.0,12.1,13.9,15.5,0.0,0.0,3.0,61,0.4931691308593751,True,REGULAR,USD,KEYS,1,2025-05-16,2025-04-23 13:04:28.295816,138.5500030517578
KEYS250516C00130000,2025-04-21 16:39:26+00:00,130.0,6.8,10.0,11.4,0.0,0.0,14.0,60,0.45252012329101565,True,REGULAR,USD,KEYS,1,2025-05-16,2025-04-23 13:04:28.295816,138.5500030517578
KEYS250516C00135000,2025-04-22 16:25:37+00:00,135.0,6.1,6.7,7.8,0.0,0.0,19.0,89,0.4185849157714844,True,REGULAR,USD,KEYS,1,2025-05-16,2025-04-23 13:04:28.295816,138.5500030517578
KEYS250516C00140000,2025-04-15 16:37:52+00:00,140.0,5.15,3.8,4.3,0.0,0.0,6.0,10,0.350470362548828,False,REGULAR,USD,KEYS,1,2025-05-16,2025-04-23 13:04:28.295816,138.5500030517578
KEYS250516C00145000,2025-04-23 14:55:58+00:00,145.0,3.2,2.15,2.5,1.5400001,92.771095,1.0,27,0.35095863891601553,False,REGULAR,USD,KEYS,1,2025-05-16,2025-04-23 13:04:28.295816,138.5500030517578
KEYS250516C00150000,2025-04-23 14:15:30+00:00,150.0,1.75,0.9,1.35,0.9,105.88235,12.0,28,0.35144691528320304,False,REGULAR,USD,KEYS,1,2025-05-16,2025-04-23 13:04:28.295816,138.5500030517578
KEYS250516C00155000,2025-04-14 17:12:58+00:00,155.0,1.08,0.4,0.6,0.0,0.0,5.0,58,0.3403386279296875,False,REGULAR,USD,KEYS,1,2025-05-16,2025-04-23 13:04:28.295816,138.5500030517578
KEYS250516C00160000,2025-04-09 19:50:17+00:00,160.0,1.75,0.0,1.3,0.0,0.0,2.0,148,0.5061084545898438,False,REGULAR,USD,KEYS,1,2025-05-16,2025-04-23 13:04:28.295816,138.5500030517578
KEYS250516C00165000,2025-04-15 14:18:48+00:00,165.0,0.3,0.1,2.35,0.0,0.0,4.0,54,0.5666547241210937,False,REGULAR,USD,KEYS,1,2025-05-16,2025-04-23 13:04:28.295816,138.5500030517578
KEYS250516C00170000,2025-04-17 15:36:01+00:00,170.0,0.1,0.0,1.4,0.0,0.0,3.0,41,0.5483443603515626,False,REGULAR,USD,KEYS,1,2025-05-16,2025-04-23 13:04:28.295816,138.5500030517578
KEYS250516C00175000,2025-04-21 14:11:58+00:00,175.0,0.15,0.0,1.35,0.0,0.0,1.0,26,0.6005899316406251,False,REGULAR,USD,KEYS,1,2025-05-16,2025-04-23 13:04:28.295816,138.5500030517578
KEYS250516C00180000,2025-03-24 19:36:39+00:00,180.0,0.9,0.0,0.85,0.0,0.0,1.0,67,0.5952188916015625,False,REGULAR,USD,KEYS,1,2025-05-16,2025-04-23 13:04:28.295816,138.5500030517578
KEYS250516C00185000,2025-04-14 19:30:31+00:00,185.0,0.75,0.0,1.35,0.0,0.0,4.0,6,0.7055693505859376,False,REGULAR,USD,KEYS,1,2025-05-16,2025-04-23 13:04:28.295816,138.5500030517578
KEYS250516C00190000,2025-04-14 19:30:42+00:00,190.0,0.78,0.0,1.35,0.0,0.0,2.0,171,0.754885263671875,False,REGULAR,USD,KEYS,1,2025-05-16,2025-04-23 13:04:28.295816,138.5500030517578
KEYS250516C00195000,2025-02-26 14:34:55+00:00,195.0,2.0,0.0,1.4,0.0,0.0,4.0,342,0.807619111328125,False,REGULAR,USD,KEYS,1,2025-05-16,2025-04-23 13:04:28.295816,138.5500030517578
KEYS250516C00200000,2025-04-22 14:55:32+00:00,200.0,0.02,0.0,0.05,0.0,0.0,1.0,800,0.5312546875,False,REGULAR,USD,KEYS,1,2025-05-16,2025-04-23 13:04:28.295816,138.5500030517578
KEYS250516C00210000,2025-04-16 13:36:15+00:00,210.0,0.29,0.0,1.35,0.0,0.0,2.0,102,0.9326178613281251,False,REGULAR,USD,KEYS,1,2025-05-16,2025-04-23 13:04:28.295816,138.5500030517578
KEYS250516C00220000,2025-04-03 14:20:07+00:00,220.0,0.1,0.0,1.35,0.0,0.0,1.0,15,1.0127002490234376,False,REGULAR,USD,KEYS,1,2025-05-16,2025-04-23 13:04:28.295816,138.5500030517578
KEYS250516C00230000,2024-12-02 20:56:35+00:00,230.0,1.35,0.15,2.35,0.0,0.0,,1,1.2248573913574217,False,REGULAR,USD,KEYS,1,2025-05-16,2025-04-23 13:04:28.295816,138.5500030517578
KEYS250516C00240000,2025-02-19 18:59:38+00:00,240.0,1.24,0.0,0.5,0.0,0.0,,2,0.99023447265625,False,REGULAR,USD,KEYS,1,2025-05-16,2025-04-23 13:04:28.295816,138.5500030517578
KEYS250516C00250000,2025-03-20 17:14:17+00:00,250.0,0.05,0.0,1.35,0.0,0.0,,10,1.224613251953125,False,REGULAR,USD,KEYS,1,2025-05-16,2025-04-23 13:04:28.295816,138.5500030517578
KEYS250516P00080000,2025-03-25 18:09:54+00:00,80.0,0.05,0.0,0.25,0.0,0.0,,5,0.9707034179687499,False,REGULAR,USD,KEYS,0,2025-05-16,2025-04-23 13:04:28.296818,138.5500030517578
KEYS250516P00085000,2025-03-25 18:10:59+00:00,85.0,0.06,0.0,1.25,0.0,0.0,,15,1.1430706909179689,False,REGULAR,USD,KEYS,0,2025-05-16,2025-04-23 13:04:28.296818,138.5500030517578
KEYS250516P00105000,2024-12-16 05:03:16+00:00,105.0,1.7,0.2,1.7,0.0,0.0,1.0,1,0.7885763330078125,False,REGULAR,USD,KEYS,0,2025-05-16,2025-04-23 13:04:28.296818,138.5500030517578
KEYS250516P00110000,2025-04-21 16:55:53+00:00,110.0,1.09,0.0,1.15,0.0,0.0,1.0,5,0.6044961425781252,False,REGULAR,USD,KEYS,0,2025-05-16,2025-04-23 13:04:28.296818,138.5500030517578
KEYS250516P00115000,2025-04-04 18:26:27+00:00,115.0,3.5,0.45,1.15,0.0,0.0,1.0,7,0.5546919531250001,False,REGULAR,USD,KEYS,0,2025-05-16,2025-04-23 13:04:28.296818,138.5500030517578
KEYS250516P00120000,2025-04-22 15:17:55+00:00,120.0,1.26,0.8,1.0,0.0,0.0,18.0,64,0.4875539526367188,False,REGULAR,USD,KEYS,0,2025-05-16,2025-04-23 13:04:28.296818,138.5500030517578
KEYS250516P00125000,2025-04-22 16:09:14+00:00,125.0,1.99,1.3,1.7,0.0,0.0,3.0,160,0.46680220703125,False,REGULAR,USD,KEYS,0,2025-05-16,2025-04-23 13:04:28.296818,138.5500030517578
KEYS250516P00130000,2025-04-22 19:10:15+00:00,130.0,3.1,2.15,2.6,0.0,0.0,1.0,231,0.4312801013183594,False,REGULAR,USD,KEYS,0,2025-05-16,2025-04-23 13:04:28.296818,138.5500030517578
KEYS250516P00135000,2025-04-22 15:17:55+00:00,135.0,2.21,3.8,4.2,-3.02,-57.743786,1.0,267,0.415044912109375,False,REGULAR,USD,KEYS,0,2025-05-16,2025-04-23 13:04:28.296818,138.5500030517578
KEYS250516P00140000,2025-04-23 14:54:56+00:00,140.0,4.7,5.8,6.6,-3.0,-38.96104,1.0,75,0.4105283557128906,True,REGULAR,USD,KEYS,0,2025-05-16,2025-04-23 13:04:28.296818,138.5500030517578
KEYS250516P00145000,2025-04-17 15:38:02+00:00,145.0,10.55,8.7,9.9,0.0,0.0,1.0,392,0.4239559558105469,True,REGULAR,USD,KEYS,0,2025-05-16,2025-04-23 13:04:28.296818,138.5500030517578
KEYS250516P00150000,2025-04-09 18:23:20+00:00,150.0,11.9,12.2,13.6,0.0,0.0,18.0,354,0.42627526855468756,True,REGULAR,USD,KEYS,0,2025-05-16,2025-04-23 13:04:28.296818,138.5500030517578
KEYS250516P00155000,2025-04-09 17:50:19+00:00,155.0,17.93,15.9,18.4,0.0,0.0,1.0,254,0.4978077563476563,True,REGULAR,USD,KEYS,0,2025-05-16,2025-04-23 13:04:28.296818,138.5500030517578
KEYS250516P00160000,2025-03-31 16:49:28+00:00,160.0,13.95,20.9,23.1,0.0,0.0,39.0,102,0.5468795312500001,True,REGULAR,USD,KEYS,0,2025-05-16,2025-04-23 13:04:28.296818,138.5500030517578
KEYS250516P00165000,2025-04-22 19:23:17+00:00,165.0,28.3,25.9,28.4,0.0,0.0,120.0,238,0.654544470214844,True,REGULAR,USD,KEYS,0,2025-05-16,2025-04-23 13:04:28.296818,138.5500030517578
KEYS250516P00170000,2025-04-22 19:23:17+00:00,170.0,33.3,30.9,33.7,0.0,0.0,120.0,430,0.5749554223632812,True,REGULAR,USD,KEYS,0,2025-05-16,2025-04-23 13:04:28.296818,138.5500030517578
KEYS250516P00175000,2025-04-03 19:07:55+00:00,175.0,32.85,35.5,38.4,-4.25,-11.455526,1.0,1,0.5634809277343751,True,REGULAR,USD,KEYS,0,2025-05-16,2025-04-23 13:04:28.296818,138.5500030517578
KEYS250516P00180000,2025-04-03 19:07:55+00:00,180.0,40.7,40.7,44.4,0.0,0.0,20.0,0,0.7326686889648437,True,REGULAR,USD,KEYS,0,2025-05-16,2025-04-23 13:04:28.296818,138.5500030517578
KEYS250516P00185000,2025-02-26 15:50:43+00:00,185.0,25.15,32.0,36.9,0.0,0.0,15.0,1,1.0000000000000003e-05,True,REGULAR,USD,KEYS,0,2025-05-16,2025-04-23 13:04:28.296818,138.5500030517578
KEYS250516P00190000,2025-02-20 20:24:41+00:00,190.0,13.3,33.3,38.0,0.0,0.0,,46,1.0000000000000003e-05,True,REGULAR,USD,KEYS,0,2025-05-16,2025-04-23 13:04:28.296818,138.5500030517578
KEYS250516P00195000,2025-02-19 18:52:12+00:00,195.0,16.1,38.2,43.0,0.0,0.0,,11,1.0000000000000003e-05,True,REGULAR,USD,KEYS,0,2025-05-16,2025-04-23 13:04:28.296818,138.5500030517578
KEYS250620C00065000,2024-12-03 14:30:38+00:00,65.0,108.7,103.4,107.1,0.0,0.0,,2,4.494022937164306,True,REGULAR,USD,KEYS,1,2025-06-20,2025-04-23 13:04:28.355973,138.5500030517578
KEYS250620C00070000,2024-12-16 05:03:16+00:00,70.0,63.25,80.7,84.6,0.0,0.0,1.0,1,2.5402868524169913,True,REGULAR,USD,KEYS,1,2025-06-20,2025-04-23 13:04:28.355973,138.5500030517578
KEYS250620C00080000,2024-12-16 05:03:16+00:00,80.0,68.3,80.0,84.0,0.0,0.0,,3,2.908205854492188,True,REGULAR,USD,KEYS,1,2025-06-20,2025-04-23 13:04:28.355973,138.5500030517578
KEYS250620C00085000,2024-12-31 19:03:32+00:00,85.0,78.55,93.3,96.9,0.0,0.0,20.0,0,4.111088845520019,True,REGULAR,USD,KEYS,1,2025-06-20,2025-04-23 13:04:28.355973,138.5500030517578
KEYS250620C00090000,2025-04-21 17:40:34+00:00,90.0,42.26,46.9,50.7,0.0,0.0,,13,0.5537154003906251,True,REGULAR,USD,KEYS,1,2025-06-20,2025-04-23 13:04:28.355973,138.5500030517578
KEYS250620C00105000,2024-12-16 05:03:15+00:00,105.0,55.4,66.7,71.5,0.0,0.0,1.0,2,2.7373078442382814,True,REGULAR,USD,KEYS,1,2025-06-20,2025-04-23 13:04:28.355973,138.5500030517578
KEYS250620C00115000,2024-12-16 05:03:15+00:00,115.0,48.2,54.0,58.8,0.0,0.0,,1,2.2230269033813475,True,REGULAR,USD,KEYS,1,2025-06-20,2025-04-23 13:04:28.355973,138.5500030517578
KEYS250620C00125000,2024-12-11 20:56:40+00:00,125.0,48.5,46.3,49.5,0.0,0.0,1.0,23,1.9816895446777343,True,REGULAR,USD,KEYS,1,2025-06-20,2025-04-23 13:04:28.355973,138.5500030517578
