contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
KEY250425C00010000,2025-04-11 18:07:47+00:00,10.0,3.81,4.55,4.65,0.0,0.0,,6,1.0000000000000003e-05,True,REGULAR,USD,KEY,1,2025-04-25,2025-04-23 13:04:27.378695,14.694999694824219
KEY250425C00010500,2025-04-11 18:05:41+00:00,10.5,3.36,4.1,4.2,0.0,0.0,,3,1.5625021874999998,True,REGULAR,USD,KEY,1,2025-04-25,2025-04-23 13:04:27.378695,14.694999694824219
KEY250425C00011500,2025-04-16 19:17:57+00:00,11.5,2.5,3.1,3.2,0.0,0.0,,1,1.1875040625,True,REGULAR,USD,KEY,1,2025-04-25,2025-04-23 13:04:27.378695,14.694999694824219
KEY250425C00012000,2025-04-17 15:37:47+00:00,12.0,2.8,2.64,2.81,0.32999992,13.360321,5.0,14,1.3281283593749997,True,REGULAR,USD,KEY,1,2025-04-25,2025-04-23 13:04:27.378695,14.694999694824219
KEY250425C00012500,2025-04-17 13:43:01+00:00,12.5,2.0,2.15,2.32,0.0,0.0,12.0,12,1.171879140625,True,REGULAR,USD,KEY,1,2025-04-25,2025-04-23 13:04:27.378695,14.694999694824219
KEY250425C00013000,2025-04-22 19:47:40+00:00,13.0,1.17,1.5,1.83,0.0,0.0,34.0,48,1.3320345898437496,True,REGULAR,USD,KEY,1,2025-04-25,2025-04-23 13:04:27.378695,14.694999694824219
KEY250425C00013500,2025-04-22 14:24:43+00:00,13.5,0.59,1.06,1.37,0.0,0.0,4.0,132,0.6015664843750002,True,REGULAR,USD,KEY,1,2025-04-25,2025-04-23 13:04:27.378695,14.694999694824219
KEY250425C00014000,2025-04-23 13:57:05+00:00,14.0,0.9,0.69,0.82,0.59999996,199.99998,206.0,966,0.5390671093750001,True,REGULAR,USD,KEY,1,2025-04-25,2025-04-23 13:04:27.378695,14.694999694824219
KEY250425C00014500,2025-04-23 14:55:03+00:00,14.5,0.24,0.25,0.29,0.13999999,139.99997,83.0,658,0.3320379296875,True,REGULAR,USD,KEY,1,2025-04-25,2025-04-23 13:04:27.378695,14.694999694824219
KEY250425C00015000,2025-04-23 15:21:47+00:00,15.0,0.08,0.03,0.11,0.07,700.0001,169.0,614,0.42969320312500003,False,REGULAR,USD,KEY,1,2025-04-25,2025-04-23 13:04:27.378695,14.694999694824219
KEY250425C00015500,2025-04-23 14:13:29+00:00,15.5,0.04,0.0,0.08,0.03,300.0,45.0,112,0.500005,False,REGULAR,USD,KEY,1,2025-04-25,2025-04-23 13:04:27.378695,14.694999694824219
