contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
KHC250425C00020000,2025-04-21 14:33:51+00:00,20.0,9.75,9.95,10.05,0.0,0.0,3.0,20,1.8437507812499998,True,REGULAR,USD,KHC,1,2025-04-25,2025-04-23 13:04:34.438696,29.979999542236328
KHC250425C00021000,2025-04-08 17:54:44+00:00,21.0,9.15,8.95,9.05,2.0999994,29.787224,1.0,7,1.625001875,True,REGULAR,USD,KHC,1,2025-04-25,2025-04-23 13:04:34.438696,29.979999542236328
KHC250425C00022500,2025-04-17 14:06:53+00:00,22.5,6.75,7.45,7.55,0.0,0.0,1.0,1,1.3437532812499997,True,REGULAR,USD,KHC,1,2025-04-25,2025-04-23 13:04:34.438696,29.979999542236328
KHC250425C00025000,2025-04-22 14:42:19+00:00,25.0,5.01,4.95,5.05,-0.28999996,-5.4716973,1.0,14,0.9062509375,True,REGULAR,USD,KHC,1,2025-04-25,2025-04-23 13:04:34.438696,29.979999542236328
KHC250425C00026000,2025-04-21 15:02:39+00:00,26.0,3.7,3.85,3.95,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD,KHC,1,2025-04-25,2025-04-23 13:04:34.438696,29.979999542236328
KHC250425C00027000,2025-04-22 17:22:26+00:00,27.0,3.1,2.98,3.05,0.03999996,1.3071883,1.0,3,0.648441015625,True,REGULAR,USD,KHC,1,2025-04-25,2025-04-23 13:04:34.438696,29.979999542236328
KHC250425C00027500,2025-04-15 15:34:36+00:00,27.5,2.29,1.62,3.55,0.0,0.0,2.0,5,0.7539087109375,True,REGULAR,USD,KHC,1,2025-04-25,2025-04-23 13:04:34.438696,29.979999542236328
KHC250425C00028000,2025-04-23 13:32:55+00:00,28.0,1.99,1.97,2.02,-0.37999988,-16.03375,4.0,53,0.476567734375,True,REGULAR,USD,KHC,1,2025-04-25,2025-04-23 13:04:34.438696,29.979999542236328
KHC250425C00028500,2025-04-21 14:07:19+00:00,28.5,1.27,1.29,1.96,0.0,0.0,10.0,34,0.57812921875,True,REGULAR,USD,KHC,1,2025-04-25,2025-04-23 13:04:34.438696,29.979999542236328
KHC250425C00029000,2025-04-22 17:49:12+00:00,29.0,1.13,1.0,1.11,0.120000005,11.881188,1.0,196,0.42578699218750005,True,REGULAR,USD,KHC,1,2025-04-25,2025-04-23 13:04:34.438696,29.979999542236328
KHC250425C00029500,2025-04-23 14:30:04+00:00,29.5,0.61,0.55,0.61,-0.20999998,-25.609755,16.0,762,0.28321029296874994,True,REGULAR,USD,KHC,1,2025-04-25,2025-04-23 13:04:34.438696,29.979999542236328
KHC250425C00030000,2025-04-23 15:46:09+00:00,30.0,0.27,0.23,0.27,-0.16999999,-38.63636,203.0,3444,0.25391371093750004,False,REGULAR,USD,KHC,1,2025-04-25,2025-04-23 13:04:34.438696,29.979999542236328
KHC250425C00030500,2025-04-23 16:29:59+00:00,30.5,0.07,0.06,0.09,-0.13999999,-66.666664,692.0,1863,0.2500075,False,REGULAR,USD,KHC,1,2025-04-25,2025-04-23 13:04:34.438696,29.979999542236328
KHC250425C00031000,2025-04-23 15:22:34+00:00,31.0,0.02,0.01,0.04,-0.06,-75.0,37.0,1234,0.2890696093749999,False,REGULAR,USD,KHC,1,2025-04-25,2025-04-23 13:04:34.438696,29.979999542236328
KHC250425C00031500,2025-04-23 14:12:03+00:00,31.5,0.03,0.0,0.01,0.0,0.0,3.0,193,0.2890696093749999,False,REGULAR,USD,KHC,1,2025-04-25,2025-04-23 13:04:34.438696,29.979999542236328
KHC250425C00032000,2025-04-23 16:17:47+00:00,32.0,0.03,0.0,0.03,0.01,50.0,12.0,419,0.44922425781249997,False,REGULAR,USD,KHC,1,2025-04-25,2025-04-23 13:04:34.438696,29.979999542236328
KHC250425C00032500,2025-04-07 15:06:11+00:00,32.5,0.1,0.0,0.01,0.0,0.0,,10,0.437505625,False,REGULAR,USD,KHC,1,2025-04-25,2025-04-23 13:04:34.438696,29.979999542236328
KHC250425C00033000,2025-04-22 17:12:05+00:00,33.0,0.01,0.0,0.01,0.0,0.0,1.0,199,0.507817421875,False,REGULAR,USD,KHC,1,2025-04-25,2025-04-23 13:04:34.438696,29.979999542236328
KHC250425C00034000,2025-04-15 19:22:39+00:00,34.0,0.02,0.0,0.01,0.0,0.0,1.0,45,0.5937540625000001,False,REGULAR,USD,KHC,1,2025-04-25,2025-04-23 13:04:34.438696,29.979999542236328
KHC250425C00035000,2025-04-10 14:14:04+00:00,35.0,0.02,0.0,0.05,0.0,0.0,1.0,20,0.87500125,False,REGULAR,USD,KHC,1,2025-04-25,2025-04-23 13:04:34.438696,29.979999542236328
KHC250425C00036000,2025-04-14 19:44:47+00:00,36.0,0.01,0.0,0.2,0.0,0.0,1.0,30,1.2968785156249998,False,REGULAR,USD,KHC,1,2025-04-25,2025-04-23 13:04:34.438696,29.979999542236328
KHC250425C00037000,2025-03-10 15:12:38+00:00,37.0,0.21,0.0,0.37,0.0,0.0,,7,1.6601579492187502,False,REGULAR,USD,KHC,1,2025-04-25,2025-04-23 13:04:34.438696,29.979999542236328
KHC250425C00040000,2025-04-22 14:09:30+00:00,40.0,0.03,0.0,0.01,0.0,0.0,2.0,7,1.1875040625,False,REGULAR,USD,KHC,1,2025-04-25,2025-04-23 13:04:34.438696,29.979999542236328
