contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
KIM250516C00017500,2025-04-22 19:02:21+00:00,17.5,3.1,3.0,4.7,0.0,0.0,5.0,2.0,0.992187578125,1.0,REGULAR,USD,KIM,1,2025-05-16,2025-04-23 13:04:30.209983,20.59000015258789
KIM250516C00020000,2025-04-22 17:06:49+00:00,20.0,0.85,1.0,1.05,0.0,0.0,8.0,36.0,0.34570966796874997,1.0,REGULAR,USD,KIM,1,2025-05-16,2025-04-23 13:04:30.209983,20.59000015258789
KIM250516C00022500,2025-04-22 17:15:14+00:00,22.5,0.02,0.0,0.1,0.0,0.0,2.0,36.0,0.29883513671874995,0.0,REGULAR,USD,KIM,1,2025-05-16,2025-04-23 13:04:30.209983,20.59000015258789
KIM250516C00025000,2025-04-04 14:47:00+00:00,25.0,0.1,0.0,0.1,0.0,0.0,5.0,0.0,0.523442265625,0.0,REGULAR,USD,KIM,1,2025-05-16,2025-04-23 13:04:30.209983,20.59000015258789
KIM250516P00017500,2025-04-15 14:58:32+00:00,17.5,0.1,0.0,0.1,0.0,0.0,1.0,537.0,0.47852083984375,0.0,REGULAR,USD,KIM,0,2025-05-16,2025-04-23 13:04:30.211963,20.59000015258789
KIM250516P00020000,2025-04-23 15:07:55+00:00,20.0,0.3,0.35,0.4,-0.19999999,-39.999996,1.0,203.0,0.31445998046874996,0.0,REGULAR,USD,KIM,0,2025-05-16,2025-04-23 13:04:30.211963,20.59000015258789
KIM250516P00022500,2025-04-22 16:05:46+00:00,22.5,1.95,1.65,2.2,0.0,0.0,3.0,2.0,0.43457596679687505,1.0,REGULAR,USD,KIM,0,2025-05-16,2025-04-23 13:04:30.211963,20.59000015258789
KIM250620P00020000,2025-04-17 14:18:35+00:00,20.0,0.75,0.55,0.85,0.0,0.0,1.0,1.0,0.344733115234375,0.0,REGULAR,USD,KIM,0,2025-06-20,2025-04-23 13:04:30.267269,20.59000015258789
KIM250718C00015000,2025-02-19 20:35:48+00:00,15.0,6.6,5.4,7.5,0.0,0.0,,2.0,0.8242205078124999,1.0,REGULAR,USD,KIM,1,2025-07-18,2025-04-23 13:04:30.320408,20.59000015258789
KIM250718C00017500,2025-04-09 13:31:58+00:00,17.5,1.65,3.3,3.5,0.0,0.0,3.0,45.0,0.39649041015625003,1.0,REGULAR,USD,KIM,1,2025-07-18,2025-04-23 13:04:30.320408,20.59000015258789
KIM250718C00020000,2025-04-16 16:39:39+00:00,20.0,1.36,1.2,1.55,0.0,0.0,4.0,34.0,0.31201859863281245,1.0,REGULAR,USD,KIM,1,2025-07-18,2025-04-23 13:04:30.320408,20.59000015258789
KIM250718C00022500,2025-04-23 15:54:51+00:00,22.5,0.35,0.25,0.4,0.01999998,6.0606,1.0,676.0,0.26270268554687504,0.0,REGULAR,USD,KIM,1,2025-07-18,2025-04-23 13:04:30.320408,20.59000015258789
KIM250718C00025000,2025-04-23 15:05:20+00:00,25.0,0.07,0.0,0.1,-0.080000006,-53.333336,5.0,558.0,0.274421318359375,0.0,REGULAR,USD,KIM,1,2025-07-18,2025-04-23 13:04:30.320408,20.59000015258789
KIM250718C00030000,2025-01-28 19:36:10+00:00,30.0,0.1,0.0,0.2,0.0,0.0,1.0,74.0,0.52539537109375,0.0,REGULAR,USD,KIM,1,2025-07-18,2025-04-23 13:04:30.320408,20.59000015258789
KIM250718P00012500,2025-04-09 13:37:02+00:00,12.5,0.19,0.0,0.75,0.0,0.0,40.0,40.0,0.8554701953125,0.0,REGULAR,USD,KIM,0,2025-07-18,2025-04-23 13:04:30.322413,20.59000015258789
