contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
KKR250425C00060000,2025-04-07 19:00:21+00:00,60.0,37.7,45.4,48.3,0.0,0.0,5.0,3,3.5781260546875,True,REGULAR,USD,KKR,1,2025-04-25,2025-04-23 13:04:32.045329,107.94000244140625
KKR250425C00069000,2025-04-16 17:59:49+00:00,69.0,32.11,36.6,39.3,0.0,0.0,,1,2.8281279296874997,True,REGULAR,USD,KKR,1,2025-04-25,2025-04-23 13:04:32.045329,107.94000244140625
KKR250425C00079000,2025-04-08 19:16:11+00:00,79.0,17.8,26.7,29.1,0.0,0.0,,3,1.7968760156249999,True,REGULAR,USD,KKR,1,2025-04-25,2025-04-23 13:04:32.045329,107.94000244140625
KKR250425C00081000,2025-04-17 19:15:29+00:00,81.0,22.7,24.8,27.4,0.0,0.0,8.0,8,2.052739243164062,True,REGULAR,USD,KKR,1,2025-04-25,2025-04-23 13:04:32.045329,107.94000244140625
KKR250425C00090000,2025-04-21 19:54:25+00:00,90.0,8.5,16.0,17.8,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD,KKR,1,2025-04-25,2025-04-23 13:04:32.045329,107.94000244140625
KKR250425C00092500,2025-04-14 17:00:02+00:00,92.5,12.09,13.0,14.8,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD,KKR,1,2025-04-25,2025-04-23 13:04:32.045329,107.94000244140625
KKR250425C00095000,2025-04-22 16:47:19+00:00,95.0,8.12,10.9,13.5,0.0,0.0,14.0,41,1.1484417578125,True,REGULAR,USD,KKR,1,2025-04-25,2025-04-23 13:04:32.045329,107.94000244140625
KKR250425C00097000,2025-04-23 13:33:43+00:00,97.0,14.6,9.1,11.0,11.34,347.85272,6.0,13,0.6132851171875001,True,REGULAR,USD,KKR,1,2025-04-25,2025-04-23 13:04:32.045329,107.94000244140625
KKR250425C00099000,2025-04-21 19:28:48+00:00,99.0,2.2,7.4,9.2,0.0,0.0,3.0,3,0.6992217578125001,True,REGULAR,USD,KKR,1,2025-04-25,2025-04-23 13:04:32.045329,107.94000244140625
KKR250425C00100000,2025-04-22 16:12:44+00:00,100.0,4.0,7.3,7.8,0.0,0.0,12.0,46,1.0000000000000003e-05,True,REGULAR,USD,KKR,1,2025-04-25,2025-04-23 13:04:32.045329,107.94000244140625
