contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
KLAC250516C00300000,2025-04-09 17:02:16+00:00,300.0,318.1,352.0,358.8,0.0,0.0,,1.0,1.0000000000000003e-05,1.0,REGULAR,USD,KLAC,1,2025-05-16,2025-04-23 13:04:33.576943,663.35498046875
KLAC250516C00310000,2025-04-07 19:00:28+00:00,310.0,293.8,341.2,348.8,0.0,0.0,,2.0,1.0000000000000003e-05,1.0,REGULAR,USD,KLAC,1,2025-05-16,2025-04-23 13:04:33.576943,663.35498046875
KLAC250516C00340000,2025-04-07 17:00:11+00:00,340.0,258.8,312.4,320.4,0.0,0.0,,1.0,1.0000000000000003e-05,1.0,REGULAR,USD,KLAC,1,2025-05-16,2025-04-23 13:04:33.576943,663.35498046875
KLAC250516C00360000,2025-04-09 17:19:15+00:00,360.0,259.4,291.5,299.0,0.0,0.0,,1.0,1.0000000000000003e-05,1.0,REGULAR,USD,KLAC,1,2025-05-16,2025-04-23 13:04:33.576943,663.35498046875
KLAC250516C00370000,2025-04-09 17:19:23+00:00,370.0,253.6,282.3,288.9,0.0,0.0,,1.0,1.0000000000000003e-05,1.0,REGULAR,USD,KLAC,1,2025-05-16,2025-04-23 13:04:33.576943,663.35498046875
KLAC250516C00480000,2025-04-08 19:29:02+00:00,480.0,141.0,175.8,183.1,0.0,0.0,,1.0,1.0000000000000003e-05,1.0,REGULAR,USD,KLAC,1,2025-05-16,2025-04-23 13:04:33.576943,663.35498046875
KLAC250516C00520000,2025-04-03 18:49:06+00:00,520.0,118.7,137.3,143.2,0.0,0.0,,9.0,1.0000000000000003e-05,1.0,REGULAR,USD,KLAC,1,2025-05-16,2025-04-23 13:04:33.576943,663.35498046875
KLAC250516C00560000,2025-04-11 16:35:28+00:00,560.0,126.5,100.5,106.7,0.0,0.0,1.0,20.0,0.49786879089355474,1.0,REGULAR,USD,KLAC,1,2025-05-16,2025-04-23 13:04:33.576943,663.35498046875
KLAC250516C00570000,2025-04-11 17:01:03+00:00,570.0,119.15,90.8,96.7,0.0,0.0,,9.0,0.4578911633300782,1.0,REGULAR,USD,KLAC,1,2025-05-16,2025-04-23 13:04:33.576943,663.35498046875
KLAC250516C00580000,2025-04-17 17:10:16+00:00,580.0,89.0,84.5,87.9,13.199997,17.414244,3.0,8.0,0.4568535760498047,1.0,REGULAR,USD,KLAC,1,2025-05-16,2025-04-23 13:04:33.576943,663.35498046875
