contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
KMB250425C00130000,2025-04-22 13:30:25+00:00,130.0,4.8,2.35,2.9,0.0,0.0,1.0,2,0.4008848974609375,True,REGULAR,USD,KMB,1,2025-04-25,2025-04-23 13:04:28.999556,131.75
KMB250425C00135000,2025-04-22 14:06:30+00:00,135.0,2.5,0.0,0.55,0.0,0.0,3.0,4,0.35352208984374994,False,REGULAR,USD,KMB,1,2025-04-25,2025-04-23 13:04:28.999556,131.75
KMB250425C00136000,2025-04-22 19:41:39+00:00,136.0,2.52,0.0,0.15,0.0,0.0,20.0,11,0.2695385546875,False,REGULAR,USD,KMB,1,2025-04-25,2025-04-23 13:04:28.999556,131.75
KMB250425C00137000,2025-04-22 18:10:03+00:00,137.0,1.35,0.0,1.25,0.0,0.0,2.0,3,0.6621127539062501,False,REGULAR,USD,KMB,1,2025-04-25,2025-04-23 13:04:28.999556,131.75
KMB250425C00138000,2025-04-22 19:49:51+00:00,138.0,1.3,0.0,0.5,0.0,0.0,14.0,19,0.5039112109375,False,REGULAR,USD,KMB,1,2025-04-25,2025-04-23 13:04:28.999556,131.75
KMB250425C00139000,2025-04-23 15:11:42+00:00,139.0,0.01,0.0,0.4,-1.05,-99.0566,25.0,97,0.5170946728515625,False,REGULAR,USD,KMB,1,2025-04-25,2025-04-23 13:04:28.999556,131.75
KMB250425C00140000,2025-04-23 15:30:38+00:00,140.0,0.01,0.0,0.1,-0.59000003,-98.333336,2.0,62,0.40332627929687503,False,REGULAR,USD,KMB,1,2025-04-25,2025-04-23 13:04:28.999556,131.75
KMB250425C00141000,2025-04-22 19:08:36+00:00,141.0,0.19,0.0,1.0,0.0,0.0,38.0,28,0.6513706738281251,False,REGULAR,USD,KMB,1,2025-04-25,2025-04-23 13:04:28.999556,131.75
KMB250425C00142000,2025-04-22 19:56:54+00:00,142.0,0.16,0.0,1.35,0.0,0.0,97.0,130,0.764650791015625,False,REGULAR,USD,KMB,1,2025-04-25,2025-04-23 13:04:28.999556,131.75
KMB250425C00143000,2025-04-22 15:22:58+00:00,143.0,0.15,0.0,1.35,0.0,0.0,9.0,40,0.8115253222656249,False,REGULAR,USD,KMB,1,2025-04-25,2025-04-23 13:04:28.999556,131.75
KMB250425C00144000,2025-04-22 19:33:46+00:00,144.0,0.05,0.0,0.05,0.0,0.0,8.0,101,0.48828636718750007,False,REGULAR,USD,KMB,1,2025-04-25,2025-04-23 13:04:28.999556,131.75
KMB250425C00145000,2025-04-22 19:18:54+00:00,145.0,0.05,0.0,1.35,0.0,0.0,34.0,40,0.903321279296875,False,REGULAR,USD,KMB,1,2025-04-25,2025-04-23 13:04:28.999556,131.75
KMB250425C00146000,2025-04-22 14:23:12+00:00,146.0,0.1,0.0,1.35,0.0,0.0,25.0,45,0.948242705078125,False,REGULAR,USD,KMB,1,2025-04-25,2025-04-23 13:04:28.999556,131.75
KMB250425C00147000,2025-04-22 14:50:17+00:00,147.0,0.05,0.0,1.3,0.0,0.0,20.0,103,0.9804689453125001,False,REGULAR,USD,KMB,1,2025-04-25,2025-04-23 13:04:28.999556,131.75
KMB250425C00148000,2025-04-22 19:03:24+00:00,148.0,0.03,0.0,1.3,0.0,0.0,51.0,60,1.0234423828125,False,REGULAR,USD,KMB,1,2025-04-25,2025-04-23 13:04:28.999556,131.75
KMB250425C00149000,2025-04-22 13:30:25+00:00,149.0,0.05,0.0,1.3,0.0,0.0,5.0,18,1.0654343603515626,False,REGULAR,USD,KMB,1,2025-04-25,2025-04-23 13:04:28.999556,131.75
KMB250425C00150000,2025-04-22 19:07:23+00:00,150.0,0.02,0.0,1.3,0.0,0.0,5.0,329,1.1064497802734377,False,REGULAR,USD,KMB,1,2025-04-25,2025-04-23 13:04:28.999556,131.75
KMB250425C00152500,2025-04-21 19:42:48+00:00,152.5,0.1,0.0,0.05,0.0,0.0,17.0,21,0.6796907031250001,False,REGULAR,USD,KMB,1,2025-04-25,2025-04-23 13:04:28.999556,131.75
KMB250425C00155000,2025-04-22 13:51:59+00:00,155.0,0.01,0.0,0.05,0.0,0.0,1.0,15,0.7421900781249999,False,REGULAR,USD,KMB,1,2025-04-25,2025-04-23 13:04:28.999556,131.75
KMB250425P00075000,2025-04-08 14:34:41+00:00,75.0,0.05,0.0,0.75,0.0,0.0,,1,3.3554703613281243,False,REGULAR,USD,KMB,0,2025-04-25,2025-04-23 13:04:29.001561,131.75
KMB250425P00080000,2025-04-08 14:36:31+00:00,80.0,0.1,0.0,0.75,0.0,0.0,,2,3.0175805810546876,False,REGULAR,USD,KMB,0,2025-04-25,2025-04-23 13:04:29.001561,131.75
KMB250425P00085000,2025-04-08 14:36:31+00:00,85.0,0.05,0.0,1.3,0.0,0.0,,3,3.003908740234375,False,REGULAR,USD,KMB,0,2025-04-25,2025-04-23 13:04:29.001561,131.75
KMB250425P00120000,2025-04-22 14:28:22+00:00,120.0,0.01,0.0,0.55,-0.04,-80.00001,1.0,52,0.71679970703125,False,REGULAR,USD,KMB,0,2025-04-25,2025-04-23 13:04:29.001561,131.75
KMB250425P00125000,2025-04-23 16:25:42+00:00,125.0,0.15,0.05,0.15,0.10000001,200.00003,21.0,151,0.398443515625,False,REGULAR,USD,KMB,0,2025-04-25,2025-04-23 13:04:29.001561,131.75
KMB250425P00126000,2025-04-21 19:59:09+00:00,126.0,0.4,0.1,0.2,0.0,0.0,11.0,41,0.37793590820312495,False,REGULAR,USD,KMB,0,2025-04-25,2025-04-23 13:04:29.001561,131.75
KMB250425P00128000,2025-04-23 15:46:43+00:00,128.0,0.3,0.2,0.4,0.20000002,200.00003,39.0,170,0.34766277343749996,False,REGULAR,USD,KMB,0,2025-04-25,2025-04-23 13:04:29.001561,131.75
KMB250425P00130000,2025-04-23 16:30:49+00:00,130.0,0.66,0.6,0.85,0.51,339.9999,237.0,2703,0.3320379296875,False,REGULAR,USD,KMB,0,2025-04-25,2025-04-23 13:04:29.001561,131.75
