contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
KMI250425C00015000,2025-04-22 15:05:27+00:00,15.0,11.43,11.5,11.85,0.0,0.0,16.0,20,2.718753203125,True,REGULAR,USD,KMI,1,2025-04-25,2025-04-23 13:04:30.625206,26.834999084472656
KMI250425C00016000,2025-04-22 15:05:27+00:00,16.0,10.44,10.5,10.8,0.0,0.0,16.0,12,1.0000000000000003e-05,True,REGULAR,USD,KMI,1,2025-04-25,2025-04-23 13:04:30.625206,26.834999084472656
KMI250425C00017000,2025-04-21 17:39:54+00:00,17.0,8.54,9.55,9.85,0.0,0.0,8.0,5,2.1875045312499997,True,REGULAR,USD,KMI,1,2025-04-25,2025-04-23 13:04:30.625206,26.834999084472656
KMI250425C00018000,2025-04-17 19:14:21+00:00,18.0,9.42,8.6,8.85,0.0,0.0,7.0,14,1.9375003125,True,REGULAR,USD,KMI,1,2025-04-25,2025-04-23 13:04:30.625206,26.834999084472656
KMI250425C00018500,2025-04-22 15:05:42+00:00,18.5,7.91,8.05,8.25,0.0,0.0,16.0,11,1.0000000000000003e-05,True,REGULAR,USD,KMI,1,2025-04-25,2025-04-23 13:04:30.625206,26.834999084472656
KMI250425C00019000,2025-04-22 15:05:42+00:00,19.0,7.43,7.45,7.85,0.0,0.0,16.0,15,1.6875015625,True,REGULAR,USD,KMI,1,2025-04-25,2025-04-23 13:04:30.625206,26.834999084472656
KMI250425C00019500,2025-04-21 16:26:09+00:00,19.5,6.29,7.1,7.15,0.0,0.0,5.0,16,1.0000000000000003e-05,True,REGULAR,USD,KMI,1,2025-04-25,2025-04-23 13:04:30.625206,26.834999084472656
KMI250425C00020000,2025-04-21 17:42:41+00:00,20.0,5.52,6.5,6.75,0.0,0.0,6.0,14,1.0000000000000003e-05,True,REGULAR,USD,KMI,1,2025-04-25,2025-04-23 13:04:30.625206,26.834999084472656
KMI250425C00021000,2025-04-21 19:33:15+00:00,21.0,4.66,5.65,5.85,0.0,0.0,12.0,33,1.2500037499999999,True,REGULAR,USD,KMI,1,2025-04-25,2025-04-23 13:04:30.625206,26.834999084472656
KMI250425C00022000,2025-04-23 15:00:35+00:00,22.0,4.7,4.6,4.85,0.8499999,22.07792,4.0,1,1.0468797656250002,True,REGULAR,USD,KMI,1,2025-04-25,2025-04-23 13:04:30.625206,26.834999084472656
KMI250425C00022500,2025-04-21 13:35:35+00:00,22.5,4.0,4.05,4.2,0.0,0.0,1.0,22,1.0000000000000003e-05,True,REGULAR,USD,KMI,1,2025-04-25,2025-04-23 13:04:30.625206,26.834999084472656
KMI250425C00023000,2025-03-17 14:37:09+00:00,23.0,4.82,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD,KMI,1,2025-04-25,2025-04-23 13:04:30.625206,26.834999084472656
KMI250425C00023500,2025-04-21 16:20:48+00:00,23.5,2.36,3.15,3.4,0.0,0.0,4.0,3,0.9765627343750001,True,REGULAR,USD,KMI,1,2025-04-25,2025-04-23 13:04:30.625206,26.834999084472656
KMI250425C00024000,2025-04-22 19:02:58+00:00,24.0,2.74,2.57,2.92,0.0,0.0,2.0,13,0.9101571484375,True,REGULAR,USD,KMI,1,2025-04-25,2025-04-23 13:04:30.625206,26.834999084472656
KMI250425C00024500,2025-04-11 15:00:02+00:00,24.5,1.8,2.05,2.33,0.0,0.0,,11,1.0000000000000003e-05,True,REGULAR,USD,KMI,1,2025-04-25,2025-04-23 13:04:30.625206,26.834999084472656
KMI250425C00025000,2025-04-22 19:59:31+00:00,25.0,1.68,1.61,1.85,0.0,0.0,27.0,39,0.437505625,True,REGULAR,USD,KMI,1,2025-04-25,2025-04-23 13:04:30.625206,26.834999084472656
KMI250425C00025500,2025-04-21 19:45:07+00:00,25.5,1.34,1.24,1.31,0.73,119.67213,2.0,139,1.0000000000000003e-05,True,REGULAR,USD,KMI,1,2025-04-25,2025-04-23 13:04:30.625206,26.834999084472656
KMI250425C00026000,2025-04-23 15:23:03+00:00,26.0,0.75,0.82,0.92,0.089999974,13.636359,3.0,195,0.37500625,True,REGULAR,USD,KMI,1,2025-04-25,2025-04-23 13:04:30.625206,26.834999084472656
KMI250425C00026500,2025-04-23 15:23:03+00:00,26.5,0.4,0.45,0.5,0.0,0.0,2.0,268,0.31445998046874996,True,REGULAR,USD,KMI,1,2025-04-25,2025-04-23 13:04:30.625206,26.834999084472656
KMI250425C00027000,2025-04-23 15:21:10+00:00,27.0,0.2,0.18,0.22,0.010000005,5.2631607,354.0,393,0.30274134765625,False,REGULAR,USD,KMI,1,2025-04-25,2025-04-23 13:04:30.625206,26.834999084472656
KMI250425C00027500,2025-04-23 13:46:39+00:00,27.5,0.05,0.05,0.14,-0.029999997,-37.499996,104.0,868,0.39063109375,False,REGULAR,USD,KMI,1,2025-04-25,2025-04-23 13:04:30.625206,26.834999084472656
KMI250425C00028000,2025-04-23 16:09:19+00:00,28.0,0.01,0.01,0.05,-0.01,-50.0,22.0,445,0.38281867187499996,False,REGULAR,USD,KMI,1,2025-04-25,2025-04-23 13:04:30.625206,26.834999084472656
KMI250425C00028500,2025-04-23 14:49:50+00:00,28.5,0.02,0.0,0.01,0.01,100.0,20.0,278,0.35156898437499995,False,REGULAR,USD,KMI,1,2025-04-25,2025-04-23 13:04:30.625206,26.834999084472656
KMI250425C00029000,2025-04-23 16:05:45+00:00,29.0,0.02,0.0,0.02,0.01,100.0,184.0,502,0.49219257812500006,False,REGULAR,USD,KMI,1,2025-04-25,2025-04-23 13:04:30.625206,26.834999084472656
KMI250425C00029500,2025-04-17 19:48:51+00:00,29.5,0.01,0.0,0.13,0.0,0.0,2.0,5,0.73437765625,False,REGULAR,USD,KMI,1,2025-04-25,2025-04-23 13:04:30.625206,26.834999084472656
KMI250425C00030000,2025-04-21 18:36:28+00:00,30.0,0.02,0.0,0.02,-0.01,-33.333336,1.0,525,0.5937540625000001,False,REGULAR,USD,KMI,1,2025-04-25,2025-04-23 13:04:30.625206,26.834999084472656
KMI250425C00031000,2025-04-14 15:08:17+00:00,31.0,0.01,0.0,0.02,0.0,0.0,1.0,2293,0.73437765625,False,REGULAR,USD,KMI,1,2025-04-25,2025-04-23 13:04:30.625206,26.834999084472656
KMI250425C00032000,2025-03-25 18:22:57+00:00,32.0,0.07,0.0,0.13,0.0,0.0,1.0,8,1.1796916015624999,False,REGULAR,USD,KMI,1,2025-04-25,2025-04-23 13:04:30.625206,26.834999084472656
KMI250425C00033000,2025-04-02 16:24:53+00:00,33.0,0.06,0.0,0.12,0.0,0.0,,2,1.3203158984374999,False,REGULAR,USD,KMI,1,2025-04-25,2025-04-23 13:04:30.625206,26.834999084472656
KMI250425C00035000,2025-03-26 13:30:07+00:00,35.0,0.05,0.0,0.12,0.0,0.0,15.0,33,1.609376953125,False,REGULAR,USD,KMI,1,2025-04-25,2025-04-23 13:04:30.625206,26.834999084472656
KMI250425P00020000,2025-04-21 16:11:24+00:00,20.0,0.02,0.0,0.05,0.0,0.0,5.0,8,1.5937520312499998,False,REGULAR,USD,KMI,0,2025-04-25,2025-04-23 13:04:30.626207,26.834999084472656
KMI250425P00021000,2025-04-21 19:05:33+00:00,21.0,0.01,0.0,0.13,0.0,0.0,1.0,43,1.6015644921874999,False,REGULAR,USD,KMI,0,2025-04-25,2025-04-23 13:04:30.626207,26.834999084472656
KMI250425P00022000,2025-04-21 19:53:04+00:00,22.0,0.01,0.0,0.13,0.0,0.0,60.0,64,1.3515657421874998,False,REGULAR,USD,KMI,0,2025-04-25,2025-04-23 13:04:30.626207,26.834999084472656
KMI250425P00022500,2025-04-22 17:42:43+00:00,22.5,0.01,0.0,0.01,0.0,0.0,1.0,311,0.8125018749999999,False,REGULAR,USD,KMI,0,2025-04-25,2025-04-23 13:04:30.626207,26.834999084472656
KMI250425P00023000,2025-04-21 18:18:32+00:00,23.0,0.04,0.0,0.13,0.0,0.0,7.0,428,1.1015669921875002,False,REGULAR,USD,KMI,0,2025-04-25,2025-04-23 13:04:30.626207,26.834999084472656
KMI250425P00023500,2025-04-22 14:28:32+00:00,23.5,0.01,0.0,0.03,0.0,0.0,20.0,236,0.73437765625,False,REGULAR,USD,KMI,0,2025-04-25,2025-04-23 13:04:30.626207,26.834999084472656
KMI250425P00024000,2025-04-21 19:44:47+00:00,24.0,0.08,0.0,0.14,0.0,0.0,18.0,284,0.867188828125,False,REGULAR,USD,KMI,0,2025-04-25,2025-04-23 13:04:30.626207,26.834999084472656
KMI250425P00024500,2025-04-22 19:58:59+00:00,24.5,0.09,0.0,0.04,0.0,0.0,1004.0,1257,0.5625043750000001,False,REGULAR,USD,KMI,0,2025-04-25,2025-04-23 13:04:30.626207,26.834999084472656
KMI250425P00025000,2025-04-23 14:06:43+00:00,25.0,0.03,0.01,0.03,0.0,0.0,4.0,282,0.500005,False,REGULAR,USD,KMI,0,2025-04-25,2025-04-23 13:04:30.626207,26.834999084472656
KMI250425P00025500,2025-04-22 18:22:03+00:00,25.5,0.12,0.01,0.05,0.0,0.0,31.0,642,0.4414118359375,False,REGULAR,USD,KMI,0,2025-04-25,2025-04-23 13:04:30.626207,26.834999084472656
KMI250425P00026000,2025-04-23 16:25:40+00:00,26.0,0.12,0.08,0.13,-0.080000006,-40.000004,11.0,394,0.4414118359375,False,REGULAR,USD,KMI,0,2025-04-25,2025-04-23 13:04:30.626207,26.834999084472656
KMI250425P00026500,2025-04-23 14:17:58+00:00,26.5,0.24,0.08,0.25,-0.049999997,-17.241379,6.0,75,0.4101621484375,False,REGULAR,USD,KMI,0,2025-04-25,2025-04-23 13:04:30.626207,26.834999084472656
KMI250425P00027000,2025-04-23 13:42:57+00:00,27.0,0.47,0.42,0.48,-0.29999998,-38.961037,3.0,330,0.4023497265625,True,REGULAR,USD,KMI,0,2025-04-25,2025-04-23 13:04:30.626207,26.834999084472656
KMI250425P00027500,2025-04-21 19:49:38+00:00,27.5,0.66,0.76,0.85,-1.1800001,-64.13043,1.0,86,0.44727115234375,True,REGULAR,USD,KMI,0,2025-04-25,2025-04-23 13:04:30.626207,26.834999084472656
KMI250425P00028000,2025-04-23 13:50:08+00:00,28.0,1.11,1.21,1.42,-0.27999997,-20.143883,1.0,295,0.5507857421875001,True,REGULAR,USD,KMI,0,2025-04-25,2025-04-23 13:04:30.626207,26.834999084472656
KMI250425P00028500,2025-04-17 19:51:20+00:00,28.5,1.47,1.73,1.95,0.0,0.0,17.0,0,0.7226590234375,True,REGULAR,USD,KMI,0,2025-04-25,2025-04-23 13:04:30.626207,26.834999084472656
KMI250425P00029000,2025-04-22 17:15:23+00:00,29.0,2.53,2.14,2.4,0.0,0.0,2.0,52,0.7226590234375,True,REGULAR,USD,KMI,0,2025-04-25,2025-04-23 13:04:30.626207,26.834999084472656
KMI250425P00029500,2025-04-22 15:46:37+00:00,29.5,3.0,2.62,2.94,0.0,0.0,2.0,0,0.851563984375,True,REGULAR,USD,KMI,0,2025-04-25,2025-04-23 13:04:30.626207,26.834999084472656
KMI250425P00030000,2025-04-17 16:14:53+00:00,30.0,2.67,3.15,3.45,0.0,0.0,2.0,1,0.99804689453125,True,REGULAR,USD,KMI,0,2025-04-25,2025-04-23 13:04:30.626207,26.834999084472656
KMI250425P00031000,2025-04-21 16:06:43+00:00,31.0,5.16,4.15,4.45,0.0,0.0,10.0,0,1.19922275390625,True,REGULAR,USD,KMI,0,2025-04-25,2025-04-23 13:04:30.626207,26.834999084472656
KMI250502C00017000,2025-04-04 14:15:01+00:00,17.0,8.96,9.55,9.85,0.0,0.0,1.0,1,1.1875040625,True,REGULAR,USD,KMI,1,2025-05-02,2025-04-23 13:04:30.686363,26.834999084472656
KMI250502C00020000,2025-04-02 17:49:05+00:00,20.0,8.8,6.6,6.85,0.0,0.0,,1,0.8125018749999999,True,REGULAR,USD,KMI,1,2025-05-02,2025-04-23 13:04:30.686363,26.834999084472656
KMI250502C00023000,2025-04-10 13:42:58+00:00,23.0,3.0,3.5,3.9,0.0,0.0,,1,0.6015664843750002,True,REGULAR,USD,KMI,1,2025-05-02,2025-04-23 13:04:30.686363,26.834999084472656
KMI250502C00025000,2025-04-22 14:55:35+00:00,25.0,2.03,1.7,1.86,0.5,32.67974,2.0,100,0.26563234375,True,REGULAR,USD,KMI,1,2025-05-02,2025-04-23 13:04:30.686363,26.834999084472656
KMI250502C00025500,2025-04-22 16:48:13+00:00,25.5,1.35,1.36,1.41,0.0,0.0,52.0,54,0.27149166015625,True,REGULAR,USD,KMI,1,2025-05-02,2025-04-23 13:04:30.686363,26.834999084472656
KMI250502C00026000,2025-04-23 14:00:05+00:00,26.0,1.1,0.96,1.02,0.120000005,12.244898,1.0,772,0.28321029296874994,True,REGULAR,USD,KMI,1,2025-05-02,2025-04-23 13:04:30.686363,26.834999084472656
KMI250502C00026500,2025-04-23 14:40:18+00:00,26.5,0.64,0.5,0.67,0.029999971,4.918028,30.0,94,0.27539787109374997,True,REGULAR,USD,KMI,1,2025-05-02,2025-04-23 13:04:30.686363,26.834999084472656
KMI250502C00027000,2025-04-23 16:19:49+00:00,27.0,0.34,0.36,0.4,0.050000012,17.241383,186.0,280,0.26856200195312496,False,REGULAR,USD,KMI,1,2025-05-02,2025-04-23 13:04:30.686363,26.834999084472656
KMI250502C00027500,2025-04-23 14:43:06+00:00,27.5,0.21,0.16,0.21,0.00999999,4.999995,24.0,181,0.2617261328125,False,REGULAR,USD,KMI,1,2025-05-02,2025-04-23 13:04:30.686363,26.834999084472656
KMI250502C00028000,2025-04-23 14:45:10+00:00,28.0,0.1,0.07,0.1,0.009999998,11.111108,40.0,299,0.25977302734375,False,REGULAR,USD,KMI,1,2025-05-02,2025-04-23 13:04:30.686363,26.834999084472656
KMI250502C00028500,2025-04-23 14:49:36+00:00,28.5,0.04,0.02,0.05,0.0,0.0,28.0,61,0.2695385546875,False,REGULAR,USD,KMI,1,2025-05-02,2025-04-23 13:04:30.686363,26.834999084472656
KMI250502C00029000,2025-04-21 18:01:54+00:00,29.0,0.03,0.0,0.05,0.0,0.0,56.0,192,0.3242255078124999,False,REGULAR,USD,KMI,1,2025-05-02,2025-04-23 13:04:30.686363,26.834999084472656
KMI250502C00030000,2025-04-17 19:49:37+00:00,30.0,0.02,0.0,0.02,0.0,0.0,30.0,1203,0.35938140625,False,REGULAR,USD,KMI,1,2025-05-02,2025-04-23 13:04:30.686363,26.834999084472656
KMI250502C00030500,2025-04-21 19:44:28+00:00,30.5,0.01,0.0,0.13,0.0,0.0,1.0,1,0.5039112109375,False,REGULAR,USD,KMI,1,2025-05-02,2025-04-23 13:04:30.686363,26.834999084472656
KMI250502C00031000,2025-04-04 17:46:43+00:00,31.0,0.06,0.0,0.13,0.0,0.0,1800.0,1846,0.5546919531250001,False,REGULAR,USD,KMI,1,2025-05-02,2025-04-23 13:04:30.686363,26.834999084472656
KMI250502C00032000,2025-04-21 14:38:42+00:00,32.0,0.02,0.0,0.13,0.0,0.0,1.0,18,0.6445348046875,False,REGULAR,USD,KMI,1,2025-05-02,2025-04-23 13:04:30.686363,26.834999084472656
KMI250502C00033000,2025-04-08 13:44:16+00:00,33.0,0.05,0.0,0.13,0.0,0.0,3.0,18,0.73437765625,False,REGULAR,USD,KMI,1,2025-05-02,2025-04-23 13:04:30.686363,26.834999084472656
KMI250502C00034000,2025-03-17 15:58:07+00:00,34.0,0.05,0.0,0.0,0.0,0.0,,0,0.2500075,False,REGULAR,USD,KMI,1,2025-05-02,2025-04-23 13:04:30.686363,26.834999084472656
KMI250502C00035000,2025-03-21 15:04:46+00:00,35.0,0.04,0.0,0.0,0.0,0.0,5.0,0,0.500005,False,REGULAR,USD,KMI,1,2025-05-02,2025-04-23 13:04:30.686363,26.834999084472656
KMI250502P00018000,2025-04-15 17:00:43+00:00,18.0,0.02,0.0,0.13,0.0,0.0,3.0,5,1.3281283593749997,False,REGULAR,USD,KMI,0,2025-05-02,2025-04-23 13:04:30.688369,26.834999084472656
KMI250502P00020000,2025-04-21 17:09:06+00:00,20.0,0.01,0.0,0.13,0.0,0.0,1.0,32,1.0234423828125,False,REGULAR,USD,KMI,0,2025-05-02,2025-04-23 13:04:30.688369,26.834999084472656
KMI250502P00021000,2025-04-04 18:49:01+00:00,21.0,0.23,0.0,0.14,0.0,0.0,26.0,26,0.8906260937499999,False,REGULAR,USD,KMI,0,2025-05-02,2025-04-23 13:04:30.688369,26.834999084472656
KMI250502P00023000,2025-04-22 18:05:12+00:00,23.0,0.06,0.02,0.07,0.0,0.0,1.0,54,0.5585981640625001,False,REGULAR,USD,KMI,0,2025-05-02,2025-04-23 13:04:30.688369,26.834999084472656
KMI250502P00023500,2025-04-21 17:56:57+00:00,23.5,0.21,0.04,0.07,0.0,0.0,6.0,7,0.51562984375,False,REGULAR,USD,KMI,0,2025-05-02,2025-04-23 13:04:30.688369,26.834999084472656
KMI250502P00024000,2025-04-21 19:46:48+00:00,24.0,0.07,0.06,0.1,-0.19,-73.07693,1.0,43,0.5195360546875,False,REGULAR,USD,KMI,0,2025-05-02,2025-04-23 13:04:30.688369,26.834999084472656
KMI250502P00025000,2025-04-23 16:17:38+00:00,25.0,0.17,0.15,0.19,-0.10000001,-37.03704,3.0,305,0.46289599609375004,False,REGULAR,USD,KMI,0,2025-05-02,2025-04-23 13:04:30.688369,26.834999084472656
KMI250502P00025500,2025-04-22 16:19:20+00:00,25.5,0.18,0.23,0.29,-0.109999985,-37.93103,2.0,108,0.45313046875,False,REGULAR,USD,KMI,0,2025-05-02,2025-04-23 13:04:30.688369,26.834999084472656
KMI250502P00026000,2025-04-23 16:23:56+00:00,26.0,0.43,0.36,0.41,-0.00999999,-2.272725,6.0,300,0.4335994140625,False,REGULAR,USD,KMI,0,2025-05-02,2025-04-23 13:04:30.688369,26.834999084472656
KMI250502P00026500,2025-04-22 13:30:11+00:00,26.5,0.61,0.56,0.6,-0.78999996,-56.428574,49.0,33,0.42969320312500003,False,REGULAR,USD,KMI,0,2025-05-02,2025-04-23 13:04:30.688369,26.834999084472656
KMI250502P00027000,2025-04-23 16:00:53+00:00,27.0,0.87,0.75,0.87,-0.20000005,-18.691591,2.0,140,0.4414118359375,True,REGULAR,USD,KMI,0,2025-05-02,2025-04-23 13:04:30.688369,26.834999084472656
KMI250502P00027500,2025-04-21 19:49:39+00:00,27.5,2.1,1.13,1.29,0.0,0.0,2.0,48,0.5127001855468749,True,REGULAR,USD,KMI,0,2025-05-02,2025-04-23 13:04:30.688369,26.834999084472656
KMI250502P00028000,2025-04-22 17:50:54+00:00,28.0,1.95,1.46,1.63,0.0,0.0,8.0,279,0.516606396484375,True,REGULAR,USD,KMI,0,2025-05-02,2025-04-23 13:04:30.688369,26.834999084472656
KMI250502P00028500,2025-04-17 16:05:18+00:00,28.5,1.51,2.07,2.23,0.0,0.0,1.0,1,0.6171913281250001,True,REGULAR,USD,KMI,0,2025-05-02,2025-04-23 13:04:30.688369,26.834999084472656
KMI250502P00029000,2025-04-23 15:22:07+00:00,29.0,2.6,2.47,2.69,-0.26999998,-9.407665,2.0,26,0.6513706738281251,True,REGULAR,USD,KMI,0,2025-05-02,2025-04-23 13:04:30.688369,26.834999084472656
KMI250502P00030000,2025-03-26 16:09:58+00:00,30.0,1.82,3.5,3.8,0.0,0.0,,3,0.84961087890625,True,REGULAR,USD,KMI,0,2025-05-02,2025-04-23 13:04:30.688369,26.834999084472656
KMI250509C00023000,2025-04-09 14:34:32+00:00,23.0,3.7,3.75,3.9,1.2,48.000004,1.0,5,0.46094289062500005,True,REGULAR,USD,KMI,1,2025-05-09,2025-04-23 13:04:30.738502,26.834999084472656
KMI250509C00024000,2025-04-22 14:22:24+00:00,24.0,2.63,2.71,2.86,0.23000002,9.583334,1.0,42,0.2929758203124999,True,REGULAR,USD,KMI,1,2025-05-09,2025-04-23 13:04:30.738502,26.834999084472656
KMI250509C00025000,2025-04-23 15:23:02+00:00,25.0,1.78,1.85,1.93,0.029999971,1.7142841,22.0,83,0.28125718749999995,True,REGULAR,USD,KMI,1,2025-05-09,2025-04-23 13:04:30.738502,26.834999084472656
KMI250509C00026000,2025-04-23 14:20:13+00:00,26.0,1.05,1.06,1.11,0.03999996,3.9603922,23.0,780,0.264655791015625,True,REGULAR,USD,KMI,1,2025-05-09,2025-04-23 13:04:30.738502,26.834999084472656
KMI250509C00027000,2025-04-23 15:16:31+00:00,27.0,0.48,0.48,0.53,0.0,0.0,24.0,1105,0.26270268554687504,False,REGULAR,USD,KMI,1,2025-05-09,2025-04-23 13:04:30.738502,26.834999084472656
KMI250509C00028000,2025-04-21 19:59:33+00:00,28.0,0.18,0.17,0.21,0.07000001,63.63637,21.0,71,0.26563234375,False,REGULAR,USD,KMI,1,2025-05-09,2025-04-23 13:04:30.738502,26.834999084472656
KMI250509C00029000,2025-04-23 13:47:43+00:00,29.0,0.05,0.04,0.07,-0.009999998,-16.666662,50.0,2596,0.27149166015625,False,REGULAR,USD,KMI,1,2025-05-09,2025-04-23 13:04:30.738502,26.834999084472656
KMI250509C00030000,2025-04-21 16:50:00+00:00,30.0,0.02,0.0,0.15,0.0,0.0,2.0,30,0.43164630859375,False,REGULAR,USD,KMI,1,2025-05-09,2025-04-23 13:04:30.738502,26.834999084472656
KMI250509C00031000,2025-03-31 19:21:30+00:00,31.0,0.21,0.0,0.13,0.0,0.0,,31,0.500005,False,REGULAR,USD,KMI,1,2025-05-09,2025-04-23 13:04:30.738502,26.834999084472656
KMI250509C00033000,2025-04-02 16:25:33+00:00,33.0,0.06,0.0,0.13,0.0,0.0,,1,0.5625043750000001,False,REGULAR,USD,KMI,1,2025-05-09,2025-04-23 13:04:30.738502,26.834999084472656
KMI250509C00034000,2025-04-02 16:25:23+00:00,34.0,0.02,0.0,0.13,0.0,0.0,,1,0.6250037500000001,False,REGULAR,USD,KMI,1,2025-05-09,2025-04-23 13:04:30.738502,26.834999084472656
KMI250509P00020000,2025-04-10 16:27:09+00:00,20.0,0.25,0.0,0.15,0.0,0.0,,4,0.804689453125,False,REGULAR,USD,KMI,0,2025-05-09,2025-04-23 13:04:30.739505,26.834999084472656
KMI250509P00021000,2025-04-15 16:59:24+00:00,21.0,0.08,0.01,0.16,0.0,0.0,2.0,23,0.710940390625,False,REGULAR,USD,KMI,0,2025-05-09,2025-04-23 13:04:30.739505,26.834999084472656
KMI250509P00022000,2025-04-21 14:37:36+00:00,22.0,0.08,0.03,0.08,0.0,0.0,5.0,8,0.5468795312500001,False,REGULAR,USD,KMI,0,2025-05-09,2025-04-23 13:04:30.739505,26.834999084472656
KMI250509P00023000,2025-04-22 16:18:53+00:00,23.0,0.07,0.07,0.1,0.0,0.0,2.0,21,0.5097705273437501,False,REGULAR,USD,KMI,0,2025-05-09,2025-04-23 13:04:30.739505,26.834999084472656
KMI250509P00024000,2025-04-23 16:20:20+00:00,24.0,0.15,0.11,0.16,-0.06999999,-31.818178,10.0,61,0.45606012695312503,False,REGULAR,USD,KMI,0,2025-05-09,2025-04-23 13:04:30.739505,26.834999084472656
KMI250509P00025000,2025-04-23 16:17:38+00:00,25.0,0.29,0.26,0.29,-0.26000002,-47.272728,6.0,143,0.418951123046875,False,REGULAR,USD,KMI,0,2025-05-09,2025-04-23 13:04:30.739505,26.834999084472656
KMI250509P00026000,2025-04-23 16:20:02+00:00,26.0,0.58,0.49,0.56,0.029999971,5.4545403,10.0,70,0.40332627929687503,False,REGULAR,USD,KMI,0,2025-05-09,2025-04-23 13:04:30.739505,26.834999084472656
KMI250509P00027000,2025-04-23 15:47:27+00:00,27.0,0.98,0.99,1.05,-0.9499999,-49.222794,1.0,138,0.41699801757812494,True,REGULAR,USD,KMI,0,2025-05-09,2025-04-23 13:04:30.739505,26.834999084472656
