contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
KMX250516C00050000,2025-04-23 14:31:59+00:00,50.0,18.4,16.3,16.7,3.4499998,23.076921,13.0,37,0.6347692773437501,True,REGULAR,USD,KMX,1,2025-05-16,2025-04-23 13:01:22.405646,66.55000305175781
KMX250516C00055000,2025-04-22 13:47:38+00:00,55.0,12.6,11.5,12.4,3.0500002,31.937176,1.0,98,0.570316796875,True,REGULAR,USD,KMX,1,2025-05-16,2025-04-23 13:01:22.405646,66.55000305175781
KMX250516C00060000,2025-04-23 14:47:04+00:00,60.0,8.3,6.5,7.8,2.19,35.84288,11.0,49,0.5603071313476562,True,REGULAR,USD,KMX,1,2025-05-16,2025-04-23 13:01:22.405646,66.55000305175781
KMX250516C00062500,2025-04-23 15:04:54+00:00,62.5,6.0,5.0,5.4,1.3200002,28.205133,1.0,365,0.44605046142578125,True,REGULAR,USD,KMX,1,2025-05-16,2025-04-23 13:01:22.405646,66.55000305175781
KMX250516C00065000,2025-04-23 15:32:56+00:00,65.0,3.71,3.4,3.7,0.96000004,34.909092,231.0,1132,0.4250545776367188,True,REGULAR,USD,KMX,1,2025-05-16,2025-04-23 13:01:22.405646,66.55000305175781
KMX250516C00067500,2025-04-23 16:02:27+00:00,67.5,2.23,2.05,2.3,0.63,39.375,21.0,468,0.40112903564453123,False,REGULAR,USD,KMX,1,2025-05-16,2025-04-23 13:01:22.405646,66.55000305175781
KMX250516C00070000,2025-04-23 15:52:28+00:00,70.0,1.2,1.05,1.2,0.35000002,41.176476,109.0,301,0.367193828125,False,REGULAR,USD,KMX,1,2025-05-16,2025-04-23 13:01:22.405646,66.55000305175781
KMX250516C00072500,2025-04-23 15:16:55+00:00,72.5,0.5,0.5,0.65,0.08000001,19.047623,830.0,1186,0.36817038085937503,False,REGULAR,USD,KMX,1,2025-05-16,2025-04-23 13:01:22.405646,66.55000305175781
KMX250516C00075000,2025-04-23 16:15:31+00:00,75.0,0.25,0.25,0.3,0.030000001,13.636364,36.0,661,0.35986968261718744,False,REGULAR,USD,KMX,1,2025-05-16,2025-04-23 13:01:22.405646,66.55000305175781
KMX250516C00077500,2025-04-21 15:41:48+00:00,77.5,0.15,0.1,0.15,0.07000001,87.500015,100.0,145,0.367193828125,False,REGULAR,USD,KMX,1,2025-05-16,2025-04-23 13:01:22.405646,66.55000305175781
KMX250516C00080000,2025-04-22 19:54:01+00:00,80.0,0.09,0.05,0.1,0.0,0.0,62.0,470,0.39453730468750003,False,REGULAR,USD,KMX,1,2025-05-16,2025-04-23 13:01:22.405646,66.55000305175781
