contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
KO250425C00045000,2025-04-17 17:42:11+00:00,45.0,28.05,27.15,28.15,0.0,0.0,10.0,4,3.1171897070312498,True,REGULAR,USD,KO,1,2025-04-25,2025-04-23 13:01:51.042915,72.86000061035156
KO250425C00050000,2025-04-17 17:42:11+00:00,50.0,23.5,22.65,23.1,0.4300003,1.8638939,2.0,5,1.625001875,True,REGULAR,USD,KO,1,2025-04-25,2025-04-23 13:01:51.042915,72.86000061035156
KO250425C00055000,2025-04-21 14:10:36+00:00,55.0,18.65,17.7,18.2,0.30999947,1.6902915,1.0,7,1.5937520312499998,True,REGULAR,USD,KO,1,2025-04-25,2025-04-23 13:01:51.042915,72.86000061035156
KO250425C00056000,2025-04-22 13:33:53+00:00,56.0,17.72,16.75,16.85,0.4299984,2.4869773,1.0,3,1.0000000000000003e-05,True,REGULAR,USD,KO,1,2025-04-25,2025-04-23 13:01:51.042915,72.86000061035156
KO250425C00058000,2025-04-22 16:38:30+00:00,58.0,15.92,14.75,14.85,0.0,0.0,1.0,2,1.0000000000000003e-05,True,REGULAR,USD,KO,1,2025-04-25,2025-04-23 13:01:51.042915,72.86000061035156
KO250425C00060000,2025-04-22 16:36:16+00:00,60.0,12.85,12.6,12.9,-1.0699997,-7.6867795,2.0,26,1.0234423828125,True,REGULAR,USD,KO,1,2025-04-25,2025-04-23 13:01:51.042915,72.86000061035156
KO250425C00061000,2025-04-22 17:26:00+00:00,61.0,12.2,11.65,11.85,-0.5,-3.937008,2.0,4,1.0000000000000003e-05,True,REGULAR,USD,KO,1,2025-04-25,2025-04-23 13:01:51.042915,72.86000061035156
KO250425C00062000,2025-04-23 14:23:47+00:00,62.0,11.6,10.7,10.85,-0.3199997,-2.6845613,5.0,19,1.0000000000000003e-05,True,REGULAR,USD,KO,1,2025-04-25,2025-04-23 13:01:51.042915,72.86000061035156
KO250425C00063000,2025-04-23 14:23:47+00:00,63.0,10.5,9.7,9.8,0.64000034,6.4908757,3.0,29,1.0000000000000003e-05,True,REGULAR,USD,KO,1,2025-04-25,2025-04-23 13:01:51.042915,72.86000061035156
KO250425C00064000,2025-04-22 13:39:44+00:00,64.0,9.44,8.7,9.2,0.0,0.0,1.0,3,0.8320329296874999,True,REGULAR,USD,KO,1,2025-04-25,2025-04-23 13:01:51.042915,72.86000061035156
KO250425C00065000,2025-04-22 13:39:44+00:00,65.0,8.2,7.7,7.85,-0.31000042,-3.6427782,1.0,15,1.0000000000000003e-05,True,REGULAR,USD,KO,1,2025-04-25,2025-04-23 13:01:51.042915,72.86000061035156
KO250425C00066000,2025-04-22 17:26:04+00:00,66.0,7.75,6.7,6.85,0.0,0.0,1.0,72,1.0000000000000003e-05,True,REGULAR,USD,KO,1,2025-04-25,2025-04-23 13:01:51.042915,72.86000061035156
KO250425C00067000,2025-04-22 19:43:45+00:00,67.0,6.6,5.75,5.9,-0.1500001,-2.2222235,1.0,80,0.500005,True,REGULAR,USD,KO,1,2025-04-25,2025-04-23 13:01:51.042915,72.86000061035156
KO250425C00068000,2025-04-22 18:28:48+00:00,68.0,5.65,4.8,4.95,0.099999905,1.8018,3.0,256,0.5019581054687501,True,REGULAR,USD,KO,1,2025-04-25,2025-04-23 13:01:51.042915,72.86000061035156
KO250425C00069000,2025-04-23 13:36:41+00:00,69.0,4.0,3.75,3.85,-0.6799998,-14.529912,17.0,163,1.0000000000000003e-05,True,REGULAR,USD,KO,1,2025-04-25,2025-04-23 13:01:51.042915,72.86000061035156
KO250425C00070000,2025-04-23 16:19:22+00:00,70.0,2.95,2.87,2.96,-0.78,-20.911528,12.0,1607,0.3398503515625,True,REGULAR,USD,KO,1,2025-04-25,2025-04-23 13:01:51.042915,72.86000061035156
KO250425C00071000,2025-04-23 15:20:15+00:00,71.0,2.05,1.94,2.13,-1.03,-33.44156,46.0,1141,0.35156898437499995,True,REGULAR,USD,KO,1,2025-04-25,2025-04-23 13:01:51.042915,72.86000061035156
KO250425C00072000,2025-04-23 16:27:25+00:00,72.0,1.08,1.13,1.17,-1.0500001,-49.295776,230.0,3333,0.249030947265625,True,REGULAR,USD,KO,1,2025-04-25,2025-04-23 13:01:51.042915,72.86000061035156
