contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
KR250425C00053000,2025-04-21 16:29:46+00:00,53.0,18.83,18.05,18.65,0.0,0.0,2.0,3,1.625001875,True,REGULAR,USD,KR,1,2025-04-25,2025-04-23 13:04:36.012775,71.58000183105469
KR250425C00056000,2025-04-16 19:22:52+00:00,56.0,13.1,15.35,15.65,0.0,0.0,,2,1.3671906640625,True,REGULAR,USD,KR,1,2025-04-25,2025-04-23 13:04:36.012775,71.58000183105469
KR250425C00057000,2025-04-16 19:44:00+00:00,57.0,14.86,14.4,14.7,2.8099995,23.319496,1.0,3,1.40625296875,True,REGULAR,USD,KR,1,2025-04-25,2025-04-23 13:04:36.012775,71.58000183105469
KR250425C00059000,2025-04-22 17:07:54+00:00,59.0,13.95,12.3,13.15,0.0,0.0,2.0,5,1.2734411328124997,True,REGULAR,USD,KR,1,2025-04-25,2025-04-23 13:04:36.012775,71.58000183105469
KR250425C00060000,2025-04-11 18:57:20+00:00,60.0,8.5,11.3,11.7,0.0,0.0,1.0,7,1.1367230664062502,True,REGULAR,USD,KR,1,2025-04-25,2025-04-23 13:04:36.012775,71.58000183105469
KR250425C00061000,2025-04-22 17:28:20+00:00,61.0,11.61,10.4,10.8,0.0,0.0,9.0,24,0.7812521875,True,REGULAR,USD,KR,1,2025-04-25,2025-04-23 13:04:36.012775,71.58000183105469
KR250425C00062000,2025-04-22 18:20:41+00:00,62.0,9.2,9.4,9.55,-1.54,-14.338921,1.0,88,1.0000000000000003e-05,True,REGULAR,USD,KR,1,2025-04-25,2025-04-23 13:04:36.012775,71.58000183105469
KR250425C00063000,2025-04-02 19:01:37+00:00,63.0,4.55,8.4,8.55,0.0,0.0,6.0,10,1.0000000000000003e-05,True,REGULAR,USD,KR,1,2025-04-25,2025-04-23 13:04:36.012775,71.58000183105469
KR250425C00064000,2025-04-16 17:56:17+00:00,64.0,5.23,7.4,7.85,0.0,0.0,4.0,39,0.6523472265625001,True,REGULAR,USD,KR,1,2025-04-25,2025-04-23 13:04:36.012775,71.58000183105469
KR250425C00065000,2025-04-23 15:21:36+00:00,65.0,6.39,6.35,6.6,-1.1100001,-14.800002,4.0,47,0.507817421875,True,REGULAR,USD,KR,1,2025-04-25,2025-04-23 13:04:36.012775,71.58000183105469
KR250425C00066000,2025-04-23 15:40:33+00:00,66.0,5.3,5.4,5.6,-1.6799998,-24.068766,1.0,54,0.437505625,True,REGULAR,USD,KR,1,2025-04-25,2025-04-23 13:04:36.012775,71.58000183105469
KR250425C00067000,2025-04-17 19:50:35+00:00,67.0,4.45,4.1,4.7,0.0,0.0,33.0,118,0.5214891601562499,True,REGULAR,USD,KR,1,2025-04-25,2025-04-23 13:04:36.012775,71.58000183105469
KR250425C00068000,2025-04-22 19:58:03+00:00,68.0,5.15,3.3,3.75,0.0,0.0,24.0,104,0.47363807617187503,True,REGULAR,USD,KR,1,2025-04-25,2025-04-23 13:04:36.012775,71.58000183105469
KR250425C00069000,2025-04-23 14:48:14+00:00,69.0,3.0,2.34,2.66,-0.5999999,-16.666664,3.0,135,0.3007882421875,True,REGULAR,USD,KR,1,2025-04-25,2025-04-23 13:04:36.012775,71.58000183105469
KR250425C00070000,2025-04-22 19:32:51+00:00,70.0,1.53,1.55,1.82,-1.5899999,-50.961536,18.0,196,0.3086006640625,True,REGULAR,USD,KR,1,2025-04-25,2025-04-23 13:04:36.012775,71.58000183105469
KR250425C00071000,2025-04-23 16:28:21+00:00,71.0,0.84,0.87,0.95,-1.3200002,-61.111115,28.0,488,0.23926541992187497,True,REGULAR,USD,KR,1,2025-04-25,2025-04-23 13:04:36.012775,71.58000183105469
KR250425C00072000,2025-04-23 16:16:27+00:00,72.0,0.37,0.35,0.42,-1.05,-73.94366,99.0,641,0.233406103515625,False,REGULAR,USD,KR,1,2025-04-25,2025-04-23 13:04:36.012775,71.58000183105469
KR250425C00073000,2025-04-23 16:22:04+00:00,73.0,0.13,0.1,0.15,-0.64,-83.11688,85.0,466,0.23633576171874998,False,REGULAR,USD,KR,1,2025-04-25,2025-04-23 13:04:36.012775,71.58000183105469
KR250425C00074000,2025-04-23 15:23:04+00:00,74.0,0.03,0.0,0.05,-0.3,-90.909096,21.0,95,0.24805439453125,False,REGULAR,USD,KR,1,2025-04-25,2025-04-23 13:04:36.012775,71.58000183105469
KR250425C00075000,2025-04-23 14:00:35+00:00,75.0,0.04,0.01,0.02,-0.08,-66.66667,5.0,525,0.2695385546875,False,REGULAR,USD,KR,1,2025-04-25,2025-04-23 13:04:36.012775,71.58000183105469
KR250425C00079000,2025-04-23 14:31:32+00:00,79.0,0.03,0.0,0.4,0.02,200.0,1.0,78,0.7832052929687501,False,REGULAR,USD,KR,1,2025-04-25,2025-04-23 13:04:36.012775,71.58000183105469
KR250425P00057000,2025-04-02 13:48:39+00:00,57.0,0.01,0.0,0.01,0.0,0.0,1.0,14,0.9062509375,False,REGULAR,USD,KR,0,2025-04-25,2025-04-23 13:04:36.013777,71.58000183105469
KR250425P00058000,2025-04-21 13:50:10+00:00,58.0,0.03,0.0,0.05,-0.120000005,-80.0,1.0,12,1.0312548437500002,False,REGULAR,USD,KR,0,2025-04-25,2025-04-23 13:04:36.013777,71.58000183105469
KR250425P00059000,2025-04-14 13:56:29+00:00,59.0,0.1,0.0,0.75,0.0,0.0,14.0,25,1.57422087890625,False,REGULAR,USD,KR,0,2025-04-25,2025-04-23 13:04:36.013777,71.58000183105469
KR250425P00060000,2025-04-15 14:04:13+00:00,60.0,0.04,0.0,0.75,0.0,0.0,2.0,61,1.46875265625,False,REGULAR,USD,KR,0,2025-04-25,2025-04-23 13:04:36.013777,71.58000183105469
KR250425P00061000,2025-04-21 17:07:04+00:00,61.0,0.03,0.0,0.2,0.0,0.0,17.0,86,1.01172369140625,False,REGULAR,USD,KR,0,2025-04-25,2025-04-23 13:04:36.013777,71.58000183105469
KR250425P00062000,2025-04-16 18:20:41+00:00,62.0,0.17,0.0,0.25,0.0,0.0,10.0,96,0.9687503125,False,REGULAR,USD,KR,0,2025-04-25,2025-04-23 13:04:36.013777,71.58000183105469
KR250425P00063000,2025-04-22 15:35:03+00:00,63.0,0.04,0.0,0.09,0.0,0.0,1.0,52,0.726565234375,False,REGULAR,USD,KR,0,2025-04-25,2025-04-23 13:04:36.013777,71.58000183105469
KR250425P00064000,2025-04-22 19:40:25+00:00,64.0,0.02,0.0,0.53,0.0,0.0,4.0,14,0.9492192578124999,False,REGULAR,USD,KR,0,2025-04-25,2025-04-23 13:04:36.013777,71.58000183105469
KR250425P00065000,2025-04-22 15:35:03+00:00,65.0,0.09,0.0,0.53,0.0,0.0,1.0,86,0.84961087890625,False,REGULAR,USD,KR,0,2025-04-25,2025-04-23 13:04:36.013777,71.58000183105469
KR250425P00066000,2025-04-22 17:33:50+00:00,66.0,0.02,0.0,0.5,0.0,0.0,2.0,122,0.73633076171875,False,REGULAR,USD,KR,0,2025-04-25,2025-04-23 13:04:36.013777,71.58000183105469
KR250425P00067000,2025-04-22 17:06:41+00:00,67.0,0.03,0.01,0.25,0.0,0.0,1.0,231,0.5312546875,False,REGULAR,USD,KR,0,2025-04-25,2025-04-23 13:04:36.013777,71.58000183105469
KR250425P00068000,2025-04-23 15:46:27+00:00,68.0,0.04,0.01,0.13,0.03,300.0,5.0,198,0.43945873046875,False,REGULAR,USD,KR,0,2025-04-25,2025-04-23 13:04:36.013777,71.58000183105469
KR250425P00069000,2025-04-23 16:11:43+00:00,69.0,0.11,0.06,0.1,0.09,450.0001,30.0,431,0.32031929687499994,False,REGULAR,USD,KR,0,2025-04-25,2025-04-23 13:04:36.013777,71.58000183105469
KR250425P00070000,2025-04-23 16:22:46+00:00,70.0,0.25,0.09,0.21,0.16,177.77777,84.0,2150,0.2929758203124999,False,REGULAR,USD,KR,0,2025-04-25,2025-04-23 13:04:36.013777,71.58000183105469
KR250425P00071000,2025-04-23 16:17:49+00:00,71.0,0.51,0.41,0.49,0.32999998,183.33333,185.0,1005,0.2890696093749999,False,REGULAR,USD,KR,0,2025-04-25,2025-04-23 13:04:36.013777,71.58000183105469
KR250425P00072000,2025-04-23 16:18:56+00:00,72.0,1.03,0.84,0.95,0.61,145.23811,34.0,315,0.27735097656249996,True,REGULAR,USD,KR,0,2025-04-25,2025-04-23 13:04:36.013777,71.58000183105469
KR250425P00073000,2025-04-23 15:25:15+00:00,73.0,1.82,1.46,1.73,1.09,149.31506,130.0,342,0.3193427441406249,True,REGULAR,USD,KR,0,2025-04-25,2025-04-23 13:04:36.013777,71.58000183105469
KR250425P00074000,2025-04-23 15:23:02+00:00,74.0,2.61,2.52,2.72,1.2099999,86.428566,38.0,39,0.42383388671875,True,REGULAR,USD,KR,0,2025-04-25,2025-04-23 13:04:36.013777,71.58000183105469
