contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
KVUE250425C00020500,2025-04-09 14:15:22+00:00,20.5,1.32,2.12,2.96,0.0,0.0,,2,1.6796891015625,True,REGULAR,USD,KVUE,1,2025-04-25,2025-04-23 13:04:25.172298,23.040000915527344
KVUE250425C00021000,2025-04-16 19:34:55+00:00,21.0,1.77,1.66,2.33,0.0,0.0,6.0,15,1.2500037499999999,True,REGULAR,USD,KVUE,1,2025-04-25,2025-04-23 13:04:25.172298,23.040000915527344
KVUE250425C00021500,2025-04-16 13:57:09+00:00,21.5,1.71,1.42,1.71,0.0,0.0,1.0,119,0.8437515624999999,True,REGULAR,USD,KVUE,1,2025-04-25,2025-04-23 13:04:25.172298,23.040000915527344
KVUE250425C00022000,2025-04-22 16:00:14+00:00,22.0,1.15,0.85,1.28,0.0,0.0,18.0,129,0.7695335546875001,True,REGULAR,USD,KVUE,1,2025-04-25,2025-04-23 13:04:25.172298,23.040000915527344
KVUE250425C00022500,2025-04-23 14:10:09+00:00,22.5,0.71,0.04,0.64,0.099999964,16.393436,10.0,283,0.35742830078125,True,REGULAR,USD,KVUE,1,2025-04-25,2025-04-23 13:04:25.172298,23.040000915527344
KVUE250425C00023000,2025-04-23 16:07:56+00:00,23.0,0.23,0.0,0.44,-0.17999999,-43.90244,7.0,156,0.5039112109375,True,REGULAR,USD,KVUE,1,2025-04-25,2025-04-23 13:04:25.172298,23.040000915527344
KVUE250425C00023500,2025-04-23 14:00:34+00:00,23.5,0.14,0.05,0.11,0.13,1299.9993,4.0,307,0.335944140625,False,REGULAR,USD,KVUE,1,2025-04-25,2025-04-23 13:04:25.172298,23.040000915527344
KVUE250425C00024000,2025-04-22 17:24:14+00:00,24.0,0.02,0.01,0.05,-0.030000001,-60.0,75.0,5024,0.38672488281249995,False,REGULAR,USD,KVUE,1,2025-04-25,2025-04-23 13:04:25.172298,23.040000915527344
KVUE250425C00024500,2025-04-22 17:30:34+00:00,24.5,0.07,0.0,0.15,0.0,0.0,1.0,11177,0.5820354296875,False,REGULAR,USD,KVUE,1,2025-04-25,2025-04-23 13:04:25.172298,23.040000915527344
KVUE250425C00025000,2025-04-22 17:30:34+00:00,25.0,0.05,0.0,0.75,0.0,0.0,4.0,37,1.2500037499999999,False,REGULAR,USD,KVUE,1,2025-04-25,2025-04-23 13:04:25.172298,23.040000915527344
