contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
K250425P00076000,2025-04-11 18:48:07+00:00,76.0,0.05,0.0,0.1,0.0,0.0,12.0,53.0,0.51562984375,0.0,REGULAR,USD,K,0,2025-04-25,2025-04-23 13:04:24.456271,82.75
K250425P00082000,2025-04-22 16:47:57+00:00,82.0,0.09,0.0,4.9,0.0,0.0,1.0,4.0,0.9433599414062499,0.0,REGULAR,USD,K,0,2025-04-25,2025-04-23 13:04:24.456271,82.75
K250425P00083000,2025-04-17 16:26:44+00:00,83.0,1.0,0.0,4.9,0.0,0.0,1.0,1.0,0.7753928710937501,1.0,REGULAR,USD,K,0,2025-04-25,2025-04-23 13:04:24.456271,82.75
K250502C00082000,2025-04-16 19:27:10+00:00,82.0,0.85,0.0,4.9,0.0,0.0,2.0,2.0,0.8305681005859374,1.0,REGULAR,USD,K,1,2025-05-02,2025-04-23 13:04:24.563552,82.75
K250502P00082000,2025-04-22 17:58:43+00:00,82.0,0.85,0.0,0.3,0.0,0.0,2.0,5.0,0.11084873535156249,0.0,REGULAR,USD,K,0,2025-05-02,2025-04-23 13:04:24.565556,82.75
K250502P00083000,2025-04-15 13:30:02+00:00,83.0,1.05,0.0,4.9,0.0,0.0,,1.0,0.8730481445312499,1.0,REGULAR,USD,K,0,2025-05-02,2025-04-23 13:04:24.565556,82.75
K250516C00080000,2025-04-22 13:36:11+00:00,80.0,3.36,0.9,3.5,0.0,0.0,2.0,3.0,0.21631643066406248,1.0,REGULAR,USD,K,1,2025-05-16,2025-04-23 13:04:24.631730,82.75
K250516C00082500,2025-04-23 14:29:35+00:00,82.5,0.4,0.15,0.65,0.099999994,33.33333,2.0,53.0,0.06104454589843751,1.0,REGULAR,USD,K,1,2025-05-16,2025-04-23 13:04:24.631730,82.75
K250516C00085000,2025-03-24 13:30:02+00:00,85.0,0.1,0.0,0.05,0.0,0.0,,1.0,0.0717866259765625,0.0,REGULAR,USD,K,1,2025-05-16,2025-04-23 13:04:24.631730,82.75
K250516P00080000,2025-04-15 17:39:29+00:00,80.0,0.5,0.05,0.6,-0.100000024,-16.66667,2.0,424.0,0.194343994140625,0.0,REGULAR,USD,K,0,2025-05-16,2025-04-23 13:04:24.633736,82.75
K250620C00060000,2024-12-16 05:08:19+00:00,60.0,20.98,19.5,23.8,0.0,0.0,,3.0,0.6655306884765627,1.0,REGULAR,USD,K,1,2025-06-20,2025-04-23 13:04:24.736002,82.75
K250620C00065000,2024-12-16 05:08:19+00:00,65.0,16.55,14.6,19.0,0.0,0.0,,5.0,0.5686078295898438,1.0,REGULAR,USD,K,1,2025-06-20,2025-04-23 13:04:24.736002,82.75
K250620C00072500,2025-04-04 18:34:44+00:00,72.5,10.4,8.6,13.0,0.0,0.0,1.0,2.0,0.5363815893554689,1.0,REGULAR,USD,K,1,2025-06-20,2025-04-23 13:04:24.736002,82.75
K250620C00075000,2024-12-16 05:08:19+00:00,75.0,7.3,5.0,9.2,0.0,0.0,18.0,13.0,0.33618827880859375,1.0,REGULAR,USD,K,1,2025-06-20,2025-04-23 13:04:24.736002,82.75
K250620C00077500,2024-12-16 05:08:19+00:00,77.5,5.0,3.0,7.3,0.0,0.0,,1.0,0.3238593005371093,1.0,REGULAR,USD,K,1,2025-06-20,2025-04-23 13:04:24.736002,82.75
K250620C00080000,2025-04-09 13:30:21+00:00,80.0,2.6,2.7,3.5,0.0,0.0,1.0,1186.0,0.13794807373046875,1.0,REGULAR,USD,K,1,2025-06-20,2025-04-23 13:04:24.736002,82.75
K250620C00082500,2025-04-21 17:21:22+00:00,82.5,0.65,0.65,0.95,0.0,0.0,14.0,2972.0,0.06177696044921876,1.0,REGULAR,USD,K,1,2025-06-20,2025-04-23 13:04:24.736002,82.75
K250620C00085000,2025-04-23 14:20:59+00:00,85.0,0.05,0.0,0.05,0.0,0.0,4.0,2383.0,0.045907978515625,0.0,REGULAR,USD,K,1,2025-06-20,2025-04-23 13:04:24.736002,82.75
K250620C00087500,2025-01-23 15:39:00+00:00,87.5,0.15,0.0,5.0,0.0,0.0,6.0,14.0,0.5228319201660157,0.0,REGULAR,USD,K,1,2025-06-20,2025-04-23 13:04:24.736002,82.75
K250620C00090000,2024-12-16 05:08:19+00:00,90.0,0.1,0.0,2.15,0.0,0.0,,1.0,0.3580386462402344,0.0,REGULAR,USD,K,1,2025-06-20,2025-04-23 13:04:24.736002,82.75
K250620C00095000,2025-02-18 14:30:03+00:00,95.0,0.05,0.0,0.05,0.0,0.0,50.0,51.0,0.17090672851562502,0.0,REGULAR,USD,K,1,2025-06-20,2025-04-23 13:04:24.736002,82.75
K250620P00042500,2024-12-30 14:52:39+00:00,42.5,0.1,0.0,4.9,0.0,0.0,,5.0,1.5183129553222656,0.0,REGULAR,USD,K,0,2025-06-20,2025-04-23 13:04:24.738028,82.75
K250620P00050000,2025-02-18 16:04:41+00:00,50.0,0.05,0.0,0.1,0.0,0.0,15.0,22.0,0.5429733203125001,0.0,REGULAR,USD,K,0,2025-06-20,2025-04-23 13:04:24.738028,82.75
K250620P00055000,2025-02-03 19:17:44+00:00,55.0,0.15,0.0,0.15,0.0,0.0,26.0,26.0,0.5293015820312501,0.0,REGULAR,USD,K,0,2025-06-20,2025-04-23 13:04:24.738028,82.75
K250620P00060000,2025-04-22 19:28:46+00:00,60.0,0.1,0.0,0.2,0.0,0.0,1.0,33.0,0.45313046875,0.0,REGULAR,USD,K,0,2025-06-20,2025-04-23 13:04:24.738028,82.75
K250620P00065000,2025-04-23 16:18:34+00:00,65.0,0.1,0.1,0.25,-0.1,-33.333332,2.0,8397.0,0.37305314453125,0.0,REGULAR,USD,K,0,2025-06-20,2025-04-23 13:04:24.738028,82.75
K250620P00070000,2025-03-12 13:31:47+00:00,70.0,0.5,0.0,0.5,0.0,0.0,2.0,5.0,0.3303289624023437,0.0,REGULAR,USD,K,0,2025-06-20,2025-04-23 13:04:24.738028,82.75
