contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
LDOS250516C00090000,2024-11-15 17:55:19+00:00,90.0,69.1,57.8,60.4,0.0,0.0,,1.0,2.0129444207763667,True,REGULAR,USD,LDOS,1,2025-05-16,2025-04-23 13:04:44.901073,143.35000610351562
LDOS250516C00095000,2024-12-16 05:10:08+00:00,95.0,71.01,72.5,76.6,0.0,0.0,1.0,0.0,4.03418464477539,True,REGULAR,USD,LDOS,1,2025-05-16,2025-04-23 13:04:44.901073,143.35000610351562
LDOS250516C00100000,2025-04-07 13:46:14+00:00,100.0,30.9,42.2,45.0,0.0,0.0,2.0,7.0,0.7392604199218749,True,REGULAR,USD,LDOS,1,2025-05-16,2025-04-23 13:04:44.901073,143.35000610351562
LDOS250516C00105000,2025-02-14 20:22:08+00:00,105.0,28.5,29.2,33.0,0.0,0.0,,2.0,1.0000000000000003e-05,True,REGULAR,USD,LDOS,1,2025-05-16,2025-04-23 13:04:44.901073,143.35000610351562
LDOS250516C00110000,2025-04-09 17:07:40+00:00,110.0,27.4,32.1,35.2,0.0,0.0,66.0,71.0,0.5874064697265625,True,REGULAR,USD,LDOS,1,2025-05-16,2025-04-23 13:04:44.901073,143.35000610351562
LDOS250516C00115000,2025-02-14 20:25:15+00:00,115.0,20.6,20.0,24.1,0.0,0.0,,2.0,1.0000000000000003e-05,True,REGULAR,USD,LDOS,1,2025-05-16,2025-04-23 13:04:44.901073,143.35000610351562
LDOS250516C00120000,2025-04-14 13:37:51+00:00,120.0,24.03,23.0,24.8,0.0,0.0,2.0,24.0,0.6301306518554688,True,REGULAR,USD,LDOS,1,2025-05-16,2025-04-23 13:04:44.901073,143.35000610351562
LDOS250516C00125000,2025-04-14 13:37:51+00:00,125.0,19.35,18.7,20.4,0.0,0.0,2.0,39.0,0.5942423388671876,True,REGULAR,USD,LDOS,1,2025-05-16,2025-04-23 13:04:44.901073,143.35000610351562
LDOS250516C00130000,2025-04-22 18:11:58+00:00,130.0,16.98,14.3,16.1,2.9799995,21.28571,1.0,71.0,0.5473678076171876,True,REGULAR,USD,LDOS,1,2025-05-16,2025-04-23 13:04:44.901073,143.35000610351562
LDOS250516C00135000,2025-04-22 19:03:15+00:00,135.0,10.4,10.1,11.8,0.0,0.0,4.0,219.0,0.47998566894531247,True,REGULAR,USD,LDOS,1,2025-05-16,2025-04-23 13:04:44.901073,143.35000610351562
LDOS250516C00140000,2025-04-23 13:49:59+00:00,140.0,9.0,7.6,8.6,1.5999999,21.62162,4.0,675.0,0.4689994506835938,True,REGULAR,USD,LDOS,1,2025-05-16,2025-04-23 13:04:44.901073,143.35000610351562
LDOS250516C00145000,2025-04-23 15:17:58+00:00,145.0,5.44,5.1,5.2,0.74000025,15.744686,31.0,340.0,0.4062559375,False,REGULAR,USD,LDOS,1,2025-05-16,2025-04-23 13:04:44.901073,143.35000610351562
LDOS250516C00150000,2025-04-23 15:48:35+00:00,150.0,2.85,2.95,3.3,0.32999992,13.095235,330.0,335.0,0.4035704174804688,False,REGULAR,USD,LDOS,1,2025-05-16,2025-04-23 13:04:44.901073,143.35000610351562
LDOS250516C00155000,2025-04-23 15:17:58+00:00,155.0,1.94,1.65,1.9,0.46000004,31.081083,55.0,900.0,0.39441523559570313,False,REGULAR,USD,LDOS,1,2025-05-16,2025-04-23 13:04:44.901073,143.35000610351562
LDOS250516C00160000,2025-04-23 15:23:24+00:00,160.0,0.91,0.8,1.0,0.110000014,13.750002,193.0,432.0,0.3850159155273437,False,REGULAR,USD,LDOS,1,2025-05-16,2025-04-23 13:04:44.901073,143.35000610351562
LDOS250516C00165000,2025-04-23 15:30:13+00:00,165.0,0.51,0.4,0.55,0.13999999,37.837833,2.0,90.0,0.3891662646484375,False,REGULAR,USD,LDOS,1,2025-05-16,2025-04-23 13:04:44.901073,143.35000610351562
LDOS250516C00170000,2025-04-22 17:46:05+00:00,170.0,0.05,0.0,0.75,0.0,0.0,1.0,247.0,0.48389187988281257,False,REGULAR,USD,LDOS,1,2025-05-16,2025-04-23 13:04:44.901073,143.35000610351562
LDOS250516C00175000,2025-04-22 18:38:11+00:00,175.0,0.12,0.05,0.75,0.0,0.0,9.0,152.0,0.5429733203125001,False,REGULAR,USD,LDOS,1,2025-05-16,2025-04-23 13:04:44.901073,143.35000610351562
LDOS250516C00180000,2025-04-02 17:18:39+00:00,180.0,0.38,0.0,0.75,0.0,0.0,5.0,196.0,0.51758294921875,False,REGULAR,USD,LDOS,1,2025-05-16,2025-04-23 13:04:44.901073,143.35000610351562
LDOS250516C00185000,2025-04-14 14:48:48+00:00,185.0,0.18,0.0,0.75,0.0,0.0,3.0,73.0,0.5659223095703125,False,REGULAR,USD,LDOS,1,2025-05-16,2025-04-23 13:04:44.901073,143.35000610351562
LDOS250516C00190000,2025-04-08 17:19:32+00:00,190.0,0.05,0.0,0.75,0.0,0.0,6.0,238.0,0.6123085644531252,False,REGULAR,USD,LDOS,1,2025-05-16,2025-04-23 13:04:44.901073,143.35000610351562
LDOS250516C00195000,2025-02-07 20:37:55+00:00,195.0,0.52,0.0,2.3,0.0,0.0,1.0,67.0,0.825929475097656,False,REGULAR,USD,LDOS,1,2025-05-16,2025-04-23 13:04:44.901073,143.35000610351562
LDOS250516C00200000,2025-04-23 15:11:29+00:00,200.0,0.1,0.05,0.1,0.0,0.0,10.0,1647.0,0.55273884765625,False,REGULAR,USD,LDOS,1,2025-05-16,2025-04-23 13:04:44.901073,143.35000610351562
LDOS250516C00210000,2025-02-13 18:37:41+00:00,210.0,0.16,0.0,2.2,0.0,0.0,15.0,126.0,0.9584965087890623,False,REGULAR,USD,LDOS,1,2025-05-16,2025-04-23 13:04:44.901073,143.35000610351562
LDOS250516C00220000,2025-04-22 13:30:04+00:00,220.0,0.05,0.0,0.05,0.0,0.0,9.0,196.0,0.6093789062500001,False,REGULAR,USD,LDOS,1,2025-05-16,2025-04-23 13:04:44.901073,143.35000610351562
LDOS250516C00230000,2025-03-21 17:34:13+00:00,230.0,0.05,0.0,0.0,0.0,0.0,5.0,0.0,0.500005,False,REGULAR,USD,LDOS,1,2025-05-16,2025-04-23 13:04:44.901073,143.35000610351562
LDOS250516C00240000,2025-03-12 13:36:35+00:00,240.0,0.4,0.0,1.5,0.0,0.0,10.0,10.0,1.1157270776367185,False,REGULAR,USD,LDOS,1,2025-05-16,2025-04-23 13:04:44.901073,143.35000610351562
LDOS250516C00250000,2024-12-04 16:51:18+00:00,250.0,0.42,0.0,1.55,0.0,0.0,1.0,2.0,1.1909220141601562,False,REGULAR,USD,LDOS,1,2025-05-16,2025-04-23 13:04:44.901073,143.35000610351562
LDOS250516C00260000,2025-01-06 16:03:56+00:00,260.0,0.13,0.0,0.0,0.0,0.0,20.0,21.0,0.500005,False,REGULAR,USD,LDOS,1,2025-05-16,2025-04-23 13:04:44.901073,143.35000610351562
LDOS250516C00270000,2024-11-15 14:58:12+00:00,270.0,0.6,0.0,1.5,0.0,0.0,,2.0,1.3095737646484373,False,REGULAR,USD,LDOS,1,2025-05-16,2025-04-23 13:04:44.901073,143.35000610351562
LDOS250516C00280000,2025-04-07 16:01:52+00:00,280.0,0.05,0.0,0.75,0.0,0.0,26.0,30.0,1.2275429248046876,False,REGULAR,USD,LDOS,1,2025-05-16,2025-04-23 13:04:44.901073,143.35000610351562
LDOS250516P00090000,2024-12-26 16:37:08+00:00,90.0,0.4,0.0,1.85,0.0,0.0,,1.0,1.183109553222656,False,REGULAR,USD,LDOS,0,2025-05-16,2025-04-23 13:04:44.902075,143.35000610351562
LDOS250516P00100000,2025-04-17 19:27:49+00:00,100.0,0.4,0.05,0.7,0.0,0.0,2.0,37.0,0.7939473730468749,False,REGULAR,USD,LDOS,0,2025-05-16,2025-04-23 13:04:44.902075,143.35000610351562
LDOS250516P00105000,2025-04-21 15:03:35+00:00,105.0,0.4,0.0,0.35,0.0,0.0,2.0,62.0,0.6152382226562501,False,REGULAR,USD,LDOS,0,2025-05-16,2025-04-23 13:04:44.902075,143.35000610351562
LDOS250516P00110000,2025-04-14 15:19:52+00:00,110.0,0.6,0.0,0.95,0.0,0.0,2.0,285.0,0.6435582519531251,False,REGULAR,USD,LDOS,0,2025-05-16,2025-04-23 13:04:44.902075,143.35000610351562
LDOS250516P00115000,2025-04-21 19:51:43+00:00,115.0,0.85,0.4,0.7,0.0,0.0,1.0,143.0,0.5725140405273439,False,REGULAR,USD,LDOS,0,2025-05-16,2025-04-23 13:04:44.902075,143.35000610351562
LDOS250516P00120000,2025-04-21 17:11:08+00:00,120.0,1.35,0.6,0.9,0.0,0.0,15.0,381.0,0.5219774365234374,False,REGULAR,USD,LDOS,0,2025-05-16,2025-04-23 13:04:44.902075,143.35000610351562
LDOS250516P00125000,2025-04-22 19:51:48+00:00,125.0,1.61,1.05,1.35,0.0,0.0,2.0,429.0,0.5127001855468749,False,REGULAR,USD,LDOS,0,2025-05-16,2025-04-23 13:04:44.902075,143.35000610351562
LDOS250516P00130000,2025-04-23 14:33:16+00:00,130.0,1.7,1.8,2.2,-0.70000005,-29.166668,5.0,183.0,0.4958546508789063,False,REGULAR,USD,LDOS,0,2025-05-16,2025-04-23 13:04:44.902075,143.35000610351562
LDOS250516P00135000,2025-04-22 17:32:26+00:00,135.0,4.07,3.0,3.5,0.0,0.0,6.0,148.0,0.4840139489746094,False,REGULAR,USD,LDOS,0,2025-05-16,2025-04-23 13:04:44.902075,143.35000610351562
LDOS250516P00140000,2025-04-23 15:14:09+00:00,140.0,4.35,4.4,5.1,-1.2600002,-22.459896,14.0,620.0,0.4585015087890626,False,REGULAR,USD,LDOS,0,2025-05-16,2025-04-23 13:04:44.902075,143.35000610351562
LDOS250516P00145000,2025-04-17 19:48:10+00:00,145.0,9.8,6.9,7.5,0.0,0.0,5.0,180.0,0.4506890869140625,True,REGULAR,USD,LDOS,0,2025-05-16,2025-04-23 13:04:44.902075,143.35000610351562
LDOS250516P00150000,2025-04-21 18:19:07+00:00,150.0,14.25,9.9,10.5,0.0,0.0,4.0,121.0,0.4437311486816406,True,REGULAR,USD,LDOS,0,2025-05-16,2025-04-23 13:04:44.902075,143.35000610351562
LDOS250516P00155000,2025-04-21 18:19:07+00:00,155.0,18.45,12.6,14.1,0.0,0.0,4.0,137.0,0.44165597412109375,True,REGULAR,USD,LDOS,0,2025-05-16,2025-04-23 13:04:44.902075,143.35000610351562
LDOS250516P00160000,2025-04-22 14:00:34+00:00,160.0,20.55,16.5,18.5,0.0,0.0,1.0,45.0,0.4758353198242187,True,REGULAR,USD,LDOS,0,2025-05-16,2025-04-23 13:04:44.902075,143.35000610351562
LDOS250516P00165000,2025-04-07 13:30:06+00:00,165.0,20.85,21.7,23.3,-14.85,-41.596638,3.0,56.0,0.5327195166015625,True,REGULAR,USD,LDOS,0,2025-05-16,2025-04-23 13:04:44.902075,143.35000610351562
LDOS250516P00170000,2025-02-27 15:19:52+00:00,170.0,39.94,34.0,37.8,0.0,0.0,1.0,2.0,1.2426795678710936,True,REGULAR,USD,LDOS,0,2025-05-16,2025-04-23 13:04:44.902075,143.35000610351562
LDOS250516P00175000,2025-02-11 19:46:24+00:00,175.0,37.72,38.7,42.5,0.0,0.0,1.0,0.0,1.3066440917968747,True,REGULAR,USD,LDOS,0,2025-05-16,2025-04-23 13:04:44.902075,143.35000610351562
LDOS250516P00180000,2024-12-03 17:29:29+00:00,180.0,20.7,31.8,33.4,0.0,0.0,16.0,168.0,1.0000000000000003e-05,True,REGULAR,USD,LDOS,0,2025-05-16,2025-04-23 13:04:44.902075,143.35000610351562
LDOS250516P00185000,2024-12-16 05:10:09+00:00,185.0,15.4,31.6,34.5,0.0,0.0,1.0,17.0,1.0000000000000003e-05,True,REGULAR,USD,LDOS,0,2025-05-16,2025-04-23 13:04:44.902075,143.35000610351562
LDOS250516P00190000,2024-11-21 16:31:14+00:00,190.0,27.1,41.3,43.6,0.0,0.0,1.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,LDOS,0,2025-05-16,2025-04-23 13:04:44.902075,143.35000610351562
LDOS250516P00195000,2024-11-15 20:01:08+00:00,195.0,35.4,45.3,48.4,0.0,0.0,1.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,LDOS,0,2025-05-16,2025-04-23 13:04:44.902075,143.35000610351562
