contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
LHX250516C00140000,2025-04-04 14:12:38+00:00,140.0,71.4,74.9,78.0,0.0,0.0,1.0,1,1.0986373193359378,True,REGULAR,USD,LHX,1,2025-05-16,2025-04-23 13:04:37.269510,216.72999572753906
LHX250516C00150000,2025-04-11 19:56:15+00:00,150.0,73.19,64.9,68.0,0.0,0.0,2.0,4,0.9533696069335937,True,REGULAR,USD,LHX,1,2025-05-16,2025-04-23 13:04:37.269510,216.72999572753906
LHX250516C00160000,2025-04-11 17:08:50+00:00,160.0,62.7,55.5,58.0,0.0,0.0,,2,0.815431533203125,True,REGULAR,USD,LHX,1,2025-05-16,2025-04-23 13:04:37.269510,216.72999572753906
LHX250516C00170000,2025-01-13 19:18:52+00:00,170.0,45.88,29.0,32.8,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD,LHX,1,2025-05-16,2025-04-23 13:04:37.269510,216.72999572753906
LHX250516C00175000,2025-03-26 16:56:46+00:00,175.0,38.44,40.2,43.5,0.0,0.0,2.0,2,0.676761044921875,True,REGULAR,USD,LHX,1,2025-05-16,2025-04-23 13:04:37.269510,216.72999572753906
LHX250516C00180000,2025-02-07 20:59:21+00:00,180.0,29.55,39.4,42.4,0.0,0.0,1.0,3,0.8112811840820311,True,REGULAR,USD,LHX,1,2025-05-16,2025-04-23 13:04:37.269510,216.72999572753906
LHX250516C00185000,2025-04-04 19:23:14+00:00,185.0,23.8,31.1,34.0,0.0,0.0,1.0,2,0.586918193359375,True,REGULAR,USD,LHX,1,2025-05-16,2025-04-23 13:04:37.269510,216.72999572753906
LHX250516C00190000,2025-01-28 15:35:57+00:00,190.0,33.5,19.5,21.6,0.0,0.0,100.0,110,1.0000000000000003e-05,True,REGULAR,USD,LHX,1,2025-05-16,2025-04-23 13:04:37.269510,216.72999572753906
LHX250516C00195000,2025-04-03 18:17:37+00:00,195.0,19.2,22.0,24.1,0.0,0.0,1.0,14,0.454107021484375,True,REGULAR,USD,LHX,1,2025-05-16,2025-04-23 13:04:37.269510,216.72999572753906
LHX250516C00200000,2025-04-16 19:55:24+00:00,200.0,22.43,17.2,20.2,0.0,0.0,2.0,36,0.4510552941894531,True,REGULAR,USD,LHX,1,2025-05-16,2025-04-23 13:04:37.269510,216.72999572753906
LHX250516C00210000,2025-04-22 17:23:18+00:00,210.0,9.76,9.8,12.3,0.0,0.0,21.0,229,0.3902648864746094,True,REGULAR,USD,LHX,1,2025-05-16,2025-04-23 13:04:37.269510,216.72999572753906
LHX250516C00220000,2025-04-23 15:53:19+00:00,220.0,5.78,4.3,6.1,0.98,20.416666,6.0,852,0.341376215209961,False,REGULAR,USD,LHX,1,2025-05-16,2025-04-23 13:04:37.269510,216.72999572753906
LHX250516C00230000,2025-04-23 16:22:07+00:00,230.0,2.13,1.6,2.0,0.2800001,15.13514,12.0,510,0.29004616210937495,False,REGULAR,USD,LHX,1,2025-05-16,2025-04-23 13:04:37.269510,216.72999572753906
LHX250516C00240000,2025-04-23 16:24:22+00:00,240.0,0.63,0.55,0.7,0.050000012,8.620691,18.0,551,0.2941965112304687,False,REGULAR,USD,LHX,1,2025-05-16,2025-04-23 13:04:37.269510,216.72999572753906
LHX250516C00250000,2025-04-23 16:28:38+00:00,250.0,0.3,0.15,0.35,0.08000001,36.36364,9.0,159,0.32617861328125,False,REGULAR,USD,LHX,1,2025-05-16,2025-04-23 13:04:37.269510,216.72999572753906
LHX250516C00260000,2025-04-10 18:37:14+00:00,260.0,0.3,0.0,0.75,0.0,0.0,1.0,270,0.46094289062500005,False,REGULAR,USD,LHX,1,2025-05-16,2025-04-23 13:04:37.269510,216.72999572753906
LHX250516C00270000,2025-04-21 15:08:00+00:00,270.0,0.14,0.0,0.2,0.0,0.0,9.0,846,0.42090422851562503,False,REGULAR,USD,LHX,1,2025-05-16,2025-04-23 13:04:37.269510,216.72999572753906
LHX250516C00280000,2025-03-21 18:22:21+00:00,280.0,0.42,0.0,0.0,0.0,0.0,1.0,0,0.2500075,False,REGULAR,USD,LHX,1,2025-05-16,2025-04-23 13:04:37.269510,216.72999572753906
LHX250516C00290000,2025-01-30 17:27:16+00:00,290.0,0.41,0.0,1.4,0.0,0.0,1.0,36,0.6538120556640626,False,REGULAR,USD,LHX,1,2025-05-16,2025-04-23 13:04:37.269510,216.72999572753906
LHX250516C00300000,2025-03-19 13:30:02+00:00,300.0,0.24,0.0,1.1,0.0,0.0,1.0,81,0.6826203613281252,False,REGULAR,USD,LHX,1,2025-05-16,2025-04-23 13:04:37.269510,216.72999572753906
