contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
LII250516C00420000,2025-04-07 13:32:59+00:00,420.0,104.0,90.0,97.8,0.0,0.0,,1,0.5363815893554689,True,REGULAR,USD,LII,1,2025-05-16,2025-04-23 13:04:46.803235,515.905029296875
LII250516C00430000,2025-04-07 13:32:59+00:00,430.0,96.0,82.0,90.4,0.0,0.0,,2,0.6123695989990237,True,REGULAR,USD,LII,1,2025-05-16,2025-04-23 13:04:46.803235,515.905029296875
LII250516C00440000,2025-04-08 19:38:01+00:00,440.0,82.0,72.0,79.4,0.0,0.0,,2,0.5152026019287108,True,REGULAR,USD,LII,1,2025-05-16,2025-04-23 13:04:46.803235,515.905029296875
LII250516C00530000,2025-04-07 14:42:37+00:00,530.0,36.1,8.9,14.3,0.0,0.0,1.0,2,0.38492436370849603,False,REGULAR,USD,LII,1,2025-05-16,2025-04-23 13:04:46.803235,515.905029296875
LII250516C00540000,2025-04-04 19:54:40+00:00,540.0,36.5,5.5,10.5,0.0,0.0,3.0,3,0.3763184927368164,False,REGULAR,USD,LII,1,2025-05-16,2025-04-23 13:04:46.803235,515.905029296875
LII250516C00550000,2025-04-23 15:23:29+00:00,550.0,10.0,3.0,8.3,-21.08,-67.82497,3.0,40,0.3874878146362304,False,REGULAR,USD,LII,1,2025-05-16,2025-04-23 13:04:46.803235,515.905029296875
LII250516C00560000,2025-04-23 15:20:27+00:00,560.0,10.5,1.55,8.0,-13.5,-56.25,2.0,46,0.4335688967895508,False,REGULAR,USD,LII,1,2025-05-16,2025-04-23 13:04:46.803235,515.905029296875
LII250516C00570000,2025-04-22 14:35:31+00:00,570.0,20.16,0.7,4.7,0.0,0.0,1.0,13,0.3947204083251954,False,REGULAR,USD,LII,1,2025-05-16,2025-04-23 13:04:46.803235,515.905029296875
LII250516C00580000,2025-04-21 18:04:16+00:00,580.0,12.2,0.15,6.2,0.0,0.0,1.0,51,0.48163360168457037,False,REGULAR,USD,LII,1,2025-05-16,2025-04-23 13:04:46.803235,515.905029296875
LII250516C00590000,2025-04-16 18:24:18+00:00,590.0,12.1,0.1,4.4,0.0,0.0,2.0,3,0.4687553125,False,REGULAR,USD,LII,1,2025-05-16,2025-04-23 13:04:46.803235,515.905029296875
LII250516C00600000,2025-04-22 17:25:11+00:00,600.0,6.7,0.0,3.1,0.0,0.0,20.0,33,0.4594780615234375,False,REGULAR,USD,LII,1,2025-05-16,2025-04-23 13:04:46.803235,515.905029296875
