contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
LIN250516C00280000,2025-04-17 15:01:56+00:00,280.0,171.55,166.4,170.4,0.0,0.0,1.0,1,0.8188494677734374,True,REGULAR,USD,LIN,1,2025-05-16,2025-04-23 13:04:49.214305,448.07501220703125
LIN250516C00300000,2025-03-24 17:44:27+00:00,300.0,160.7,146.5,150.9,0.0,0.0,,1,0.7824728784179689,True,REGULAR,USD,LIN,1,2025-05-16,2025-04-23 13:04:49.214305,448.07501220703125
LIN250516C00335000,2025-03-24 18:04:36+00:00,335.0,125.8,111.0,114.4,0.0,0.0,,3,0.6792024267578126,True,REGULAR,USD,LIN,1,2025-05-16,2025-04-23 13:04:49.214305,448.07501220703125
LIN250516C00350000,2025-04-04 19:45:15+00:00,350.0,96.2,97.0,101.2,0.0,0.0,1.0,1,0.5637250659179689,True,REGULAR,USD,LIN,1,2025-05-16,2025-04-23 13:04:49.214305,448.07501220703125
LIN250516C00370000,2025-02-21 19:37:00+00:00,370.0,92.47,0.0,0.0,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD,LIN,1,2025-05-16,2025-04-23 13:04:49.214305,448.07501220703125
LIN250516C00380000,2025-04-09 19:18:38+00:00,380.0,66.8,67.5,70.8,0.0,0.0,,2,0.5128222546386718,True,REGULAR,USD,LIN,1,2025-05-16,2025-04-23 13:04:49.214305,448.07501220703125
LIN250516C00385000,2025-04-09 19:18:38+00:00,385.0,62.2,62.2,66.3,0.0,0.0,,3,0.5063525927734375,True,REGULAR,USD,LIN,1,2025-05-16,2025-04-23 13:04:49.214305,448.07501220703125
LIN250516C00390000,2025-04-09 19:18:38+00:00,390.0,57.7,57.4,61.1,0.0,0.0,,2,0.46582565429687506,True,REGULAR,USD,LIN,1,2025-05-16,2025-04-23 13:04:49.214305,448.07501220703125
LIN250516C00400000,2025-04-09 17:25:26+00:00,400.0,50.0,48.3,51.6,0.0,0.0,,1,0.42407802490234375,True,REGULAR,USD,LIN,1,2025-05-16,2025-04-23 13:04:49.214305,448.07501220703125
LIN250516C00405000,2025-04-17 16:56:02+00:00,405.0,52.6,43.5,48.0,0.0,0.0,2.0,2,0.44214425048828127,True,REGULAR,USD,LIN,1,2025-05-16,2025-04-23 13:04:49.214305,448.07501220703125
LIN250516C00410000,2025-04-09 19:18:38+00:00,410.0,40.3,38.5,42.8,0.0,0.0,,1,0.4008848974609375,True,REGULAR,USD,LIN,1,2025-05-16,2025-04-23 13:04:49.214305,448.07501220703125
LIN250516C00415000,2025-04-09 19:18:38+00:00,415.0,36.2,34.9,38.3,0.0,0.0,,1,0.3817810845947265,True,REGULAR,USD,LIN,1,2025-05-16,2025-04-23 13:04:49.214305,448.07501220703125
LIN250516C00420000,2025-04-11 14:25:40+00:00,420.0,29.0,30.4,34.1,0.0,0.0,,8,0.3689943472290039,True,REGULAR,USD,LIN,1,2025-05-16,2025-04-23 13:04:49.214305,448.07501220703125
LIN250516C00425000,2025-04-09 18:59:01+00:00,425.0,27.6,25.7,30.5,0.0,0.0,,7,0.3685976226806641,True,REGULAR,USD,LIN,1,2025-05-16,2025-04-23 13:04:49.214305,448.07501220703125
LIN250516C00430000,2025-04-23 15:49:04+00:00,430.0,25.0,22.7,25.9,-3.1000004,-11.032029,10.0,18,0.33814138427734375,True,REGULAR,USD,LIN,1,2025-05-16,2025-04-23 13:04:49.214305,448.07501220703125
LIN250516C00435000,2025-04-22 16:43:13+00:00,435.0,24.8,18.6,21.8,0.0,0.0,1.0,17,0.3171760177612304,True,REGULAR,USD,LIN,1,2025-05-16,2025-04-23 13:04:49.214305,448.07501220703125
LIN250516C00440000,2025-04-17 19:16:46+00:00,440.0,21.4,15.0,18.4,0.0,0.0,1.0,7,0.30811238769531246,True,REGULAR,USD,LIN,1,2025-05-16,2025-04-23 13:04:49.214305,448.07501220703125
LIN250516C00445000,2025-04-21 17:56:07+00:00,445.0,12.7,11.6,14.9,0.0,0.0,2.0,20,0.29132788757324213,True,REGULAR,USD,LIN,1,2025-05-16,2025-04-23 13:04:49.214305,448.07501220703125
LIN250516C00450000,2025-04-21 18:52:47+00:00,450.0,9.8,9.1,11.4,0.0,0.0,10.0,18,0.2686230364990234,False,REGULAR,USD,LIN,1,2025-05-16,2025-04-23 13:04:49.214305,448.07501220703125
LIN250516C00455000,2025-04-23 15:46:40+00:00,455.0,9.67,7.1,9.2,-1.7299995,-15.175435,6.0,322,0.26749389739990237,False,REGULAR,USD,LIN,1,2025-05-16,2025-04-23 13:04:49.214305,448.07501220703125
LIN250516C00460000,2025-04-23 15:01:45+00:00,460.0,9.1,6.4,7.2,2.9000006,46.774204,1.0,54,0.26380130737304686,False,REGULAR,USD,LIN,1,2025-05-16,2025-04-23 13:04:49.214305,448.07501220703125
LIN250516C00465000,2025-04-23 15:46:42+00:00,465.0,5.0,4.7,5.4,-1.5,-20.833334,18.0,199,0.25727061096191406,False,REGULAR,USD,LIN,1,2025-05-16,2025-04-23 13:04:49.214305,448.07501220703125
LIN250516C00470000,2025-04-22 19:48:14+00:00,470.0,5.62,3.1,3.8,0.0,0.0,37.0,158,0.2474440490722656,False,REGULAR,USD,LIN,1,2025-05-16,2025-04-23 13:04:49.214305,448.07501220703125
LIN250516C00475000,2025-04-22 17:48:11+00:00,475.0,2.45,2.2,2.7,-0.75,-23.4375,117.0,91,0.2430495617675781,False,REGULAR,USD,LIN,1,2025-05-16,2025-04-23 13:04:49.214305,448.07501220703125
LIN250516C00480000,2025-04-23 15:03:27+00:00,480.0,2.2,1.2,2.4,-0.29999995,-11.999998,97.0,164,0.2592237164306641,False,REGULAR,USD,LIN,1,2025-05-16,2025-04-23 13:04:49.214305,448.07501220703125
LIN250516C00485000,2025-04-22 14:53:26+00:00,485.0,2.95,0.75,1.95,0.0,0.0,2.0,205,0.2667920001220704,False,REGULAR,USD,LIN,1,2025-05-16,2025-04-23 13:04:49.214305,448.07501220703125
LIN250516C00490000,2025-04-22 14:41:01+00:00,490.0,0.9,0.35,1.35,-0.100000024,-10.000002,7.0,89,0.2624585473632813,False,REGULAR,USD,LIN,1,2025-05-16,2025-04-23 13:04:49.214305,448.07501220703125
LIN250516C00495000,2025-04-21 13:46:23+00:00,495.0,0.5,0.0,1.5,0.0,0.0,1.0,61,0.29175512939453113,False,REGULAR,USD,LIN,1,2025-05-16,2025-04-23 13:04:49.214305,448.07501220703125
LIN250516C00500000,2025-04-21 14:45:25+00:00,500.0,0.55,0.0,1.25,0.0,0.0,1.0,532,0.29932341308593746,False,REGULAR,USD,LIN,1,2025-05-16,2025-04-23 13:04:49.214305,448.07501220703125
LIN250516C00505000,2025-04-08 19:45:17+00:00,505.0,1.95,0.0,1.5,0.0,0.0,2.0,8,0.33374689697265625,False,REGULAR,USD,LIN,1,2025-05-16,2025-04-23 13:04:49.214305,448.07501220703125
LIN250516C00510000,2025-04-21 14:47:39+00:00,510.0,0.2,0.0,1.5,0.0,0.0,1.0,56,0.35388829711914055,False,REGULAR,USD,LIN,1,2025-05-16,2025-04-23 13:04:49.214305,448.07501220703125
LIN250516C00515000,2025-04-04 19:58:49+00:00,515.0,0.45,0.0,1.5,0.0,0.0,6.0,8,0.37366348999023435,False,REGULAR,USD,LIN,1,2025-05-16,2025-04-23 13:04:49.214305,448.07501220703125
LIN250516C00520000,2025-03-26 16:07:41+00:00,520.0,0.73,0.0,1.0,0.0,0.0,6.0,10,0.35962554443359374,False,REGULAR,USD,LIN,1,2025-05-16,2025-04-23 13:04:49.214305,448.07501220703125
LIN250516C00525000,2025-03-06 20:28:10+00:00,525.0,2.45,0.05,2.15,0.0,0.0,,2,0.44873598144531246,False,REGULAR,USD,LIN,1,2025-05-16,2025-04-23 13:04:49.214305,448.07501220703125
LIN250516C00530000,2025-03-28 14:47:49+00:00,530.0,0.3,0.0,1.4,0.0,0.0,1.0,2,0.4239559558105469,False,REGULAR,USD,LIN,1,2025-05-16,2025-04-23 13:04:49.214305,448.07501220703125
LIN250516C00535000,2025-03-06 20:48:00+00:00,535.0,1.85,0.0,1.9,0.0,0.0,,1,0.4732718688964844,False,REGULAR,USD,LIN,1,2025-05-16,2025-04-23 13:04:49.214305,448.07501220703125
LIN250516P00285000,2025-04-17 14:51:49+00:00,285.0,0.3,0.0,1.45,0.0,0.0,3.0,3,0.8906260937499999,False,REGULAR,USD,LIN,0,2025-05-16,2025-04-23 13:04:49.215308,448.07501220703125
LIN250516P00290000,2025-04-04 13:34:30+00:00,290.0,0.4,0.0,1.45,0.0,0.0,1.0,1,0.8605970971679688,False,REGULAR,USD,LIN,0,2025-05-16,2025-04-23 13:04:49.215308,448.07501220703125
LIN250516P00300000,2025-04-08 14:50:50+00:00,300.0,0.65,0.0,1.45,0.0,0.0,,14,0.8017597949218749,False,REGULAR,USD,LIN,0,2025-05-16,2025-04-23 13:04:49.215308,448.07501220703125
LIN250516P00305000,2025-04-08 14:50:50+00:00,305.0,0.7,0.0,1.5,0.0,0.0,,21,0.7773459765625,False,REGULAR,USD,LIN,0,2025-05-16,2025-04-23 13:04:49.215308,448.07501220703125
LIN250516P00310000,2025-04-08 14:50:50+00:00,310.0,0.74,0.0,1.5,0.0,0.0,,21,0.7485376708984376,False,REGULAR,USD,LIN,0,2025-05-16,2025-04-23 13:04:49.215308,448.07501220703125
LIN250516P00340000,2025-04-08 14:50:50+00:00,340.0,2.6,0.0,1.5,0.0,0.0,,14,0.5844768115234374,False,REGULAR,USD,LIN,0,2025-05-16,2025-04-23 13:04:49.215308,448.07501220703125
LIN250516P00350000,2025-04-09 13:30:01+00:00,350.0,3.7,0.0,1.5,0.0,0.0,,43,0.532231240234375,False,REGULAR,USD,LIN,0,2025-05-16,2025-04-23 13:04:49.215308,448.07501220703125
LIN250516P00365000,2025-04-17 18:29:52+00:00,365.0,0.73,0.0,1.5,0.0,0.0,1.0,5,0.5241746801757812,False,REGULAR,USD,LIN,0,2025-05-16,2025-04-23 13:04:49.215308,448.07501220703125
LIN250516P00370000,2025-04-09 15:37:05+00:00,370.0,7.9,0.0,1.5,0.0,0.0,,6,0.49622085815429695,False,REGULAR,USD,LIN,0,2025-05-16,2025-04-23 13:04:49.215308,448.07501220703125
LIN250516P00375000,2025-04-21 18:25:24+00:00,375.0,1.0,0.0,1.5,0.0,0.0,2.0,5,0.4683891052246094,False,REGULAR,USD,LIN,0,2025-05-16,2025-04-23 13:04:49.215308,448.07501220703125
LIN250516P00380000,2025-04-16 18:59:37+00:00,380.0,1.26,0.2,1.5,0.0,0.0,1.0,9,0.44067942138671873,False,REGULAR,USD,LIN,0,2025-05-16,2025-04-23 13:04:49.215308,448.07501220703125
