contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
LKQ250516C00030000,2024-12-06 14:30:24+00:00,30.0,10.7,7.5,10.4,0.0,0.0,1.0,2,1.0000000000000003e-05,True,REGULAR,USD,LKQ,1,2025-05-16,2025-04-23 13:04:50.874783,42.349998474121094
LKQ250516C00032500,2025-04-07 16:48:27+00:00,32.5,7.3,9.0,10.0,0.0,0.0,3.0,365,0.6523472265625001,True,REGULAR,USD,LKQ,1,2025-05-16,2025-04-23 13:04:50.874783,42.349998474121094
LKQ250516C00035000,2025-04-09 18:46:05+00:00,35.0,6.6,7.4,8.3,0.0,0.0,3.0,773,0.6953155468750001,True,REGULAR,USD,LKQ,1,2025-05-16,2025-04-23 13:04:50.874783,42.349998474121094
LKQ250516C00037500,2025-04-21 18:42:02+00:00,37.5,4.4,5.1,5.3,0.0,0.0,5.0,3435,0.4931691308593751,True,REGULAR,USD,LKQ,1,2025-05-16,2025-04-23 13:04:50.874783,42.349998474121094
LKQ250516C00040000,2025-04-22 19:42:25+00:00,40.0,3.6,3.0,3.2,0.5,16.129032,1.0,4399,0.42383388671875,True,REGULAR,USD,LKQ,1,2025-05-16,2025-04-23 13:04:50.874783,42.349998474121094
LKQ250516C00042500,2025-04-23 14:59:18+00:00,42.5,1.55,1.5,1.7,-0.00999999,-0.64102507,10.0,2066,0.40869731933593745,False,REGULAR,USD,LKQ,1,2025-05-16,2025-04-23 13:04:50.874783,42.349998474121094
LKQ250516C00045000,2025-04-23 15:32:36+00:00,45.0,0.57,0.55,0.65,-0.030000031,-5.000005,25.0,465,0.36865865722656255,False,REGULAR,USD,LKQ,1,2025-05-16,2025-04-23 13:04:50.874783,42.349998474121094
LKQ250516C00047500,2025-04-23 15:09:06+00:00,47.5,0.25,0.15,0.25,0.2,400.00003,8.0,148,0.37695935546875,False,REGULAR,USD,LKQ,1,2025-05-16,2025-04-23 13:04:50.874783,42.349998474121094
LKQ250516C00050000,2025-03-10 15:26:21+00:00,50.0,0.41,0.1,0.35,0.0,0.0,5.0,259,0.5371140039062501,False,REGULAR,USD,LKQ,1,2025-05-16,2025-04-23 13:04:50.874783,42.349998474121094
LKQ250516C00055000,2025-03-27 18:23:23+00:00,55.0,0.09,0.0,0.75,0.0,0.0,2.0,11,0.75195560546875,False,REGULAR,USD,LKQ,1,2025-05-16,2025-04-23 13:04:50.874783,42.349998474121094
LKQ250516P00025000,2024-12-23 14:54:54+00:00,25.0,0.22,0.0,1.5,0.0,0.0,1.0,0,1.6875015625,False,REGULAR,USD,LKQ,0,2025-05-16,2025-04-23 13:04:50.876789,42.349998474121094
LKQ250516P00027500,2024-12-16 05:12:10+00:00,27.5,0.5,0.1,1.0,0.0,0.0,,1,1.3212924560546875,False,REGULAR,USD,LKQ,0,2025-05-16,2025-04-23 13:04:50.876789,42.349998474121094
LKQ250516P00030000,2025-03-11 15:40:18+00:00,30.0,0.1,0.05,0.75,0.0,0.0,6.0,424,1.015629921875,False,REGULAR,USD,LKQ,0,2025-05-16,2025-04-23 13:04:50.876789,42.349998474121094
LKQ250516P00032500,2025-02-25 15:13:30+00:00,32.5,0.15,0.1,0.2,0.0,0.0,1.0,290,0.6523472265625001,False,REGULAR,USD,LKQ,0,2025-05-16,2025-04-23 13:04:50.876789,42.349998474121094
LKQ250516P00035000,2025-04-22 15:48:45+00:00,35.0,0.25,0.15,0.25,0.0,0.0,15.0,125,0.5361374511718751,False,REGULAR,USD,LKQ,0,2025-05-16,2025-04-23 13:04:50.876789,42.349998474121094
LKQ250516P00037500,2025-04-23 14:56:09+00:00,37.5,0.34,0.35,0.45,-0.109999985,-24.44444,1.0,419,0.4931691308593751,False,REGULAR,USD,LKQ,0,2025-05-16,2025-04-23 13:04:50.876789,42.349998474121094
LKQ250516P00040000,2025-04-23 16:18:35+00:00,40.0,0.88,0.85,0.95,-0.120000005,-12.0,27.0,626,0.45117736328125,False,REGULAR,USD,LKQ,0,2025-05-16,2025-04-23 13:04:50.876789,42.349998474121094
LKQ250516P00042500,2025-04-23 15:14:58+00:00,42.5,1.62,1.75,1.85,-0.43999994,-21.35922,56.0,437,0.40918559570312496,True,REGULAR,USD,LKQ,0,2025-05-16,2025-04-23 13:04:50.876789,42.349998474121094
LKQ250516P00045000,2025-04-04 16:50:21+00:00,45.0,4.4,3.2,3.7,0.0,0.0,3.0,40,0.47412635253906255,True,REGULAR,USD,LKQ,0,2025-05-16,2025-04-23 13:04:50.876789,42.349998474121094
LKQ250516P00047500,2025-03-14 19:59:34+00:00,47.5,6.0,0.0,0.0,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD,LKQ,0,2025-05-16,2025-04-23 13:04:50.876789,42.349998474121094
LKQ250815C00027500,2025-02-14 19:33:28+00:00,27.5,11.8,12.4,16.7,0.0,0.0,1.0,1,0.9008798974609374,True,REGULAR,USD,LKQ,1,2025-08-15,2025-04-23 13:04:50.925917,42.349998474121094
LKQ250815C00030000,2025-02-18 20:40:18+00:00,30.0,10.1,9.1,12.8,0.0,0.0,,2,0.47852083984375,True,REGULAR,USD,LKQ,1,2025-08-15,2025-04-23 13:04:50.925917,42.349998474121094
LKQ250815C00032500,2025-02-03 15:41:00+00:00,32.5,5.7,8.9,12.0,0.0,0.0,,4,0.6992217578125001,True,REGULAR,USD,LKQ,1,2025-08-15,2025-04-23 13:04:50.925917,42.349998474121094
LKQ250815C00035000,2025-04-09 13:42:08+00:00,35.0,6.1,7.8,8.4,0.0,0.0,2.0,33,0.4165097412109374,True,REGULAR,USD,LKQ,1,2025-08-15,2025-04-23 13:04:50.925917,42.349998474121094
LKQ250815C00037500,2025-04-11 15:38:36+00:00,37.5,5.8,6.1,6.4,0.0,0.0,16.0,571,0.3864807446289062,True,REGULAR,USD,LKQ,1,2025-08-15,2025-04-23 13:04:50.925917,42.349998474121094
LKQ250815C00040000,2025-04-15 14:36:23+00:00,40.0,4.61,4.4,4.6,0.0,0.0,2.0,675,0.35767243896484374,True,REGULAR,USD,LKQ,1,2025-08-15,2025-04-23 13:04:50.925917,42.349998474121094
LKQ250815C00042500,2025-04-23 14:07:35+00:00,42.5,3.2,2.9,3.1,0.10000014,3.2258112,7.0,2453,0.33447931152343746,False,REGULAR,USD,LKQ,1,2025-08-15,2025-04-23 13:04:50.925917,42.349998474121094
LKQ250815C00045000,2025-04-22 18:26:53+00:00,45.0,1.8,1.8,2.0,0.0,0.0,2.0,835,0.3225165405273437,False,REGULAR,USD,LKQ,1,2025-08-15,2025-04-23 13:04:50.925917,42.349998474121094
LKQ250815C00047500,2025-04-22 18:27:21+00:00,47.5,1.05,1.0,1.2,0.0,0.0,33.0,283,0.3110420458984374,False,REGULAR,USD,LKQ,1,2025-08-15,2025-04-23 13:04:50.925917,42.349998474121094
LKQ250815C00050000,2025-04-23 15:50:21+00:00,50.0,0.65,0.55,0.7,0.14999998,29.999996,1.0,368,0.3061592822265625,False,REGULAR,USD,LKQ,1,2025-08-15,2025-04-23 13:04:50.925917,42.349998474121094
LKQ250815C00055000,2025-04-11 13:49:56+00:00,55.0,0.4,0.0,0.25,0.0,0.0,,2,0.31153032226562494,False,REGULAR,USD,LKQ,1,2025-08-15,2025-04-23 13:04:50.925917,42.349998474121094
LKQ250815P00020000,2025-04-04 17:32:16+00:00,20.0,0.15,0.0,0.75,0.0,0.0,44.0,0,0.870118486328125,False,REGULAR,USD,LKQ,0,2025-08-15,2025-04-23 13:04:50.926920,42.349998474121094
LKQ250815P00025000,2025-02-03 16:42:06+00:00,25.0,0.43,0.0,0.45,0.0,0.0,,5,0.57617611328125,False,REGULAR,USD,LKQ,0,2025-08-15,2025-04-23 13:04:50.926920,42.349998474121094
LKQ250815P00027500,2025-04-03 14:28:10+00:00,27.5,0.25,0.0,0.75,0.0,0.0,1.0,11,0.5468795312500001,False,REGULAR,USD,LKQ,0,2025-08-15,2025-04-23 13:04:50.926920,42.349998474121094
LKQ250815P00030000,2025-04-08 19:50:39+00:00,30.0,1.07,0.3,0.4,0.0,0.0,164.0,75,0.4643608251953125,False,REGULAR,USD,LKQ,0,2025-08-15,2025-04-23 13:04:50.926920,42.349998474121094
LKQ250815P00032500,2025-04-17 17:29:15+00:00,32.5,0.6,0.45,0.55,0.0,0.0,1.0,22,0.415044912109375,False,REGULAR,USD,LKQ,0,2025-08-15,2025-04-23 13:04:50.926920,42.349998474121094
LKQ250815P00035000,2025-04-10 16:15:22+00:00,35.0,1.6,0.75,0.85,0.0,0.0,3.0,37,0.3833069482421875,False,REGULAR,USD,LKQ,0,2025-08-15,2025-04-23 13:04:50.926920,42.349998474121094
