contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
LLY250425C00480000,2025-04-07 15:06:57+00:00,480.0,242.05,336.45,343.8,0.0,0.0,,4,1.0000000000000003e-05,True,REGULAR,USD,LLY,1,2025-04-25,2025-04-23 13:04:47.582624,825.5399780273438
LLY250425C00490000,2025-04-17 14:17:28+00:00,490.0,346.9,327.35,333.85,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD,LLY,1,2025-04-25,2025-04-23 13:04:47.582624,825.5399780273438
LLY250425C00495000,2025-04-11 15:00:03+00:00,495.0,228.9,322.15,328.85,0.0,0.0,,3,1.0000000000000003e-05,True,REGULAR,USD,LLY,1,2025-04-25,2025-04-23 13:04:47.582624,825.5399780273438
LLY250425C00500000,2025-04-17 19:25:10+00:00,500.0,348.23,317.45,323.85,0.0,0.0,1.0,3,1.0000000000000003e-05,True,REGULAR,USD,LLY,1,2025-04-25,2025-04-23 13:04:47.582624,825.5399780273438
LLY250425C00507500,2025-04-14 13:35:52+00:00,507.5,230.55,309.4,315.75,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD,LLY,1,2025-04-25,2025-04-23 13:04:47.582624,825.5399780273438
LLY250425C00515000,2025-04-16 14:14:38+00:00,515.0,306.73,302.45,308.85,86.67001,39.38472,1.0,2,1.0000000000000003e-05,True,REGULAR,USD,LLY,1,2025-04-25,2025-04-23 13:04:47.582624,825.5399780273438
LLY250425C00520000,2025-04-22 15:52:17+00:00,520.0,301.85,297.1,303.85,0.0,0.0,5.0,6,1.0000000000000003e-05,True,REGULAR,USD,LLY,1,2025-04-25,2025-04-23 13:04:47.582624,825.5399780273438
LLY250425C00525000,2025-04-16 15:28:39+00:00,525.0,221.97,292.15,299.7,0.0,0.0,2.0,2,1.0000000000000003e-05,True,REGULAR,USD,LLY,1,2025-04-25,2025-04-23 13:04:47.582624,825.5399780273438
LLY250425C00535000,2025-04-22 17:46:20+00:00,535.0,284.05,282.45,288.25,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,LLY,1,2025-04-25,2025-04-23 13:04:47.582624,825.5399780273438
LLY250425C00540000,2025-04-22 19:55:59+00:00,540.0,286.24,276.85,283.8,0.0,0.0,2.0,2,1.0000000000000003e-05,True,REGULAR,USD,LLY,1,2025-04-25,2025-04-23 13:04:47.582624,825.5399780273438
LLY250425C00620000,2025-04-17 14:17:28+00:00,620.0,217.15,198.65,203.9,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD,LLY,1,2025-04-25,2025-04-23 13:04:47.582624,825.5399780273438
LLY250425C00625000,2025-04-17 13:42:44+00:00,625.0,225.48,191.6,197.55,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD,LLY,1,2025-04-25,2025-04-23 13:04:47.582624,825.5399780273438
LLY250425C00635000,2025-04-16 13:48:38+00:00,635.0,106.0,182.4,187.55,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD,LLY,1,2025-04-25,2025-04-23 13:04:47.582624,825.5399780273438
LLY250425C00645000,2025-04-07 13:35:26+00:00,645.0,71.6,172.25,179.5,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD,LLY,1,2025-04-25,2025-04-23 13:04:47.582624,825.5399780273438
LLY250425C00650000,2025-04-17 13:52:42+00:00,650.0,202.78,167.4,173.9,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,LLY,1,2025-04-25,2025-04-23 13:04:47.582624,825.5399780273438
LLY250425C00652500,2025-04-11 18:07:04+00:00,652.5,84.1,164.4,170.8,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD,LLY,1,2025-04-25,2025-04-23 13:04:47.582624,825.5399780273438
LLY250425C00660000,2025-04-09 18:25:51+00:00,660.0,95.66,157.1,163.3,0.0,0.0,,4,1.0000000000000003e-05,True,REGULAR,USD,LLY,1,2025-04-25,2025-04-23 13:04:47.582624,825.5399780273438
LLY250425C00665000,2025-04-15 15:36:53+00:00,665.0,95.31,151.8,159.45,0.0,0.0,1.0,2,1.0000000000000003e-05,True,REGULAR,USD,LLY,1,2025-04-25,2025-04-23 13:04:47.582624,825.5399780273438
LLY250425C00670000,2025-04-21 15:45:18+00:00,670.0,151.78,148.75,154.35,0.0,0.0,10.0,10,1.0000000000000003e-05,True,REGULAR,USD,LLY,1,2025-04-25,2025-04-23 13:04:47.582624,825.5399780273438
LLY250425C00672500,2025-04-16 16:09:43+00:00,672.5,74.1,144.8,151.4,0.0,0.0,2.0,1,1.0000000000000003e-05,True,REGULAR,USD,LLY,1,2025-04-25,2025-04-23 13:04:47.582624,825.5399780273438
LLY250425C00675000,2025-04-17 13:52:13+00:00,675.0,178.4,142.05,148.3,0.0,0.0,1.0,2,1.0000000000000003e-05,True,REGULAR,USD,LLY,1,2025-04-25,2025-04-23 13:04:47.582624,825.5399780273438
LLY250425C00680000,2025-04-23 13:33:42+00:00,680.0,161.42,136.9,143.95,4.069992,2.5865853,1.0,8,1.0000000000000003e-05,True,REGULAR,USD,LLY,1,2025-04-25,2025-04-23 13:04:47.582624,825.5399780273438
LLY250425C00685000,2025-04-07 18:55:56+00:00,685.0,61.67,132.05,138.95,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD,LLY,1,2025-04-25,2025-04-23 13:04:47.582624,825.5399780273438
LLY250425C00687500,2025-04-16 16:07:45+00:00,687.5,60.3,129.55,136.45,0.0,0.0,2.0,1,1.0000000000000003e-05,True,REGULAR,USD,LLY,1,2025-04-25,2025-04-23 13:04:47.582624,825.5399780273438
LLY250425C00690000,2025-04-17 14:33:26+00:00,690.0,138.0,127.2,133.35,0.0,0.0,2.0,9,1.0000000000000003e-05,True,REGULAR,USD,LLY,1,2025-04-25,2025-04-23 13:04:47.582624,825.5399780273438
LLY250425C00692500,2025-04-17 16:56:46+00:00,692.5,163.53,125.8,131.4,0.0,0.0,20.0,20,1.0000000000000003e-05,True,REGULAR,USD,LLY,1,2025-04-25,2025-04-23 13:04:47.582624,825.5399780273438
LLY250425C00695000,2025-04-17 16:56:46+00:00,695.0,161.08,123.7,128.95,0.0,0.0,21.0,36,1.0000000000000003e-05,True,REGULAR,USD,LLY,1,2025-04-25,2025-04-23 13:04:47.582624,825.5399780273438
LLY250425C00697500,2025-04-21 13:40:19+00:00,697.5,133.95,119.8,125.85,0.0,0.0,1.0,3,1.0000000000000003e-05,True,REGULAR,USD,LLY,1,2025-04-25,2025-04-23 13:04:47.582624,825.5399780273438
LLY250425C00700000,2025-04-21 18:47:37+00:00,700.0,140.98,116.95,123.95,30.499992,27.6068,1.0,6,1.0000000000000003e-05,True,REGULAR,USD,LLY,1,2025-04-25,2025-04-23 13:04:47.582624,825.5399780273438
LLY250425C00702500,2025-04-16 16:05:39+00:00,702.5,47.75,116.2,121.4,0.0,0.0,2.0,2,1.0000000000000003e-05,True,REGULAR,USD,LLY,1,2025-04-25,2025-04-23 13:04:47.582624,825.5399780273438
LLY250425C00705000,2025-04-14 14:26:59+00:00,705.0,53.05,112.0,118.3,0.0,0.0,1.0,37,1.0000000000000003e-05,True,REGULAR,USD,LLY,1,2025-04-25,2025-04-23 13:04:47.582624,825.5399780273438
LLY250425C00710000,2025-04-17 15:27:49+00:00,710.0,134.57,106.95,113.95,0.0,0.0,4.0,12,1.0000000000000003e-05,True,REGULAR,USD,LLY,1,2025-04-25,2025-04-23 13:04:47.582624,825.5399780273438
LLY250425C00712500,2025-04-21 18:14:46+00:00,712.5,98.26,104.8,111.45,0.0,0.0,2.0,4,1.0000000000000003e-05,True,REGULAR,USD,LLY,1,2025-04-25,2025-04-23 13:04:47.582624,825.5399780273438
LLY250425C00715000,2025-04-16 19:12:35+00:00,715.0,30.75,102.55,108.95,0.0,0.0,3.0,3,1.0000000000000003e-05,True,REGULAR,USD,LLY,1,2025-04-25,2025-04-23 13:04:47.582624,825.5399780273438
LLY250425C00717500,2025-04-21 16:51:10+00:00,717.5,108.22,100.05,105.15,0.0,0.0,2.0,3,1.0000000000000003e-05,True,REGULAR,USD,LLY,1,2025-04-25,2025-04-23 13:04:47.582624,825.5399780273438
LLY250425C00720000,2025-04-23 14:45:03+00:00,720.0,121.65,97.25,103.95,26.150002,27.382202,8.0,44,1.0000000000000003e-05,True,REGULAR,USD,LLY,1,2025-04-25,2025-04-23 13:04:47.582624,825.5399780273438
LLY250425C00722500,2025-04-16 19:12:54+00:00,722.5,26.35,94.8,101.4,0.0,0.0,4.0,7,1.0000000000000003e-05,True,REGULAR,USD,LLY,1,2025-04-25,2025-04-23 13:04:47.582624,825.5399780273438
LLY250425C00725000,2025-04-22 13:51:50+00:00,725.0,105.38,92.5,98.95,0.0,0.0,4.0,59,1.0000000000000003e-05,True,REGULAR,USD,LLY,1,2025-04-25,2025-04-23 13:04:47.582624,825.5399780273438
LLY250425C00727500,2025-04-16 19:12:50+00:00,727.5,23.15,89.5,95.65,0.0,0.0,5.0,41,1.0000000000000003e-05,True,REGULAR,USD,LLY,1,2025-04-25,2025-04-23 13:04:47.582624,825.5399780273438
LLY250425C00730000,2025-04-17 18:50:36+00:00,730.0,125.73,87.35,94.0,0.0,0.0,10.0,47,1.0000000000000003e-05,True,REGULAR,USD,LLY,1,2025-04-25,2025-04-23 13:04:47.582624,825.5399780273438
LLY250425C00732500,2025-04-21 19:10:20+00:00,732.5,79.0,84.85,91.55,0.0,0.0,15.0,13,1.0000000000000003e-05,True,REGULAR,USD,LLY,1,2025-04-25,2025-04-23 13:04:47.582624,825.5399780273438
LLY250425C00735000,2025-04-22 19:54:02+00:00,735.0,91.65,82.0,89.0,0.0,0.0,9.0,70,1.0000000000000003e-05,True,REGULAR,USD,LLY,1,2025-04-25,2025-04-23 13:04:47.582624,825.5399780273438
LLY250425C00737500,2025-04-22 14:42:01+00:00,737.5,82.2,79.9,86.5,0.0,0.0,6.0,36,1.0000000000000003e-05,True,REGULAR,USD,LLY,1,2025-04-25,2025-04-23 13:04:47.582624,825.5399780273438
LLY250425C00740000,2025-04-22 16:25:37+00:00,740.0,81.0,77.7,83.25,0.0,0.0,1.0,92,1.0000000000000003e-05,True,REGULAR,USD,LLY,1,2025-04-25,2025-04-23 13:04:47.582624,825.5399780273438
LLY250425C00742500,2025-04-17 15:13:52+00:00,742.5,104.05,75.35,81.6,0.0,0.0,18.0,38,1.0000000000000003e-05,True,REGULAR,USD,LLY,1,2025-04-25,2025-04-23 13:04:47.582624,825.5399780273438
LLY250425C00745000,2025-04-23 13:34:23+00:00,745.0,100.1,72.65,79.05,-8.590004,-7.903214,1.0,105,1.0000000000000003e-05,True,REGULAR,USD,LLY,1,2025-04-25,2025-04-23 13:04:47.582624,825.5399780273438
LLY250425C00747500,2025-04-21 14:12:44+00:00,747.5,88.0,71.35,76.55,4.919998,5.9220004,1.0,19,1.0000000000000003e-05,True,REGULAR,USD,LLY,1,2025-04-25,2025-04-23 13:04:47.582624,825.5399780273438
LLY250425C00750000,2025-04-22 15:12:03+00:00,750.0,84.85,68.0,74.1,19.150002,29.147644,12.0,89,1.0000000000000003e-05,True,REGULAR,USD,LLY,1,2025-04-25,2025-04-23 13:04:47.582624,825.5399780273438
LLY250425C00752500,2025-04-17 15:14:00+00:00,752.5,94.95,65.35,72.95,0.0,0.0,23.0,47,1.0000000000000003e-05,True,REGULAR,USD,LLY,1,2025-04-25,2025-04-23 13:04:47.582624,825.5399780273438
LLY250425C00755000,2025-04-23 16:28:57+00:00,755.0,66.5,62.75,69.6,-7.8499985,-10.558169,2.0,57,1.0000000000000003e-05,True,REGULAR,USD,LLY,1,2025-04-25,2025-04-23 13:04:47.582624,825.5399780273438
LLY250425C00757500,2025-04-23 13:30:23+00:00,757.5,81.35,60.25,66.75,15.449997,23.444609,2.0,20,1.0000000000000003e-05,True,REGULAR,USD,LLY,1,2025-04-25,2025-04-23 13:04:47.582624,825.5399780273438
LLY250425C00760000,2025-04-23 16:27:55+00:00,760.0,60.35,60.35,63.05,-6.6500015,-9.925375,3.0,144,1.0000000000000003e-05,True,REGULAR,USD,LLY,1,2025-04-25,2025-04-23 13:04:47.582624,825.5399780273438
LLY250425C00762500,2025-04-22 17:59:49+00:00,762.5,55.0,57.1,61.8,0.0,0.0,8.0,20,1.0000000000000003e-05,True,REGULAR,USD,LLY,1,2025-04-25,2025-04-23 13:04:47.582624,825.5399780273438
LLY250425C00765000,2025-04-23 13:45:48+00:00,765.0,61.5,54.3,59.3,7.799999,14.525138,8.0,59,1.0000000000000003e-05,True,REGULAR,USD,LLY,1,2025-04-25,2025-04-23 13:04:47.582624,825.5399780273438
LLY250425C00767500,2025-04-23 13:45:53+00:00,767.5,69.0,51.0,57.25,-5.949997,-7.938622,2.0,3,1.0000000000000003e-05,True,REGULAR,USD,LLY,1,2025-04-25,2025-04-23 13:04:47.582624,825.5399780273438
LLY250425C00770000,2025-04-23 15:29:20+00:00,770.0,55.03,47.8,54.85,0.43999863,0.8060059,3.0,142,1.0000000000000003e-05,True,REGULAR,USD,LLY,1,2025-04-25,2025-04-23 13:04:47.582624,825.5399780273438
LLY250425C00772500,2025-04-22 18:19:59+00:00,772.5,51.8,46.95,53.15,0.0,0.0,20.0,33,0.32959654785156245,True,REGULAR,USD,LLY,1,2025-04-25,2025-04-23 13:04:47.582624,825.5399780273438
LLY250425C00775000,2025-04-23 13:46:18+00:00,775.0,61.55,44.15,49.7,18.099998,41.657074,4.0,66,1.0000000000000003e-05,True,REGULAR,USD,LLY,1,2025-04-25,2025-04-23 13:04:47.582624,825.5399780273438
LLY250425C00777500,2025-04-22 18:52:26+00:00,777.5,49.55,41.0,46.25,0.0,0.0,22.0,20,1.0000000000000003e-05,True,REGULAR,USD,LLY,1,2025-04-25,2025-04-23 13:04:47.582624,825.5399780273438
LLY250425C00780000,2025-04-23 15:02:14+00:00,780.0,56.56,39.05,44.95,8.41,17.466251,3.0,114,1.0000000000000003e-05,True,REGULAR,USD,LLY,1,2025-04-25,2025-04-23 13:04:47.582624,825.5399780273438
LLY250425C00782500,2025-04-22 17:54:03+00:00,782.5,37.75,38.15,42.1,0.0,0.0,2.0,7,1.0000000000000003e-05,True,REGULAR,USD,LLY,1,2025-04-25,2025-04-23 13:04:47.582624,825.5399780273438
LLY250425C00785000,2025-04-22 13:30:54+00:00,785.0,41.72,36.5,38.55,0.0,0.0,1.0,39,1.0000000000000003e-05,True,REGULAR,USD,LLY,1,2025-04-25,2025-04-23 13:04:47.582624,825.5399780273438
LLY250425C00787500,2025-04-22 14:53:46+00:00,787.5,32.6,30.85,37.0,0.0,0.0,2.0,23,1.0000000000000003e-05,True,REGULAR,USD,LLY,1,2025-04-25,2025-04-23 13:04:47.582624,825.5399780273438
LLY250425C00790000,2025-04-23 15:52:25+00:00,790.0,34.12,30.55,34.2,-3.880001,-10.210529,11.0,109,1.0000000000000003e-05,True,REGULAR,USD,LLY,1,2025-04-25,2025-04-23 13:04:47.582624,825.5399780273438
LLY250425C00792500,2025-04-22 14:43:41+00:00,792.5,31.3,30.25,32.5,0.0,0.0,2.0,7,1.0000000000000003e-05,True,REGULAR,USD,LLY,1,2025-04-25,2025-04-23 13:04:47.582624,825.5399780273438
LLY250425C00795000,2025-04-23 13:36:10+00:00,795.0,47.71,26.1,32.25,15.759998,49.32707,5.0,56,0.3654848608398438,True,REGULAR,USD,LLY,1,2025-04-25,2025-04-23 13:04:47.582624,825.5399780273438
LLY250425C00797500,2025-04-22 16:07:33+00:00,797.5,32.5,26.0,28.0,0.0,0.0,2.0,7,1.0000000000000003e-05,True,REGULAR,USD,LLY,1,2025-04-25,2025-04-23 13:04:47.582624,825.5399780273438
LLY250425C00800000,2025-04-23 16:24:39+00:00,800.0,24.24,24.25,25.6,-5.210001,-17.691006,14.0,265,0.15821154296875,True,REGULAR,USD,LLY,1,2025-04-25,2025-04-23 13:04:47.582624,825.5399780273438
LLY250425C00805000,2025-04-22 18:33:58+00:00,805.0,26.78,20.4,22.2,1.4800014,5.8498087,2.0,79,0.27503166381835936,True,REGULAR,USD,LLY,1,2025-04-25,2025-04-23 13:04:47.582624,825.5399780273438
LLY250425C00810000,2025-04-22 19:58:18+00:00,810.0,17.37,17.0,18.55,-6.7299995,-27.925308,4.0,116,0.2923654748535155,True,REGULAR,USD,LLY,1,2025-04-25,2025-04-23 13:04:47.582624,825.5399780273438
LLY250425C00815000,2025-04-23 15:52:58+00:00,815.0,14.65,13.95,15.1,-5.550001,-27.475252,15.0,73,0.298285825805664,True,REGULAR,USD,LLY,1,2025-04-25,2025-04-23 13:04:47.582624,825.5399780273438
LLY250425C00820000,2025-04-23 16:32:15+00:00,820.0,12.4,11.5,12.25,-4.84,-28.074245,54.0,359,0.3096992858886719,True,REGULAR,USD,LLY,1,2025-04-25,2025-04-23 13:04:47.582624,825.5399780273438
LLY250425C00825000,2025-04-23 16:32:34+00:00,825.0,9.24,8.9,9.65,-5.01,-35.157898,256.0,231,0.31415480773925775,True,REGULAR,USD,LLY,1,2025-04-25,2025-04-23 13:04:47.582624,825.5399780273438
LLY250425C00830000,2025-04-23 16:33:43+00:00,830.0,7.0,6.9,7.45,-4.75,-40.425533,181.0,338,0.3177558459472656,False,REGULAR,USD,LLY,1,2025-04-25,2025-04-23 13:04:47.582624,825.5399780273438
LLY250425C00835000,2025-04-23 16:30:30+00:00,835.0,5.3,5.15,5.6,-3.3499994,-38.728317,279.0,198,0.31958688232421867,False,REGULAR,USD,LLY,1,2025-04-25,2025-04-23 13:04:47.582624,825.5399780273438
LLY250425C00840000,2025-04-23 16:31:30+00:00,840.0,4.22,3.85,4.25,-2.88,-40.56338,217.0,321,0.3265448205566406,False,REGULAR,USD,LLY,1,2025-04-25,2025-04-23 13:04:47.582624,825.5399780273438
LLY250425C00845000,2025-04-23 15:57:50+00:00,845.0,3.05,2.84,3.15,-2.7,-46.95652,278.0,1087,0.3314275842285156,False,REGULAR,USD,LLY,1,2025-04-25,2025-04-23 13:04:47.582624,825.5399780273438
LLY250425C00850000,2025-04-23 16:24:10+00:00,850.0,2.0,2.07,2.32,-2.0,-50.0,933.0,1646,0.33704276245117193,False,REGULAR,USD,LLY,1,2025-04-25,2025-04-23 13:04:47.582624,825.5399780273438
LLY250425C00855000,2025-04-23 16:20:04+00:00,855.0,1.45,1.49,1.69,-1.6499999,-53.225803,368.0,256,0.3425358715820312,False,REGULAR,USD,LLY,1,2025-04-25,2025-04-23 13:04:47.582624,825.5399780273438
LLY250425C00860000,2025-04-23 16:31:41+00:00,860.0,1.25,1.09,1.24,-0.9000001,-41.860466,625.0,658,0.3494938098144531,False,REGULAR,USD,LLY,1,2025-04-25,2025-04-23 13:04:47.582624,825.5399780273438
LLY250425C00865000,2025-04-23 16:16:33+00:00,865.0,0.92,0.79,0.95,-0.66,-41.772152,169.0,202,0.36048002807617185,False,REGULAR,USD,LLY,1,2025-04-25,2025-04-23 13:04:47.582624,825.5399780273438
LLY250425C00870000,2025-04-23 16:21:10+00:00,870.0,0.57,0.62,0.78,-0.71999997,-55.813953,299.0,448,0.3765931481933594,False,REGULAR,USD,LLY,1,2025-04-25,2025-04-23 13:04:47.582624,825.5399780273438
LLY250425C00875000,2025-04-23 16:29:14+00:00,875.0,0.4,0.4,0.72,-0.49999997,-55.555553,254.0,453,0.401373173828125,False,REGULAR,USD,LLY,1,2025-04-25,2025-04-23 13:04:47.582624,825.5399780273438
LLY250425C00880000,2025-04-23 16:33:38+00:00,880.0,0.4,0.33,0.49,-0.32000002,-44.444447,2311.0,712,0.40064075927734377,False,REGULAR,USD,LLY,1,2025-04-25,2025-04-23 13:04:47.582624,825.5399780273438
LLY250425C00885000,2025-04-23 16:13:13+00:00,885.0,0.3,0.25,0.67,-0.19999999,-39.999996,143.0,1050,0.45532771240234376,False,REGULAR,USD,LLY,1,2025-04-25,2025-04-23 13:04:47.582624,825.5399780273438
LLY250425C00890000,2025-04-23 15:24:31+00:00,890.0,0.35,0.2,0.48,0.03999999,12.903223,41.0,91,0.4555718505859375,False,REGULAR,USD,LLY,1,2025-04-25,2025-04-23 13:04:47.582624,825.5399780273438
LLY250425C00895000,2025-04-23 13:48:55+00:00,895.0,0.3,0.01,0.6,-0.049999982,-14.285709,62.0,198,0.5029346582031251,False,REGULAR,USD,LLY,1,2025-04-25,2025-04-23 13:04:47.582624,825.5399780273438
LLY250425C00900000,2025-04-23 16:30:47+00:00,900.0,0.11,0.11,0.41,-0.21,-65.625,197.0,1172,0.49658706542968756,False,REGULAR,USD,LLY,1,2025-04-25,2025-04-23 13:04:47.582624,825.5399780273438
LLY250425C00905000,2025-04-23 13:39:51+00:00,905.0,0.3,0.02,0.25,0.09000002,42.857155,4.0,153,0.48438015625,False,REGULAR,USD,LLY,1,2025-04-25,2025-04-23 13:04:47.582624,825.5399780273438
LLY250425C00910000,2025-04-23 14:27:37+00:00,910.0,0.12,0.11,0.43,-0.030000009,-20.000006,139.0,511,0.514653291015625,False,REGULAR,USD,LLY,1,2025-04-25,2025-04-23 13:04:47.582624,825.5399780273438
LLY250425C00915000,2025-04-22 15:09:06+00:00,915.0,0.43,0.03,1.0,0.28,186.66666,10.0,139,0.5961954443359375,False,REGULAR,USD,LLY,1,2025-04-25,2025-04-23 13:04:47.582624,825.5399780273438
LLY250425C00920000,2025-04-23 14:56:30+00:00,920.0,0.2,0.05,0.51,0.0,0.0,110.0,530,0.5659223095703125,False,REGULAR,USD,LLY,1,2025-04-25,2025-04-23 13:04:47.582624,825.5399780273438
LLY250425C00925000,2025-04-23 15:53:27+00:00,925.0,0.15,0.05,0.16,-0.00999999,-6.2499943,14.0,631,0.5185595019531251,False,REGULAR,USD,LLY,1,2025-04-25,2025-04-23 13:04:47.582624,825.5399780273438
LLY250425C00930000,2025-04-23 16:32:03+00:00,930.0,0.14,0.01,0.26,0.0,0.0,6.0,691,0.5566450585937501,False,REGULAR,USD,LLY,1,2025-04-25,2025-04-23 13:04:47.582624,825.5399780273438
LLY250425C00935000,2025-04-22 19:07:51+00:00,935.0,0.32,0.0,2.78,0.0,0.0,53.0,223,0.8352067260742186,False,REGULAR,USD,LLY,1,2025-04-25,2025-04-23 13:04:47.582624,825.5399780273438
LLY250425C00940000,2025-04-23 14:07:15+00:00,940.0,0.01,0.0,0.6,-0.09,-90.0,3.0,95,0.6665072412109377,False,REGULAR,USD,LLY,1,2025-04-25,2025-04-23 13:04:47.582624,825.5399780273438
LLY250425C00945000,2025-04-22 18:19:35+00:00,945.0,0.08,0.0,2.57,0.0,0.0,14.0,28,0.8771984936523438,False,REGULAR,USD,LLY,1,2025-04-25,2025-04-23 13:04:47.582624,825.5399780273438
LLY250425C00950000,2025-04-23 14:32:49+00:00,950.0,0.07,0.0,0.23,-0.04,-36.363636,15.0,131,0.629886513671875,False,REGULAR,USD,LLY,1,2025-04-25,2025-04-23 13:04:47.582624,825.5399780273438
