contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
LMT250425C00352500,2025-04-17 13:39:32+00:00,352.5,96.3,102.8,108.4,0.0,0.0,3.0,3.0,1.3779327978515623,1.0,REGULAR,USD,LMT,1,2025-04-25,2025-04-23 13:04:51.378100,460.6099853515625
LMT250425C00375000,2025-03-27 16:58:06+00:00,375.0,67.14,81.2,87.5,0.0,0.0,,1.0,1.556398702392578,1.0,REGULAR,USD,LMT,1,2025-04-25,2025-04-23 13:04:51.378100,460.6099853515625
LMT250425C00380000,2025-04-22 16:22:21+00:00,380.0,84.0,76.5,82.5,0.0,0.0,1.0,4.0,1.476809256591797,1.0,REGULAR,USD,LMT,1,2025-04-25,2025-04-23 13:04:51.378100,460.6099853515625
LMT250425C00390000,2025-04-07 13:33:28+00:00,390.0,39.35,64.6,72.5,0.0,0.0,1.0,1.0,1.3188510620117184,1.0,REGULAR,USD,LMT,1,2025-04-25,2025-04-23 13:04:51.378100,460.6099853515625
LMT250425C00392500,2025-04-17 13:34:57+00:00,392.5,62.4,64.0,70.0,0.0,0.0,2.0,2.0,1.2795446179199215,1.0,REGULAR,USD,LMT,1,2025-04-25,2025-04-23 13:04:51.378100,460.6099853515625
LMT250425C00395000,2025-04-08 13:52:07+00:00,395.0,58.5,59.7,67.4,0.0,0.0,2.0,9.0,1.2236366943359376,1.0,REGULAR,USD,LMT,1,2025-04-25,2025-04-23 13:04:51.378100,460.6099853515625
LMT250425C00400000,2025-04-17 13:34:56+00:00,400.0,57.55,55.2,62.6,0.0,0.0,1.0,3.0,1.1774943469238282,1.0,REGULAR,USD,LMT,1,2025-04-25,2025-04-23 13:04:51.378100,460.6099853515625
LMT250425C00405000,2025-04-22 14:08:20+00:00,405.0,40.0,49.4,57.5,0.0,0.0,1.0,1.0,1.0835006762695314,1.0,REGULAR,USD,LMT,1,2025-04-25,2025-04-23 13:04:51.378100,460.6099853515625
LMT250425C00407500,2025-04-17 13:47:46+00:00,407.5,47.9,47.2,55.0,0.0,0.0,4.0,1.0,1.0441942321777344,1.0,REGULAR,USD,LMT,1,2025-04-25,2025-04-23 13:04:51.378100,460.6099853515625
LMT250425C00410000,2025-04-07 14:12:01+00:00,410.0,52.0,44.2,52.9,19.119999,58.150845,1.0,1.0,1.0603074328613284,1.0,REGULAR,USD,LMT,1,2025-04-25,2025-04-23 13:04:51.378100,460.6099853515625
LMT250425C00415000,2025-04-17 13:47:47+00:00,415.0,41.5,41.2,47.6,0.0,0.0,8.0,14.0,0.9399420068359375,1.0,REGULAR,USD,LMT,1,2025-04-25,2025-04-23 13:04:51.378100,460.6099853515625
LMT250425C00420000,2025-04-22 17:12:26+00:00,420.0,49.6,35.0,43.2,8.759998,21.449554,1.0,6.0,0.9322516540527344,1.0,REGULAR,USD,LMT,1,2025-04-25,2025-04-23 13:04:51.378100,460.6099853515625
LMT250425C00425000,2025-04-15 19:49:07+00:00,425.0,46.47,31.1,38.2,0.0,0.0,1.0,6.0,0.8479019116210937,1.0,REGULAR,USD,LMT,1,2025-04-25,2025-04-23 13:04:51.378100,460.6099853515625
LMT250425C00427500,2025-04-08 13:47:14+00:00,427.5,26.5,29.0,35.6,0.0,0.0,,2.0,0.7949239257812499,1.0,REGULAR,USD,LMT,1,2025-04-25,2025-04-23 13:04:51.378100,460.6099853515625
LMT250425C00430000,2025-04-22 17:12:26+00:00,430.0,39.25,25.6,32.6,8.110001,26.043676,4.0,6.0,0.6987334814453126,1.0,REGULAR,USD,LMT,1,2025-04-25,2025-04-23 13:04:51.378100,460.6099853515625
LMT250425C00432500,2025-04-17 13:58:39+00:00,432.5,29.9,24.4,30.1,0.0,0.0,2.0,4.0,0.6577182666015625,1.0,REGULAR,USD,LMT,1,2025-04-25,2025-04-23 13:04:51.378100,460.6099853515625
LMT250425C00435000,2025-04-22 14:53:15+00:00,435.0,14.6,20.7,27.6,0.0,0.0,2.0,9.0,0.6162147753906251,1.0,REGULAR,USD,LMT,1,2025-04-25,2025-04-23 13:04:51.378100,460.6099853515625
LMT250425C00440000,2025-04-23 14:32:25+00:00,440.0,24.52,17.4,22.7,14.040001,133.96948,4.0,50.0,0.5415084912109377,1.0,REGULAR,USD,LMT,1,2025-04-25,2025-04-23 13:04:51.378100,460.6099853515625
LMT250425C00442500,2025-04-22 15:29:56+00:00,442.5,25.5,17.4,19.8,6.6000004,34.92064,10.0,3.0,0.46045461425781253,1.0,REGULAR,USD,LMT,1,2025-04-25,2025-04-23 13:04:51.378100,460.6099853515625
LMT250425C00445000,2025-04-23 13:48:22+00:00,445.0,19.89,15.1,17.6,6.289999,46.24999,8.0,23.0,0.44482977050781247,1.0,REGULAR,USD,LMT,1,2025-04-25,2025-04-23 13:04:51.378100,460.6099853515625
LMT250425C00447500,2025-04-22 17:36:17+00:00,447.5,12.7,12.8,16.2,0.0,0.0,127.0,49.0,0.4866994689941406,1.0,REGULAR,USD,LMT,1,2025-04-25,2025-04-23 13:04:51.378100,460.6099853515625
LMT250425C00450000,2025-04-23 15:59:13+00:00,450.0,11.0,9.3,13.1,-2.1000004,-16.030537,22.0,135.0,0.39197385375976557,1.0,REGULAR,USD,LMT,1,2025-04-25,2025-04-23 13:04:51.378100,460.6099853515625
LMT250425C00452500,2025-04-23 15:59:13+00:00,452.5,9.88,9.1,11.4,-2.42,-19.674797,14.0,57.0,0.397466962890625,1.0,REGULAR,USD,LMT,1,2025-04-25,2025-04-23 13:04:51.378100,460.6099853515625
LMT250425C00455000,2025-04-23 16:28:12+00:00,455.0,7.2,7.5,8.5,-4.3,-37.391308,7.0,104.0,0.3154365332031249,1.0,REGULAR,USD,LMT,1,2025-04-25,2025-04-23 13:04:51.378100,460.6099853515625
LMT250425C00457500,2025-04-23 15:51:45+00:00,457.5,7.6,5.4,6.6,-2.19,-22.369764,22.0,73.0,0.29444064941406245,1.0,REGULAR,USD,LMT,1,2025-04-25,2025-04-23 13:04:51.378100,460.6099853515625
LMT250425C00460000,2025-04-23 16:19:41+00:00,460.0,4.32,4.4,5.2,-2.48,-36.47059,38.0,135.0,0.2937082348632812,1.0,REGULAR,USD,LMT,1,2025-04-25,2025-04-23 13:04:51.378100,460.6099853515625
LMT250425C00462500,2025-04-23 16:24:49+00:00,462.5,3.0,3.3,3.8,-2.6999998,-47.368416,27.0,69.0,0.28064684204101553,0.0,REGULAR,USD,LMT,1,2025-04-25,2025-04-23 13:04:51.378100,460.6099853515625
LMT250425C00465000,2025-04-23 16:22:23+00:00,465.0,2.28,2.25,2.95,-2.1200001,-48.18182,78.0,95.0,0.2885813330078124,0.0,REGULAR,USD,LMT,1,2025-04-25,2025-04-23 13:04:51.378100,460.6099853515625
LMT250425C00467500,2025-04-23 16:32:01+00:00,467.5,1.6,1.55,2.0,-1.9999999,-55.555553,21.0,130.0,0.27747304565429687,0.0,REGULAR,USD,LMT,1,2025-04-25,2025-04-23 13:04:51.378100,460.6099853515625
LMT250425C00470000,2025-04-23 16:32:46+00:00,470.0,1.09,0.95,1.25,-1.3100001,-59.276016,129.0,275.0,0.26489992919921873,0.0,REGULAR,USD,LMT,1,2025-04-25,2025-04-23 13:04:51.378100,460.6099853515625
LMT250425C00472500,2025-04-23 15:55:06+00:00,472.5,0.85,0.6,0.9,-1.3000001,-60.465115,27.0,142.0,0.27210200561523434,0.0,REGULAR,USD,LMT,1,2025-04-25,2025-04-23 13:04:51.378100,460.6099853515625
LMT250425C00475000,2025-04-23 16:26:46+00:00,475.0,0.4,0.35,0.55,-0.9,-69.230774,105.0,571.0,0.26734131103515624,0.0,REGULAR,USD,LMT,1,2025-04-25,2025-04-23 13:04:51.378100,460.6099853515625
LMT250425C00477500,2025-04-23 16:25:08+00:00,477.5,0.2,0.2,0.35,-0.89000005,-81.65138,15.0,142.0,0.26856200195312496,0.0,REGULAR,USD,LMT,1,2025-04-25,2025-04-23 13:04:51.378100,460.6099853515625
LMT250425C00480000,2025-04-23 16:24:08+00:00,480.0,0.22,0.2,0.25,-0.48,-68.57143,59.0,275.0,0.27735097656249996,0.0,REGULAR,USD,LMT,1,2025-04-25,2025-04-23 13:04:51.378100,460.6099853515625
LMT250425C00482500,2025-04-23 14:44:29+00:00,482.5,0.5,0.1,0.2,-0.13,-20.63492,4.0,58.0,0.2919992675781249,0.0,REGULAR,USD,LMT,1,2025-04-25,2025-04-23 13:04:51.378100,460.6099853515625
LMT250425C00485000,2025-04-23 16:10:02+00:00,485.0,0.15,0.05,0.15,-0.32,-68.085106,47.0,133.0,0.30225307128906254,0.0,REGULAR,USD,LMT,1,2025-04-25,2025-04-23 13:04:51.378100,460.6099853515625
LMT250425C00487500,2025-04-22 17:41:40+00:00,487.5,0.14,0.0,0.5,-0.060000002,-30.0,2.0,67.0,0.41260353027343744,0.0,REGULAR,USD,LMT,1,2025-04-25,2025-04-23 13:04:51.378100,460.6099853515625
LMT250425C00490000,2025-04-23 16:16:17+00:00,490.0,0.1,0.05,0.2,-0.20000002,-66.66667,25.0,197.0,0.36914693359375,0.0,REGULAR,USD,LMT,1,2025-04-25,2025-04-23 13:04:51.378100,460.6099853515625
LMT250425C00492500,2025-04-22 16:26:50+00:00,492.5,0.21,0.0,0.4,0.0,0.0,26.0,21.0,0.44775942871093743,0.0,REGULAR,USD,LMT,1,2025-04-25,2025-04-23 13:04:51.378100,460.6099853515625
LMT250425C00495000,2025-04-23 13:50:08+00:00,495.0,0.25,0.05,0.9,0.13,108.33333,16.0,106.0,0.567387138671875,0.0,REGULAR,USD,LMT,1,2025-04-25,2025-04-23 13:04:51.378100,460.6099853515625
LMT250425C00497500,2025-04-22 19:56:55+00:00,497.5,0.14,0.0,1.5,0.0,0.0,31.0,85.0,0.5717816259765626,0.0,REGULAR,USD,LMT,1,2025-04-25,2025-04-23 13:04:51.378100,460.6099853515625
LMT250425C00500000,2025-04-23 16:27:32+00:00,500.0,0.05,0.05,0.1,-0.09,-64.28571,113.0,487.0,0.418951123046875,0.0,REGULAR,USD,LMT,1,2025-04-25,2025-04-23 13:04:51.378100,460.6099853515625
LMT250425C00502500,2025-04-23 14:17:42+00:00,502.5,0.05,0.0,1.15,0.0,0.0,30.0,45.0,0.5932657861328126,0.0,REGULAR,USD,LMT,1,2025-04-25,2025-04-23 13:04:51.378100,460.6099853515625
LMT250425C00505000,2025-04-23 14:09:53+00:00,505.0,0.02,0.0,0.8,-0.08,-80.00001,3.0,81.0,0.577152666015625,0.0,REGULAR,USD,LMT,1,2025-04-25,2025-04-23 13:04:51.378100,460.6099853515625
LMT250425C00507500,2025-04-22 19:47:58+00:00,507.5,0.05,0.0,4.3,-0.009999998,-16.666662,8.0,60.0,0.8864757446289062,0.0,REGULAR,USD,LMT,1,2025-04-25,2025-04-23 13:04:51.378100,460.6099853515625
LMT250425C00510000,2025-04-23 15:46:33+00:00,510.0,0.05,0.0,1.4,0.0,0.0,114.0,100.0,0.6987334814453126,0.0,REGULAR,USD,LMT,1,2025-04-25,2025-04-23 13:04:51.378100,460.6099853515625
LMT250425C00512500,2025-04-22 15:53:42+00:00,512.5,0.05,0.0,1.0,0.0,0.0,14.0,35.0,0.6782258740234376,0.0,REGULAR,USD,LMT,1,2025-04-25,2025-04-23 13:04:51.378100,460.6099853515625
LMT250425C00515000,2025-04-22 19:16:29+00:00,515.0,0.04,0.0,0.5,0.0,0.0,14.0,94.0,0.6235389208984375,0.0,REGULAR,USD,LMT,1,2025-04-25,2025-04-23 13:04:51.378100,460.6099853515625
LMT250425C00517500,2025-04-17 16:27:30+00:00,517.5,0.52,0.0,1.5,0.0,0.0,1.0,1.0,0.78711150390625,0.0,REGULAR,USD,LMT,1,2025-04-25,2025-04-23 13:04:51.378100,460.6099853515625
LMT250425C00520000,2025-04-23 16:25:11+00:00,520.0,0.05,0.05,0.1,0.0,0.0,232.0,236.0,0.5644574804687501,0.0,REGULAR,USD,LMT,1,2025-04-25,2025-04-23 13:04:51.378100,460.6099853515625
LMT250425C00522500,2025-04-21 19:45:17+00:00,522.5,0.33,0.0,4.3,0.0,0.0,4.0,5.0,1.0678757543945316,0.0,REGULAR,USD,LMT,1,2025-04-25,2025-04-23 13:04:51.378100,460.6099853515625
LMT250425C00525000,2025-04-22 15:11:31+00:00,525.0,0.03,0.0,3.2,0.0,0.0,1.0,16.0,1.0180713159179686,0.0,REGULAR,USD,LMT,1,2025-04-25,2025-04-23 13:04:51.378100,460.6099853515625
LMT250425C00527500,2025-04-21 15:47:16+00:00,527.5,0.14,0.0,4.3,0.0,0.0,1.0,4.0,1.1254926538085939,0.0,REGULAR,USD,LMT,1,2025-04-25,2025-04-23 13:04:51.378100,460.6099853515625
LMT250425C00530000,2025-04-22 19:33:28+00:00,530.0,0.01,0.0,0.05,0.0,0.0,2.0,80.0,0.570316796875,0.0,REGULAR,USD,LMT,1,2025-04-25,2025-04-23 13:04:51.378100,460.6099853515625
LMT250425C00535000,2025-04-21 18:19:39+00:00,535.0,0.2,0.0,4.3,0.0,0.0,1.0,4.0,1.2094766088867184,0.0,REGULAR,USD,LMT,1,2025-04-25,2025-04-23 13:04:51.378100,460.6099853515625
LMT250425C00540000,2025-04-17 18:20:28+00:00,540.0,0.2,0.0,0.05,0.0,0.0,30.0,37.0,0.6367223828125,0.0,REGULAR,USD,LMT,1,2025-04-25,2025-04-23 13:04:51.378100,460.6099853515625
