contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
LNT250516C00062500,2025-04-22 17:41:06+00:00,62.5,0.65,0.55,0.9,0.0,0.0,5.0,2654,0.27686270019531245,False,REGULAR,USD,LNT,1,2025-05-16,2025-04-23 13:00:12.310709,60.435001373291016
LNT250516C00065000,2025-04-21 19:27:52+00:00,65.0,0.15,0.05,0.3,0.0,0.0,3.0,33,0.26270268554687504,False,REGULAR,USD,LNT,1,2025-05-16,2025-04-23 13:00:12.310709,60.435001373291016
LNT250516C00067500,2025-04-21 13:30:06+00:00,67.5,0.77,0.0,0.75,0.0,0.0,1.0,10,0.47046427978515626,False,REGULAR,USD,LNT,1,2025-05-16,2025-04-23 13:00:12.310709,60.435001373291016
LNT250516P00055000,2025-04-17 16:41:07+00:00,55.0,0.35,0.3,0.6,0.0,0.0,1.0,2,0.4067442138671875,False,REGULAR,USD,LNT,0,2025-05-16,2025-04-23 13:00:12.311712,60.435001373291016
LNT250516P00060000,2025-04-22 19:49:58+00:00,60.0,1.37,1.3,1.75,0.0,0.0,10.0,78,0.31836619140624994,False,REGULAR,USD,LNT,0,2025-05-16,2025-04-23 13:00:12.311712,60.435001373291016
LNT250516P00062500,2025-04-16 16:39:15+00:00,62.5,2.6,2.7,3.5,0.0,0.0,7.0,7,0.36963520996093746,True,REGULAR,USD,LNT,0,2025-05-16,2025-04-23 13:00:12.311712,60.435001373291016
LNT250718C00042500,2025-04-22 16:14:10+00:00,42.5,18.4,16.8,20.3,0.0,0.0,,1,0.5532271240234375,True,REGULAR,USD,LNT,1,2025-07-18,2025-04-23 13:00:12.387912,60.435001373291016
LNT250718C00050000,2025-03-13 14:50:56+00:00,50.0,13.0,9.7,13.8,0.0,0.0,1.0,2,0.6980010668945313,True,REGULAR,USD,LNT,1,2025-07-18,2025-04-23 13:00:12.387912,60.435001373291016
LNT250718C00052500,2025-01-16 15:21:24+00:00,52.5,7.7,8.0,12.0,0.0,0.0,,4,0.6734651794433595,True,REGULAR,USD,LNT,1,2025-07-18,2025-04-23 13:00:12.387912,60.435001373291016
LNT250718C00055000,2025-04-16 18:00:47+00:00,55.0,7.46,6.4,8.0,0.0,0.0,1.0,21,0.42810630493164065,True,REGULAR,USD,LNT,1,2025-07-18,2025-04-23 13:00:12.387912,60.435001373291016
LNT250718C00057500,2025-04-21 17:14:16+00:00,57.5,4.2,4.5,5.0,0.0,0.0,3.0,8,0.29004616210937495,True,REGULAR,USD,LNT,1,2025-07-18,2025-04-23 13:00:12.387912,60.435001373291016
LNT250718C00060000,2025-04-21 15:48:44+00:00,60.0,2.7,1.85,3.3,0.0,0.0,1.0,41,0.2624585473632813,True,REGULAR,USD,LNT,1,2025-07-18,2025-04-23 13:00:12.387912,60.435001373291016
LNT250718C00062500,2025-04-21 16:56:16+00:00,62.5,2.1,1.4,1.9,0.39999986,23.529402,5.0,10,0.23511507080078126,False,REGULAR,USD,LNT,1,2025-07-18,2025-04-23 13:00:12.387912,60.435001373291016
LNT250718C00065000,2025-04-09 19:31:42+00:00,65.0,1.45,0.7,1.05,0.0,0.0,6.0,54,0.22534954345703123,False,REGULAR,USD,LNT,1,2025-07-18,2025-04-23 13:00:12.387912,60.435001373291016
LNT250718C00067500,2025-04-22 15:16:22+00:00,67.5,1.0,0.45,0.9,0.0,0.0,1.0,35,0.26489992919921873,False,REGULAR,USD,LNT,1,2025-07-18,2025-04-23 13:00:12.387912,60.435001373291016
LNT250718C00070000,2025-03-21 19:58:57+00:00,70.0,0.85,0.0,0.0,0.0,0.0,40.0,0,0.062509375,False,REGULAR,USD,LNT,1,2025-07-18,2025-04-23 13:00:12.387912,60.435001373291016
LNT250718C00072500,2025-04-21 16:28:05+00:00,72.5,0.1,0.0,0.65,0.0,0.0,2.0,10,0.3242255078124999,False,REGULAR,USD,LNT,1,2025-07-18,2025-04-23 13:00:12.387912,60.435001373291016
LNT250718C00075000,2025-03-10 17:45:01+00:00,75.0,0.6,0.0,2.35,0.0,0.0,,4,0.571415418701172,False,REGULAR,USD,LNT,1,2025-07-18,2025-04-23 13:00:12.387912,60.435001373291016
LNT250718P00030000,2025-01-07 15:02:12+00:00,30.0,0.25,0.0,0.0,0.0,0.0,,1,0.2500075,False,REGULAR,USD,LNT,0,2025-07-18,2025-04-23 13:00:12.388916,60.435001373291016
