contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
LOW250425C00175000,2025-04-22 15:34:51+00:00,175.0,43.9,42.8,45.3,0.0,0.0,5.0,0,1.7861338818359376,True,REGULAR,USD,LOW,1,2025-04-25,2025-04-23 13:04:53.250403,219.11000061035156
LOW250425C00185000,2025-04-22 19:32:21+00:00,185.0,34.4,33.3,35.2,0.0,0.0,31.0,0,0.92773509765625,True,REGULAR,USD,LOW,1,2025-04-25,2025-04-23 13:04:53.250403,219.11000061035156
LOW250425C00197500,2025-04-22 19:31:54+00:00,197.5,21.8,20.05,22.9,0.0,0.0,5.0,0,1.0273486132812502,True,REGULAR,USD,LOW,1,2025-04-25,2025-04-23 13:04:53.250403,219.11000061035156
LOW250425C00200000,2025-04-22 15:34:51+00:00,200.0,18.55,17.5,20.45,0.0,0.0,5.0,0,0.9501958105468749,True,REGULAR,USD,LOW,1,2025-04-25,2025-04-23 13:04:53.250403,219.11000061035156
LOW250425C00205000,2025-04-22 15:34:51+00:00,205.0,13.9,13.0,15.5,0.0,0.0,17.0,0,0.77929908203125,True,REGULAR,USD,LOW,1,2025-04-25,2025-04-23 13:04:53.250403,219.11000061035156
LOW250425C00210000,2025-04-21 18:12:59+00:00,210.0,4.0,9.2,10.15,0.0,0.0,14.0,0,0.5249070947265625,True,REGULAR,USD,LOW,1,2025-04-25,2025-04-23 13:04:53.250403,219.11000061035156
LOW250425C00212500,2025-04-22 17:26:05+00:00,212.5,13.6,6.35,8.6,7.4500003,121.13821,5.0,56,0.5832561206054687,True,REGULAR,USD,LOW,1,2025-04-25,2025-04-23 13:04:53.250403,219.11000061035156
LOW250425C00215000,2025-04-23 14:56:26+00:00,215.0,7.9,5.1,5.8,2.9,58.0,3.0,306,0.4270076831054688,True,REGULAR,USD,LOW,1,2025-04-25,2025-04-23 13:04:53.250403,219.11000061035156
LOW250425C00217500,2025-04-22 19:47:00+00:00,217.5,5.05,3.3,4.15,1.3500001,36.48649,10.0,124,0.4157773266601562,True,REGULAR,USD,LOW,1,2025-04-25,2025-04-23 13:04:53.250403,219.11000061035156
LOW250425C00220000,2025-04-23 15:24:55+00:00,220.0,3.0,2.05,2.57,0.75,33.333332,97.0,164,0.37695935546875,False,REGULAR,USD,LOW,1,2025-04-25,2025-04-23 13:04:53.250403,219.11000061035156
LOW250425C00222500,2025-04-23 16:20:00+00:00,222.5,1.2,0.81,1.48,-0.03999996,-3.2258034,16.0,264,0.358404853515625,False,REGULAR,USD,LOW,1,2025-04-25,2025-04-23 13:04:53.250403,219.11000061035156
LOW250425C00225000,2025-04-23 14:59:06+00:00,225.0,1.2,0.32,0.82,0.59000003,96.72131,49.0,301,0.3544986425781249,False,REGULAR,USD,LOW,1,2025-04-25,2025-04-23 13:04:53.250403,219.11000061035156
LOW250425C00227500,2025-04-23 15:01:27+00:00,227.5,0.64,0.04,0.57,0.26,68.42105,2.0,106,0.38721315917968746,False,REGULAR,USD,LOW,1,2025-04-25,2025-04-23 13:04:53.250403,219.11000061035156
LOW250425C00230000,2025-04-23 15:01:27+00:00,230.0,0.19,0.0,0.2,-0.010000005,-5.0000024,12.0,198,0.35156898437499995,False,REGULAR,USD,LOW,1,2025-04-25,2025-04-23 13:04:53.250403,219.11000061035156
LOW250425C00232500,2025-04-23 13:41:48+00:00,232.5,0.09,0.0,0.17,-0.060000002,-40.0,9.0,87,0.397466962890625,False,REGULAR,USD,LOW,1,2025-04-25,2025-04-23 13:04:53.250403,219.11000061035156
LOW250425C00235000,2025-04-23 14:59:54+00:00,235.0,0.04,0.0,0.13,0.0,0.0,2.0,236,0.43164630859375,False,REGULAR,USD,LOW,1,2025-04-25,2025-04-23 13:04:53.250403,219.11000061035156
LOW250425C00237500,2025-04-21 15:02:48+00:00,237.5,0.03,0.0,0.22,0.0,0.0,15.0,28,0.534184345703125,False,REGULAR,USD,LOW,1,2025-04-25,2025-04-23 13:04:53.250403,219.11000061035156
LOW250425C00240000,2025-04-16 16:25:30+00:00,240.0,0.05,0.0,0.23,0.010000002,25.000004,10.0,34,0.523442265625,False,REGULAR,USD,LOW,1,2025-04-25,2025-04-23 13:04:53.250403,219.11000061035156
LOW250425C00242500,2025-04-14 16:17:04+00:00,242.5,0.22,0.0,0.5,0.0,0.0,10.0,13,0.657229990234375,False,REGULAR,USD,LOW,1,2025-04-25,2025-04-23 13:04:53.250403,219.11000061035156
