contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
LRCX250425C00044000,2025-04-22 17:36:04+00:00,44.0,19.05,22.4,23.15,0.0,0.0,13.0,5.0,1.0000000000000003e-05,True,REGULAR,USD,LRCX,1,2025-04-25,2025-04-23 13:04:38.595573,67.27999877929688
LRCX250425C00045000,2025-03-07 16:23:07+00:00,45.0,32.19,0.0,0.0,0.0,0.0,1.0,1.0,1.0000000000000003e-05,True,REGULAR,USD,LRCX,1,2025-04-25,2025-04-23 13:04:38.595573,67.27999877929688
LRCX250425C00047000,2025-04-15 16:01:19+00:00,47.0,20.59,19.5,20.4,-1.2299995,-5.637028,7.0,7.0,2.0937547656249995,True,REGULAR,USD,LRCX,1,2025-04-25,2025-04-23 13:04:38.595573,67.27999877929688
LRCX250425C00048000,2025-04-15 19:34:21+00:00,48.0,20.56,18.4,19.45,0.0,0.0,1.0,7.0,2.113285966796875,True,REGULAR,USD,LRCX,1,2025-04-25,2025-04-23 13:04:38.595573,67.27999877929688
LRCX250425C00050000,2025-04-22 18:57:39+00:00,50.0,13.64,16.5,17.1,0.0,0.0,5.0,13.0,1.0000000000000003e-05,True,REGULAR,USD,LRCX,1,2025-04-25,2025-04-23 13:04:38.595573,67.27999877929688
LRCX250425C00052000,2025-04-07 17:00:04+00:00,52.0,11.0,14.85,15.1,0.0,0.0,,8.0,1.0000000000000003e-05,True,REGULAR,USD,LRCX,1,2025-04-25,2025-04-23 13:04:38.595573,67.27999877929688
LRCX250425C00053000,2025-04-08 19:55:00+00:00,53.0,9.55,13.75,14.15,0.0,0.0,,2.0,1.0000000000000003e-05,True,REGULAR,USD,LRCX,1,2025-04-25,2025-04-23 13:04:38.595573,67.27999877929688
LRCX250425C00055000,2025-04-23 16:08:39+00:00,55.0,11.95,11.8,12.1,1.6499996,16.019415,10.0,8.0,1.0000000000000003e-05,True,REGULAR,USD,LRCX,1,2025-04-25,2025-04-23 13:04:38.595573,67.27999877929688
LRCX250425C00057000,2025-04-23 14:10:50+00:00,57.0,10.48,9.6,10.2,3.2799997,45.555553,1.0,2.0,1.0000000000000003e-05,True,REGULAR,USD,LRCX,1,2025-04-25,2025-04-23 13:04:38.595573,67.27999877929688
LRCX250425C00058000,2025-04-22 17:08:02+00:00,58.0,6.4,8.5,9.55,0.0,0.0,1.0,47.0,1.201175869140625,True,REGULAR,USD,LRCX,1,2025-04-25,2025-04-23 13:04:38.595573,67.27999877929688
LRCX250425C00059000,2025-04-22 17:26:00+00:00,59.0,8.29,7.5,8.7,3.29,65.8,1.0,78.0,1.236331943359375,True,REGULAR,USD,LRCX,1,2025-04-25,2025-04-23 13:04:38.595573,67.27999877929688
LRCX250425C00060000,2025-04-23 13:49:00+00:00,60.0,8.0,7.1,7.25,3.85,92.77108,231.0,307.0,1.0000000000000003e-05,True,REGULAR,USD,LRCX,1,2025-04-25,2025-04-23 13:04:38.595573,67.27999877929688
LRCX250425C00061000,2025-04-23 14:48:02+00:00,61.0,6.2,6.25,6.4,2.6,72.22222,6.0,54.0,0.5898478515625001,True,REGULAR,USD,LRCX,1,2025-04-25,2025-04-23 13:04:38.595573,67.27999877929688
LRCX250425C00062000,2025-04-23 15:50:28+00:00,62.0,5.25,5.45,5.75,2.16,69.902916,41.0,128.0,0.8125018749999999,True,REGULAR,USD,LRCX,1,2025-04-25,2025-04-23 13:04:38.595573,67.27999877929688
LRCX250425C00063000,2025-04-23 15:02:34+00:00,63.0,5.2,4.65,4.75,2.6599998,104.72441,26.0,253.0,0.7685570019531252,True,REGULAR,USD,LRCX,1,2025-04-25,2025-04-23 13:04:38.595573,67.27999877929688
LRCX250425C00064000,2025-04-23 16:32:02+00:00,64.0,4.0,3.85,4.0,2.0900002,109.4241,70.0,784.0,0.7744163183593751,True,REGULAR,USD,LRCX,1,2025-04-25,2025-04-23 13:04:38.595573,67.27999877929688
LRCX250425C00065000,2025-04-23 16:10:29+00:00,65.0,3.2,3.2,3.3,1.6700001,109.15033,353.0,932.0,0.7929708203125,True,REGULAR,USD,LRCX,1,2025-04-25,2025-04-23 13:04:38.595573,67.27999877929688
LRCX250425C00066000,2025-04-23 16:29:34+00:00,66.0,2.68,2.65,2.77,1.57,141.44144,318.0,1279.0,0.8320329296874999,True,REGULAR,USD,LRCX,1,2025-04-25,2025-04-23 13:04:38.595573,67.27999877929688
LRCX250425C00067000,2025-04-23 16:31:51+00:00,67.0,2.18,2.1,2.27,1.3900001,175.9494,316.0,791.0,0.840821904296875,True,REGULAR,USD,LRCX,1,2025-04-25,2025-04-23 13:04:38.595573,67.27999877929688
LRCX250425C00068000,2025-04-23 16:20:39+00:00,68.0,1.49,1.61,1.7,0.93,166.07143,390.0,368.0,0.815431533203125,False,REGULAR,USD,LRCX,1,2025-04-25,2025-04-23 13:04:38.595573,67.27999877929688
LRCX250425C00069000,2025-04-23 16:34:04+00:00,69.0,1.3,1.22,1.29,0.90999997,233.33334,254.0,421.0,0.8110370458984374,False,REGULAR,USD,LRCX,1,2025-04-25,2025-04-23 13:04:38.595573,67.27999877929688
LRCX250425C00070000,2025-04-23 16:22:58+00:00,70.0,0.8,0.93,0.98,0.53,196.29625,715.0,1543.0,0.8183611914062499,False,REGULAR,USD,LRCX,1,2025-04-25,2025-04-23 13:04:38.595573,67.27999877929688
LRCX250425C00071000,2025-04-23 16:09:49+00:00,71.0,0.68,0.66,0.71,0.53,353.33322,268.0,460.0,0.8095722167968749,False,REGULAR,USD,LRCX,1,2025-04-25,2025-04-23 13:04:38.595573,67.27999877929688
LRCX250425C00072000,2025-04-23 16:25:30+00:00,72.0,0.43,0.47,0.51,0.31,258.3333,278.0,350.0,0.8085956640624999,False,REGULAR,USD,LRCX,1,2025-04-25,2025-04-23 13:04:38.595573,67.27999877929688
LRCX250425C00073000,2025-04-23 16:30:03+00:00,73.0,0.33,0.32,0.39,0.23000002,230.00003,158.0,1323.0,0.8164080859374999,False,REGULAR,USD,LRCX,1,2025-04-25,2025-04-23 13:04:38.595573,67.27999877929688
LRCX250425C00074000,2025-04-23 15:59:04+00:00,74.0,0.2,0.21,0.25,0.11,122.22221,223.0,171.0,0.8027363476562499,False,REGULAR,USD,LRCX,1,2025-04-25,2025-04-23 13:04:38.595573,67.27999877929688
LRCX250425C00075000,2025-04-23 16:18:44+00:00,75.0,0.17,0.14,0.17,0.120000005,240.00002,352.0,414.0,0.804689453125,False,REGULAR,USD,LRCX,1,2025-04-25,2025-04-23 13:04:38.595573,67.27999877929688
LRCX250425C00076000,2025-04-23 15:27:30+00:00,76.0,0.08,0.01,0.13,0.04,100.0,122.0,115.0,0.7500025,False,REGULAR,USD,LRCX,1,2025-04-25,2025-04-23 13:04:38.595573,67.27999877929688
LRCX250425C00077000,2025-04-23 15:25:28+00:00,77.0,0.07,0.05,0.12,-0.009999998,-12.499997,23.0,155.0,0.8437515624999999,False,REGULAR,USD,LRCX,1,2025-04-25,2025-04-23 13:04:38.595573,67.27999877929688
LRCX250425C00078000,2025-04-23 15:19:39+00:00,78.0,0.05,0.0,0.07,0.020000001,50.000008,518.0,194.0,0.7812521875,False,REGULAR,USD,LRCX,1,2025-04-25,2025-04-23 13:04:38.595573,67.27999877929688
LRCX250425C00079000,2025-04-23 15:50:29+00:00,79.0,0.05,0.01,0.1,0.010000002,25.000004,17.0,419.0,0.8984385156249999,False,REGULAR,USD,LRCX,1,2025-04-25,2025-04-23 13:04:38.595573,67.27999877929688
LRCX250425C00080000,2025-04-23 15:25:28+00:00,80.0,0.05,0.0,0.1,0.04,399.99994,7.0,2419.0,0.945313046875,False,REGULAR,USD,LRCX,1,2025-04-25,2025-04-23 13:04:38.595573,67.27999877929688
LRCX250425C00081000,2025-04-21 16:56:19+00:00,81.0,0.02,0.01,0.16,0.0,0.0,7.0,123.0,1.08984830078125,False,REGULAR,USD,LRCX,1,2025-04-25,2025-04-23 13:04:38.595573,67.27999877929688
LRCX250425C00082000,2025-04-23 15:20:20+00:00,82.0,0.03,0.01,0.03,0.01,50.0,4.0,134.0,0.929688203125,False,REGULAR,USD,LRCX,1,2025-04-25,2025-04-23 13:04:38.595573,67.27999877929688
LRCX250425C00083000,2025-04-21 16:03:20+00:00,83.0,0.17,0.01,0.18,0.0,0.0,5.0,121.0,1.2265663671875,False,REGULAR,USD,LRCX,1,2025-04-25,2025-04-23 13:04:38.595573,67.27999877929688
LRCX250425C00084000,2025-04-17 18:57:23+00:00,84.0,0.09,0.0,0.24,0.0,0.0,5.0,653.0,1.3359408203124996,False,REGULAR,USD,LRCX,1,2025-04-25,2025-04-23 13:04:38.595573,67.27999877929688
LRCX250425C00085000,2025-04-17 14:35:50+00:00,85.0,0.03,0.0,0.23,0.0,0.0,11.0,165.0,1.3828155859374998,False,REGULAR,USD,LRCX,1,2025-04-25,2025-04-23 13:04:38.595573,67.27999877929688
LRCX250425C00086000,2025-04-14 15:15:35+00:00,86.0,0.05,0.0,0.23,0.0,0.0,1.0,64.0,1.4375028125,False,REGULAR,USD,LRCX,1,2025-04-25,2025-04-23 13:04:38.595573,67.27999877929688
LRCX250425C00087000,2025-04-23 15:02:24+00:00,87.0,0.08,0.0,0.14,0.049999997,166.66664,10.0,162.0,1.3828155859374998,False,REGULAR,USD,LRCX,1,2025-04-25,2025-04-23 13:04:38.595573,67.27999877929688
LRCX250425C00088000,2025-04-09 13:55:53+00:00,88.0,0.07,0.0,0.23,0.0,0.0,1.0,38.0,1.5468772656249998,False,REGULAR,USD,LRCX,1,2025-04-25,2025-04-23 13:04:38.595573,67.27999877929688
LRCX250425C00089000,2025-04-04 14:58:09+00:00,89.0,0.06,0.0,0.23,0.0,0.0,1.0,140.0,1.6015644921874999,False,REGULAR,USD,LRCX,1,2025-04-25,2025-04-23 13:04:38.595573,67.27999877929688
LRCX250425C00090000,2025-04-22 19:02:30+00:00,90.0,0.03,0.0,0.05,0.0,0.0,11.0,79.0,1.3281283593749997,False,REGULAR,USD,LRCX,1,2025-04-25,2025-04-23 13:04:38.595573,67.27999877929688
LRCX250425C00095000,2025-04-22 17:42:51+00:00,95.0,0.02,0.0,0.05,0.0,0.0,18.0,125.0,1.5468772656249998,False,REGULAR,USD,LRCX,1,2025-04-25,2025-04-23 13:04:38.595573,67.27999877929688
LRCX250425C00100000,2025-03-17 19:54:40+00:00,100.0,0.24,0.0,0.0,0.0,0.0,2.0,2.0,0.500005,False,REGULAR,USD,LRCX,1,2025-04-25,2025-04-23 13:04:38.595573,67.27999877929688
LRCX250425C00105000,2025-03-18 15:06:06+00:00,105.0,0.72,0.0,1.26,0.0,0.0,,6.0,3.1718770703125,False,REGULAR,USD,LRCX,1,2025-04-25,2025-04-23 13:04:38.595573,67.27999877929688
LRCX250425C00110000,2025-03-18 15:06:06+00:00,110.0,0.73,0.0,1.26,0.0,0.0,,6.0,3.41406396484375,False,REGULAR,USD,LRCX,1,2025-04-25,2025-04-23 13:04:38.595573,67.27999877929688
LRCX250425P00035000,2025-04-08 14:26:20+00:00,35.0,0.27,0.0,0.01,0.0,0.0,,2.0,2.43750390625,False,REGULAR,USD,LRCX,0,2025-04-25,2025-04-23 13:04:38.596575,67.27999877929688
LRCX250425P00040000,2025-04-23 16:04:31+00:00,40.0,0.21,0.0,0.21,0.089999996,75.0,1.0,3.0,2.8281279296874997,False,REGULAR,USD,LRCX,0,2025-04-25,2025-04-23 13:04:38.596575,67.27999877929688
LRCX250425P00045000,2025-04-11 15:47:37+00:00,45.0,0.32,0.0,0.02,0.0,0.0,1.0,12.0,1.65625171875,False,REGULAR,USD,LRCX,0,2025-04-25,2025-04-23 13:04:38.596575,67.27999877929688
LRCX250425P00047000,2025-04-16 18:43:33+00:00,47.0,0.1,0.0,0.24,0.0,0.0,,1.0,2.0937547656249995,False,REGULAR,USD,LRCX,0,2025-04-25,2025-04-23 13:04:38.596575,67.27999877929688
LRCX250425P00048000,2025-04-21 15:22:08+00:00,48.0,0.1,0.0,0.29,0.0,0.0,9.0,33.0,2.0546923632812497,False,REGULAR,USD,LRCX,0,2025-04-25,2025-04-23 13:04:38.596575,67.27999877929688
LRCX250425P00049000,2025-04-21 17:18:41+00:00,49.0,0.11,0.0,0.25,0.0,0.0,2.0,3.0,1.89453177734375,False,REGULAR,USD,LRCX,0,2025-04-25,2025-04-23 13:04:38.596575,67.27999877929688
LRCX250425P00050000,2025-04-23 16:08:09+00:00,50.0,0.02,0.0,0.04,-0.05,-71.42857,21.0,700.0,1.3750031249999999,False,REGULAR,USD,LRCX,0,2025-04-25,2025-04-23 13:04:38.596575,67.27999877929688
LRCX250425P00051000,2025-04-21 14:31:19+00:00,51.0,0.18,0.0,0.5,0.0,0.0,2.0,11.0,1.93359408203125,False,REGULAR,USD,LRCX,0,2025-04-25,2025-04-23 13:04:38.596575,67.27999877929688
LRCX250425P00052000,2025-04-21 19:27:26+00:00,52.0,0.05,0.02,0.03,-0.15,-75.0,10.0,50.0,1.2343788281249999,False,REGULAR,USD,LRCX,0,2025-04-25,2025-04-23 13:04:38.596575,67.27999877929688
LRCX250425P00053000,2025-04-23 16:26:48+00:00,53.0,0.03,0.02,0.04,-0.11,-78.57143,7.0,1381.0,1.1875040625,False,REGULAR,USD,LRCX,0,2025-04-25,2025-04-23 13:04:38.596575,67.27999877929688
LRCX250425P00054000,2025-04-22 19:52:58+00:00,54.0,0.03,0.03,0.06,-0.120000005,-80.0,701.0,447.0,1.171879140625,False,REGULAR,USD,LRCX,0,2025-04-25,2025-04-23 13:04:38.596575,67.27999877929688
LRCX250425P00055000,2025-04-23 16:23:06+00:00,55.0,0.06,0.06,0.07,-0.21000001,-75.0,34.0,817.0,1.15234798828125,False,REGULAR,USD,LRCX,0,2025-04-25,2025-04-23 13:04:38.596575,67.27999877929688
LRCX250425P00056000,2025-04-22 19:40:03+00:00,56.0,0.35,0.07,0.1,0.0,0.0,162.0,1407.0,1.11328568359375,False,REGULAR,USD,LRCX,0,2025-04-25,2025-04-23 13:04:38.596575,67.27999877929688
LRCX250425P00057000,2025-04-23 16:26:46+00:00,57.0,0.13,0.11,0.14,-0.29,-69.04762,38.0,248.0,1.1015669921875002,False,REGULAR,USD,LRCX,0,2025-04-25,2025-04-23 13:04:38.596575,67.27999877929688
LRCX250425P00058000,2025-04-23 16:26:48+00:00,58.0,0.18,0.15,0.18,-0.36,-66.666664,149.0,616.0,1.0703171484375003,False,REGULAR,USD,LRCX,0,2025-04-25,2025-04-23 13:04:38.596575,67.27999877929688
LRCX250425P00059000,2025-04-23 16:12:37+00:00,59.0,0.24,0.21,0.26,-0.51,-68.0,24.0,274.0,1.056645341796875,False,REGULAR,USD,LRCX,0,2025-04-25,2025-04-23 13:04:38.596575,67.27999877929688
LRCX250425P00060000,2025-04-23 16:20:56+00:00,60.0,0.35,0.25,0.35,-0.65,-65.0,385.0,1738.0,1.015629921875,False,REGULAR,USD,LRCX,0,2025-04-25,2025-04-23 13:04:38.596575,67.27999877929688
LRCX250425P00061000,2025-04-23 16:06:04+00:00,61.0,0.43,0.42,0.46,-0.92,-68.14815,599.0,848.0,1.01953615234375,False,REGULAR,USD,LRCX,0,2025-04-25,2025-04-23 13:04:38.596575,67.27999877929688
LRCX250425P00062000,2025-04-23 16:13:52+00:00,62.0,0.6,0.53,0.61,-0.9499999,-61.29032,871.0,1057.0,0.99023447265625,False,REGULAR,USD,LRCX,0,2025-04-25,2025-04-23 13:04:38.596575,67.27999877929688
LRCX250425P00063000,2025-04-23 16:28:58+00:00,63.0,0.81,0.66,0.82,-1.3200002,-61.971836,282.0,515.0,0.9619144433593749,False,REGULAR,USD,LRCX,0,2025-04-25,2025-04-23 13:04:38.596575,67.27999877929688
