contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
LVS250425C00027000,2025-04-22 15:55:10+00:00,27.0,6.5,7.5,8.05,0.0,0.0,7.0,22.0,1.96484392578125,1.0,REGULAR,USD,LVS,1,2025-04-25,2025-04-23 13:04:40.656427,34.8650016784668
LVS250425C00030000,2025-04-14 13:55:13+00:00,30.0,3.4,4.55,5.1,0.0,0.0,1.0,39.0,1.39453427734375,1.0,REGULAR,USD,LVS,1,2025-04-25,2025-04-23 13:04:40.656427,34.8650016784668
LVS250425C00030500,2025-04-16 18:00:05+00:00,30.5,2.38,4.1,4.45,0.0,0.0,4.0,132.0,0.98437515625,1.0,REGULAR,USD,LVS,1,2025-04-25,2025-04-23 13:04:40.656427,34.8650016784668
LVS250425C00031000,2025-04-22 19:55:32+00:00,31.0,3.25,3.85,4.0,0.0,0.0,1.0,87.0,0.8203142968749999,1.0,REGULAR,USD,LVS,1,2025-04-25,2025-04-23 13:04:40.656427,34.8650016784668
LVS250425C00031500,2025-04-21 17:33:25+00:00,31.5,1.85,3.4,3.55,0.0,0.0,26.0,89.0,0.8476577734374999,1.0,REGULAR,USD,LVS,1,2025-04-25,2025-04-23 13:04:40.656427,34.8650016784668
LVS250425C00032000,2025-04-23 13:32:12+00:00,32.0,3.55,2.92,3.1,1.01,39.76378,2.0,206.0,0.80664255859375,1.0,REGULAR,USD,LVS,1,2025-04-25,2025-04-23 13:04:40.656427,34.8650016784668
LVS250425C00032500,2025-04-23 14:10:23+00:00,32.5,3.3,2.44,2.75,1.27,62.561577,14.0,87.0,0.8183611914062499,1.0,REGULAR,USD,LVS,1,2025-04-25,2025-04-23 13:04:40.656427,34.8650016784668
LVS250425C00033000,2025-04-23 15:31:12+00:00,33.0,2.25,2.2,2.33,0.51,29.310345,59.0,1669.0,0.8867198828124999,1.0,REGULAR,USD,LVS,1,2025-04-25,2025-04-23 13:04:40.656427,34.8650016784668
LVS250425C00033500,2025-04-23 13:37:47+00:00,33.5,2.6,1.86,1.99,1.1499999,79.31033,66.0,131.0,0.9003916210937499,1.0,REGULAR,USD,LVS,1,2025-04-25,2025-04-23 13:04:40.656427,34.8650016784668
LVS250425C00034000,2025-04-23 16:30:06+00:00,34.0,1.59,1.52,1.75,0.43000007,37.068974,46.0,145.0,0.9238288867187501,1.0,REGULAR,USD,LVS,1,2025-04-25,2025-04-23 13:04:40.656427,34.8650016784668
LVS250425C00034500,2025-04-23 16:22:20+00:00,34.5,1.2,1.24,1.47,0.40000004,50.000004,20.0,99.0,0.92773509765625,1.0,REGULAR,USD,LVS,1,2025-04-25,2025-04-23 13:04:40.656427,34.8650016784668
LVS250425C00035000,2025-04-23 16:31:42+00:00,35.0,1.04,1.0,1.07,0.33999997,48.571423,1872.0,480.0,0.8710950390625,0.0,REGULAR,USD,LVS,1,2025-04-25,2025-04-23 13:04:40.656427,34.8650016784668
LVS250425C00035500,2025-04-23 15:36:20+00:00,35.5,0.75,0.72,0.9,0.3,66.66667,81.0,742.0,0.8632826171875,0.0,REGULAR,USD,LVS,1,2025-04-25,2025-04-23 13:04:40.656427,34.8650016784668
LVS250425C00036000,2025-04-23 16:14:17+00:00,36.0,0.55,0.51,0.63,0.20000002,57.142864,1898.0,1341.0,0.8125018749999999,0.0,REGULAR,USD,LVS,1,2025-04-25,2025-04-23 13:04:40.656427,34.8650016784668
LVS250425C00036500,2025-04-23 13:40:34+00:00,36.5,0.46,0.36,0.46,0.20000002,76.92309,52.0,699.0,0.79687703125,0.0,REGULAR,USD,LVS,1,2025-04-25,2025-04-23 13:04:40.656427,34.8650016784668
LVS250425C00037000,2025-04-23 16:11:32+00:00,37.0,0.32,0.28,0.45,0.14999999,88.23529,76.0,281.0,0.8652357226562499,0.0,REGULAR,USD,LVS,1,2025-04-25,2025-04-23 13:04:40.656427,34.8650016784668
LVS250425C00038000,2025-04-23 15:11:31+00:00,38.0,0.23,0.14,0.22,0.15,187.50002,71.0,149.0,0.84179845703125,0.0,REGULAR,USD,LVS,1,2025-04-25,2025-04-23 13:04:40.656427,34.8650016784668
LVS250425C00038500,2025-04-22 16:15:30+00:00,38.5,0.01,0.09,0.32,-0.04,-80.00001,2.0,18.0,0.9648441015625,0.0,REGULAR,USD,LVS,1,2025-04-25,2025-04-23 13:04:40.656427,34.8650016784668
LVS250425C00039000,2025-04-23 16:11:32+00:00,39.0,0.08,0.06,0.12,0.04,100.0,34.0,77.0,0.8437515624999999,0.0,REGULAR,USD,LVS,1,2025-04-25,2025-04-23 13:04:40.656427,34.8650016784668
LVS250425C00039500,2025-04-21 19:50:12+00:00,39.5,0.08,0.0,0.09,0.07,700.0001,10.0,64.0,0.79687703125,0.0,REGULAR,USD,LVS,1,2025-04-25,2025-04-23 13:04:40.656427,34.8650016784668
LVS250425C00040000,2025-04-23 15:49:58+00:00,40.0,0.06,0.03,0.07,0.02,50.0,732.0,164.0,0.87500125,0.0,REGULAR,USD,LVS,1,2025-04-25,2025-04-23 13:04:40.656427,34.8650016784668
LVS250425C00040500,2025-04-17 17:07:48+00:00,40.5,0.12,0.0,0.07,0.0,0.0,17.0,17.0,0.8828136718749999,0.0,REGULAR,USD,LVS,1,2025-04-25,2025-04-23 13:04:40.656427,34.8650016784668
LVS250425C00041000,2025-04-22 16:22:00+00:00,41.0,0.28,0.0,0.11,0.0,0.0,18.0,151.0,1.015629921875,0.0,REGULAR,USD,LVS,1,2025-04-25,2025-04-23 13:04:40.656427,34.8650016784668
LVS250425C00042000,2025-04-16 13:55:55+00:00,42.0,0.08,0.0,0.15,0.07,700.0001,5.0,125.0,1.203128984375,0.0,REGULAR,USD,LVS,1,2025-04-25,2025-04-23 13:04:40.656427,34.8650016784668
LVS250425C00043000,2025-04-04 19:45:29+00:00,43.0,0.13,0.0,0.08,0.0,0.0,12.0,195.0,1.1875040625,0.0,REGULAR,USD,LVS,1,2025-04-25,2025-04-23 13:04:40.656427,34.8650016784668
LVS250425C00044000,2025-04-22 15:22:20+00:00,44.0,0.01,0.0,0.05,0.0,0.0,1.0,454.0,1.203128984375,0.0,REGULAR,USD,LVS,1,2025-04-25,2025-04-23 13:04:40.656427,34.8650016784668
LVS250425C00045000,2025-04-17 18:48:11+00:00,45.0,0.01,0.0,0.24,0.0,0.0,64.0,98.0,1.6875015625,0.0,REGULAR,USD,LVS,1,2025-04-25,2025-04-23 13:04:40.656427,34.8650016784668
LVS250425C00046000,2025-04-17 18:54:34+00:00,46.0,0.39,0.0,0.24,0.0,0.0,1.0,13.0,1.8007822460937497,0.0,REGULAR,USD,LVS,1,2025-04-25,2025-04-23 13:04:40.656427,34.8650016784668
LVS250425C00047000,2025-04-17 18:54:34+00:00,47.0,0.02,0.0,0.22,-0.35999998,-94.73685,1.0,16.0,1.875000625,0.0,REGULAR,USD,LVS,1,2025-04-25,2025-04-23 13:04:40.656427,34.8650016784668
LVS250425C00048000,2025-04-15 14:12:10+00:00,48.0,0.01,0.0,0.24,0.0,0.0,10.0,12.0,2.0156299609375,0.0,REGULAR,USD,LVS,1,2025-04-25,2025-04-23 13:04:40.656427,34.8650016784668
LVS250425C00049000,2025-04-01 16:34:00+00:00,49.0,0.15,0.0,0.24,0.0,0.0,2.0,3.0,2.1171922070312497,0.0,REGULAR,USD,LVS,1,2025-04-25,2025-04-23 13:04:40.656427,34.8650016784668
LVS250425C00050000,2025-04-23 14:01:38+00:00,50.0,0.01,0.0,0.19,-0.01,-50.0,19.0,83.0,2.1250046874999997,0.0,REGULAR,USD,LVS,1,2025-04-25,2025-04-23 13:04:40.656427,34.8650016784668
LVS250425C00051000,2025-03-19 17:07:40+00:00,51.0,0.34,0.0,0.2,0.0,0.0,,1.0,2.2343794140624995,0.0,REGULAR,USD,LVS,1,2025-04-25,2025-04-23 13:04:40.656427,34.8650016784668
LVS250425C00052000,2025-04-01 18:58:18+00:00,52.0,0.02,0.0,0.15,0.0,0.0,,4.0,2.2187544531249994,0.0,REGULAR,USD,LVS,1,2025-04-25,2025-04-23 13:04:40.656427,34.8650016784668
LVS250425C00053000,2025-04-01 16:34:00+00:00,53.0,0.1,0.0,0.01,0.0,0.0,2.0,2.0,1.625001875,0.0,REGULAR,USD,LVS,1,2025-04-25,2025-04-23 13:04:40.656427,34.8650016784668
LVS250425P00024000,2025-04-17 18:30:47+00:00,24.0,0.08,0.0,0.24,0.0,0.0,26.0,24.0,2.43750390625,0.0,REGULAR,USD,LVS,0,2025-04-25,2025-04-23 13:04:40.658432,34.8650016784668
LVS250425P00024500,2025-04-17 15:17:39+00:00,24.5,0.16,0.0,0.24,0.0,0.0,6.0,6.0,2.328129179687499,0.0,REGULAR,USD,LVS,0,2025-04-25,2025-04-23 13:04:40.658432,34.8650016784668
LVS250425P00025000,2025-04-17 15:16:23+00:00,25.0,0.06,0.0,0.24,0.0,0.0,3.0,14.0,2.214848212890624,0.0,REGULAR,USD,LVS,0,2025-04-25,2025-04-23 13:04:40.658432,34.8650016784668
LVS250425P00026000,2025-04-17 19:50:02+00:00,26.0,0.11,0.0,0.24,0.0,0.0,35.0,27.0,1.99609376953125,0.0,REGULAR,USD,LVS,0,2025-04-25,2025-04-23 13:04:40.658432,34.8650016784668
LVS250425P00026500,2025-04-16 19:05:18+00:00,26.5,0.18,0.0,0.03,0.0,0.0,1.0,66.0,1.3437532812499997,0.0,REGULAR,USD,LVS,0,2025-04-25,2025-04-23 13:04:40.658432,34.8650016784668
