contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
LW250516C00045000,2025-04-21 14:39:28+00:00,45.0,6.57,7.0,7.8,0.0,0.0,1.0,3,0.514653291015625,True,REGULAR,USD,LW,1,2025-05-16,2025-04-23 13:04:39.936563,52.404998779296875
LW250516C00047500,2025-04-03 15:14:08+00:00,47.5,10.6,5.0,5.3,0.0,0.0,5.0,4,0.3789124609375,True,REGULAR,USD,LW,1,2025-05-16,2025-04-23 13:04:39.936563,52.404998779296875
LW250516C00050000,2025-04-21 15:11:14+00:00,50.0,3.8,3.2,3.4,1.3999999,58.333324,2.0,14,0.375982802734375,True,REGULAR,USD,LW,1,2025-05-16,2025-04-23 13:04:39.936563,52.404998779296875
LW250516C00052500,2025-04-22 18:35:00+00:00,52.5,1.9,1.8,1.95,-0.13999999,-6.8627443,13.0,218,0.3723207299804688,False,REGULAR,USD,LW,1,2025-05-16,2025-04-23 13:04:39.936563,52.404998779296875
LW250516C00055000,2025-04-23 15:26:58+00:00,55.0,0.86,0.85,0.95,-0.18999994,-18.095234,164.0,2892,0.36133451171875,False,REGULAR,USD,LW,1,2025-05-16,2025-04-23 13:04:39.936563,52.404998779296875
LW250516C00057500,2025-04-23 15:24:04+00:00,57.5,0.42,0.35,0.45,-0.030000001,-6.666667,6.0,322,0.36914693359375,False,REGULAR,USD,LW,1,2025-05-16,2025-04-23 13:04:39.936563,52.404998779296875
LW250516C00060000,2025-04-22 16:57:55+00:00,60.0,0.2,0.05,0.6,0.0,0.0,35.0,892,0.5185595019531251,False,REGULAR,USD,LW,1,2025-05-16,2025-04-23 13:04:39.936563,52.404998779296875
LW250516C00062500,2025-04-21 18:17:08+00:00,62.5,0.07,0.0,0.15,0.030000001,75.0,2.0,705,0.43164630859375,False,REGULAR,USD,LW,1,2025-05-16,2025-04-23 13:04:39.936563,52.404998779296875
LW250516C00065000,2025-04-15 15:57:04+00:00,65.0,0.08,0.0,0.75,-0.07000001,-46.66667,1.0,445,0.6201209863281252,False,REGULAR,USD,LW,1,2025-05-16,2025-04-23 13:04:39.936563,52.404998779296875
LW250516C00070000,2025-04-07 18:04:04+00:00,70.0,0.3,0.0,0.4,0.0,0.0,7.0,180,0.6718782812500002,False,REGULAR,USD,LW,1,2025-05-16,2025-04-23 13:04:39.936563,52.404998779296875
