contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
LYB250516C00045000,2025-04-11 14:27:51+00:00,45.0,10.1,13.1,14.1,0.0,0.0,,1.0,0.77929908203125,1.0,REGULAR,USD,LYB,1,2025-05-16,2025-04-23 13:04:55.927691,58.1150016784668
LYB250516C00050000,2025-04-22 14:12:27+00:00,50.0,8.2,8.6,9.3,0.0,0.0,8.0,52.0,0.632816171875,1.0,REGULAR,USD,LYB,1,2025-05-16,2025-04-23 13:04:55.927691,58.1150016784668
LYB250516C00055000,2025-04-23 13:42:24+00:00,55.0,6.7,4.6,5.2,1.8999996,39.583324,2.0,815.0,0.5356491748046875,1.0,REGULAR,USD,LYB,1,2025-05-16,2025-04-23 13:04:55.927691,58.1150016784668
LYB250516C00060000,2025-04-23 15:57:36+00:00,60.0,1.9,1.8,1.9,0.01999998,1.0638288,201.0,782.0,0.45361874511718747,0.0,REGULAR,USD,LYB,1,2025-05-16,2025-04-23 13:04:55.927691,58.1150016784668
LYB250516C00065000,2025-04-23 16:34:03+00:00,65.0,0.55,0.45,0.55,0.02000004,3.7735927,79.0,1228.0,0.43066975585937506,0.0,REGULAR,USD,LYB,1,2025-05-16,2025-04-23 13:04:55.927691,58.1150016784668
LYB250516C00070000,2025-04-23 14:50:32+00:00,70.0,0.15,0.0,0.25,0.0,0.0,38.0,316.0,0.49219257812500006,0.0,REGULAR,USD,LYB,1,2025-05-16,2025-04-23 13:04:55.927691,58.1150016784668
LYB250516C00075000,2025-04-23 15:45:58+00:00,75.0,0.07,0.05,0.1,0.0,0.0,4.0,408.0,0.5019581054687501,0.0,REGULAR,USD,LYB,1,2025-05-16,2025-04-23 13:04:55.927691,58.1150016784668
LYB250516C00080000,2025-04-22 18:38:11+00:00,80.0,0.02,0.0,0.35,0.0,0.0,2.0,186.0,0.694338994140625,0.0,REGULAR,USD,LYB,1,2025-05-16,2025-04-23 13:04:55.927691,58.1150016784668
LYB250516C00085000,2025-04-10 19:39:37+00:00,85.0,0.27,0.0,0.75,0.0,0.0,1.0,8.0,0.920899228515625,0.0,REGULAR,USD,LYB,1,2025-05-16,2025-04-23 13:04:55.927691,58.1150016784668
LYB250516C00090000,2025-04-03 13:30:01+00:00,90.0,0.77,0.0,0.75,0.0,0.0,1.0,6.0,1.0244189404296877,0.0,REGULAR,USD,LYB,1,2025-05-16,2025-04-23 13:04:55.927691,58.1150016784668
LYB250516P00040000,2025-04-21 19:40:23+00:00,40.0,0.2,0.0,0.65,0.0,0.0,18.0,38.0,0.95507857421875,0.0,REGULAR,USD,LYB,0,2025-05-16,2025-04-23 13:04:55.928694,58.1150016784668
LYB250516P00045000,2025-04-23 16:26:40+00:00,45.0,0.25,0.2,0.25,-0.060000002,-15.789474,3.0,1511.0,0.64648791015625,0.0,REGULAR,USD,LYB,0,2025-05-16,2025-04-23 13:04:55.928694,58.1150016784668
LYB250516P00050000,2025-04-23 16:22:11+00:00,50.0,0.55,0.5,0.65,-0.099999964,-15.38461,70.0,711.0,0.5556685058593751,0.0,REGULAR,USD,LYB,0,2025-05-16,2025-04-23 13:04:55.928694,58.1150016784668
LYB250516P00055000,2025-04-23 16:19:05+00:00,55.0,1.5,1.4,1.55,-0.100000024,-6.250001,51.0,647.0,0.49121602539062503,0.0,REGULAR,USD,LYB,0,2025-05-16,2025-04-23 13:04:55.928694,58.1150016784668
LYB250516P00060000,2025-04-23 14:57:53+00:00,60.0,3.2,3.6,3.7,-0.39999986,-11.111107,28.0,1256.0,0.43921459228515625,1.0,REGULAR,USD,LYB,0,2025-05-16,2025-04-23 13:04:55.928694,58.1150016784668
LYB250516P00065000,2025-04-23 15:26:59+00:00,65.0,6.9,7.4,7.6,-0.2999997,-4.1666627,376.0,2034.0,0.4726615234375,1.0,REGULAR,USD,LYB,0,2025-05-16,2025-04-23 13:04:55.928694,58.1150016784668
LYB250516P00070000,2025-04-21 19:01:40+00:00,70.0,14.1,11.7,12.4,0.0,0.0,1.0,1684.0,0.5922892333984376,1.0,REGULAR,USD,LYB,0,2025-05-16,2025-04-23 13:04:55.928694,58.1150016784668
LYB250516P00075000,2025-04-22 14:16:58+00:00,75.0,17.7,16.4,17.3,0.0,0.0,1.0,31.0,0.7006865869140625,1.0,REGULAR,USD,LYB,0,2025-05-16,2025-04-23 13:04:55.928694,58.1150016784668
LYB250516P00080000,2025-03-24 13:58:58+00:00,80.0,8.22,21.6,22.5,0.0,0.0,3.0,0.0,0.6875031250000001,1.0,REGULAR,USD,LYB,0,2025-05-16,2025-04-23 13:04:55.928694,58.1150016784668
LYB250620C00040000,2025-04-22 17:28:27+00:00,40.0,17.7,18.1,19.1,0.0,0.0,1.0,27.0,0.6689486230468751,1.0,REGULAR,USD,LYB,1,2025-06-20,2025-04-23 13:04:55.988507,58.1150016784668
