contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
LYV250516C00085000,2025-04-16 19:38:40+00:00,85.0,40.76,45.6,48.8,0.0,0.0,,1,0.6914093359375001,True,REGULAR,USD,LYV,1,2025-05-16,2025-04-23 13:04:49.984724,132.16000366210938
LYV250516C00100000,2025-04-17 17:36:17+00:00,100.0,28.48,31.1,34.0,0.0,0.0,1.0,5,0.6552768847656252,True,REGULAR,USD,LYV,1,2025-05-16,2025-04-23 13:04:49.984724,132.16000366210938
LYV250516C00105000,2025-04-17 17:36:17+00:00,105.0,24.13,26.2,28.9,0.0,0.0,1.0,1,0.559574716796875,True,REGULAR,USD,LYV,1,2025-05-16,2025-04-23 13:04:49.984724,132.16000366210938
LYV250516C00110000,2025-04-16 15:10:14+00:00,110.0,19.3,22.1,24.2,0.0,0.0,1.0,3,0.5891154370117189,True,REGULAR,USD,LYV,1,2025-05-16,2025-04-23 13:04:49.984724,132.16000366210938
LYV250516C00115000,2025-04-17 14:58:22+00:00,115.0,19.4,18.2,19.3,4.8999996,33.793102,4.0,42,0.5634809277343751,True,REGULAR,USD,LYV,1,2025-05-16,2025-04-23 13:04:49.984724,132.16000366210938
LYV250516C00120000,2025-04-16 19:09:43+00:00,120.0,15.73,14.1,15.0,5.9299994,60.510197,3.0,117,0.5289353747558594,True,REGULAR,USD,LYV,1,2025-05-16,2025-04-23 13:04:49.984724,132.16000366210938
LYV250516C00125000,2025-04-23 13:37:49+00:00,125.0,11.7,10.4,11.3,3.3999996,40.963852,14.0,148,0.5073291455078125,True,REGULAR,USD,LYV,1,2025-05-16,2025-04-23 13:04:49.984724,132.16000366210938
LYV250516C00130000,2025-04-23 13:40:21+00:00,130.0,8.58,7.6,8.2,2.48,40.65574,3.0,202,0.5048877636718749,True,REGULAR,USD,LYV,1,2025-05-16,2025-04-23 13:04:49.984724,132.16000366210938
LYV250516C00135000,2025-04-23 15:48:17+00:00,135.0,5.18,4.9,5.6,1.4799998,39.999996,12.0,2315,0.5073291455078125,False,REGULAR,USD,LYV,1,2025-05-16,2025-04-23 13:04:49.984724,132.16000366210938
LYV250516C00140000,2025-04-23 15:48:17+00:00,140.0,3.23,2.9,3.4,1.23,61.5,12.0,1167,0.4738822143554688,False,REGULAR,USD,LYV,1,2025-05-16,2025-04-23 13:04:49.984724,132.16000366210938
LYV250516C00145000,2025-04-23 16:21:23+00:00,145.0,1.67,1.55,1.95,0.78,87.64045,5.0,78,0.4542290905761719,False,REGULAR,USD,LYV,1,2025-05-16,2025-04-23 13:04:49.984724,132.16000366210938
LYV250516C00150000,2025-04-23 15:07:06+00:00,150.0,0.7,0.65,1.1,0.18,34.615387,120.0,19,0.44751529052734373,False,REGULAR,USD,LYV,1,2025-05-16,2025-04-23 13:04:49.984724,132.16000366210938
LYV250516C00155000,2025-04-22 19:54:26+00:00,155.0,0.35,0.3,0.55,0.0,0.0,3.0,4,0.43530838134765626,False,REGULAR,USD,LYV,1,2025-05-16,2025-04-23 13:04:49.984724,132.16000366210938
LYV250516C00160000,2025-03-31 16:04:23+00:00,160.0,0.3,0.0,0.6,-0.31,-50.81967,1.0,1,0.508793974609375,False,REGULAR,USD,LYV,1,2025-05-16,2025-04-23 13:04:49.984724,132.16000366210938
LYV250516C00190000,2025-04-16 17:28:12+00:00,190.0,0.05,0.0,0.1,0.0,0.0,1.0,0,0.5722699023437501,False,REGULAR,USD,LYV,1,2025-05-16,2025-04-23 13:04:49.984724,132.16000366210938
LYV250516P00070000,2025-04-07 18:55:09+00:00,70.0,0.69,0.0,0.75,0.0,0.0,1.0,5,1.3183627832031248,False,REGULAR,USD,LYV,0,2025-05-16,2025-04-23 13:04:49.986730,132.16000366210938
LYV250516P00085000,2025-04-15 19:29:20+00:00,85.0,0.35,0.0,0.75,0.0,0.0,2.0,3,0.9589847851562499,False,REGULAR,USD,LYV,0,2025-05-16,2025-04-23 13:04:49.986730,132.16000366210938
LYV250516P00090000,2025-04-08 15:29:26+00:00,90.0,1.1,0.0,0.75,0.0,0.0,,2,0.851563984375,False,REGULAR,USD,LYV,0,2025-05-16,2025-04-23 13:04:49.986730,132.16000366210938
LYV250516P00095000,2025-04-21 19:58:30+00:00,95.0,0.75,0.0,0.75,0.0,0.0,1.0,6,0.7490259472656251,False,REGULAR,USD,LYV,0,2025-05-16,2025-04-23 13:04:49.986730,132.16000366210938
LYV250516P00100000,2025-04-23 13:32:51+00:00,100.0,0.4,0.0,0.6,-0.49999997,-55.555553,2.0,44,0.62305064453125,False,REGULAR,USD,LYV,0,2025-05-16,2025-04-23 13:04:49.986730,132.16000366210938
LYV250516P00105000,2025-04-22 13:46:19+00:00,105.0,1.0,0.5,0.65,0.0,0.0,1.0,4052,0.6098671826171876,False,REGULAR,USD,LYV,0,2025-05-16,2025-04-23 13:04:49.986730,132.16000366210938
LYV250516P00110000,2025-04-23 15:06:50+00:00,110.0,0.72,0.85,1.0,-0.61,-45.86466,4.0,542,0.57812921875,False,REGULAR,USD,LYV,0,2025-05-16,2025-04-23 13:04:49.986730,132.16000366210938
LYV250516P00115000,2025-04-23 15:36:53+00:00,115.0,1.45,1.4,1.6,-0.68000007,-31.924885,44.0,1101,0.5520064331054688,False,REGULAR,USD,LYV,0,2025-05-16,2025-04-23 13:04:49.986730,132.16000366210938
