contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
L250516C00080000,2025-04-11 15:14:57+00:00,80.0,7.55,6.7,7.3,1.1800003,18.524338,1.0,18,0.44556218505859374,True,REGULAR,USD,L,1,2025-05-16,2025-04-23 13:04:52.689888,85.71499633789062
L250516C00085000,2025-04-17 18:42:04+00:00,85.0,3.5,3.1,3.4,0.0,0.0,5.0,65,0.3469303588867187,True,REGULAR,USD,L,1,2025-05-16,2025-04-23 13:04:52.689888,85.71499633789062
L250516C00090000,2025-04-22 19:44:08+00:00,90.0,1.0,0.2,2.15,0.0,0.0,1.0,20,0.4370173486328125,False,REGULAR,USD,L,1,2025-05-16,2025-04-23 13:04:52.689888,85.71499633789062
L250516C00095000,2025-04-21 19:07:18+00:00,95.0,0.25,0.05,0.8,0.0,0.0,1.0,6,0.40601179931640624,False,REGULAR,USD,L,1,2025-05-16,2025-04-23 13:04:52.689888,85.71499633789062
L250516P00055000,2025-04-09 17:21:51+00:00,55.0,0.25,0.0,0.75,0.0,0.0,,2,1.0468797656250002,False,REGULAR,USD,L,0,2025-05-16,2025-04-23 13:04:52.691893,85.71499633789062
L250516P00070000,2025-04-21 19:08:11+00:00,70.0,0.54,0.0,0.75,0.0,0.0,1.0,2,0.551762294921875,False,REGULAR,USD,L,0,2025-05-16,2025-04-23 13:04:52.691893,85.71499633789062
L250516P00075000,2025-04-21 19:08:11+00:00,75.0,0.82,0.0,0.8,0.0,0.0,6.0,6,0.5019581054687501,False,REGULAR,USD,L,0,2025-05-16,2025-04-23 13:04:52.691893,85.71499633789062
L250516P00080000,2025-04-22 15:22:56+00:00,80.0,0.97,0.0,1.75,0.0,0.0,3.0,23,0.4687553125,False,REGULAR,USD,L,0,2025-05-16,2025-04-23 13:04:52.691893,85.71499633789062
L250516P00085000,2025-04-21 18:02:01+00:00,85.0,4.0,1.95,2.8,0.0,0.0,4.0,29,0.36035795898437495,False,REGULAR,USD,L,0,2025-05-16,2025-04-23 13:04:52.691893,85.71499633789062
L250516P00090000,2025-04-10 13:50:58+00:00,90.0,5.94,3.4,6.2,0.0,0.0,3.0,5,0.40820904296875,True,REGULAR,USD,L,0,2025-05-16,2025-04-23 13:04:52.691893,85.71499633789062
L250620C00050000,2025-03-21 15:05:29+00:00,50.0,38.33,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD,L,1,2025-06-20,2025-04-23 13:04:52.747038,85.71499633789062
L250620C00070000,2024-12-05 14:31:29+00:00,70.0,18.3,16.4,19.1,0.0,0.0,1.0,1,0.5942423388671876,True,REGULAR,USD,L,1,2025-06-20,2025-04-23 13:04:52.747038,85.71499633789062
