contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
MAA250516C00145000,2025-04-14 16:21:20+00:00,145.0,13.31,14.8,17.1,0.0,0.0,,1.0,0.4234676794433594,1.0,REGULAR,USD,MAA,1,2025-05-16,2025-04-23 13:05:21.747438,160.5500030517578
MAA250516C00155000,2025-04-21 16:34:12+00:00,155.0,5.1,6.7,8.1,0.0,0.0,253.0,264.0,0.2990792749023437,1.0,REGULAR,USD,MAA,1,2025-05-16,2025-04-23 13:05:21.747438,160.5500030517578
MAA250516C00160000,2025-04-22 16:51:16+00:00,160.0,3.85,4.0,4.7,0.0,0.0,1.0,93.0,0.2695385546875,1.0,REGULAR,USD,MAA,1,2025-05-16,2025-04-23 13:05:21.747438,160.5500030517578
MAA250516C00165000,2025-04-23 13:44:19+00:00,165.0,1.87,0.45,3.2,-0.01999998,-1.0582,1.0,361.0,0.30762411132812495,0.0,REGULAR,USD,MAA,1,2025-05-16,2025-04-23 13:05:21.747438,160.5500030517578
MAA250516C00170000,2025-04-22 17:38:04+00:00,170.0,0.45,0.55,0.95,0.0,0.0,1.0,17.0,0.23841093627929685,0.0,REGULAR,USD,MAA,1,2025-05-16,2025-04-23 13:05:21.747438,160.5500030517578
MAA250516C00175000,2025-04-01 19:50:15+00:00,175.0,1.8,0.0,0.75,0.0,0.0,3.0,3.0,0.28882547119140617,0.0,REGULAR,USD,MAA,1,2025-05-16,2025-04-23 13:05:21.747438,160.5500030517578
MAA250516C00180000,2025-04-02 15:32:07+00:00,180.0,0.8,0.0,1.5,0.0,0.0,3.0,4.0,0.43457596679687505,0.0,REGULAR,USD,MAA,1,2025-05-16,2025-04-23 13:05:21.747438,160.5500030517578
MAA250516P00110000,2025-04-07 15:09:02+00:00,110.0,0.45,0.0,1.35,0.0,0.0,,1.0,0.9077157666015624,0.0,REGULAR,USD,MAA,0,2025-05-16,2025-04-23 13:05:21.748441,160.5500030517578
MAA250516P00130000,2025-04-08 19:46:34+00:00,130.0,2.4,0.05,1.6,0.0,0.0,,5.0,0.5930216479492189,0.0,REGULAR,USD,MAA,0,2025-05-16,2025-04-23 13:05:21.748441,160.5500030517578
MAA250516P00140000,2025-04-16 18:46:54+00:00,140.0,1.15,0.1,1.85,0.0,0.0,4.0,10.0,0.5491988439941409,0.0,REGULAR,USD,MAA,0,2025-05-16,2025-04-23 13:05:21.748441,160.5500030517578
MAA250516P00145000,2025-04-21 19:34:23+00:00,145.0,1.76,0.45,2.6,0.0,0.0,1.0,3.0,0.5199022619628906,0.0,REGULAR,USD,MAA,0,2025-05-16,2025-04-23 13:05:21.748441,160.5500030517578
MAA250516P00150000,2025-04-22 17:26:40+00:00,150.0,1.8,1.0,1.7,0.0,0.0,1.0,23.0,0.3413151806640625,0.0,REGULAR,USD,MAA,0,2025-05-16,2025-04-23 13:05:21.748441,160.5500030517578
MAA250516P00155000,2025-04-22 16:51:16+00:00,155.0,2.68,1.75,2.7,0.0,0.0,1.0,6.0,0.3094551477050781,0.0,REGULAR,USD,MAA,0,2025-05-16,2025-04-23 13:05:21.748441,160.5500030517578
MAA250516P00160000,2025-04-15 19:15:34+00:00,160.0,4.0,3.7,4.6,-2.8200002,-41.348976,1.0,49.0,0.2971261694335937,0.0,REGULAR,USD,MAA,0,2025-05-16,2025-04-23 13:05:21.748441,160.5500030517578
MAA250620C00100000,2025-04-11 14:53:13+00:00,100.0,51.22,58.5,62.5,0.0,0.0,2.0,0.0,0.8906260937499999,1.0,REGULAR,USD,MAA,1,2025-06-20,2025-04-23 13:05:21.807271,160.5500030517578
MAA250620C00115000,2025-04-07 14:11:02+00:00,115.0,36.0,44.0,47.5,0.0,0.0,,1.0,0.6763948376464846,1.0,REGULAR,USD,MAA,1,2025-06-20,2025-04-23 13:05:21.807271,160.5500030517578
MAA250620C00120000,2025-04-11 16:18:12+00:00,120.0,33.02,39.9,42.6,0.0,0.0,1.0,3.0,0.6187782263183594,1.0,REGULAR,USD,MAA,1,2025-06-20,2025-04-23 13:05:21.807271,160.5500030517578
MAA250620C00130000,2025-01-24 20:16:12+00:00,130.0,22.0,34.4,38.2,0.0,0.0,1.0,1.0,0.725466612548828,1.0,REGULAR,USD,MAA,1,2025-06-20,2025-04-23 13:05:21.807271,160.5500030517578
MAA250620C00140000,2025-03-31 17:57:29+00:00,140.0,28.08,20.9,23.7,0.0,0.0,1.0,3.0,0.42981527221679694,1.0,REGULAR,USD,MAA,1,2025-06-20,2025-04-23 13:05:21.807271,160.5500030517578
MAA250620C00145000,2025-04-07 15:54:43+00:00,145.0,13.0,16.3,19.3,0.0,0.0,1.0,3.0,0.3917907501220703,1.0,REGULAR,USD,MAA,1,2025-06-20,2025-04-23 13:05:21.807271,160.5500030517578
MAA250620C00150000,2025-04-22 14:48:20+00:00,150.0,12.7,13.1,14.8,0.0,0.0,1.0,4.0,0.34180345703125,1.0,REGULAR,USD,MAA,1,2025-06-20,2025-04-23 13:05:21.807271,160.5500030517578
MAA250620C00155000,2025-04-22 14:48:20+00:00,155.0,9.25,9.1,10.7,0.0,0.0,1.0,49.0,0.3006661730957031,1.0,REGULAR,USD,MAA,1,2025-06-20,2025-04-23 13:05:21.807271,160.5500030517578
MAA250620C00160000,2025-04-21 15:44:05+00:00,160.0,5.66,6.6,7.9,0.0,0.0,1.0,138.0,0.2966378930664062,1.0,REGULAR,USD,MAA,1,2025-06-20,2025-04-23 13:05:21.807271,160.5500030517578
MAA250620C00165000,2025-04-23 16:23:08+00:00,165.0,4.27,4.4,5.6,0.3699999,9.487176,4.0,129.0,0.2919992675781249,0.0,REGULAR,USD,MAA,1,2025-06-20,2025-04-23 13:05:21.807271,160.5500030517578
MAA250620C00170000,2025-04-23 16:13:02+00:00,170.0,2.53,2.1,2.6,-0.1400001,-5.2434497,3.0,23.0,0.23462679443359374,0.0,REGULAR,USD,MAA,1,2025-06-20,2025-04-23 13:05:21.807271,160.5500030517578
MAA250620C00175000,2025-04-15 15:04:14+00:00,175.0,0.9,0.95,1.7,0.0,0.0,1.0,172.0,0.2430495617675781,0.0,REGULAR,USD,MAA,1,2025-06-20,2025-04-23 13:05:21.807271,160.5500030517578
