contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
MAR250425C00145000,2025-04-10 17:02:08+00:00,145.0,78.9,83.5,86.6,0.0,0.0,,1,2.966799458007812,True,REGULAR,USD,MAR,1,2025-04-25,2025-04-23 13:04:59.321078,230.76499938964844
MAR250425C00150000,2025-04-07 15:14:35+00:00,150.0,64.5,78.5,81.7,0.0,0.0,,1,2.843752890625,True,REGULAR,USD,MAR,1,2025-04-25,2025-04-23 13:04:59.321078,230.76499938964844
MAR250425C00165000,2025-04-14 17:00:10+00:00,165.0,58.8,63.0,65.9,0.0,0.0,,1,1.6640641796875002,True,REGULAR,USD,MAR,1,2025-04-25,2025-04-23 13:04:59.321078,230.76499938964844
MAR250425C00170000,2025-04-14 17:00:06+00:00,170.0,53.8,58.6,61.7,0.0,0.0,,1,2.1357468481445308,True,REGULAR,USD,MAR,1,2025-04-25,2025-04-23 13:04:59.321078,230.76499938964844
MAR250425C00175000,2025-04-10 19:50:00+00:00,175.0,49.0,53.2,56.7,0.0,0.0,,1,1.96875015625,True,REGULAR,USD,MAR,1,2025-04-25,2025-04-23 13:04:59.321078,230.76499938964844
MAR250425C00190000,2025-04-07 13:32:23+00:00,190.0,26.0,38.3,41.4,0.0,0.0,,2,1.3603547607421875,True,REGULAR,USD,MAR,1,2025-04-25,2025-04-23 13:04:59.321078,230.76499938964844
MAR250425C00192500,2025-04-10 19:50:00+00:00,192.5,33.3,35.6,38.8,0.0,0.0,,1,1.2402381738281247,True,REGULAR,USD,MAR,1,2025-04-25,2025-04-23 13:04:59.321078,230.76499938964844
MAR250425C00195000,2025-04-07 14:13:28+00:00,195.0,29.0,33.3,36.9,0.0,0.0,1.0,1,1.3935577197265623,True,REGULAR,USD,MAR,1,2025-04-25,2025-04-23 13:04:59.321078,230.76499938964844
MAR250425C00197500,2025-04-08 18:30:22+00:00,197.5,24.4,30.5,34.4,0.0,0.0,,1,1.3125034374999998,True,REGULAR,USD,MAR,1,2025-04-25,2025-04-23 13:04:59.321078,230.76499938964844
MAR250425C00200000,2025-04-09 18:07:51+00:00,200.0,32.0,28.3,31.8,0.0,0.0,10.0,1,1.2016641479492187,True,REGULAR,USD,MAR,1,2025-04-25,2025-04-23 13:04:59.321078,230.76499938964844
MAR250425C00202500,2025-04-08 17:35:18+00:00,202.5,19.8,26.1,29.0,0.0,0.0,,3,1.027836892089844,True,REGULAR,USD,MAR,1,2025-04-25,2025-04-23 13:04:59.321078,230.76499938964844
MAR250425C00205000,2025-04-09 15:14:19+00:00,205.0,17.1,23.3,25.8,0.0,0.0,,2,0.5546919531250001,True,REGULAR,USD,MAR,1,2025-04-25,2025-04-23 13:04:59.321078,230.76499938964844
MAR250425C00210000,2025-04-08 16:04:02+00:00,210.0,16.35,18.2,20.9,0.0,0.0,3.0,4,0.5576216113281252,True,REGULAR,USD,MAR,1,2025-04-25,2025-04-23 13:04:59.321078,230.76499938964844
