contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
MAS250516C00055000,2025-04-22 19:53:25+00:00,55.0,6.8,5.6,6.3,0.0,0.0,2.0,3,0.523442265625,True,REGULAR,USD,MAS,1,2025-05-16,2025-04-23 13:05:01.819222,60.130001068115234
MAS250516C00060000,2025-04-22 19:53:25+00:00,60.0,4.2,1.4,3.5,1.0199997,32.075462,2.0,507,0.559574716796875,True,REGULAR,USD,MAS,1,2025-05-16,2025-04-23 13:05:01.819222,60.130001068115234
MAS250516C00065000,2025-04-22 19:49:58+00:00,65.0,0.9,0.0,0.65,-0.5,-35.714287,1.0,1815,0.3618227880859375,False,REGULAR,USD,MAS,1,2025-05-16,2025-04-23 13:05:01.819222,60.130001068115234
MAS250516C00070000,2025-04-22 14:45:47+00:00,70.0,0.33,0.0,0.85,0.0,0.0,1.0,9,0.6001016552734376,False,REGULAR,USD,MAS,1,2025-05-16,2025-04-23 13:05:01.819222,60.130001068115234
MAS250516C00075000,2025-04-22 19:40:08+00:00,75.0,0.24,0.0,1.35,0.0,0.0,542.0,540,0.7128934960937501,False,REGULAR,USD,MAS,1,2025-05-16,2025-04-23 13:05:01.819222,60.130001068115234
MAS250516C00080000,2025-04-22 19:40:08+00:00,80.0,0.19,0.0,2.15,0.0,0.0,10.0,72,0.9711916943359374,False,REGULAR,USD,MAS,1,2025-05-16,2025-04-23 13:05:01.819222,60.130001068115234
MAS250516P00050000,2025-04-22 17:40:27+00:00,50.0,0.45,0.05,0.45,0.0,0.0,950.0,937,0.506840869140625,False,REGULAR,USD,MAS,0,2025-05-16,2025-04-23 13:05:01.820225,60.130001068115234
MAS250516P00055000,2025-04-23 14:15:58+00:00,55.0,0.4,0.5,0.8,-0.49999997,-55.555553,32.0,40,0.4419001123046875,False,REGULAR,USD,MAS,0,2025-05-16,2025-04-23 13:05:01.820225,60.130001068115234
MAS250516P00060000,2025-04-23 14:14:21+00:00,60.0,1.6,1.2,2.4,-0.39999998,-19.999998,551.0,1819,0.401373173828125,False,REGULAR,USD,MAS,0,2025-05-16,2025-04-23 13:05:01.820225,60.130001068115234
MAS250516P00065000,2025-04-22 17:46:34+00:00,65.0,5.4,3.1,7.0,0.0,0.0,1.0,17,0.6440465283203125,True,REGULAR,USD,MAS,0,2025-05-16,2025-04-23 13:05:01.820225,60.130001068115234
MAS250516P00070000,2025-04-14 15:09:26+00:00,70.0,7.4,7.9,11.3,0.0,0.0,1.0,86,0.7309597216796875,True,REGULAR,USD,MAS,0,2025-05-16,2025-04-23 13:05:01.820225,60.130001068115234
MAS250516P00075000,2025-04-01 13:51:10+00:00,75.0,6.3,12.8,17.0,0.0,0.0,,4,1.0595750146484377,True,REGULAR,USD,MAS,0,2025-05-16,2025-04-23 13:05:01.820225,60.130001068115234
MAS250718C00060000,2025-04-22 18:40:14+00:00,60.0,5.1,2.5,4.1,0.0,0.0,1.0,16,0.3452213916015625,True,REGULAR,USD,MAS,1,2025-07-18,2025-04-23 13:05:01.886391,60.130001068115234
MAS250718C00065000,2025-04-22 17:54:31+00:00,65.0,2.5,0.3,2.15,0.0,0.0,19.0,22,0.34009448974609374,False,REGULAR,USD,MAS,1,2025-07-18,2025-04-23 13:05:01.886391,60.130001068115234
MAS250718C00070000,2025-04-21 19:56:14+00:00,70.0,1.3,0.4,0.95,0.0,0.0,4.0,80,0.3278875805664062,False,REGULAR,USD,MAS,1,2025-07-18,2025-04-23 13:05:01.886391,60.130001068115234
MAS250718C00075000,2025-04-22 18:55:28+00:00,75.0,0.65,0.0,0.45,0.0,0.0,8.0,294,0.3354558642578125,False,REGULAR,USD,MAS,1,2025-07-18,2025-04-23 13:05:01.886391,60.130001068115234
