contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
MCD250425C00180000,2025-04-09 17:18:52+00:00,180.0,118.4,135.65,138.45,0.0,0.0,,1,3.107424106445312,True,REGULAR,USD,MCD,1,2025-04-25,2025-04-23 13:05:05.680297,317.9200134277344
MCD250425C00190000,2025-04-09 17:18:52+00:00,190.0,108.5,125.35,128.35,0.0,0.0,,1,2.755862485351563,True,REGULAR,USD,MCD,1,2025-04-25,2025-04-23 13:05:05.680297,317.9200134277344
MCD250425C00195000,2025-04-09 17:18:51+00:00,195.0,103.55,120.4,123.35,0.0,0.0,,3,2.630862797851563,True,REGULAR,USD,MCD,1,2025-04-25,2025-04-23 13:05:05.680297,317.9200134277344
MCD250425C00210000,2025-04-09 17:18:51+00:00,210.0,88.65,105.4,108.45,0.0,0.0,,11,2.3515666210937494,True,REGULAR,USD,MCD,1,2025-04-25,2025-04-23 13:05:05.680297,317.9200134277344
MCD250425C00215000,2025-04-07 17:00:24+00:00,215.0,84.6,100.35,103.3,0.0,0.0,,11,2.123051567382812,True,REGULAR,USD,MCD,1,2025-04-25,2025-04-23 13:05:05.680297,317.9200134277344
MCD250425C00260000,2025-04-14 13:30:02+00:00,260.0,53.05,55.45,58.35,0.0,0.0,18.0,18,1.2236366943359376,True,REGULAR,USD,MCD,1,2025-04-25,2025-04-23 13:05:05.680297,317.9200134277344
MCD250425C00270000,2025-04-11 17:31:03+00:00,270.0,37.77,45.3,47.85,0.0,0.0,,5,1.0000000000000003e-05,True,REGULAR,USD,MCD,1,2025-04-25,2025-04-23 13:05:05.680297,317.9200134277344
MCD250425C00275000,2025-04-11 17:11:57+00:00,275.0,33.61,40.65,43.4,0.0,0.0,,1,0.9521489160156249,True,REGULAR,USD,MCD,1,2025-04-25,2025-04-23 13:05:05.680297,317.9200134277344
MCD250425C00280000,2025-04-10 17:23:52+00:00,280.0,23.3,35.35,38.3,0.0,0.0,2.0,15,0.8168963623046874,True,REGULAR,USD,MCD,1,2025-04-25,2025-04-23 13:05:05.680297,317.9200134277344
MCD250425C00285000,2025-04-14 13:30:02+00:00,285.0,28.5,31.15,33.1,0.0,0.0,18.0,25,0.6337927246093751,True,REGULAR,USD,MCD,1,2025-04-25,2025-04-23 13:05:05.680297,317.9200134277344
MCD250425C00287500,2025-04-15 18:00:45+00:00,287.5,25.8,28.4,30.85,0.0,0.0,,2,0.692385888671875,True,REGULAR,USD,MCD,1,2025-04-25,2025-04-23 13:05:05.680297,317.9200134277344
