contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
MCHP250425C00026000,2025-04-16 15:19:18+00:00,26.0,12.0,16.1,16.6,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD,MCHP,1,2025-04-25,2025-04-23 13:05:17.108315,42.65999984741211
MCHP250425C00030000,2025-04-14 19:26:11+00:00,30.0,9.41,12.1,12.3,0.0,0.0,,3,1.0000000000000003e-05,True,REGULAR,USD,MCHP,1,2025-04-25,2025-04-23 13:05:17.108315,42.65999984741211
MCHP250425C00031000,2025-04-14 16:58:51+00:00,31.0,8.1,11.1,11.4,0.0,0.0,,3,1.0000000000000003e-05,True,REGULAR,USD,MCHP,1,2025-04-25,2025-04-23 13:05:17.108315,42.65999984741211
MCHP250425C00034000,2025-04-23 13:30:01+00:00,34.0,8.5,8.0,8.4,2.1999998,34.92063,12.0,58,1.0000000000000003e-05,True,REGULAR,USD,MCHP,1,2025-04-25,2025-04-23 13:05:17.108315,42.65999984741211
MCHP250425C00035000,2025-04-17 14:01:02+00:00,35.0,3.6,6.9,8.3,0.0,0.0,2.0,4,2.189457651367187,True,REGULAR,USD,MCHP,1,2025-04-25,2025-04-23 13:05:17.108315,42.65999984741211
MCHP250425C00036000,2025-04-21 13:58:33+00:00,36.0,2.89,6.1,6.9,0.0,0.0,3.0,7,1.453127734375,True,REGULAR,USD,MCHP,1,2025-04-25,2025-04-23 13:05:17.108315,42.65999984741211
MCHP250425C00037000,2025-04-22 19:06:57+00:00,37.0,5.3,5.0,5.5,1.7000003,89.47372,1.0,7,1.0000000000000003e-05,True,REGULAR,USD,MCHP,1,2025-04-25,2025-04-23 13:05:17.108315,42.65999984741211
MCHP250425C00037500,2025-04-23 14:06:20+00:00,37.5,5.7,4.7,5.0,3.8899999,214.91713,2.0,35,1.0000000000000003e-05,True,REGULAR,USD,MCHP,1,2025-04-25,2025-04-23 13:05:17.108315,42.65999984741211
MCHP250425C00038000,2025-04-22 14:16:02+00:00,38.0,3.05,3.7,6.0,0.0,0.0,3.0,48,1.0234423828125,True,REGULAR,USD,MCHP,1,2025-04-25,2025-04-23 13:05:17.108315,42.65999984741211
MCHP250425C00038500,2025-04-23 13:44:04+00:00,38.5,4.55,3.8,4.4,2.0300002,80.555565,2.0,33,1.0039112304687499,True,REGULAR,USD,MCHP,1,2025-04-25,2025-04-23 13:05:17.108315,42.65999984741211
MCHP250425C00039000,2025-04-22 19:41:05+00:00,39.0,3.4,3.4,3.6,1.9000001,126.66668,3.0,105,1.0000000000000003e-05,True,REGULAR,USD,MCHP,1,2025-04-25,2025-04-23 13:05:17.108315,42.65999984741211
MCHP250425C00039500,2025-04-23 15:03:28+00:00,39.5,3.48,3.0,3.2,1.88,117.5,3.0,69,0.51562984375,True,REGULAR,USD,MCHP,1,2025-04-25,2025-04-23 13:05:17.108315,42.65999984741211
MCHP250425C00040000,2025-04-23 14:48:06+00:00,40.0,2.8,2.6,2.75,1.75,166.66667,18.0,113,0.5410202148437502,True,REGULAR,USD,MCHP,1,2025-04-25,2025-04-23 13:05:17.108315,42.65999984741211
MCHP250425C00040500,2025-04-22 19:04:50+00:00,40.5,2.7,2.2,2.4,1.6500001,157.14288,2.0,179,0.5273484765625001,True,REGULAR,USD,MCHP,1,2025-04-25,2025-04-23 13:05:17.108315,42.65999984741211
MCHP250425C00041000,2025-04-23 15:50:32+00:00,41.0,1.95,1.9,2.05,1.1500001,143.75002,38.0,1079,0.6054726953125001,True,REGULAR,USD,MCHP,1,2025-04-25,2025-04-23 13:05:17.108315,42.65999984741211
MCHP250425C00041500,2025-04-23 15:16:53+00:00,41.5,2.15,1.6,1.75,1.7,377.77774,11.0,28,0.65039412109375,True,REGULAR,USD,MCHP,1,2025-04-25,2025-04-23 13:05:17.108315,42.65999984741211
MCHP250425C00042000,2025-04-23 16:32:42+00:00,42.0,1.34,1.3,1.45,0.89000005,174.50984,19.0,248,0.6601596484375001,True,REGULAR,USD,MCHP,1,2025-04-25,2025-04-23 13:05:17.108315,42.65999984741211
MCHP250425C00042500,2025-04-23 16:14:16+00:00,42.5,1.07,1.05,1.2,0.77000004,256.6667,295.0,297,0.6777375976562501,True,REGULAR,USD,MCHP,1,2025-04-25,2025-04-23 13:05:17.108315,42.65999984741211
MCHP250425C00043000,2025-04-23 15:44:46+00:00,43.0,1.05,0.85,1.0,0.74999994,249.99997,48.0,5,0.70117486328125,False,REGULAR,USD,MCHP,1,2025-04-25,2025-04-23 13:05:17.108315,42.65999984741211
MCHP250425C00043500,2025-04-23 14:12:40+00:00,43.5,0.9,0.65,0.8,0.66999996,291.3043,11.0,19,0.702151416015625,False,REGULAR,USD,MCHP,1,2025-04-25,2025-04-23 13:05:17.108315,42.65999984741211
MCHP250425C00044000,2025-04-23 15:18:33+00:00,44.0,0.65,0.45,0.6,0.53,441.66663,6.0,49,0.6787141503906251,False,REGULAR,USD,MCHP,1,2025-04-25,2025-04-23 13:05:17.108315,42.65999984741211
