contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
MCK250425C00330000,2025-04-09 17:19:33+00:00,330.0,332.5,351.1,359.7,0.0,0.0,,2,4.224614094238281,True,REGULAR,USD,MCK,1,2025-04-25,2025-04-23 13:05:07.172982,687.7999877929688
MCK250425C00625000,2025-04-09 15:44:15+00:00,625.0,42.5,56.7,64.8,0.0,0.0,,2,0.7924825439453125,True,REGULAR,USD,MCK,1,2025-04-25,2025-04-23 13:05:07.172982,687.7999877929688
MCK250425C00650000,2025-04-03 13:46:15+00:00,650.0,71.8,35.1,41.4,0.0,0.0,3.0,3,0.6535679174804689,True,REGULAR,USD,MCK,1,2025-04-25,2025-04-23 13:05:07.172982,687.7999877929688
MCK250425C00660000,2025-04-11 15:38:35+00:00,660.0,30.9,23.0,28.7,0.0,0.0,2.0,3,0.34290207885742185,True,REGULAR,USD,MCK,1,2025-04-25,2025-04-23 13:05:07.172982,687.7999877929688
MCK250425C00665000,2025-04-22 15:52:40+00:00,665.0,13.9,19.0,26.4,-15.290001,-52.380955,3.0,1,0.4745535943603516,True,REGULAR,USD,MCK,1,2025-04-25,2025-04-23 13:05:07.172982,687.7999877929688
MCK250425C00670000,2025-04-23 14:24:06+00:00,670.0,21.0,13.3,19.8,-10.08,-32.432434,17.0,3,0.3221503332519531,True,REGULAR,USD,MCK,1,2025-04-25,2025-04-23 13:05:07.172982,687.7999877929688
MCK250425C00675000,2025-04-23 13:37:16+00:00,675.0,6.65,10.1,18.8,-21.43,-76.317665,1.0,1,0.4569756451416016,True,REGULAR,USD,MCK,1,2025-04-25,2025-04-23 13:05:07.172982,687.7999877929688
MCK250425C00680000,2025-04-22 15:04:25+00:00,680.0,16.0,6.0,14.8,0.0,0.0,3.0,5,0.4220638848876953,True,REGULAR,USD,MCK,1,2025-04-25,2025-04-23 13:05:07.172982,687.7999877929688
MCK250425C00685000,2025-04-21 19:07:49+00:00,685.0,5.8,3.0,9.6,0.0,0.0,1.0,1,0.32721620056152345,True,REGULAR,USD,MCK,1,2025-04-25,2025-04-23 13:05:07.172982,687.7999877929688
MCK250425C00690000,2025-04-23 14:45:48+00:00,690.0,4.47,2.55,5.9,-6.6300006,-59.729733,2.0,19,0.2786937365722656,False,REGULAR,USD,MCK,1,2025-04-25,2025-04-23 13:05:07.172982,687.7999877929688
MCK250425C00695000,2025-04-23 14:32:44+00:00,695.0,1.88,2.5,4.6,-2.0100002,-51.670956,2.0,19,0.30664755859375,False,REGULAR,USD,MCK,1,2025-04-25,2025-04-23 13:05:07.172982,687.7999877929688
MCK250425C00697500,2025-04-22 17:25:27+00:00,697.5,3.22,0.0,3.0,0.0,0.0,2.0,17,0.2703930383300781,False,REGULAR,USD,MCK,1,2025-04-25,2025-04-23 13:05:07.172982,687.7999877929688
MCK250425C00700000,2025-04-22 19:34:18+00:00,700.0,0.7,0.0,4.6,-4.05,-85.26316,1.0,9,0.3776307354736328,False,REGULAR,USD,MCK,1,2025-04-25,2025-04-23 13:05:07.172982,687.7999877929688
MCK250425C00702500,2025-04-17 17:47:12+00:00,702.5,7.0,0.05,4.8,0.0,0.0,4.0,21,0.42017181396484377,False,REGULAR,USD,MCK,1,2025-04-25,2025-04-23 13:05:07.172982,687.7999877929688
MCK250425C00705000,2025-04-17 19:40:29+00:00,705.0,4.1,0.0,3.5,0.0,0.0,5.0,8,0.38867798828125,False,REGULAR,USD,MCK,1,2025-04-25,2025-04-23 13:05:07.172982,687.7999877929688
MCK250425C00710000,2025-04-16 16:24:15+00:00,710.0,3.0,0.05,3.4,0.0,0.0,2.0,41,0.4415339050292969,False,REGULAR,USD,MCK,1,2025-04-25,2025-04-23 13:05:07.172982,687.7999877929688
MCK250425C00715000,2025-04-16 15:30:02+00:00,715.0,1.61,0.0,3.2,0.0,0.0,20.0,20,0.4849905017089844,False,REGULAR,USD,MCK,1,2025-04-25,2025-04-23 13:05:07.172982,687.7999877929688
MCK250425C00720000,2025-04-23 14:03:31+00:00,720.0,0.05,0.0,2.95,-0.39,-88.63637,2.0,41,0.5217332983398437,False,REGULAR,USD,MCK,1,2025-04-25,2025-04-23 13:05:07.172982,687.7999877929688
MCK250425C00725000,2025-04-17 19:11:34+00:00,725.0,1.05,0.0,2.85,0.0,0.0,1.0,1,0.5647016186523439,False,REGULAR,USD,MCK,1,2025-04-25,2025-04-23 13:05:07.172982,687.7999877929688
MCK250425C00730000,2025-04-11 18:54:18+00:00,730.0,1.45,0.0,2.85,0.0,0.0,3.0,6,0.5004932763671875,False,REGULAR,USD,MCK,1,2025-04-25,2025-04-23 13:05:07.172982,687.7999877929688
MCK250425C00750000,2025-04-21 14:03:27+00:00,750.0,0.2,0.0,4.8,0.0,0.0,4.0,4,0.7541528491210938,False,REGULAR,USD,MCK,1,2025-04-25,2025-04-23 13:05:07.172982,687.7999877929688
MCK250425C00755000,2025-04-14 13:48:15+00:00,755.0,0.33,0.0,4.8,0.0,0.0,,20,0.7952901330566406,False,REGULAR,USD,MCK,1,2025-04-25,2025-04-23 13:05:07.172982,687.7999877929688
MCK250425C00760000,2025-04-21 15:13:12+00:00,760.0,0.1,0.0,4.8,0.0,0.0,11.0,33,0.8355729333496091,False,REGULAR,USD,MCK,1,2025-04-25,2025-04-23 13:05:07.172982,687.7999877929688
MCK250425C00790000,2025-04-14 13:35:53+00:00,790.0,0.05,0.0,4.8,0.0,0.0,1.0,1,1.0634812451171878,False,REGULAR,USD,MCK,1,2025-04-25,2025-04-23 13:05:07.172982,687.7999877929688
MCK250425C00830000,2025-04-17 15:01:54+00:00,830.0,0.05,0.0,3.6,0.0,0.0,10.0,10,1.2600134655761717,False,REGULAR,USD,MCK,1,2025-04-25,2025-04-23 13:05:07.172982,687.7999877929688
MCK250425C00835000,2025-04-17 17:01:33+00:00,835.0,0.1,0.0,4.8,0.0,0.0,4.0,4,1.37109689453125,False,REGULAR,USD,MCK,1,2025-04-25,2025-04-23 13:05:07.172982,687.7999877929688
MCK250425C00850000,2025-04-21 15:16:15+00:00,850.0,0.05,0.0,0.05,0.0,0.0,5.0,17,0.789064609375,False,REGULAR,USD,MCK,1,2025-04-25,2025-04-23 13:05:07.172982,687.7999877929688
MCK250425C00860000,2025-04-11 15:36:12+00:00,860.0,0.45,0.0,3.4,0.0,0.0,,5,1.4270048181152344,False,REGULAR,USD,MCK,1,2025-04-25,2025-04-23 13:05:07.172982,687.7999877929688
MCK250425P00570000,2025-03-24 15:31:10+00:00,570.0,0.77,0.0,1.7,0.0,0.0,,1,1.1323285571289063,False,REGULAR,USD,MCK,0,2025-04-25,2025-04-23 13:05:07.174988,687.7999877929688
MCK250425P00600000,2025-03-24 17:33:00+00:00,600.0,1.78,0.0,2.6,0.0,0.0,,3,0.9455571850585938,False,REGULAR,USD,MCK,0,2025-04-25,2025-04-23 13:05:07.174988,687.7999877929688
MCK250425P00610000,2025-04-16 13:30:26+00:00,610.0,1.51,0.0,2.6,0.0,0.0,1.0,3,0.8527846752929689,False,REGULAR,USD,MCK,0,2025-04-25,2025-04-23 13:05:07.174988,687.7999877929688
MCK250425P00620000,2025-04-16 13:30:26+00:00,620.0,1.71,0.0,1.7,0.0,0.0,1.0,42,0.694338994140625,False,REGULAR,USD,MCK,0,2025-04-25,2025-04-23 13:05:07.174988,687.7999877929688
MCK250425P00630000,2025-04-21 15:10:43+00:00,630.0,0.6,0.0,1.5,0.0,0.0,1.0,2,0.5913126806640626,False,REGULAR,USD,MCK,0,2025-04-25,2025-04-23 13:05:07.174988,687.7999877929688
MCK250425P00635000,2025-04-17 15:33:18+00:00,635.0,0.1,0.0,2.6,0.0,0.0,1.0,1,0.6201209863281252,False,REGULAR,USD,MCK,0,2025-04-25,2025-04-23 13:05:07.174988,687.7999877929688
MCK250425P00640000,2025-04-23 14:41:02+00:00,640.0,0.45,0.0,1.05,-0.39,-46.428574,2.0,3,0.5441940112304688,False,REGULAR,USD,MCK,0,2025-04-25,2025-04-23 13:05:07.174988,687.7999877929688
MCK250425P00645000,2025-04-07 15:37:46+00:00,645.0,17.0,0.0,3.1,0.0,0.0,,29,0.5500533276367189,False,REGULAR,USD,MCK,0,2025-04-25,2025-04-23 13:05:07.174988,687.7999877929688
MCK250425P00650000,2025-04-16 16:49:13+00:00,650.0,0.3,0.0,2.3,-1.0999999,-78.571434,1.0,23,0.5625043750000001,False,REGULAR,USD,MCK,0,2025-04-25,2025-04-23 13:05:07.174988,687.7999877929688
MCK250425P00655000,2025-04-16 14:11:18+00:00,655.0,1.73,0.0,2.5,0.0,0.0,20.0,23,0.5229539892578124,False,REGULAR,USD,MCK,0,2025-04-25,2025-04-23 13:05:07.174988,687.7999877929688
MCK250425P00660000,2025-04-23 14:19:58+00:00,660.0,1.6,0.0,3.2,-1.9,-54.285713,1.0,7,0.5117236328125,False,REGULAR,USD,MCK,0,2025-04-25,2025-04-23 13:05:07.174988,687.7999877929688
MCK250425P00665000,2025-04-23 14:12:21+00:00,665.0,0.6,0.05,3.7,-1.9899999,-76.83398,1.0,6,0.4801077380371094,False,REGULAR,USD,MCK,0,2025-04-25,2025-04-23 13:05:07.174988,687.7999877929688
MCK250425P00667500,2025-04-21 15:36:15+00:00,667.5,0.85,0.05,5.8,0.0,0.0,1.0,3,0.5553633331298828,False,REGULAR,USD,MCK,0,2025-04-25,2025-04-23 13:05:07.174988,687.7999877929688
MCK250425P00670000,2025-04-16 16:41:41+00:00,670.0,2.76,0.05,5.5,0.0,0.0,8.0,7,0.5061084545898438,False,REGULAR,USD,MCK,0,2025-04-25,2025-04-23 13:05:07.174988,687.7999877929688
MCK250425P00672500,2025-04-23 14:19:58+00:00,672.5,2.4,0.05,4.6,-1.0,-29.411764,2.0,2,0.42804527038574225,False,REGULAR,USD,MCK,0,2025-04-25,2025-04-23 13:05:07.174988,687.7999877929688
MCK250425P00675000,2025-04-16 14:03:55+00:00,675.0,2.0,0.15,6.5,-2.0,-50.0,10.0,1,0.47937532348632805,False,REGULAR,USD,MCK,0,2025-04-25,2025-04-23 13:05:07.174988,687.7999877929688
MCK250425P00677500,2025-04-22 17:38:22+00:00,677.5,4.0,0.65,5.0,0.0,0.0,5.0,11,0.37476211181640623,False,REGULAR,USD,MCK,0,2025-04-25,2025-04-23 13:05:07.174988,687.7999877929688
MCK250425P00680000,2025-04-23 13:50:02+00:00,680.0,2.8,1.75,6.0,-5.8,-67.44186,28.0,30,0.37964487548828124,False,REGULAR,USD,MCK,0,2025-04-25,2025-04-23 13:05:07.174988,687.7999877929688
MCK250425P00685000,2025-04-23 15:48:55+00:00,685.0,5.0,0.9,6.7,-2.8000002,-35.897438,4.0,6,0.32318792053222645,False,REGULAR,USD,MCK,0,2025-04-25,2025-04-23 13:05:07.174988,687.7999877929688
MCK250425P00690000,2025-04-22 19:23:48+00:00,690.0,9.8,3.3,10.7,4.6000004,88.46155,2.0,10,0.3836731555175781,True,REGULAR,USD,MCK,0,2025-04-25,2025-04-23 13:05:07.174988,687.7999877929688
MCK250425P00695000,2025-04-17 14:41:05+00:00,695.0,15.9,9.2,14.5,7.799999,96.29629,1.0,2,0.4202938830566406,True,REGULAR,USD,MCK,0,2025-04-25,2025-04-23 13:05:07.174988,687.7999877929688
MCK250425P00697500,2025-04-21 15:26:48+00:00,697.5,20.0,9.0,17.4,7.8500004,64.60906,1.0,5,0.4762015270996094,True,REGULAR,USD,MCK,0,2025-04-25,2025-04-23 13:05:07.174988,687.7999877929688
MCK250425P00700000,2025-04-21 19:56:52+00:00,700.0,14.59,13.1,19.3,-4.41,-23.210526,2.0,119,0.4879811944580079,True,REGULAR,USD,MCK,0,2025-04-25,2025-04-23 13:05:07.174988,687.7999877929688
MCK250425P00702500,2025-04-21 15:12:14+00:00,702.5,15.6,11.7,20.3,0.0,0.0,2.0,1,0.4568535760498047,True,REGULAR,USD,MCK,0,2025-04-25,2025-04-23 13:05:07.174988,687.7999877929688
MCK250425P00710000,2025-04-21 18:19:49+00:00,710.0,33.0,18.4,27.0,0.0,0.0,4.0,15,0.5141650146484374,True,REGULAR,USD,MCK,0,2025-04-25,2025-04-23 13:05:07.174988,687.7999877929688
MCK250425P00730000,2025-04-03 16:56:25+00:00,730.0,24.9,40.6,49.6,0.0,0.0,,4,0.6159706372070313,True,REGULAR,USD,MCK,0,2025-04-25,2025-04-23 13:05:07.174988,687.7999877929688
