contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
MDLZ250425C00060000,2025-03-21 14:41:01+00:00,60.0,4.31,0.0,0.0,0.0,0.0,3.0,0.0,1.0000000000000003e-05,1.0,REGULAR,USD,MDLZ,1,2025-04-25,2025-04-23 13:05:25.121613,67.54000091552734
MDLZ250425C00062000,2025-03-07 20:57:51+00:00,62.0,6.44,0.0,0.0,0.0,0.0,2.0,0.0,1.0000000000000003e-05,1.0,REGULAR,USD,MDLZ,1,2025-04-25,2025-04-23 13:05:25.121613,67.54000091552734
MDLZ250425C00063000,2025-04-03 14:43:55+00:00,63.0,5.68,2.7,5.3,0.0,0.0,2.0,1.0,1.0048877880859375,1.0,REGULAR,USD,MDLZ,1,2025-04-25,2025-04-23 13:05:25.121613,67.54000091552734
MDLZ250425C00064000,2025-04-23 16:15:29+00:00,64.0,3.61,2.35,3.9,0.6099999,20.33333,1.0,3.0,0.637698935546875,1.0,REGULAR,USD,MDLZ,1,2025-04-25,2025-04-23 13:05:25.121613,67.54000091552734
MDLZ250425C00065000,2025-04-22 17:25:35+00:00,65.0,3.68,2.4,2.95,0.0,0.0,4.0,13.0,0.5449264257812501,1.0,REGULAR,USD,MDLZ,1,2025-04-25,2025-04-23 13:05:25.121613,67.54000091552734
MDLZ250425C00066000,2025-04-23 14:00:13+00:00,66.0,2.3,1.55,1.75,-0.20000005,-8.000002,5.0,47.0,0.305671005859375,1.0,REGULAR,USD,MDLZ,1,2025-04-25,2025-04-23 13:05:25.121613,67.54000091552734
MDLZ250425C00067000,2025-04-22 16:03:43+00:00,67.0,2.15,0.8,0.95,0.0,0.0,8.0,122.0,0.264655791015625,1.0,REGULAR,USD,MDLZ,1,2025-04-25,2025-04-23 13:05:25.121613,67.54000091552734
MDLZ250425C00068000,2025-04-23 14:08:30+00:00,68.0,0.5,0.3,0.4,-0.45,-47.368423,34.0,138.0,0.2461012890625,0.0,REGULAR,USD,MDLZ,1,2025-04-25,2025-04-23 13:05:25.121613,67.54000091552734
MDLZ250425C00069000,2025-04-23 13:44:41+00:00,69.0,0.3,0.05,0.15,-0.099999994,-24.999998,6.0,202.0,0.25391371093750004,0.0,REGULAR,USD,MDLZ,1,2025-04-25,2025-04-23 13:05:25.121613,67.54000091552734
MDLZ250425C00070000,2025-04-22 19:57:00+00:00,70.0,0.15,0.0,0.15,0.0,0.0,57.0,212.0,0.35547519531249994,0.0,REGULAR,USD,MDLZ,1,2025-04-25,2025-04-23 13:05:25.121613,67.54000091552734
MDLZ250425C00071000,2025-04-15 14:33:26+00:00,71.0,0.25,0.0,0.2,0.0,0.0,3.0,111.0,0.4892629199218751,0.0,REGULAR,USD,MDLZ,1,2025-04-25,2025-04-23 13:05:25.121613,67.54000091552734
MDLZ250425C00072000,2025-04-15 15:55:16+00:00,72.0,0.68,0.0,0.75,0.0,0.0,1.0,5.0,0.7070341796875,0.0,REGULAR,USD,MDLZ,1,2025-04-25,2025-04-23 13:05:25.121613,67.54000091552734
