contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
META250425C00200000,2025-03-27 15:13:57+00:00,200.0,413.0,319.55,322.35,0.0,0.0,,1,4.652347934570313,True,REGULAR,USD,META,1,2025-04-25,2025-04-23 13:05:11.885820,521.8200073242188
META250425C00250000,2025-03-25 15:23:10+00:00,250.0,382.0,269.7,271.95,0.0,0.0,,1,3.0781273046874995,True,REGULAR,USD,META,1,2025-04-25,2025-04-23 13:05:11.885820,521.8200073242188
META250425C00260000,2025-04-07 14:38:29+00:00,260.0,243.88,259.5,262.35,0.0,0.0,5.0,4,3.4628919677734373,True,REGULAR,USD,META,1,2025-04-25,2025-04-23 13:05:11.885820,521.8200073242188
META250425C00270000,2025-04-07 15:31:25+00:00,270.0,236.87,249.45,252.1,0.0,0.0,9.0,8,3.031252421875,True,REGULAR,USD,META,1,2025-04-25,2025-04-23 13:05:11.885820,521.8200073242188
META250425C00280000,2025-04-07 15:42:34+00:00,280.0,236.06,239.2,242.1,0.0,0.0,5.0,3,2.8769559326171876,True,REGULAR,USD,META,1,2025-04-25,2025-04-23 13:05:11.885820,521.8200073242188
META250425C00290000,2025-04-07 15:08:18+00:00,290.0,225.55,229.45,232.05,0.0,0.0,27.0,25,2.6640658398437504,True,REGULAR,USD,META,1,2025-04-25,2025-04-23 13:05:11.885820,521.8200073242188
META250425C00300000,2025-04-23 14:26:47+00:00,300.0,220.0,219.3,222.1,28.0,14.583333,6.0,18,2.5839879150390628,True,REGULAR,USD,META,1,2025-04-25,2025-04-23 13:05:11.885820,521.8200073242188
META250425C00310000,2025-04-07 16:15:02+00:00,310.0,200.01,209.6,212.1,0.0,0.0,43.0,13,2.4433632666015628,True,REGULAR,USD,META,1,2025-04-25,2025-04-23 13:05:11.885820,521.8200073242188
META250425C00315000,2025-04-15 13:57:42+00:00,315.0,219.55,204.45,207.2,0.0,0.0,1.0,2,2.4707069482421877,True,REGULAR,USD,META,1,2025-04-25,2025-04-23 13:05:11.885820,521.8200073242188
META250425C00320000,2025-04-16 19:06:48+00:00,320.0,177.7,199.55,202.15,0.0,0.0,1.0,9,2.357425981445312,True,REGULAR,USD,META,1,2025-04-25,2025-04-23 13:05:11.885820,521.8200073242188
META250425C00340000,2025-04-22 17:26:05+00:00,340.0,156.9,179.6,182.1,0.0,0.0,1.0,8,2.0488330029296877,True,REGULAR,USD,META,1,2025-04-25,2025-04-23 13:05:11.885820,521.8200073242188
META250425C00345000,2025-04-22 17:50:45+00:00,345.0,150.32,174.55,177.5,0.0,0.0,3.0,1,2.2509809350585934,True,REGULAR,USD,META,1,2025-04-25,2025-04-23 13:05:11.885820,521.8200073242188
META250425C00350000,2025-04-17 16:43:20+00:00,350.0,151.0,169.6,171.9,0.0,0.0,3.0,3,1.6601579492187502,True,REGULAR,USD,META,1,2025-04-25,2025-04-23 13:05:11.885820,521.8200073242188
META250425C00355000,2025-04-16 15:05:32+00:00,355.0,153.62,164.65,167.4,0.0,0.0,1.0,1,2.0625048437499998,True,REGULAR,USD,META,1,2025-04-25,2025-04-23 13:05:11.885820,521.8200073242188
META250425C00360000,2025-04-14 18:44:30+00:00,360.0,175.9,159.65,162.2,0.0,0.0,6.0,3,1.876953740234375,True,REGULAR,USD,META,1,2025-04-25,2025-04-23 13:05:11.885820,521.8200073242188
META250425C00365000,2025-04-16 15:22:15+00:00,365.0,158.82,154.65,156.9,14.290009,9.887227,4.0,6,1.5000025,True,REGULAR,USD,META,1,2025-04-25,2025-04-23 13:05:11.885820,521.8200073242188
META250425C00370000,2025-04-22 19:55:13+00:00,370.0,129.73,149.55,152.0,0.0,0.0,1.0,0,1.5898458007812497,True,REGULAR,USD,META,1,2025-04-25,2025-04-23 13:05:11.885820,521.8200073242188
META250425C00380000,2025-04-11 17:19:49+00:00,380.0,158.83,139.55,142.35,0.0,0.0,1.0,0,1.716798291015625,True,REGULAR,USD,META,1,2025-04-25,2025-04-23 13:05:11.885820,521.8200073242188
META250425C00382500,2025-04-15 17:09:53+00:00,382.5,141.6,137.05,139.7,0.0,0.0,,1,1.6035176074218749,True,REGULAR,USD,META,1,2025-04-25,2025-04-23 13:05:11.885820,521.8200073242188
META250425C00387500,2025-04-17 18:48:36+00:00,387.5,118.6,131.8,135.15,0.0,0.0,2.0,1,1.7470715771484375,True,REGULAR,USD,META,1,2025-04-25,2025-04-23 13:05:11.885820,521.8200073242188
META250425C00390000,2025-04-16 15:27:14+00:00,390.0,123.58,129.55,132.5,0.0,0.0,1.0,0,1.6582048339843751,True,REGULAR,USD,META,1,2025-04-25,2025-04-23 13:05:11.885820,521.8200073242188
META250425C00392500,2025-04-17 15:49:34+00:00,392.5,136.8,127.05,130.1,26.75,24.307133,5.0,3,1.6650407373046878,True,REGULAR,USD,META,1,2025-04-25,2025-04-23 13:05:11.885820,521.8200073242188
META250425C00395000,2025-04-23 15:36:57+00:00,395.0,129.92,124.55,127.7,20.009995,18.2058,2.0,25,1.6674821313476564,True,REGULAR,USD,META,1,2025-04-25,2025-04-23 13:05:11.885820,521.8200073242188
META250425C00397500,2025-04-22 15:03:29+00:00,397.5,94.62,122.05,124.9,0.0,0.0,15.0,21,1.5244164404296874,True,REGULAR,USD,META,1,2025-04-25,2025-04-23 13:05:11.885820,521.8200073242188
META250425C00400000,2025-04-22 19:49:42+00:00,400.0,100.1,119.45,122.25,0.0,0.0,38.0,58,1.4257841210937499,True,REGULAR,USD,META,1,2025-04-25,2025-04-23 13:05:11.885820,521.8200073242188
META250425C00410000,2025-04-22 17:39:01+00:00,410.0,87.97,109.55,111.95,0.0,0.0,6.0,21,1.111332568359375,True,REGULAR,USD,META,1,2025-04-25,2025-04-23 13:05:11.885820,521.8200073242188
META250425C00415000,2025-04-11 14:54:35+00:00,415.0,125.45,104.75,107.3,0.0,0.0,20.0,11,1.2753942480468747,True,REGULAR,USD,META,1,2025-04-25,2025-04-23 13:05:11.885820,521.8200073242188
META250425C00420000,2025-04-23 13:38:03+00:00,420.0,110.05,99.5,102.2,43.700005,65.862854,6.0,15,1.173832255859375,True,REGULAR,USD,META,1,2025-04-25,2025-04-23 13:05:11.885820,521.8200073242188
META250425C00422500,2025-04-21 15:17:06+00:00,422.5,63.0,97.1,100.0,0.0,0.0,9.0,1,1.2607458837890624,True,REGULAR,USD,META,1,2025-04-25,2025-04-23 13:05:11.885820,521.8200073242188
META250425C00425000,2025-04-15 19:29:26+00:00,425.0,97.1,94.45,96.8,0.0,0.0,2.0,8,1.0000000000000003e-05,True,REGULAR,USD,META,1,2025-04-25,2025-04-23 13:05:11.885820,521.8200073242188
META250425C00430000,2025-04-23 16:12:16+00:00,430.0,90.0,89.7,92.45,18.699997,26.227205,5.0,109,1.15625421875,True,REGULAR,USD,META,1,2025-04-25,2025-04-23 13:05:11.885820,521.8200073242188
META250425C00435000,2025-04-23 13:30:18+00:00,435.0,95.75,84.75,87.65,37.71,64.972435,2.0,7,1.1547893823242186,True,REGULAR,USD,META,1,2025-04-25,2025-04-23 13:05:11.885820,521.8200073242188
META250425C00440000,2025-04-23 15:36:46+00:00,440.0,84.9,79.75,82.7,27.900002,48.947372,2.0,40,1.1069380590820312,True,REGULAR,USD,META,1,2025-04-25,2025-04-23 13:05:11.885820,521.8200073242188
META250425C00445000,2025-04-22 13:36:30+00:00,445.0,85.38,74.65,77.6,39.979996,88.06166,6.0,48,1.0219775463867187,True,REGULAR,USD,META,1,2025-04-25,2025-04-23 13:05:11.885820,521.8200073242188
META250425C00447500,2025-04-17 13:52:17+00:00,447.5,60.6,72.2,74.4,0.0,0.0,2.0,1,0.70117486328125,True,REGULAR,USD,META,1,2025-04-25,2025-04-23 13:05:11.885820,521.8200073242188
META250425C00450000,2025-04-23 16:17:23+00:00,450.0,69.0,70.15,72.05,17.630001,34.319645,9.0,1876,0.782228740234375,True,REGULAR,USD,META,1,2025-04-25,2025-04-23 13:05:11.885820,521.8200073242188
META250425C00452500,2025-04-22 19:55:53+00:00,452.5,47.5,66.9,69.4,0.0,0.0,10.0,2,0.6562534375000001,True,REGULAR,USD,META,1,2025-04-25,2025-04-23 13:05:11.885820,521.8200073242188
META250425C00455000,2025-04-21 19:56:42+00:00,455.0,76.95,64.9,66.9,42.979996,126.523384,10.0,206,0.632816171875,True,REGULAR,USD,META,1,2025-04-25,2025-04-23 13:05:11.885820,521.8200073242188
META250425C00457500,2025-04-22 19:54:38+00:00,457.5,75.95,62.5,64.75,32.299995,73.997696,1.0,3,0.782228740234375,True,REGULAR,USD,META,1,2025-04-25,2025-04-23 13:05:11.885820,521.8200073242188
META250425C00460000,2025-04-23 16:24:57+00:00,460.0,58.6,60.25,62.25,16.57,39.42422,47.0,94,0.754885263671875,True,REGULAR,USD,META,1,2025-04-25,2025-04-23 13:05:11.885820,521.8200073242188
META250425C00465000,2025-04-23 13:38:21+00:00,465.0,63.35,54.75,57.55,27.899998,78.70239,3.0,70,0.7749045947265626,True,REGULAR,USD,META,1,2025-04-25,2025-04-23 13:05:11.885820,521.8200073242188
META250425C00467500,2025-04-22 15:22:14+00:00,467.5,58.8,52.55,54.5,27.75,89.37199,8.0,72,0.5839885351562499,True,REGULAR,USD,META,1,2025-04-25,2025-04-23 13:05:11.885820,521.8200073242188
META250425C00470000,2025-04-23 14:33:03+00:00,470.0,47.95,51.1,52.25,15.549999,47.99382,43.0,280,0.6459996337890624,True,REGULAR,USD,META,1,2025-04-25,2025-04-23 13:05:11.885820,521.8200073242188
META250425C00472500,2025-04-23 13:30:04+00:00,472.5,57.29,47.8,50.1,31.240002,119.92324,4.0,88,0.6967803759765626,True,REGULAR,USD,META,1,2025-04-25,2025-04-23 13:05:11.885820,521.8200073242188
META250425C00475000,2025-04-23 16:21:11+00:00,475.0,43.0,46.2,47.7,14.66,51.729004,80.0,223,0.6853058813476562,True,REGULAR,USD,META,1,2025-04-25,2025-04-23 13:05:11.885820,521.8200073242188
META250425C00477500,2025-04-23 16:29:15+00:00,477.5,44.0,43.35,45.25,19.1,76.706825,9.0,110,0.6635775830078127,True,REGULAR,USD,META,1,2025-04-25,2025-04-23 13:05:11.885820,521.8200073242188
META250425C00480000,2025-04-23 16:27:45+00:00,480.0,39.7,41.25,42.05,15.6,64.730286,92.0,325,0.4804739453125,True,REGULAR,USD,META,1,2025-04-25,2025-04-23 13:05:11.885820,521.8200073242188
META250425C00482500,2025-04-23 16:21:00+00:00,482.5,36.05,39.1,40.6,14.439999,66.82091,20.0,321,0.5317429638671876,True,REGULAR,USD,META,1,2025-04-25,2025-04-23 13:05:11.885820,521.8200073242188
META250425C00485000,2025-04-23 16:28:13+00:00,485.0,34.95,36.5,37.2,15.700001,81.55845,185.0,708,0.47070841796875,True,REGULAR,USD,META,1,2025-04-25,2025-04-23 13:05:11.885820,521.8200073242188
META250425C00487500,2025-04-23 14:43:22+00:00,487.5,31.96,34.1,35.6,13.459999,72.75675,54.0,316,0.5871623315429688,True,REGULAR,USD,META,1,2025-04-25,2025-04-23 13:05:11.885820,521.8200073242188
META250425C00490000,2025-04-23 16:20:37+00:00,490.0,29.25,31.9,32.65,12.610001,75.78125,230.0,1515,0.495122236328125,True,REGULAR,USD,META,1,2025-04-25,2025-04-23 13:05:11.885820,521.8200073242188
META250425C00492500,2025-04-23 15:48:18+00:00,492.5,31.2,29.55,30.2,16.35,110.101006,139.0,1224,0.4714408325195312,True,REGULAR,USD,META,1,2025-04-25,2025-04-23 13:05:11.885820,521.8200073242188
META250425C00495000,2025-04-23 16:11:28+00:00,495.0,27.0,27.55,28.2,13.9,106.106865,326.0,1548,0.49878430908203125,True,REGULAR,USD,META,1,2025-04-25,2025-04-23 13:05:11.885820,521.8200073242188
META250425C00497500,2025-04-23 16:17:49+00:00,497.5,24.2,25.45,25.85,12.650001,109.52381,238.0,569,0.47986359985351557,True,REGULAR,USD,META,1,2025-04-25,2025-04-23 13:05:11.885820,521.8200073242188
META250425C00500000,2025-04-23 16:23:08+00:00,500.0,21.5,23.45,23.9,11.25,109.756096,1633.0,3772,0.4940236145019532,True,REGULAR,USD,META,1,2025-04-25,2025-04-23 13:05:11.885820,521.8200073242188
META250425C00502500,2025-04-23 16:20:03+00:00,502.5,19.5,21.55,21.9,10.32,112.4183,270.0,602,0.4958546508789063,True,REGULAR,USD,META,1,2025-04-25,2025-04-23 13:05:11.885820,521.8200073242188
META250425C00505000,2025-04-23 16:23:35+00:00,505.0,17.85,19.7,20.0,10.0,127.38853,1414.0,2031,0.49878430908203125,True,REGULAR,USD,META,1,2025-04-25,2025-04-23 13:05:11.885820,521.8200073242188
META250425C00507500,2025-04-23 16:28:55+00:00,507.5,17.3,17.85,18.1,10.139999,141.6201,378.0,654,0.49561051269531253,True,REGULAR,USD,META,1,2025-04-25,2025-04-23 13:05:11.885820,521.8200073242188
META250425C00510000,2025-04-23 16:33:56+00:00,510.0,16.2,15.85,16.15,10.35,176.92307,2439.0,2999,0.48438015625,True,REGULAR,USD,META,1,2025-04-25,2025-04-23 13:05:11.885820,521.8200073242188
META250425C00512500,2025-04-23 16:32:46+00:00,512.5,14.0,14.2,14.5,8.75,166.66667,506.0,851,0.4859670544433594,True,REGULAR,USD,META,1,2025-04-25,2025-04-23 13:05:11.885820,521.8200073242188
META250425C00515000,2025-04-23 16:29:07+00:00,515.0,12.35,12.6,12.8,8.1,190.58826,2895.0,3871,0.47900911621093745,True,REGULAR,USD,META,1,2025-04-25,2025-04-23 13:05:11.885820,521.8200073242188
META250425C00517500,2025-04-23 16:33:41+00:00,517.5,11.25,11.1,11.35,7.71,217.79662,990.0,574,0.4802298071289062,True,REGULAR,USD,META,1,2025-04-25,2025-04-23 13:05:11.885820,521.8200073242188
META250425C00520000,2025-04-23 16:34:12+00:00,520.0,9.79,9.5,9.75,6.79,226.33333,3994.0,4561,0.4676566906738281,True,REGULAR,USD,META,1,2025-04-25,2025-04-23 13:05:11.885820,521.8200073242188
META250425C00522500,2025-04-23 16:33:52+00:00,522.5,8.55,8.25,8.45,5.92,225.09505,1635.0,797,0.46521530883789064,False,REGULAR,USD,META,1,2025-04-25,2025-04-23 13:05:11.885820,521.8200073242188
META250425C00525000,2025-04-23 16:34:09+00:00,525.0,7.29,7.1,7.25,5.19,247.14287,4658.0,3397,0.4621635815429688,False,REGULAR,USD,META,1,2025-04-25,2025-04-23 13:05:11.885820,521.8200073242188
META250425C00527500,2025-04-23 16:31:19+00:00,527.5,6.16,6.15,6.35,4.42,254.02303,1787.0,636,0.46924358886718753,False,REGULAR,USD,META,1,2025-04-25,2025-04-23 13:05:11.885820,521.8200073242188
META250425C00530000,2025-04-23 16:33:44+00:00,530.0,5.2,5.1,5.2,3.7499998,258.62067,7789.0,3946,0.45654840332031255,False,REGULAR,USD,META,1,2025-04-25,2025-04-23 13:05:11.885820,521.8200073242188
META250425C00532500,2025-04-23 16:33:59+00:00,532.5,4.45,4.3,4.4,3.2499998,270.83328,3569.0,923,0.45740288696289066,False,REGULAR,USD,META,1,2025-04-25,2025-04-23 13:05:11.885820,521.8200073242188
