contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
MHK250516C00070000,2024-12-16 05:01:42+00:00,70.0,61.1,57.0,61.9,0.0,0.0,,4,4.6081585366821285,True,REGULAR,USD,MHK,1,2025-05-16,2025-04-23 13:05:23.350719,106.20500183105469
MHK250516C00090000,2025-04-03 16:07:43+00:00,90.0,22.02,17.5,18.7,0.0,0.0,5.0,6,0.7312038598632812,True,REGULAR,USD,MHK,1,2025-05-16,2025-04-23 13:05:23.350719,106.20500183105469
MHK250516C00095000,2025-04-16 18:00:08+00:00,95.0,9.7,12.8,14.3,0.0,0.0,3.0,5,0.6289099609375001,True,REGULAR,USD,MHK,1,2025-05-16,2025-04-23 13:05:23.350719,106.20500183105469
MHK250516C00100000,2025-04-23 14:08:28+00:00,100.0,12.02,9.7,10.7,5.0900006,73.448784,4.0,14,0.6306189282226562,True,REGULAR,USD,MHK,1,2025-05-16,2025-04-23 13:05:23.350719,106.20500183105469
MHK250516C00105000,2025-04-22 15:12:58+00:00,105.0,7.66,5.3,7.1,3.48,83.25359,2.0,33,0.516606396484375,True,REGULAR,USD,MHK,1,2025-05-16,2025-04-23 13:05:23.350719,106.20500183105469
MHK250516C00110000,2025-04-23 13:55:15+00:00,110.0,4.8,3.3,5.0,1.6000001,50.000004,2.0,379,0.5296677893066408,False,REGULAR,USD,MHK,1,2025-05-16,2025-04-23 13:05:23.350719,106.20500183105469
MHK250516C00115000,2025-04-23 16:09:11+00:00,115.0,2.4,2.2,2.85,1.4000001,140.00002,22.0,42,0.5229539892578124,False,REGULAR,USD,MHK,1,2025-05-16,2025-04-23 13:05:23.350719,106.20500183105469
MHK250516C00120000,2025-04-23 14:36:09+00:00,120.0,1.8,0.15,1.55,1.05,139.99998,1.0,188,0.5310105493164063,False,REGULAR,USD,MHK,1,2025-05-16,2025-04-23 13:05:23.350719,106.20500183105469
MHK250516C00125000,2025-04-14 15:06:23+00:00,125.0,0.59,0.25,1.85,0.0,0.0,1.0,52,0.5585981640625001,False,REGULAR,USD,MHK,1,2025-05-16,2025-04-23 13:05:23.350719,106.20500183105469
MHK250516C00130000,2025-04-22 16:01:48+00:00,130.0,0.34,0.25,0.95,0.0,0.0,45.0,120,0.5585981640625001,False,REGULAR,USD,MHK,1,2025-05-16,2025-04-23 13:05:23.350719,106.20500183105469
