contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
MKTX250516C00165000,2025-02-06 14:30:12+00:00,165.0,42.0,43.0,50.5,0.0,0.0,1.0,2,1.0000000000000003e-05,True,REGULAR,USD,MKTX,1,2025-05-16,2025-04-23 13:04:58.874909,217.94000244140625
MKTX250516C00170000,2025-03-13 16:10:01+00:00,170.0,44.0,50.1,57.2,0.0,0.0,10.0,10,1.1071821984863282,True,REGULAR,USD,MKTX,1,2025-05-16,2025-04-23 13:04:58.874909,217.94000244140625
MKTX250516C00175000,2025-04-07 13:37:01+00:00,175.0,42.5,38.9,46.0,0.0,0.0,,1,0.813356358642578,True,REGULAR,USD,MKTX,1,2025-05-16,2025-04-23 13:04:58.874909,217.94000244140625
MKTX250516C00180000,2025-04-22 14:25:37+00:00,180.0,44.0,34.6,41.2,0.0,0.0,1.0,14,0.7550073327636719,True,REGULAR,USD,MKTX,1,2025-05-16,2025-04-23 13:04:58.874909,217.94000244140625
MKTX250516C00185000,2025-02-12 19:39:41+00:00,185.0,15.8,29.1,36.1,0.0,0.0,3.0,3,0.6723665576171877,True,REGULAR,USD,MKTX,1,2025-05-16,2025-04-23 13:04:58.874909,217.94000244140625
MKTX250516C00190000,2025-04-03 15:41:46+00:00,190.0,32.53,25.6,31.3,0.0,0.0,1.0,11,0.6123085644531252,True,REGULAR,USD,MKTX,1,2025-05-16,2025-04-23 13:04:58.874909,217.94000244140625
MKTX250516C00195000,2025-02-13 18:24:15+00:00,195.0,11.1,20.0,28.4,0.0,0.0,,1,0.6666293103027345,True,REGULAR,USD,MKTX,1,2025-05-16,2025-04-23 13:04:58.874909,217.94000244140625
MKTX250516C00200000,2025-04-14 17:00:05+00:00,200.0,23.37,17.2,22.0,-2.4299984,-9.418599,1.0,57,0.5024463818359376,True,REGULAR,USD,MKTX,1,2025-05-16,2025-04-23 13:04:58.874909,217.94000244140625
MKTX250516C00210000,2025-04-22 16:12:05+00:00,210.0,17.3,9.3,14.3,0.0,0.0,990.0,366,0.44910218872070307,True,REGULAR,USD,MKTX,1,2025-05-16,2025-04-23 13:04:58.874909,217.94000244140625
MKTX250516C00220000,2025-04-21 19:23:36+00:00,220.0,9.6,5.3,7.3,0.0,0.0,6.0,74,0.370123486328125,False,REGULAR,USD,MKTX,1,2025-05-16,2025-04-23 13:04:58.874909,217.94000244140625
MKTX250516C00230000,2025-04-17 19:43:40+00:00,230.0,5.2,2.5,4.3,0.0,0.0,13.0,72,0.3967345483398438,False,REGULAR,USD,MKTX,1,2025-05-16,2025-04-23 13:04:58.874909,217.94000244140625
MKTX250516C00240000,2025-04-22 16:41:07+00:00,240.0,2.53,0.95,1.9,0.0,0.0,6.0,22,0.38049935913085936,False,REGULAR,USD,MKTX,1,2025-05-16,2025-04-23 13:04:58.874909,217.94000244140625
MKTX250516C00250000,2025-04-22 19:46:08+00:00,250.0,1.05,0.0,0.8,0.0,0.0,2.0,279,0.37793590820312495,False,REGULAR,USD,MKTX,1,2025-05-16,2025-04-23 13:04:58.874909,217.94000244140625
MKTX250516C00260000,2025-04-21 17:30:43+00:00,260.0,0.47,0.0,1.0,0.0,0.0,4.0,13,0.4804739453125,False,REGULAR,USD,MKTX,1,2025-05-16,2025-04-23 13:04:58.874909,217.94000244140625
MKTX250516C00270000,2025-03-24 16:12:30+00:00,270.0,0.59,0.0,1.5,0.0,0.0,1.0,6,0.5214891601562499,False,REGULAR,USD,MKTX,1,2025-05-16,2025-04-23 13:04:58.874909,217.94000244140625
MKTX250516C00280000,2025-01-21 14:30:11+00:00,280.0,4.8,0.1,4.8,0.0,0.0,4.0,5,0.7775901147460937,False,REGULAR,USD,MKTX,1,2025-05-16,2025-04-23 13:04:58.874909,217.94000244140625
MKTX250516C00290000,2024-12-30 18:53:29+00:00,290.0,2.2,0.05,6.5,0.0,0.0,2.0,2,0.922974403076172,False,REGULAR,USD,MKTX,1,2025-05-16,2025-04-23 13:04:58.874909,217.94000244140625
MKTX250516C00300000,2024-12-09 17:39:52+00:00,300.0,3.8,0.25,4.4,0.0,0.0,2.0,3,0.9096688720703124,False,REGULAR,USD,MKTX,1,2025-05-16,2025-04-23 13:04:58.874909,217.94000244140625
