contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
MMC250516C00200000,2025-04-17 19:56:45+00:00,200.0,23.2,19.6,21.7,0.0,0.0,2.0,2,0.43457596679687505,True,REGULAR,USD,MMC,1,2025-05-16,2025-04-23 13:05:00.689287,218.9600067138672
MMC250516C00210000,2025-04-22 15:33:43+00:00,210.0,11.7,10.6,11.8,0.0,0.0,36.0,27,0.288947540283203,True,REGULAR,USD,MMC,1,2025-05-16,2025-04-23 13:05:00.689287,218.9600067138672
MMC250516C00220000,2025-04-22 19:52:39+00:00,220.0,6.5,4.8,5.3,1.0,18.181818,1.0,206,0.2585523364257813,False,REGULAR,USD,MMC,1,2025-05-16,2025-04-23 13:05:00.689287,218.9600067138672
MMC250516C00230000,2025-04-23 15:21:08+00:00,230.0,1.66,1.25,1.4,0.14999998,9.933774,4.0,102,0.2238847143554687,False,REGULAR,USD,MMC,1,2025-05-16,2025-04-23 13:05:00.689287,218.9600067138672
MMC250516C00240000,2025-04-21 14:08:16+00:00,240.0,0.34,0.1,0.35,0.19,126.666664,1.0,126,0.23023230712890624,False,REGULAR,USD,MMC,1,2025-05-16,2025-04-23 13:05:00.689287,218.9600067138672
MMC250516C00250000,2025-04-22 15:07:58+00:00,250.0,0.14,0.0,1.25,0.04,40.0,3.0,124,0.41321387573242185,False,REGULAR,USD,MMC,1,2025-05-16,2025-04-23 13:05:00.689287,218.9600067138672
MMC250516C00260000,2025-04-17 15:21:39+00:00,260.0,0.11,0.0,0.75,0.0,0.0,1.0,30,0.4401911450195312,False,REGULAR,USD,MMC,1,2025-05-16,2025-04-23 13:05:00.689287,218.9600067138672
MMC250516C00270000,2025-04-10 14:31:23+00:00,270.0,0.05,0.0,1.3,0.0,0.0,2.0,9,0.5803264624023439,False,REGULAR,USD,MMC,1,2025-05-16,2025-04-23 13:05:00.689287,218.9600067138672
MMC250516P00160000,2025-04-07 15:09:02+00:00,160.0,0.35,0.0,1.35,0.0,0.0,,2,0.729494892578125,False,REGULAR,USD,MMC,0,2025-05-16,2025-04-23 13:05:00.690290,218.9600067138672
MMC250516P00170000,2025-04-09 17:21:31+00:00,170.0,1.15,0.0,0.85,0.0,0.0,,1,0.5581098876953126,False,REGULAR,USD,MMC,0,2025-05-16,2025-04-23 13:05:00.690290,218.9600067138672
MMC250516P00175000,2025-04-09 17:21:29+00:00,175.0,1.6,0.0,0.75,0.0,0.0,,1,0.5659223095703125,False,REGULAR,USD,MMC,0,2025-05-16,2025-04-23 13:05:00.690290,218.9600067138672
MMC250516P00190000,2025-04-17 19:59:43+00:00,190.0,0.8,0.0,1.7,0.0,0.0,3.0,2,0.4939015454101563,False,REGULAR,USD,MMC,0,2025-05-16,2025-04-23 13:05:00.690290,218.9600067138672
MMC250516P00195000,2025-04-22 14:31:53+00:00,195.0,0.85,0.6,1.95,0.0,0.0,1.0,8,0.44861391235351555,False,REGULAR,USD,MMC,0,2025-05-16,2025-04-23 13:05:00.690290,218.9600067138672
MMC250516P00200000,2025-04-22 14:59:12+00:00,200.0,0.78,0.9,1.3,-0.44000006,-36.06558,1.0,22,0.331061376953125,False,REGULAR,USD,MMC,0,2025-05-16,2025-04-23 13:05:00.690290,218.9600067138672
MMC250516P00210000,2025-04-22 19:42:21+00:00,210.0,2.3,2.15,2.6,0.0,0.0,9.0,166,0.27600821655273433,False,REGULAR,USD,MMC,0,2025-05-16,2025-04-23 13:05:00.690290,218.9600067138672
MMC250516P00220000,2025-04-22 19:48:35+00:00,220.0,4.9,5.5,6.0,-0.21000004,-4.1095896,4.0,90,0.24341576904296874,True,REGULAR,USD,MMC,0,2025-05-16,2025-04-23 13:05:00.690290,218.9600067138672
MMC250516P00230000,2025-04-22 18:06:27+00:00,230.0,13.35,10.2,13.4,0.0,0.0,10.0,81,0.28003649658203117,True,REGULAR,USD,MMC,0,2025-05-16,2025-04-23 13:05:00.690290,218.9600067138672
MMC250516P00240000,2025-04-22 19:42:22+00:00,240.0,21.4,20.1,22.3,0.0,0.0,1.0,19,0.32129584960937496,True,REGULAR,USD,MMC,0,2025-05-16,2025-04-23 13:05:00.690290,218.9600067138672
MMC250516P00250000,2025-04-07 19:53:10+00:00,250.0,26.7,30.6,33.0,0.0,0.0,5.0,0,0.4721732470703125,True,REGULAR,USD,MMC,0,2025-05-16,2025-04-23 13:05:00.690290,218.9600067138672
MMC250516P00260000,2025-04-03 14:29:38+00:00,260.0,16.7,39.5,42.6,0.0,0.0,,0,0.5273484765625001,True,REGULAR,USD,MMC,0,2025-05-16,2025-04-23 13:05:00.690290,218.9600067138672
MMC250516P00280000,2025-04-22 19:38:39+00:00,280.0,61.16,60.7,62.8,0.0,0.0,1.0,30,0.5737347314453125,True,REGULAR,USD,MMC,0,2025-05-16,2025-04-23 13:05:00.690290,218.9600067138672
MMC250516P00290000,2025-04-22 19:38:39+00:00,290.0,71.16,69.6,72.6,0.0,0.0,1.0,0,0.7517114672851561,True,REGULAR,USD,MMC,0,2025-05-16,2025-04-23 13:05:00.690290,218.9600067138672
MMC250620C00220000,2025-04-23 14:28:09+00:00,220.0,8.8,8.4,8.7,0.6000004,7.317078,8.0,7,0.2617261328125,False,REGULAR,USD,MMC,1,2025-06-20,2025-04-23 13:05:00.744519,218.9600067138672
MMC250620C00230000,2025-04-23 16:08:28+00:00,230.0,4.0,3.9,4.6,-0.4000001,-9.090911,12.0,8,0.2520826745605469,False,REGULAR,USD,MMC,1,2025-06-20,2025-04-23 13:05:00.744519,218.9600067138672
MMC250620C00240000,2025-04-23 15:04:46+00:00,240.0,2.2,1.05,1.75,0.1500001,7.317078,2.0,3,0.22815713256835937,False,REGULAR,USD,MMC,1,2025-06-20,2025-04-23 13:05:00.744519,218.9600067138672
MMC250620P00195000,2025-04-22 14:51:30+00:00,195.0,2.55,1.9,2.2,0.0,0.0,1.0,6,0.2984078948974609,False,REGULAR,USD,MMC,0,2025-06-20,2025-04-23 13:05:00.745522,218.9600067138672
MMC250620P00200000,2025-04-22 15:41:07+00:00,200.0,2.9,2.7,2.95,0.0,0.0,9.0,30,0.2858958129882812,False,REGULAR,USD,MMC,0,2025-06-20,2025-04-23 13:05:00.745522,218.9600067138672
MMC250620P00210000,2025-04-23 15:14:18+00:00,210.0,4.1,4.4,6.6,-1.4000001,-25.454548,10.0,16,0.3048165222167969,False,REGULAR,USD,MMC,0,2025-06-20,2025-04-23 13:05:00.745522,218.9600067138672
MMC250620P00220000,2025-04-22 14:01:56+00:00,220.0,7.4,8.2,9.2,-2.4,-24.489798,2.0,3,0.24646749633789064,True,REGULAR,USD,MMC,0,2025-06-20,2025-04-23 13:05:00.745522,218.9600067138672
MMC250718C00125000,2025-04-07 14:11:04+00:00,125.0,103.2,93.8,96.2,0.0,0.0,,1,0.681887946777344,True,REGULAR,USD,MMC,1,2025-07-18,2025-04-23 13:05:00.810082,218.9600067138672
MMC250718C00130000,2025-04-07 14:11:04+00:00,130.0,98.4,88.4,91.8,0.0,0.0,,1,0.6528355029296876,True,REGULAR,USD,MMC,1,2025-07-18,2025-04-23 13:05:00.810082,218.9600067138672
MMC250718C00150000,2025-04-04 15:52:54+00:00,150.0,91.8,68.7,72.4,0.0,0.0,1.0,1,0.5379684875488282,True,REGULAR,USD,MMC,1,2025-07-18,2025-04-23 13:05:00.810082,218.9600067138672
MMC250718C00155000,2025-04-04 15:53:05+00:00,155.0,87.0,64.3,67.4,0.0,0.0,1.0,1,0.5219774365234374,True,REGULAR,USD,MMC,1,2025-07-18,2025-04-23 13:05:00.810082,218.9600067138672
MMC250718C00160000,2025-04-04 15:53:41+00:00,160.0,82.2,59.2,62.1,0.0,0.0,1.0,1,0.5579878186035157,True,REGULAR,USD,MMC,1,2025-07-18,2025-04-23 13:05:00.810082,218.9600067138672
MMC250718C00165000,2024-11-19 16:32:21+00:00,165.0,61.3,58.6,62.6,0.0,0.0,1.0,1,0.6713900048828126,True,REGULAR,USD,MMC,1,2025-07-18,2025-04-23 13:05:00.810082,218.9600067138672
MMC250718C00190000,2024-11-20 20:36:01+00:00,190.0,39.4,36.0,38.8,0.0,0.0,,1,0.5360153820800782,True,REGULAR,USD,MMC,1,2025-07-18,2025-04-23 13:05:00.810082,218.9600067138672
MMC250718C00200000,2024-12-18 15:10:06+00:00,200.0,23.1,27.8,30.8,0.0,0.0,1.0,0,0.4891408508300782,True,REGULAR,USD,MMC,1,2025-07-18,2025-04-23 13:05:00.810082,218.9600067138672
MMC250718C00210000,2024-12-20 20:39:46+00:00,210.0,16.3,20.1,22.3,0.0,0.0,2.0,0,0.4185849157714844,True,REGULAR,USD,MMC,1,2025-07-18,2025-04-23 13:05:00.810082,218.9600067138672
MMC250718C00220000,2025-04-21 19:05:54+00:00,220.0,8.0,10.8,12.3,0.0,0.0,4.0,87,0.2999337585449219,False,REGULAR,USD,MMC,1,2025-07-18,2025-04-23 13:05:00.810082,218.9600067138672
MMC250718C00230000,2025-04-23 14:08:29+00:00,230.0,7.0,5.9,6.9,0.8299999,13.452187,6.0,316,0.2653576882934571,False,REGULAR,USD,MMC,1,2025-07-18,2025-04-23 13:05:00.810082,218.9600067138672
MMC250718C00240000,2025-04-23 16:15:00+00:00,240.0,2.8,2.55,3.7,-0.10000014,-3.4482806,30.0,261,0.2512892254638671,False,REGULAR,USD,MMC,1,2025-07-18,2025-04-23 13:05:00.810082,218.9600067138672
MMC250718C00250000,2025-04-22 15:58:42+00:00,250.0,1.85,1.05,1.95,0.5500001,42.3077,1.0,317,0.2475661181640625,False,REGULAR,USD,MMC,1,2025-07-18,2025-04-23 13:05:00.810082,218.9600067138672
MMC250718C00260000,2025-04-22 14:30:42+00:00,260.0,0.48,0.25,1.75,0.0,0.0,10.0,113,0.2858347784423828,False,REGULAR,USD,MMC,1,2025-07-18,2025-04-23 13:05:00.810082,218.9600067138672
MMC250718C00270000,2025-04-09 17:21:43+00:00,270.0,1.3,0.05,0.75,0.0,0.0,1.0,130,0.2690502783203125,False,REGULAR,USD,MMC,1,2025-07-18,2025-04-23 13:05:00.810082,218.9600067138672
MMC250718C00280000,2025-04-07 17:23:59+00:00,280.0,0.65,0.0,1.4,0.0,0.0,5.0,29,0.34888346435546874,False,REGULAR,USD,MMC,1,2025-07-18,2025-04-23 13:05:00.810082,218.9600067138672
MMC250718P00115000,2025-01-15 14:30:01+00:00,115.0,0.35,0.0,2.2,0.0,0.0,10.0,32,0.7780783911132813,False,REGULAR,USD,MMC,0,2025-07-18,2025-04-23 13:05:00.811084,218.9600067138672
MMC250718P00120000,2024-12-18 16:09:44+00:00,120.0,1.5,0.0,1.65,0.0,0.0,,32,0.6938507177734375,False,REGULAR,USD,MMC,0,2025-07-18,2025-04-23 13:05:00.811084,218.9600067138672
MMC250718P00125000,2024-12-18 16:09:44+00:00,125.0,1.65,0.0,1.65,0.0,0.0,,21,0.6525913647460939,False,REGULAR,USD,MMC,0,2025-07-18,2025-04-23 13:05:00.811084,218.9600067138672
MMC250718P00130000,2025-04-09 17:21:46+00:00,130.0,0.65,0.0,0.75,0.0,0.0,9.0,9,0.5346726220703125,False,REGULAR,USD,MMC,0,2025-07-18,2025-04-23 13:05:00.811084,218.9600067138672
MMC250718P00135000,2025-04-14 13:37:01+00:00,135.0,0.5,0.15,0.45,0.0,0.0,33.0,45,0.51562984375,False,REGULAR,USD,MMC,0,2025-07-18,2025-04-23 13:05:00.811084,218.9600067138672
MMC250718P00145000,2024-12-18 16:08:45+00:00,145.0,2.65,0.0,1.85,0.0,0.0,,40,0.5129443237304687,False,REGULAR,USD,MMC,0,2025-07-18,2025-04-23 13:05:00.811084,218.9600067138672
