contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
MMM250425C00106000,2025-04-16 17:57:35+00:00,106.0,26.15,29.65,32.2,0.0,0.0,,7,1.6796891015625,True,REGULAR,USD,MMM,1,2025-04-25,2025-04-23 12:59:52.891395,136.55999755859375
MMM250425C00110000,2025-04-22 14:11:57+00:00,110.0,30.61,25.4,27.4,5.5600014,22.195614,2.0,4,1.7890635546875,True,REGULAR,USD,MMM,1,2025-04-25,2025-04-23 12:59:52.891395,136.55999755859375
MMM250425C00111000,2025-04-17 14:35:31+00:00,111.0,20.56,24.3,27.1,0.0,0.0,5.0,5,1.19141029296875,True,REGULAR,USD,MMM,1,2025-04-25,2025-04-23 12:59:52.891395,136.55999755859375
MMM250425C00120000,2025-04-04 17:55:14+00:00,120.0,13.5,15.8,17.3,0.0,0.0,3.0,3,1.173832255859375,True,REGULAR,USD,MMM,1,2025-04-25,2025-04-23 12:59:52.891395,136.55999755859375
MMM250425C00121000,2025-04-21 17:17:47+00:00,121.0,7.0,14.7,15.95,0.0,0.0,4.0,13,0.9433599414062499,True,REGULAR,USD,MMM,1,2025-04-25,2025-04-23 12:59:52.891395,136.55999755859375
MMM250425C00123000,2025-04-23 13:43:11+00:00,123.0,17.55,12.85,13.7,4.5999994,35.521233,11.0,46,0.6738313867187502,True,REGULAR,USD,MMM,1,2025-04-25,2025-04-23 12:59:52.891395,136.55999755859375
MMM250425C00124000,2025-04-21 19:21:23+00:00,124.0,5.45,11.45,13.4,0.0,0.0,7.0,6,0.989257919921875,True,REGULAR,USD,MMM,1,2025-04-25,2025-04-23 12:59:52.891395,136.55999755859375
MMM250425C00125000,2025-04-23 14:22:19+00:00,125.0,14.31,11.0,11.6,3.1900005,28.687056,13.0,88,0.4726615234375,True,REGULAR,USD,MMM,1,2025-04-25,2025-04-23 12:59:52.891395,136.55999755859375
MMM250425C00126000,2025-04-23 14:23:28+00:00,126.0,13.25,10.15,11.35,2.2200003,20.12693,20.0,133,0.5810588769531251,True,REGULAR,USD,MMM,1,2025-04-25,2025-04-23 12:59:52.891395,136.55999755859375
MMM250425C00127000,2025-04-23 14:23:28+00:00,127.0,12.23,9.05,10.2,2.1999998,21.934196,20.0,40,0.74414318359375,True,REGULAR,USD,MMM,1,2025-04-25,2025-04-23 12:59:52.891395,136.55999755859375
MMM250425C00128000,2025-04-22 14:06:40+00:00,128.0,7.0,8.05,8.75,0.0,0.0,13.0,71,0.49023947265625006,True,REGULAR,USD,MMM,1,2025-04-25,2025-04-23 12:59:52.891395,136.55999755859375
MMM250425C00129000,2025-04-23 13:30:56+00:00,129.0,10.81,7.15,8.2,3.1300006,40.75522,20.0,109,0.631839619140625,True,REGULAR,USD,MMM,1,2025-04-25,2025-04-23 12:59:52.891395,136.55999755859375
MMM250425C00130000,2025-04-23 13:30:56+00:00,130.0,9.85,6.65,6.95,2.9400005,42.547043,21.0,163,0.48633326171875,True,REGULAR,USD,MMM,1,2025-04-25,2025-04-23 12:59:52.891395,136.55999755859375
MMM250425C00131000,2025-04-23 15:21:08+00:00,131.0,5.96,5.5,5.85,-0.34000015,-5.3968277,23.0,92,0.39453730468750003,True,REGULAR,USD,MMM,1,2025-04-25,2025-04-23 12:59:52.891395,136.55999755859375
MMM250425C00132000,2025-04-23 13:42:24+00:00,132.0,9.97,4.65,5.2,5.1200004,105.567024,22.0,93,0.45508357421875,True,REGULAR,USD,MMM,1,2025-04-25,2025-04-23 12:59:52.891395,136.55999755859375
MMM250425C00133000,2025-04-23 14:49:35+00:00,133.0,6.43,4.0,4.2,2.4299998,60.749996,12.0,97,0.3930724755859375,True,REGULAR,USD,MMM,1,2025-04-25,2025-04-23 12:59:52.891395,136.55999755859375
MMM250425C00134000,2025-04-23 14:41:50+00:00,134.0,5.55,3.2,4.0,1.9700003,55.027943,18.0,92,0.5141650146484374,True,REGULAR,USD,MMM,1,2025-04-25,2025-04-23 12:59:52.891395,136.55999755859375
MMM250425C00135000,2025-04-23 16:22:33+00:00,135.0,2.45,2.23,2.65,-0.5999999,-19.672129,79.0,252,0.35864899169921877,True,REGULAR,USD,MMM,1,2025-04-25,2025-04-23 12:59:52.891395,136.55999755859375
MMM250425C00136000,2025-04-23 16:27:10+00:00,136.0,1.89,1.83,1.99,-0.7500001,-28.409096,32.0,1104,0.3437565625,True,REGULAR,USD,MMM,1,2025-04-25,2025-04-23 12:59:52.891395,136.55999755859375
MMM250425C00137000,2025-04-23 15:35:25+00:00,137.0,1.79,1.25,1.67,-0.13999999,-7.2538853,50.0,485,0.3803772900390625,False,REGULAR,USD,MMM,1,2025-04-25,2025-04-23 12:59:52.891395,136.55999755859375
MMM250425C00138000,2025-04-23 15:54:52+00:00,138.0,1.31,0.94,1.17,-0.19000006,-12.666671,26.0,129,0.362311064453125,False,REGULAR,USD,MMM,1,2025-04-25,2025-04-23 12:59:52.891395,136.55999755859375
MMM250425C00139000,2025-04-23 15:17:07+00:00,139.0,1.15,0.61,0.91,0.100000024,9.523811,81.0,138,0.37793590820312495,False,REGULAR,USD,MMM,1,2025-04-25,2025-04-23 12:59:52.891395,136.55999755859375
