contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
MNST250425C00049000,2025-04-22 16:06:42+00:00,49.0,10.45,8.7,9.8,0.0,0.0,1.0,2,1.0000000000000003e-05,True,REGULAR,USD,MNST,1,2025-04-25,2025-04-23 13:05:27.041008,58.86000061035156
MNST250425C00053000,2025-04-09 15:52:21+00:00,53.0,4.18,4.6,7.0,0.0,0.0,1.0,7,1.6181659716796877,True,REGULAR,USD,MNST,1,2025-04-25,2025-04-23 13:05:27.041008,58.86000061035156
MNST250425C00054000,2025-04-22 14:05:04+00:00,54.0,5.1,3.2,5.6,0.0,0.0,2.0,2,1.1953165234375,True,REGULAR,USD,MNST,1,2025-04-25,2025-04-23 13:05:27.041008,58.86000061035156
MNST250425C00055000,2025-04-09 15:28:37+00:00,55.0,3.0,2.45,4.1,0.0,0.0,8.0,39,0.6796907031250001,True,REGULAR,USD,MNST,1,2025-04-25,2025-04-23 13:05:27.041008,58.86000061035156
MNST250425C00056000,2025-04-21 17:18:19+00:00,56.0,1.54,1.75,3.5,0.0,0.0,2.0,10,0.8193377441406249,True,REGULAR,USD,MNST,1,2025-04-25,2025-04-23 13:05:27.041008,58.86000061035156
MNST250425C00057000,2025-04-22 16:00:04+00:00,57.0,2.4,1.6,2.15,-0.19999981,-7.692301,1.0,84,0.44922425781249997,True,REGULAR,USD,MNST,1,2025-04-25,2025-04-23 13:05:27.041008,58.86000061035156
MNST250425C00058000,2025-04-23 14:33:59+00:00,58.0,1.65,1.0,1.35,0.29999995,22.22222,11.0,95,0.40332627929687503,True,REGULAR,USD,MNST,1,2025-04-25,2025-04-23 13:05:27.041008,58.86000061035156
MNST250425C00059000,2025-04-23 15:28:29+00:00,59.0,0.4,0.3,0.4,-0.35999998,-47.368423,36.0,244,0.21875781249999998,False,REGULAR,USD,MNST,1,2025-04-25,2025-04-23 13:05:27.041008,58.86000061035156
MNST250425C00060000,2025-04-23 14:40:11+00:00,60.0,0.15,0.1,0.15,-0.19999999,-57.142853,10.0,1080,0.2500075,False,REGULAR,USD,MNST,1,2025-04-25,2025-04-23 13:05:27.041008,58.86000061035156
MNST250425C00061000,2025-04-23 14:04:59+00:00,61.0,0.05,0.05,0.15,-0.05,-50.0,7.0,45,0.3711000390625,False,REGULAR,USD,MNST,1,2025-04-25,2025-04-23 13:05:27.041008,58.86000061035156
MNST250425C00062000,2025-04-04 18:09:39+00:00,62.0,0.64,0.0,0.05,0.0,0.0,12.0,22,0.36524072265625,False,REGULAR,USD,MNST,1,2025-04-25,2025-04-23 13:05:27.041008,58.86000061035156
MNST250425C00063000,2025-04-21 13:36:27+00:00,63.0,0.01,0.0,0.05,0.0,0.0,1.0,316,0.45117736328125,False,REGULAR,USD,MNST,1,2025-04-25,2025-04-23 13:05:27.041008,58.86000061035156
MNST250425C00065000,2025-03-21 19:50:41+00:00,65.0,0.39,0.0,0.0,0.0,0.0,5.0,0,0.2500075,False,REGULAR,USD,MNST,1,2025-04-25,2025-04-23 13:05:27.041008,58.86000061035156
MNST250425P00050000,2025-04-22 13:30:02+00:00,50.0,0.15,0.0,0.85,0.0,0.0,1.0,6,1.51172119140625,False,REGULAR,USD,MNST,0,2025-04-25,2025-04-23 13:05:27.042010,58.86000061035156
MNST250425P00051000,2025-03-17 17:36:44+00:00,51.0,0.3,0.0,2.2,0.0,0.0,1.0,0,1.9218753906250001,False,REGULAR,USD,MNST,0,2025-04-25,2025-04-23 13:05:27.042010,58.86000061035156
MNST250425P00052000,2025-03-26 16:02:31+00:00,52.0,0.09,0.0,1.35,0.0,0.0,3.0,3,1.451174619140625,False,REGULAR,USD,MNST,0,2025-04-25,2025-04-23 13:05:27.042010,58.86000061035156
MNST250425P00053000,2025-04-08 19:10:14+00:00,53.0,0.95,0.0,0.45,0.0,0.0,29.0,19,0.91211025390625,False,REGULAR,USD,MNST,0,2025-04-25,2025-04-23 13:05:27.042010,58.86000061035156
MNST250425P00054000,2025-04-14 14:58:44+00:00,54.0,0.25,0.0,1.3,0.0,0.0,3.0,972,1.1337933935546878,False,REGULAR,USD,MNST,0,2025-04-25,2025-04-23 13:05:27.042010,58.86000061035156
MNST250425P00055000,2025-04-22 13:30:02+00:00,55.0,0.3,0.0,0.55,0.0,0.0,1.0,204,0.709963837890625,False,REGULAR,USD,MNST,0,2025-04-25,2025-04-23 13:05:27.042010,58.86000061035156
MNST250425P00056000,2025-04-21 19:51:17+00:00,56.0,0.25,0.0,0.45,0.0,0.0,3.0,855,0.5390671093750001,False,REGULAR,USD,MNST,0,2025-04-25,2025-04-23 13:05:27.042010,58.86000061035156
MNST250425P00057000,2025-04-22 17:22:04+00:00,57.0,0.05,0.05,0.15,-0.05,-50.0,1.0,550,0.34961587890624996,False,REGULAR,USD,MNST,0,2025-04-25,2025-04-23 13:05:27.042010,58.86000061035156
MNST250425P00058000,2025-04-23 15:38:47+00:00,58.0,0.1,0.2,0.3,-0.15,-60.000004,8.0,1808,0.30274134765625,False,REGULAR,USD,MNST,0,2025-04-25,2025-04-23 13:05:27.042010,58.86000061035156
MNST250425P00059000,2025-04-23 15:52:14+00:00,59.0,0.65,0.55,1.0,0.099999964,18.18181,8.0,1310,0.43555251953125,True,REGULAR,USD,MNST,0,2025-04-25,2025-04-23 13:05:27.042010,58.86000061035156
MNST250425P00060000,2025-04-21 18:10:42+00:00,60.0,0.65,1.0,1.6,-2.3200002,-78.11448,1.0,502,0.42774009765625004,True,REGULAR,USD,MNST,0,2025-04-25,2025-04-23 13:05:27.042010,58.86000061035156
MNST250425P00061000,2025-04-22 16:35:57+00:00,61.0,2.0,1.35,2.6,0.25,14.285714,1.0,1,0.57617611328125,True,REGULAR,USD,MNST,0,2025-04-25,2025-04-23 13:05:27.042010,58.86000061035156
MNST250425P00065000,2025-04-04 19:32:37+00:00,65.0,7.4,6.1,6.6,0.0,0.0,16.0,1,0.8359391406249999,True,REGULAR,USD,MNST,0,2025-04-25,2025-04-23 13:05:27.042010,58.86000061035156
MNST250502C00051000,2025-04-03 16:34:53+00:00,51.0,9.38,6.0,10.0,0.0,0.0,2.0,2,0.5664105859375,True,REGULAR,USD,MNST,1,2025-05-02,2025-04-23 13:05:27.111190,58.86000061035156
MNST250502C00053000,2025-04-02 18:15:13+00:00,53.0,6.45,4.0,8.0,0.0,0.0,,5,1.2138711181640622,True,REGULAR,USD,MNST,1,2025-05-02,2025-04-23 13:05:27.111190,58.86000061035156
MNST250502C00054000,2025-04-16 13:58:02+00:00,54.0,5.19,3.1,7.1,0.0,0.0,2.0,2,1.138676181640625,True,REGULAR,USD,MNST,1,2025-05-02,2025-04-23 13:05:27.111190,58.86000061035156
