contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
MOH250516C00250000,2025-04-17 16:20:14+00:00,250.0,77.9,77.1,83.6,0.0,0.0,2.0,1,0.6157264990234376,True,REGULAR,USD,MOH,1,2025-05-16,2025-04-23 13:05:23.742349,329.6199951171875
MOH250516C00290000,2025-04-08 17:21:18+00:00,290.0,49.93,41.2,47.6,0.0,0.0,1.0,1,0.5721478332519532,True,REGULAR,USD,MOH,1,2025-05-16,2025-04-23 13:05:23.742349,329.6199951171875
MOH250516C00300000,2025-04-22 18:07:56+00:00,300.0,22.1,34.4,38.0,0.0,0.0,4.0,16,0.5459640130615235,True,REGULAR,USD,MOH,1,2025-05-16,2025-04-23 13:05:23.742349,329.6199951171875
MOH250516C00310000,2025-04-22 17:34:48+00:00,310.0,17.3,25.2,32.6,0.0,0.0,8.0,41,0.5310105493164063,True,REGULAR,USD,MOH,1,2025-05-16,2025-04-23 13:05:23.742349,329.6199951171875
MOH250516C00320000,2025-04-21 18:13:36+00:00,320.0,11.6,20.2,25.5,0.0,0.0,42.0,42,0.530827445678711,True,REGULAR,USD,MOH,1,2025-05-16,2025-04-23 13:05:23.742349,329.6199951171875
MOH250516C00330000,2025-04-23 14:20:30+00:00,330.0,18.0,16.6,18.6,6.01,50.125107,3.0,19,0.5276536492919923,False,REGULAR,USD,MOH,1,2025-05-16,2025-04-23 13:05:23.742349,329.6199951171875
MOH250516C00340000,2025-04-23 15:37:43+00:00,340.0,12.48,12.3,18.2,4.0299997,47.692307,1.0,72,0.5849040533447265,False,REGULAR,USD,MOH,1,2025-05-16,2025-04-23 13:05:23.742349,329.6199951171875
MOH250516C00350000,2025-04-22 17:17:20+00:00,350.0,4.84,8.9,10.0,0.0,0.0,7.0,116,0.5130053582763672,False,REGULAR,USD,MOH,1,2025-05-16,2025-04-23 13:05:23.742349,329.6199951171875
MOH250516C00360000,2025-04-22 19:51:02+00:00,360.0,6.7,2.5,9.3,1.3799996,25.939842,1.0,31,0.5991861370849609,False,REGULAR,USD,MOH,1,2025-05-16,2025-04-23 13:05:23.742349,329.6199951171875
MOH250516C00370000,2025-04-22 19:45:55+00:00,370.0,5.0,0.95,5.0,1.75,53.846153,3.0,16,0.5214891601562499,False,REGULAR,USD,MOH,1,2025-05-16,2025-04-23 13:05:23.742349,329.6199951171875
MOH250516C00380000,2025-04-22 19:43:16+00:00,380.0,2.1,0.45,4.4,0.0,0.0,1.0,14,0.5642743768310547,False,REGULAR,USD,MOH,1,2025-05-16,2025-04-23 13:05:23.742349,329.6199951171875
MOH250516C00390000,2025-04-22 19:46:15+00:00,390.0,1.85,0.1,5.0,0.0,0.0,8.0,12,0.5314988256835937,False,REGULAR,USD,MOH,1,2025-05-16,2025-04-23 13:05:23.742349,329.6199951171875
MOH250516C00400000,2025-04-22 19:56:27+00:00,400.0,2.2,0.0,3.2,0.0,0.0,1.0,4,0.5214891601562499,False,REGULAR,USD,MOH,1,2025-05-16,2025-04-23 13:05:23.742349,329.6199951171875
MOH250516C00440000,2025-04-15 13:30:02+00:00,440.0,1.5,0.0,2.85,0.0,0.0,,4,0.6879914013671876,False,REGULAR,USD,MOH,1,2025-05-16,2025-04-23 13:05:23.742349,329.6199951171875
MOH250516C00450000,2025-04-07 16:47:13+00:00,450.0,2.2,0.0,1.3,0.0,0.0,1.0,8,0.631839619140625,False,REGULAR,USD,MOH,1,2025-05-16,2025-04-23 13:05:23.742349,329.6199951171875
MOH250516C00460000,2025-04-22 17:47:49+00:00,460.0,0.15,0.0,0.7,0.0,0.0,9.0,268,0.6074258007812501,False,REGULAR,USD,MOH,1,2025-05-16,2025-04-23 13:05:23.742349,329.6199951171875
MOH250516P00165000,2025-04-01 15:20:44+00:00,165.0,0.1,0.0,2.85,0.0,0.0,,5,1.5332054589843749,False,REGULAR,USD,MOH,0,2025-05-16,2025-04-23 13:05:23.744354,329.6199951171875
MOH250516P00250000,2025-04-23 15:41:34+00:00,250.0,1.53,0.8,1.65,-0.32000005,-17.297298,2.0,24,0.6831086376953126,False,REGULAR,USD,MOH,0,2025-05-16,2025-04-23 13:05:23.744354,329.6199951171875
MOH250516P00260000,2025-04-22 19:31:23+00:00,260.0,2.03,1.7,2.9,-0.9200001,-31.186443,2.0,4,0.7019072778320312,False,REGULAR,USD,MOH,0,2025-05-16,2025-04-23 13:05:23.744354,329.6199951171875
MOH250516P00270000,2025-04-08 17:13:53+00:00,270.0,5.06,1.7,5.3,0.0,0.0,1.0,13,0.6949493395996094,False,REGULAR,USD,MOH,0,2025-05-16,2025-04-23 13:05:23.744354,329.6199951171875
MOH250516P00280000,2025-04-23 16:05:54+00:00,280.0,3.4,1.75,7.0,-3.1999998,-48.484844,1.0,3,0.6496617065429688,False,REGULAR,USD,MOH,0,2025-05-16,2025-04-23 13:05:23.744354,329.6199951171875
MOH250516P00290000,2025-04-23 15:14:41+00:00,290.0,5.25,4.3,6.7,-4.75,-47.5,1.0,10,0.6049844189453126,False,REGULAR,USD,MOH,0,2025-05-16,2025-04-23 13:05:23.744354,329.6199951171875
MOH250516P00300000,2025-04-22 19:54:00+00:00,300.0,8.99,4.1,11.3,0.0,0.0,372.0,69,0.5891154370117189,False,REGULAR,USD,MOH,0,2025-05-16,2025-04-23 13:05:23.744354,329.6199951171875
MOH250516P00310000,2025-04-23 15:14:41+00:00,310.0,10.25,7.3,11.9,-7.450001,-42.090397,1.0,33,0.5418746984863283,False,REGULAR,USD,MOH,0,2025-05-16,2025-04-23 13:05:23.744354,329.6199951171875
