contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
MPWR250516C00270000,2025-04-09 17:25:26+00:00,270.0,245.7,264.4,278.7,0.0,0.0,,1,1.3706086157226562,True,REGULAR,USD,MPWR,1,2025-05-16,2025-04-23 13:05:26.323309,547.5999755859375
MPWR250516C00350000,2025-04-07 13:46:23+00:00,350.0,119.7,190.4,198.5,0.0,0.0,,1,0.8840343627929688,True,REGULAR,USD,MPWR,1,2025-05-16,2025-04-23 13:05:26.323309,547.5999755859375
MPWR250516C00360000,2025-04-07 13:46:34+00:00,360.0,113.6,178.7,191.0,0.0,0.0,,2,1.0755661456298828,True,REGULAR,USD,MPWR,1,2025-05-16,2025-04-23 13:05:26.323309,547.5999755859375
MPWR250516C00370000,2025-03-10 17:11:33+00:00,370.0,222.2,167.6,177.7,0.0,0.0,,1,0.586918193359375,True,REGULAR,USD,MPWR,1,2025-05-16,2025-04-23 13:05:26.323309,547.5999755859375
MPWR250516C00380000,2025-04-10 14:54:03+00:00,380.0,138.0,158.7,170.2,0.0,0.0,1.0,1,0.9047861083984375,True,REGULAR,USD,MPWR,1,2025-05-16,2025-04-23 13:05:26.323309,547.5999755859375
MPWR250516C00390000,2025-04-07 13:46:34+00:00,390.0,92.2,150.3,161.0,0.0,0.0,,1,0.9045419702148438,True,REGULAR,USD,MPWR,1,2025-05-16,2025-04-23 13:05:26.323309,547.5999755859375
MPWR250516C00400000,2025-04-11 19:45:02+00:00,400.0,150.5,143.4,151.9,0.0,0.0,1.0,5,0.9002085174560546,True,REGULAR,USD,MPWR,1,2025-05-16,2025-04-23 13:05:26.323309,547.5999755859375
MPWR250516C00410000,2025-04-10 18:15:28+00:00,410.0,93.1,134.0,142.9,0.0,0.0,1.0,5,0.6003457934570313,True,REGULAR,USD,MPWR,1,2025-05-16,2025-04-23 13:05:26.323309,547.5999755859375
MPWR250516C00420000,2025-04-10 14:31:01+00:00,420.0,116.0,125.0,134.7,0.0,0.0,3.0,7,0.6748079394531252,True,REGULAR,USD,MPWR,1,2025-05-16,2025-04-23 13:05:26.323309,547.5999755859375
MPWR250516C00430000,2025-03-28 19:06:55+00:00,430.0,161.7,117.0,126.6,0.0,0.0,1.0,2,0.7299831689453125,True,REGULAR,USD,MPWR,1,2025-05-16,2025-04-23 13:05:26.323309,547.5999755859375
MPWR250516C00440000,2025-04-11 19:08:55+00:00,440.0,107.85,108.0,116.7,0.0,0.0,1.0,3,0.700198310546875,True,REGULAR,USD,MPWR,1,2025-05-16,2025-04-23 13:05:26.323309,547.5999755859375
MPWR250516C00450000,2025-04-17 13:31:10+00:00,450.0,103.5,99.6,107.0,0.0,0.0,1.0,17,0.6825593267822267,True,REGULAR,USD,MPWR,1,2025-05-16,2025-04-23 13:05:26.323309,547.5999755859375
MPWR250516C00460000,2025-04-17 19:01:49+00:00,460.0,84.2,92.2,99.0,0.0,0.0,1.0,26,0.7028227960205078,True,REGULAR,USD,MPWR,1,2025-05-16,2025-04-23 13:05:26.323309,547.5999755859375
MPWR250516C00470000,2025-04-11 14:42:14+00:00,470.0,76.0,85.0,92.0,0.0,0.0,1.0,8,0.725588681640625,True,REGULAR,USD,MPWR,1,2025-05-16,2025-04-23 13:05:26.323309,547.5999755859375
MPWR250516C00480000,2025-04-21 15:18:16+00:00,480.0,59.2,76.4,84.0,0.0,0.0,1.0,23,0.7055083160400393,True,REGULAR,USD,MPWR,1,2025-05-16,2025-04-23 13:05:26.323309,547.5999755859375
MPWR250516C00490000,2025-04-22 13:54:22+00:00,490.0,62.0,69.0,76.9,0.0,0.0,1.0,15,0.7041655560302735,True,REGULAR,USD,MPWR,1,2025-05-16,2025-04-23 13:05:26.323309,547.5999755859375
MPWR250516C00500000,2025-04-23 13:38:04+00:00,500.0,68.7,63.3,70.7,25.999996,60.889915,2.0,18,0.7222928161621094,True,REGULAR,USD,MPWR,1,2025-05-16,2025-04-23 13:05:26.323309,547.5999755859375
MPWR250516C00510000,2025-04-22 18:09:47+00:00,510.0,43.8,56.5,64.0,0.0,0.0,6.0,23,0.7142362561035156,True,REGULAR,USD,MPWR,1,2025-05-16,2025-04-23 13:05:26.323309,547.5999755859375
MPWR250516C00520000,2025-04-16 19:04:46+00:00,520.0,40.3,50.2,58.0,0.0,0.0,67.0,71,0.7106352178955078,True,REGULAR,USD,MPWR,1,2025-05-16,2025-04-23 13:05:26.323309,547.5999755859375
