contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
MRK250425C00067000,2025-04-21 19:36:36+00:00,67.0,10.29,10.15,13.45,0.0,0.0,1.0,3,2.144535888671875,True,REGULAR,USD,MRK,1,2025-04-25,2025-04-23 13:05:10.310663,78.87000274658203
MRK250425C00070000,2025-04-23 14:07:05+00:00,70.0,9.0,7.9,9.1,0.3000002,3.4482782,3.0,22,0.937500625,True,REGULAR,USD,MRK,1,2025-04-25,2025-04-23 13:05:10.310663,78.87000274658203
MRK250425C00071000,2025-04-22 17:26:09+00:00,71.0,7.65,7.3,7.9,0.0,0.0,40.0,89,0.570316796875,True,REGULAR,USD,MRK,1,2025-04-25,2025-04-23 13:05:10.310663,78.87000274658203
MRK250425C00072000,2025-04-22 19:12:32+00:00,72.0,6.79,6.7,6.95,0.0,0.0,10.0,30,0.6015664843750002,True,REGULAR,USD,MRK,1,2025-04-25,2025-04-23 13:05:10.310663,78.87000274658203
MRK250425C00073000,2025-04-15 14:47:32+00:00,73.0,7.0,5.85,6.05,0.0,0.0,7.0,49,0.5273484765625001,True,REGULAR,USD,MRK,1,2025-04-25,2025-04-23 13:05:10.310663,78.87000274658203
MRK250425C00074000,2025-04-22 13:58:50+00:00,74.0,4.85,5.05,5.15,0.0,0.0,1.0,25,0.58789474609375,True,REGULAR,USD,MRK,1,2025-04-25,2025-04-23 13:05:10.310663,78.87000274658203
MRK250425C00075000,2025-04-23 16:28:25+00:00,75.0,4.2,4.1,4.35,0.14999962,3.703694,10.0,96,0.5742230078125,True,REGULAR,USD,MRK,1,2025-04-25,2025-04-23 13:05:10.310663,78.87000274658203
MRK250425C00076000,2025-04-23 13:54:58+00:00,76.0,4.0,3.45,3.7,0.5,14.285714,15.0,39,0.637698935546875,True,REGULAR,USD,MRK,1,2025-04-25,2025-04-23 13:05:10.310663,78.87000274658203
MRK250425C00077000,2025-04-23 16:27:11+00:00,77.0,2.8,2.75,2.98,-0.10000014,-3.4482806,18.0,296,0.629886513671875,True,REGULAR,USD,MRK,1,2025-04-25,2025-04-23 13:05:10.310663,78.87000274658203
MRK250425C00078000,2025-04-23 16:03:45+00:00,78.0,2.41,2.31,2.41,-0.18999982,-7.3076854,133.0,1075,0.6674837939453127,True,REGULAR,USD,MRK,1,2025-04-25,2025-04-23 13:05:10.310663,78.87000274658203
MRK250425C00079000,2025-04-23 16:30:35+00:00,79.0,1.88,1.84,1.89,-0.120000005,-6.0,232.0,940,0.6757844921875001,False,REGULAR,USD,MRK,1,2025-04-25,2025-04-23 13:05:10.310663,78.87000274658203
MRK250425C00080000,2025-04-23 16:26:48+00:00,80.0,1.33,1.41,1.48,-0.18999994,-12.499996,131.0,858,0.6816438085937502,False,REGULAR,USD,MRK,1,2025-04-25,2025-04-23 13:05:10.310663,78.87000274658203
MRK250425C00081000,2025-04-23 16:25:46+00:00,81.0,1.0,1.05,1.11,-0.15999997,-13.7931,364.0,6389,0.6796907031250001,False,REGULAR,USD,MRK,1,2025-04-25,2025-04-23 13:05:10.310663,78.87000274658203
MRK250425C00082000,2025-04-23 16:20:35+00:00,82.0,0.74,0.7,0.81,0.04000002,5.7142887,1907.0,493,0.6630893066406252,False,REGULAR,USD,MRK,1,2025-04-25,2025-04-23 13:05:10.310663,78.87000274658203
MRK250425C00083000,2025-04-23 16:20:59+00:00,83.0,0.53,0.55,0.6,-0.07000005,-11.666675,135.0,1032,0.6826203613281252,False,REGULAR,USD,MRK,1,2025-04-25,2025-04-23 13:05:10.310663,78.87000274658203
