contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
MRNA250425C00018000,2025-04-22 15:10:34+00:00,18.0,7.32,8.5,8.7,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD,MRNA,1,2025-04-25,2025-04-23 13:05:22.185396,26.93000030517578
MRNA250425C00018500,2025-04-17 17:23:46+00:00,18.5,6.08,8.0,8.2,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD,MRNA,1,2025-04-25,2025-04-23 13:05:22.185396,26.93000030517578
MRNA250425C00019000,2025-04-22 15:11:02+00:00,19.0,6.38,7.5,7.7,0.0,0.0,2.0,5,1.0000000000000003e-05,True,REGULAR,USD,MRNA,1,2025-04-25,2025-04-23 13:05:22.185396,26.93000030517578
MRNA250425C00019500,2025-04-17 17:14:58+00:00,19.5,5.15,7.0,7.25,0.0,0.0,7.0,8,1.0000000000000003e-05,True,REGULAR,USD,MRNA,1,2025-04-25,2025-04-23 13:05:22.185396,26.93000030517578
MRNA250425C00020000,2025-04-23 13:34:14+00:00,20.0,7.5,6.55,6.7,2.1,38.888885,6.0,27,1.0000000000000003e-05,True,REGULAR,USD,MRNA,1,2025-04-25,2025-04-23 13:05:22.185396,26.93000030517578
MRNA250425C00020500,2025-04-17 17:17:56+00:00,20.5,4.15,6.0,6.2,0.0,0.0,6.0,6,1.0000000000000003e-05,True,REGULAR,USD,MRNA,1,2025-04-25,2025-04-23 13:05:22.185396,26.93000030517578
MRNA250425C00021000,2025-04-21 17:31:39+00:00,21.0,6.8,5.55,5.7,2.5700002,60.756508,50.0,90,1.0000000000000003e-05,True,REGULAR,USD,MRNA,1,2025-04-25,2025-04-23 13:05:22.185396,26.93000030517578
MRNA250425C00022000,2025-04-22 18:54:00+00:00,22.0,3.6,4.45,4.8,0.0,0.0,7.0,72,1.0000000000000003e-05,True,REGULAR,USD,MRNA,1,2025-04-25,2025-04-23 13:05:22.185396,26.93000030517578
MRNA250425C00022500,2025-04-22 13:36:09+00:00,22.5,3.0,4.0,4.4,0.0,0.0,5.0,12,1.0000000000000003e-05,True,REGULAR,USD,MRNA,1,2025-04-25,2025-04-23 13:05:22.185396,26.93000030517578
MRNA250425C00023000,2025-04-22 17:26:42+00:00,23.0,4.0,3.5,3.8,1.5699999,64.609055,5.0,36,1.0000000000000003e-05,True,REGULAR,USD,MRNA,1,2025-04-25,2025-04-23 13:05:22.185396,26.93000030517578
MRNA250425C00023500,2025-04-23 13:45:52+00:00,23.5,4.3,2.9,3.25,2.44,131.18279,30.0,65,1.0000000000000003e-05,True,REGULAR,USD,MRNA,1,2025-04-25,2025-04-23 13:05:22.185396,26.93000030517578
MRNA250425C00024000,2025-04-23 15:19:51+00:00,24.0,3.4,2.57,2.82,1.45,74.35897,212.0,671,1.0000000000000003e-05,True,REGULAR,USD,MRNA,1,2025-04-25,2025-04-23 13:05:22.185396,26.93000030517578
MRNA250425C00024500,2025-04-23 13:36:16+00:00,24.5,3.03,2.13,2.32,1.53,102.0,22.0,352,1.0000000000000003e-05,True,REGULAR,USD,MRNA,1,2025-04-25,2025-04-23 13:05:22.185396,26.93000030517578
MRNA250425C00025000,2025-04-23 16:19:19+00:00,25.0,1.84,1.71,1.83,0.68000007,58.620697,438.0,1670,1.0000000000000003e-05,True,REGULAR,USD,MRNA,1,2025-04-25,2025-04-23 13:05:22.185396,26.93000030517578
MRNA250425C00025500,2025-04-23 15:31:59+00:00,25.5,1.49,1.32,1.38,0.63,73.25581,227.0,773,1.0000000000000003e-05,True,REGULAR,USD,MRNA,1,2025-04-25,2025-04-23 13:05:22.185396,26.93000030517578
MRNA250425C00026000,2025-04-23 16:20:27+00:00,26.0,1.02,0.97,1.02,0.40999997,67.213104,11242.0,11867,0.4101621484375,True,REGULAR,USD,MRNA,1,2025-04-25,2025-04-23 13:05:22.185396,26.93000030517578
MRNA250425C00026500,2025-04-23 15:52:00+00:00,26.5,0.78,0.68,0.73,0.34999996,81.39534,530.0,18807,0.5019581054687501,True,REGULAR,USD,MRNA,1,2025-04-25,2025-04-23 13:05:22.185396,26.93000030517578
MRNA250425C00027000,2025-04-23 16:19:42+00:00,27.0,0.49,0.45,0.51,0.21000001,75.0,339.0,1490,0.5273484765625001,False,REGULAR,USD,MRNA,1,2025-04-25,2025-04-23 13:05:22.185396,26.93000030517578
MRNA250425C00027500,2025-04-23 15:50:59+00:00,27.5,0.37,0.29,0.34,0.18,94.73685,992.0,627,0.5625043750000001,False,REGULAR,USD,MRNA,1,2025-04-25,2025-04-23 13:05:22.185396,26.93000030517578
MRNA250425C00028000,2025-04-23 16:25:25+00:00,28.0,0.19,0.18,0.21,0.089999996,90.0,13027.0,11535,0.5839885351562499,False,REGULAR,USD,MRNA,1,2025-04-25,2025-04-23 13:05:22.185396,26.93000030517578
MRNA250425C00028500,2025-04-23 16:34:42+00:00,28.5,0.12,0.11,0.14,0.049999997,71.428566,262.0,17676,0.6152382226562501,False,REGULAR,USD,MRNA,1,2025-04-25,2025-04-23 13:05:22.185396,26.93000030517578
MRNA250425C00029000,2025-04-23 16:02:33+00:00,29.0,0.08,0.07,0.08,0.029999997,59.999996,1060.0,522,0.632816171875,False,REGULAR,USD,MRNA,1,2025-04-25,2025-04-23 13:05:22.185396,26.93000030517578
MRNA250425C00029500,2025-04-23 15:05:23+00:00,29.5,0.15,0.05,0.06,0.11000001,275.00003,21.0,232,0.6835969140625001,False,REGULAR,USD,MRNA,1,2025-04-25,2025-04-23 13:05:22.185396,26.93000030517578
MRNA250425C00030000,2025-04-23 16:29:18+00:00,30.0,0.04,0.03,0.04,0.02,100.0,2194.0,2438,0.710940390625,False,REGULAR,USD,MRNA,1,2025-04-25,2025-04-23 13:05:22.185396,26.93000030517578
MRNA250425C00030500,2025-04-23 16:29:18+00:00,30.5,0.02,0.0,0.03,0.0,0.0,6.0,24,0.6875031250000001,False,REGULAR,USD,MRNA,1,2025-04-25,2025-04-23 13:05:22.185396,26.93000030517578
MRNA250425C00031000,2025-04-23 15:21:31+00:00,31.0,0.03,0.01,0.04,0.02,200.0,131.0,858,0.8281267187499999,False,REGULAR,USD,MRNA,1,2025-04-25,2025-04-23 13:05:22.185396,26.93000030517578
