contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
MSFT250425C00230000,2025-04-21 14:50:07+00:00,230.0,130.49,144.7,146.1,0.0,0.0,3.0,248,1.0000000000000003e-05,True,REGULAR,USD,MSFT,1,2025-04-25,2025-04-23 13:05:20.117128,376.739990234375
MSFT250425C00250000,2025-04-10 19:19:12+00:00,250.0,132.1,124.55,126.05,0.0,0.0,4.0,3,1.0000000000000003e-05,True,REGULAR,USD,MSFT,1,2025-04-25,2025-04-23 13:05:20.117128,376.739990234375
MSFT250425C00260000,2025-04-04 15:04:14+00:00,260.0,113.15,114.55,116.05,0.0,0.0,10.0,10,1.0000000000000003e-05,True,REGULAR,USD,MSFT,1,2025-04-25,2025-04-23 13:05:20.117128,376.739990234375
MSFT250425C00270000,2025-03-31 17:09:44+00:00,270.0,102.8,104.55,106.0,0.0,0.0,2.0,13,1.0000000000000003e-05,True,REGULAR,USD,MSFT,1,2025-04-25,2025-04-23 13:05:20.117128,376.739990234375
MSFT250425C00275000,2025-04-17 18:57:14+00:00,275.0,95.07,99.7,101.15,0.0,0.0,1.0,2,1.0000000000000003e-05,True,REGULAR,USD,MSFT,1,2025-04-25,2025-04-23 13:05:20.117128,376.739990234375
MSFT250425C00280000,2025-04-11 14:54:26+00:00,280.0,103.62,94.55,95.9,0.0,0.0,3.0,14,1.0000000000000003e-05,True,REGULAR,USD,MSFT,1,2025-04-25,2025-04-23 13:05:20.117128,376.739990234375
MSFT250425C00285000,2025-04-01 16:02:36+00:00,285.0,97.85,89.7,91.05,0.0,0.0,,3,1.0000000000000003e-05,True,REGULAR,USD,MSFT,1,2025-04-25,2025-04-23 13:05:20.117128,376.739990234375
MSFT250425C00290000,2025-04-11 18:44:36+00:00,290.0,100.17,84.7,86.1,0.0,0.0,4.0,13,1.0000000000000003e-05,True,REGULAR,USD,MSFT,1,2025-04-25,2025-04-23 13:05:20.117128,376.739990234375
MSFT250425C00295000,2025-03-13 15:22:57+00:00,295.0,87.94,92.4,95.55,0.0,0.0,,4,3.380006432800293,True,REGULAR,USD,MSFT,1,2025-04-25,2025-04-23 13:05:20.117128,376.739990234375
MSFT250425C00297500,2025-04-17 19:21:44+00:00,297.5,70.35,77.2,78.6,0.0,0.0,20.0,20,1.0000000000000003e-05,True,REGULAR,USD,MSFT,1,2025-04-25,2025-04-23 13:05:20.117128,376.739990234375
MSFT250425C00300000,2025-04-23 15:22:45+00:00,300.0,76.0,74.85,76.1,12.400002,19.496859,2.0,3928,1.0000000000000003e-05,True,REGULAR,USD,MSFT,1,2025-04-25,2025-04-23 13:05:20.117128,376.739990234375
MSFT250425C00305000,2025-04-21 13:41:00+00:00,305.0,58.45,69.55,70.95,0.0,0.0,1.0,38,1.0000000000000003e-05,True,REGULAR,USD,MSFT,1,2025-04-25,2025-04-23 13:05:20.117128,376.739990234375
MSFT250425C00310000,2025-04-23 13:30:54+00:00,310.0,65.7,64.7,66.0,8.049995,13.963565,4.0,11,1.0000000000000003e-05,True,REGULAR,USD,MSFT,1,2025-04-25,2025-04-23 13:05:20.117128,376.739990234375
MSFT250425C00315000,2025-04-22 14:21:17+00:00,315.0,48.0,59.65,61.15,0.0,0.0,1.0,18,1.0000000000000003e-05,True,REGULAR,USD,MSFT,1,2025-04-25,2025-04-23 13:05:20.117128,376.739990234375
MSFT250425C00320000,2025-04-23 13:30:54+00:00,320.0,55.75,54.75,56.2,8.470001,17.914555,3.0,18,1.0000000000000003e-05,True,REGULAR,USD,MSFT,1,2025-04-25,2025-04-23 13:05:20.117128,376.739990234375
MSFT250425C00325000,2025-04-21 16:39:22+00:00,325.0,35.09,49.75,51.15,0.0,0.0,1.0,12,1.0000000000000003e-05,True,REGULAR,USD,MSFT,1,2025-04-25,2025-04-23 13:05:20.117128,376.739990234375
MSFT250425C00330000,2025-04-22 17:26:11+00:00,330.0,34.9,44.8,46.0,0.0,0.0,1.0,20,1.0000000000000003e-05,True,REGULAR,USD,MSFT,1,2025-04-25,2025-04-23 13:05:20.117128,376.739990234375
MSFT250425C00332500,2025-04-17 18:05:55+00:00,332.5,39.75,42.2,43.65,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD,MSFT,1,2025-04-25,2025-04-23 13:05:20.117128,376.739990234375
MSFT250425C00335000,2025-04-11 14:58:34+00:00,335.0,41.5,39.7,40.95,-9.5,-18.62745,1.0,29,1.0000000000000003e-05,True,REGULAR,USD,MSFT,1,2025-04-25,2025-04-23 13:05:20.117128,376.739990234375
MSFT250425C00340000,2025-04-23 16:08:09+00:00,340.0,35.72,34.7,36.05,9.420002,35.817497,6.0,165,1.0000000000000003e-05,True,REGULAR,USD,MSFT,1,2025-04-25,2025-04-23 13:05:20.117128,376.739990234375
MSFT250425C00342500,2025-04-22 14:59:37+00:00,342.5,36.71,32.55,33.55,13.959999,61.362633,2.0,6,1.0000000000000003e-05,True,REGULAR,USD,MSFT,1,2025-04-25,2025-04-23 13:05:20.117128,376.739990234375
MSFT250425C00345000,2025-04-22 19:54:40+00:00,345.0,33.83,29.95,31.15,11.1100025,48.899662,2.0,64,1.0000000000000003e-05,True,REGULAR,USD,MSFT,1,2025-04-25,2025-04-23 13:05:20.117128,376.739990234375
MSFT250425C00347500,2025-04-22 14:20:41+00:00,347.5,31.31,27.35,28.7,15.309999,95.6875,1.0,25,1.0000000000000003e-05,True,REGULAR,USD,MSFT,1,2025-04-25,2025-04-23 13:05:20.117128,376.739990234375
MSFT250425C00350000,2025-04-23 15:42:26+00:00,350.0,24.8,25.2,25.8,6.799999,37.777775,28.0,321,1.0000000000000003e-05,True,REGULAR,USD,MSFT,1,2025-04-25,2025-04-23 13:05:20.117128,376.739990234375
MSFT250425C00352500,2025-04-23 16:01:00+00:00,352.5,23.5,22.8,23.6,10.6,82.17055,47.0,193,1.0000000000000003e-05,True,REGULAR,USD,MSFT,1,2025-04-25,2025-04-23 13:05:20.117128,376.739990234375
MSFT250425C00355000,2025-04-23 16:21:11+00:00,355.0,19.57,20.55,21.1,7.2199993,58.461533,100.0,522,1.0000000000000003e-05,True,REGULAR,USD,MSFT,1,2025-04-25,2025-04-23 13:05:20.117128,376.739990234375
MSFT250425C00357500,2025-04-23 16:24:23+00:00,357.5,17.42,18.2,18.75,6.37,57.647057,54.0,183,1.0000000000000003e-05,True,REGULAR,USD,MSFT,1,2025-04-25,2025-04-23 13:05:20.117128,376.739990234375
MSFT250425C00360000,2025-04-23 15:57:04+00:00,360.0,16.47,15.6,16.3,6.9699993,73.368416,517.0,987,1.0000000000000003e-05,True,REGULAR,USD,MSFT,1,2025-04-25,2025-04-23 13:05:20.117128,376.739990234375
MSFT250425C00362500,2025-04-23 16:16:51+00:00,362.5,13.68,13.3,13.85,6.4300003,88.68965,172.0,784,1.0000000000000003e-05,True,REGULAR,USD,MSFT,1,2025-04-25,2025-04-23 13:05:20.117128,376.739990234375
MSFT250425C00365000,2025-04-23 16:21:27+00:00,365.0,10.7,11.45,11.9,4.8999996,84.48275,503.0,1256,0.2153398779296875,True,REGULAR,USD,MSFT,1,2025-04-25,2025-04-23 13:05:20.117128,376.739990234375
MSFT250425C00367500,2025-04-23 16:26:06+00:00,367.5,8.81,9.55,9.75,4.4600005,102.528755,429.0,992,0.23975369628906246,True,REGULAR,USD,MSFT,1,2025-04-25,2025-04-23 13:05:20.117128,376.739990234375
MSFT250425C00370000,2025-04-23 16:30:21+00:00,370.0,7.65,7.6,7.85,4.4,135.38461,1233.0,2385,0.25867440551757814,True,REGULAR,USD,MSFT,1,2025-04-25,2025-04-23 13:05:20.117128,376.739990234375
MSFT250425C00372500,2025-04-23 16:31:28+00:00,372.5,6.05,5.85,6.05,3.8400002,173.75565,927.0,1328,0.260749580078125,True,REGULAR,USD,MSFT,1,2025-04-25,2025-04-23 13:05:20.117128,376.739990234375
MSFT250425C00375000,2025-04-23 16:31:26+00:00,375.0,4.5,4.35,4.5,3.04,208.21918,2635.0,3504,0.2620923400878906,True,REGULAR,USD,MSFT,1,2025-04-25,2025-04-23 13:05:20.117128,376.739990234375
MSFT250425C00377500,2025-04-23 16:34:26+00:00,377.5,3.23,3.2,3.35,2.3,247.31181,2540.0,2120,0.27259028198242186,False,REGULAR,USD,MSFT,1,2025-04-25,2025-04-23 13:05:20.117128,376.739990234375
MSFT250425C00380000,2025-04-23 16:35:11+00:00,380.0,2.36,2.32,2.41,1.7399999,271.87488,6103.0,3762,0.2791820129394531,False,REGULAR,USD,MSFT,1,2025-04-25,2025-04-23 13:05:20.117128,376.739990234375
MSFT250425C00382500,2025-04-23 16:32:53+00:00,382.5,1.55,1.46,1.54,1.1199999,260.46503,2919.0,1605,0.27197993652343744,False,REGULAR,USD,MSFT,1,2025-04-25,2025-04-23 13:05:20.117128,376.739990234375
MSFT250425C00385000,2025-04-23 16:34:17+00:00,385.0,0.98,0.93,0.98,0.73,292.0,4790.0,2625,0.27210200561523434,False,REGULAR,USD,MSFT,1,2025-04-25,2025-04-23 13:05:20.117128,376.739990234375
MSFT250425C00387500,2025-04-23 16:33:24+00:00,387.5,0.58,0.58,0.61,0.45,346.15387,2166.0,1791,0.27417718017578124,False,REGULAR,USD,MSFT,1,2025-04-25,2025-04-23 13:05:20.117128,376.739990234375
