contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
MTB250516C00135000,2025-04-07 15:14:35+00:00,135.0,26.0,31.2,33.5,0.0,0.0,,1,0.5688519677734375,True,REGULAR,USD,MTB,1,2025-05-16,2025-04-23 13:04:56.753488,166.6199951171875
MTB250516C00140000,2025-04-23 13:54:17+00:00,140.0,30.8,26.3,28.0,7.0699997,29.79351,1.0,2,0.5835002587890624,True,REGULAR,USD,MTB,1,2025-05-16,2025-04-23 13:04:56.753488,166.6199951171875
MTB250516C00145000,2025-04-15 15:01:25+00:00,145.0,19.92,21.3,23.6,0.0,0.0,,1,0.56055126953125,True,REGULAR,USD,MTB,1,2025-05-16,2025-04-23 13:04:56.753488,166.6199951171875
MTB250516C00150000,2025-04-17 17:33:51+00:00,150.0,14.7,16.9,19.3,0.0,0.0,1.0,5,0.5279588220214844,True,REGULAR,USD,MTB,1,2025-05-16,2025-04-23 13:04:56.753488,166.6199951171875
MTB250516C00155000,2025-04-21 15:37:05+00:00,155.0,7.8,12.4,14.6,0.0,0.0,5.0,26,0.4489801196289062,True,REGULAR,USD,MTB,1,2025-05-16,2025-04-23 13:04:56.753488,166.6199951171875
MTB250516C00160000,2025-04-22 15:49:00+00:00,160.0,5.9,9.3,10.0,0.0,0.0,13.0,142,0.3670717590332031,True,REGULAR,USD,MTB,1,2025-05-16,2025-04-23 13:04:56.753488,166.6199951171875
MTB250516C00165000,2025-04-22 19:41:21+00:00,165.0,8.6,5.7,6.7,4.6000004,115.00001,2.0,108,0.3452213916015625,True,REGULAR,USD,MTB,1,2025-05-16,2025-04-23 13:04:56.753488,166.6199951171875
MTB250516C00170000,2025-04-22 19:42:46+00:00,170.0,2.52,3.1,5.0,0.0,0.0,14.0,45,0.3806214282226562,False,REGULAR,USD,MTB,1,2025-05-16,2025-04-23 13:04:56.753488,166.6199951171875
MTB250516C00175000,2025-04-23 15:47:23+00:00,175.0,1.78,1.8,2.45,0.61,52.136753,3.0,463,0.3254461987304687,False,REGULAR,USD,MTB,1,2025-05-16,2025-04-23 13:04:56.753488,166.6199951171875
MTB250516C00180000,2025-04-23 16:13:13+00:00,180.0,0.45,0.5,0.85,0.030000001,7.1428576,7.0,90,0.27539787109374997,False,REGULAR,USD,MTB,1,2025-05-16,2025-04-23 13:04:56.753488,166.6199951171875
MTB250516C00185000,2025-04-15 15:50:32+00:00,185.0,0.32,0.0,0.6,0.0,0.0,7.0,14,0.30811238769531246,False,REGULAR,USD,MTB,1,2025-05-16,2025-04-23 13:04:56.753488,166.6199951171875
MTB250516C00190000,2025-04-14 13:57:28+00:00,190.0,0.2,0.05,0.7,0.0,0.0,2.0,10,0.37842418457031246,False,REGULAR,USD,MTB,1,2025-05-16,2025-04-23 13:04:56.753488,166.6199951171875
