contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
MTCH250425C00024500,2025-04-07 17:00:21+00:00,24.5,3.85,4.5,5.2,0.0,0.0,,2.0,1.7304700976562502,1.0,REGULAR,USD,MTCH,1,2025-04-25,2025-04-23 13:05:03.778943,29.450000762939453
MTCH250425C00026500,2025-04-11 15:00:04+00:00,26.5,2.27,1.51,3.75,0.0,0.0,,17.0,1.9082035839843752,1.0,REGULAR,USD,MTCH,1,2025-04-25,2025-04-23 13:05:03.778943,29.450000762939453
MTCH250425C00027000,2025-04-14 19:26:47+00:00,27.0,2.02,1.75,3.3,0.0,0.0,,1.0,0.710940390625,1.0,REGULAR,USD,MTCH,1,2025-04-25,2025-04-23 13:05:03.778943,29.450000762939453
MTCH250425C00027500,2025-04-09 17:18:43+00:00,27.5,1.09,1.63,3.0,0.0,0.0,,13.0,1.0390673046875003,1.0,REGULAR,USD,MTCH,1,2025-04-25,2025-04-23 13:05:03.778943,29.450000762939453
MTCH250425C00028000,2025-04-22 14:10:40+00:00,28.0,1.35,1.37,1.5,0.0,0.0,1.0,31.0,0.42578699218750005,1.0,REGULAR,USD,MTCH,1,2025-04-25,2025-04-23 13:05:03.778943,29.450000762939453
MTCH250425C00028500,2025-04-22 13:35:56+00:00,28.5,1.09,0.97,1.05,0.0,0.0,7.0,273.0,0.39453730468750003,1.0,REGULAR,USD,MTCH,1,2025-04-25,2025-04-23 13:05:03.778943,29.450000762939453
MTCH250425C00029000,2025-04-23 15:30:38+00:00,29.0,0.69,0.59,0.68,0.01999998,2.9850717,2.0,27.0,0.39453730468750003,1.0,REGULAR,USD,MTCH,1,2025-04-25,2025-04-23 13:05:03.778943,29.450000762939453
MTCH250425C00029500,2025-04-23 14:03:34+00:00,29.5,0.71,0.34,0.41,0.20999998,41.999996,3.0,80.0,0.40820904296875,0.0,REGULAR,USD,MTCH,1,2025-04-25,2025-04-23 13:05:03.778943,29.450000762939453
MTCH250425C00030000,2025-04-23 15:16:53+00:00,30.0,0.25,0.14,0.21,-0.050000012,-16.66667,1035.0,101.0,0.40039662109375,0.0,REGULAR,USD,MTCH,1,2025-04-25,2025-04-23 13:05:03.778943,29.450000762939453
MTCH250425C00030500,2025-04-23 14:12:03+00:00,30.5,0.27,0.0,0.29,0.110000014,68.750015,6.0,354.0,0.63867548828125,0.0,REGULAR,USD,MTCH,1,2025-04-25,2025-04-23 13:05:03.778943,29.450000762939453
MTCH250425C00031000,2025-04-21 15:57:27+00:00,31.0,0.07,0.03,0.16,0.02,40.0,1.0,7.0,0.5117236328125,0.0,REGULAR,USD,MTCH,1,2025-04-25,2025-04-23 13:05:03.778943,29.450000762939453
MTCH250425C00031500,2025-04-10 14:47:39+00:00,31.5,0.03,0.0,0.1,-0.15,-83.333336,1.0,1.0,0.523442265625,0.0,REGULAR,USD,MTCH,1,2025-04-25,2025-04-23 13:05:03.778943,29.450000762939453
MTCH250425C00032000,2025-04-21 14:18:15+00:00,32.0,0.03,0.0,0.1,0.02,200.0,10.0,47.0,0.6093789062500001,0.0,REGULAR,USD,MTCH,1,2025-04-25,2025-04-23 13:05:03.778943,29.450000762939453
MTCH250425C00032500,2025-04-17 19:43:15+00:00,32.5,0.05,0.0,0.51,0.0,0.0,1.0,2.0,1.08984830078125,0.0,REGULAR,USD,MTCH,1,2025-04-25,2025-04-23 13:05:03.778943,29.450000762939453
MTCH250425C00033000,2025-04-10 17:10:57+00:00,33.0,0.1,0.0,0.51,0.0,0.0,40.0,96.0,1.1953165234375,0.0,REGULAR,USD,MTCH,1,2025-04-25,2025-04-23 13:05:03.778943,29.450000762939453
MTCH250425C00033500,2025-04-11 16:15:12+00:00,33.5,0.06,0.0,0.51,0.0,0.0,,1.0,1.2968785156249998,0.0,REGULAR,USD,MTCH,1,2025-04-25,2025-04-23 13:05:03.778943,29.450000762939453
MTCH250425C00034000,2025-04-10 18:55:09+00:00,34.0,0.05,0.0,1.0,0.0,0.0,1.0,6.0,1.751954365234375,0.0,REGULAR,USD,MTCH,1,2025-04-25,2025-04-23 13:05:03.778943,29.450000762939453
MTCH250425C00034500,2025-04-14 14:13:19+00:00,34.5,0.01,0.0,1.0,0.0,0.0,,1.0,1.857422587890625,0.0,REGULAR,USD,MTCH,1,2025-04-25,2025-04-23 13:05:03.778943,29.450000762939453
MTCH250425C00035000,2025-04-14 14:32:47+00:00,35.0,0.03,0.01,0.03,0.0,0.0,10.0,377.0,0.92187578125,0.0,REGULAR,USD,MTCH,1,2025-04-25,2025-04-23 13:05:03.778943,29.450000762939453
MTCH250425C00036000,2025-03-31 18:17:15+00:00,36.0,0.08,0.0,1.0,0.0,0.0,1.0,2.0,2.1523483691406247,0.0,REGULAR,USD,MTCH,1,2025-04-25,2025-04-23 13:05:03.778943,29.450000762939453
MTCH250425C00037000,2025-04-21 14:29:52+00:00,37.0,0.2,0.0,1.12,0.0,0.0,7.0,0.0,2.425785185546875,0.0,REGULAR,USD,MTCH,1,2025-04-25,2025-04-23 13:05:03.778943,29.450000762939453
MTCH250425P00024000,2025-04-16 18:10:15+00:00,24.0,0.01,0.0,1.0,0.0,0.0,1.0,1.0,2.339847900390624,0.0,REGULAR,USD,MTCH,0,2025-04-25,2025-04-23 13:05:03.779946,29.450000762939453
MTCH250425P00025000,2025-04-17 17:24:01+00:00,25.0,0.04,0.0,0.07,0.0,0.0,30.0,30.0,1.000005,0.0,REGULAR,USD,MTCH,0,2025-04-25,2025-04-23 13:05:03.779946,29.450000762939453
MTCH250425P00026000,2025-04-21 19:20:02+00:00,26.0,0.01,0.0,1.0,0.0,0.0,10.0,19.0,1.6953140234375002,0.0,REGULAR,USD,MTCH,0,2025-04-25,2025-04-23 13:05:03.779946,29.450000762939453
MTCH250425P00026500,2025-04-22 14:39:11+00:00,26.5,0.03,0.0,0.25,0.0,0.0,23.0,231.0,0.945313046875,0.0,REGULAR,USD,MTCH,0,2025-04-25,2025-04-23 13:05:03.779946,29.450000762939453
MTCH250425P00027000,2025-04-11 18:55:36+00:00,27.0,0.05,0.0,0.05,-0.56,-91.803276,3.0,38.0,0.5546919531250001,0.0,REGULAR,USD,MTCH,0,2025-04-25,2025-04-23 13:05:03.779946,29.450000762939453
MTCH250425P00027500,2025-04-16 15:44:57+00:00,27.5,0.21,0.03,0.09,0.0,0.0,1.0,3036.0,0.5625043750000001,0.0,REGULAR,USD,MTCH,0,2025-04-25,2025-04-23 13:05:03.779946,29.450000762939453
MTCH250425P00028000,2025-04-23 15:14:23+00:00,28.0,0.05,0.0,0.1,-0.14,-73.68421,2.0,69.0,0.523442265625,0.0,REGULAR,USD,MTCH,0,2025-04-25,2025-04-23 13:05:03.779946,29.450000762939453
MTCH250425P00028500,2025-04-21 19:21:40+00:00,28.5,0.37,0.11,0.2,0.0,0.0,25.0,23.0,0.523442265625,0.0,REGULAR,USD,MTCH,0,2025-04-25,2025-04-23 13:05:03.779946,29.450000762939453
MTCH250425P00029000,2025-04-22 15:56:59+00:00,29.0,0.19,0.12,0.36,-0.17000002,-47.222225,1.0,80.0,0.52539537109375,0.0,REGULAR,USD,MTCH,0,2025-04-25,2025-04-23 13:05:03.779946,29.450000762939453
MTCH250425P00029500,2025-04-22 17:16:24+00:00,29.5,0.47,0.27,0.57,-0.14000002,-22.950823,2.0,38.0,0.5117236328125,1.0,REGULAR,USD,MTCH,0,2025-04-25,2025-04-23 13:05:03.779946,29.450000762939453
