contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
MTD250516C01000000,2025-04-22 14:32:30+00:00,1000.0,53.44,80.0,89.9,0.0,0.0,1.0,10,0.5442245285034181,True,REGULAR,USD,MTD,1,2025-05-16,2025-04-23 13:05:15.255295,1049.219970703125
MTD250516C01040000,2025-04-07 14:11:16+00:00,1040.0,66.0,55.1,63.1,0.0,0.0,,1,0.5090838887023927,True,REGULAR,USD,MTD,1,2025-05-16,2025-04-23 13:05:15.255295,1049.219970703125
MTD250516C01060000,2025-04-21 19:02:15+00:00,1060.0,19.72,43.8,53.0,0.0,0.0,1.0,1,0.5401657312011721,False,REGULAR,USD,MTD,1,2025-05-16,2025-04-23 13:05:15.255295,1049.219970703125
MTD250516C01100000,2025-04-23 14:24:50+00:00,1100.0,40.01,26.0,35.0,26.96,206.59006,1.0,14,0.5172777764892578,False,REGULAR,USD,MTD,1,2025-05-16,2025-04-23 13:05:15.255295,1049.219970703125
MTD250516C01140000,2025-04-21 14:10:06+00:00,1140.0,7.01,12.4,21.4,0.0,0.0,1.0,7,0.49486283950805665,False,REGULAR,USD,MTD,1,2025-05-16,2025-04-23 13:05:15.255295,1049.219970703125
MTD250516C01150000,2025-04-10 15:51:29+00:00,1150.0,10.45,10.0,18.8,0.0,0.0,,1,0.4909413699340821,False,REGULAR,USD,MTD,1,2025-05-16,2025-04-23 13:05:15.255295,1049.219970703125
MTD250516C01160000,2025-04-16 14:12:24+00:00,1160.0,12.0,8.0,17.0,0.0,0.0,1.0,1,0.4939015454101563,False,REGULAR,USD,MTD,1,2025-05-16,2025-04-23 13:05:15.255295,1049.219970703125
MTD250516C01170000,2025-04-16 14:12:24+00:00,1170.0,10.15,6.0,15.0,0.0,0.0,1.0,1,0.4922230953979493,False,REGULAR,USD,MTD,1,2025-05-16,2025-04-23 13:05:15.255295,1049.219970703125
MTD250516C01200000,2025-04-15 14:36:24+00:00,1200.0,16.0,3.0,11.0,0.0,0.0,1.0,2,0.5010425872802735,False,REGULAR,USD,MTD,1,2025-05-16,2025-04-23 13:05:15.255295,1049.219970703125
MTD250516C01220000,2025-04-10 16:19:52+00:00,1220.0,5.0,0.2,8.6,0.0,0.0,3.0,3,0.5011646563720704,False,REGULAR,USD,MTD,1,2025-05-16,2025-04-23 13:05:15.255295,1049.219970703125
MTD250516C01230000,2025-04-04 15:22:31+00:00,1230.0,8.22,1.0,8.8,0.0,0.0,1.0,0,0.5230760583496092,False,REGULAR,USD,MTD,1,2025-05-16,2025-04-23 13:05:15.255295,1049.219970703125
MTD250516C01240000,2025-04-03 13:33:54+00:00,1240.0,15.9,0.1,7.1,0.0,0.0,1.0,2,0.5097400100708008,False,REGULAR,USD,MTD,1,2025-05-16,2025-04-23 13:05:15.255295,1049.219970703125
MTD250516C01250000,2025-04-02 14:11:19+00:00,1250.0,18.46,0.1,7.3,0.0,0.0,,2,0.5309495147705079,False,REGULAR,USD,MTD,1,2025-05-16,2025-04-23 13:05:15.255295,1049.219970703125
MTD250516C01270000,2025-03-21 17:52:51+00:00,1270.0,29.0,0.0,0.0,0.0,0.0,54.0,0,0.12500875,False,REGULAR,USD,MTD,1,2025-05-16,2025-04-23 13:05:15.255295,1049.219970703125
MTD250516C01300000,2025-04-08 16:49:10+00:00,1300.0,1.0,0.0,4.8,0.0,0.0,1.0,1,0.5550581604003908,False,REGULAR,USD,MTD,1,2025-05-16,2025-04-23 13:05:15.255295,1049.219970703125
MTD250516C01400000,2025-04-03 13:30:01+00:00,1400.0,1.5,0.0,4.8,0.0,0.0,,1,0.6092568371582032,False,REGULAR,USD,MTD,1,2025-05-16,2025-04-23 13:05:15.255295,1049.219970703125
MTD250516P00660000,2025-04-14 13:30:03+00:00,660.0,3.2,0.0,4.8,0.0,0.0,,1,0.9633792724609375,False,REGULAR,USD,MTD,0,2025-05-16,2025-04-23 13:05:15.257300,1049.219970703125
MTD250516P00740000,2025-04-15 13:30:04+00:00,740.0,4.4,0.05,10.0,0.0,0.0,1.0,2,0.8734143518066406,False,REGULAR,USD,MTD,0,2025-05-16,2025-04-23 13:05:15.257300,1049.219970703125
MTD250516P00780000,2025-04-17 13:30:03+00:00,780.0,8.0,0.1,8.3,0.0,0.0,2.0,2,0.7348048980712891,False,REGULAR,USD,MTD,0,2025-05-16,2025-04-23 13:05:15.257300,1049.219970703125
MTD250516P00800000,2025-04-21 15:39:48+00:00,800.0,4.5,0.1,9.3,-5.5,-55.0,1.0,2,0.7004424487304688,False,REGULAR,USD,MTD,0,2025-05-16,2025-04-23 13:05:15.257300,1049.219970703125
MTD250516P00860000,2025-04-09 15:56:34+00:00,860.0,39.0,4.0,10.9,0.0,0.0,,2,0.6163978790283204,False,REGULAR,USD,MTD,0,2025-05-16,2025-04-23 13:05:15.257300,1049.219970703125
MTD250516P00900000,2025-04-10 18:33:04+00:00,900.0,32.0,8.4,14.2,0.0,0.0,,1,0.5797466342163086,False,REGULAR,USD,MTD,0,2025-05-16,2025-04-23 13:05:15.257300,1049.219970703125
MTD250516P00920000,2025-04-17 13:35:36+00:00,920.0,15.0,11.0,16.9,-12.0,-44.444443,1.0,2,0.5629621340942383,False,REGULAR,USD,MTD,0,2025-05-16,2025-04-23 13:05:15.257300,1049.219970703125
MTD250516P00940000,2025-04-08 18:04:07+00:00,940.0,43.75,14.3,21.4,0.0,0.0,,1,0.5556074713134767,False,REGULAR,USD,MTD,0,2025-05-16,2025-04-23 13:05:15.257300,1049.219970703125
