contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
MU250425C00040000,2025-04-14 19:35:27+00:00,40.0,31.52,32.95,33.6,0.0,0.0,,5,1.0000000000000003e-05,True,REGULAR,USD,MU,1,2025-04-25,2025-04-23 13:05:18.562652,73.81999969482422
MU250425C00045000,2025-04-16 18:01:02+00:00,45.0,23.95,27.9,28.65,0.0,0.0,2.0,2,1.0000000000000003e-05,True,REGULAR,USD,MU,1,2025-04-25,2025-04-23 13:05:18.562652,73.81999969482422
MU250425C00047000,2025-04-22 18:50:24+00:00,47.0,23.15,25.95,26.6,0.0,0.0,1.0,2,1.0000000000000003e-05,True,REGULAR,USD,MU,1,2025-04-25,2025-04-23 13:05:18.562652,73.81999969482422
MU250425C00047500,2025-04-14 15:45:50+00:00,47.5,23.75,25.45,26.1,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD,MU,1,2025-04-25,2025-04-23 13:05:18.562652,73.81999969482422
MU250425C00049500,2025-04-23 15:12:11+00:00,49.5,24.85,23.6,23.85,6.1499996,32.887695,1.0,5,1.0000000000000003e-05,True,REGULAR,USD,MU,1,2025-04-25,2025-04-23 13:05:18.562652,73.81999969482422
MU250425C00050000,2025-04-23 15:23:02+00:00,50.0,23.81,23.1,23.35,4.76,24.98688,2.0,24,1.0000000000000003e-05,True,REGULAR,USD,MU,1,2025-04-25,2025-04-23 13:05:18.562652,73.81999969482422
MU250425C00053000,2025-04-23 15:05:34+00:00,53.0,21.22,20.15,20.65,4.7299995,28.684048,23.0,40,1.0000000000000003e-05,True,REGULAR,USD,MU,1,2025-04-25,2025-04-23 13:05:18.562652,73.81999969482422
MU250425C00054000,2025-04-22 18:29:21+00:00,54.0,15.8,18.85,19.65,0.0,0.0,3.0,6,1.0000000000000003e-05,True,REGULAR,USD,MU,1,2025-04-25,2025-04-23 13:05:18.562652,73.81999969482422
MU250425C00055000,2025-04-22 15:58:42+00:00,55.0,14.1,18.05,18.55,0.0,0.0,5.0,25,1.0000000000000003e-05,True,REGULAR,USD,MU,1,2025-04-25,2025-04-23 13:05:18.562652,73.81999969482422
MU250425C00056000,2025-04-22 15:58:42+00:00,56.0,13.1,16.85,17.4,0.0,0.0,51.0,82,1.0000000000000003e-05,True,REGULAR,USD,MU,1,2025-04-25,2025-04-23 13:05:18.562652,73.81999969482422
MU250425C00057000,2025-04-21 18:04:55+00:00,57.0,9.0,16.05,16.5,0.0,0.0,9.0,29,1.0000000000000003e-05,True,REGULAR,USD,MU,1,2025-04-25,2025-04-23 13:05:18.562652,73.81999969482422
MU250425C00058000,2025-04-22 17:08:01+00:00,58.0,11.84,14.85,15.4,0.0,0.0,2.0,25,1.0000000000000003e-05,True,REGULAR,USD,MU,1,2025-04-25,2025-04-23 13:05:18.562652,73.81999969482422
MU250425C00059000,2025-04-22 15:58:42+00:00,59.0,10.14,14.0,14.4,0.0,0.0,5.0,117,1.0000000000000003e-05,True,REGULAR,USD,MU,1,2025-04-25,2025-04-23 13:05:18.562652,73.81999969482422
MU250425C00060000,2025-04-23 16:13:09+00:00,60.0,13.2,12.9,13.3,3.1499996,31.34328,59.0,301,1.0000000000000003e-05,True,REGULAR,USD,MU,1,2025-04-25,2025-04-23 13:05:18.562652,73.81999969482422
MU250425C00061000,2025-04-22 19:49:59+00:00,61.0,13.65,12.15,12.3,4.5,49.18033,1.0,158,1.0000000000000003e-05,True,REGULAR,USD,MU,1,2025-04-25,2025-04-23 13:05:18.562652,73.81999969482422
MU250425C00061500,2025-04-21 19:27:41+00:00,61.5,5.25,11.5,11.95,0.0,0.0,14.0,91,1.0000000000000003e-05,True,REGULAR,USD,MU,1,2025-04-25,2025-04-23 13:05:18.562652,73.81999969482422
MU250425C00062000,2025-04-23 13:52:27+00:00,62.0,12.2,11.15,11.35,5.5,82.089554,3.0,131,1.0000000000000003e-05,True,REGULAR,USD,MU,1,2025-04-25,2025-04-23 13:05:18.562652,73.81999969482422
MU250425C00062500,2025-04-23 15:01:45+00:00,62.5,11.55,10.7,11.2,5.9,104.424774,16.0,144,1.0000000000000003e-05,True,REGULAR,USD,MU,1,2025-04-25,2025-04-23 13:05:18.562652,73.81999969482422
MU250425C00063000,2025-04-23 15:36:10+00:00,63.0,10.1,10.2,10.4,4.3500004,75.652176,49.0,471,1.0000000000000003e-05,True,REGULAR,USD,MU,1,2025-04-25,2025-04-23 13:05:18.562652,73.81999969482422
MU250425C00063500,2025-04-23 15:41:35+00:00,63.5,9.92,9.7,9.9,3.4,52.14724,43.0,429,1.0000000000000003e-05,True,REGULAR,USD,MU,1,2025-04-25,2025-04-23 13:05:18.562652,73.81999969482422
MU250425C00064000,2025-04-23 15:50:43+00:00,64.0,8.81,9.2,9.8,3.5100002,66.22642,22.0,99,1.0000000000000003e-05,True,REGULAR,USD,MU,1,2025-04-25,2025-04-23 13:05:18.562652,73.81999969482422
MU250425C00065000,2025-04-23 14:39:24+00:00,65.0,8.15,8.25,8.55,2.7999997,52.336445,116.0,941,1.0000000000000003e-05,True,REGULAR,USD,MU,1,2025-04-25,2025-04-23 13:05:18.562652,73.81999969482422
MU250425C00066000,2025-04-23 14:36:27+00:00,66.0,8.75,7.05,7.4,4.0,84.210526,22.0,432,1.0000000000000003e-05,True,REGULAR,USD,MU,1,2025-04-25,2025-04-23 13:05:18.562652,73.81999969482422
MU250425C00067000,2025-04-23 15:57:00+00:00,67.0,6.2,6.35,6.6,2.1499996,53.08641,72.0,1517,1.0000000000000003e-05,True,REGULAR,USD,MU,1,2025-04-25,2025-04-23 13:05:18.562652,73.81999969482422
MU250425C00068000,2025-04-23 15:21:45+00:00,68.0,5.95,5.45,5.85,2.6299999,79.216866,1717.0,7429,0.4687553125,True,REGULAR,USD,MU,1,2025-04-25,2025-04-23 13:05:18.562652,73.81999969482422
MU250425C00069000,2025-04-23 16:24:34+00:00,69.0,4.44,4.55,4.7,1.81,68.82129,662.0,1768,1.0000000000000003e-05,True,REGULAR,USD,MU,1,2025-04-25,2025-04-23 13:05:18.562652,73.81999969482422
MU250425C00070000,2025-04-23 16:24:35+00:00,70.0,3.6,3.75,3.85,1.54,74.757286,883.0,2057,0.3242255078124999,True,REGULAR,USD,MU,1,2025-04-25,2025-04-23 13:05:18.562652,73.81999969482422
MU250425C00071000,2025-04-23 16:27:49+00:00,71.0,2.95,3.0,3.1,1.4100001,91.55846,525.0,1668,0.45703667968750006,True,REGULAR,USD,MU,1,2025-04-25,2025-04-23 13:05:18.562652,73.81999969482422
MU250425C00072000,2025-04-23 16:31:11+00:00,72.0,2.4,2.35,2.4,1.2900001,116.216225,821.0,2184,0.4892629199218751,True,REGULAR,USD,MU,1,2025-04-25,2025-04-23 13:05:18.562652,73.81999969482422
MU250425C00073000,2025-04-23 16:29:20+00:00,73.0,1.79,1.81,1.85,0.96999997,118.29269,1081.0,1782,0.5205126074218749,True,REGULAR,USD,MU,1,2025-04-25,2025-04-23 13:05:18.562652,73.81999969482422
MU250425C00074000,2025-04-23 16:32:04+00:00,74.0,1.31,1.27,1.31,0.73999995,129.82455,2580.0,2422,0.51562984375,False,REGULAR,USD,MU,1,2025-04-25,2025-04-23 13:05:18.562652,73.81999969482422
MU250425C00075000,2025-04-23 16:29:29+00:00,75.0,0.91,0.87,0.9,0.53000003,139.4737,5124.0,5221,0.5185595019531251,False,REGULAR,USD,MU,1,2025-04-25,2025-04-23 13:05:18.562652,73.81999969482422
MU250425C00076000,2025-04-23 16:27:55+00:00,76.0,0.56,0.59,0.62,0.3,115.38463,2119.0,1362,0.5312546875,False,REGULAR,USD,MU,1,2025-04-25,2025-04-23 13:05:18.562652,73.81999969482422
MU250425C00077000,2025-04-23 16:14:17+00:00,77.0,0.4,0.39,0.41,0.22,122.22221,1895.0,1466,0.5410202148437502,False,REGULAR,USD,MU,1,2025-04-25,2025-04-23 13:05:18.562652,73.81999969482422
MU250425C00078000,2025-04-23 16:27:04+00:00,78.0,0.24,0.25,0.27,0.11,84.61539,1131.0,1574,0.551762294921875,False,REGULAR,USD,MU,1,2025-04-25,2025-04-23 13:05:18.562652,73.81999969482422
MU250425C00079000,2025-04-23 16:06:20+00:00,79.0,0.15,0.16,0.17,0.060000002,66.666664,731.0,3168,0.56055126953125,False,REGULAR,USD,MU,1,2025-04-25,2025-04-23 13:05:18.562652,73.81999969482422
MU250425C00080000,2025-04-23 16:24:17+00:00,80.0,0.11,0.11,0.12,0.05,83.333336,1616.0,3741,0.585941640625,False,REGULAR,USD,MU,1,2025-04-25,2025-04-23 13:05:18.562652,73.81999969482422
MU250425C00081000,2025-04-23 15:00:56+00:00,81.0,0.07,0.07,0.08,0.02,40.0,718.0,1417,0.5976602734375001,False,REGULAR,USD,MU,1,2025-04-25,2025-04-23 13:05:18.562652,73.81999969482422
MU250425C00082000,2025-04-23 16:29:52+00:00,82.0,0.05,0.05,0.06,0.010000002,20.000004,360.0,904,0.6250037500000001,False,REGULAR,USD,MU,1,2025-04-25,2025-04-23 13:05:18.562652,73.81999969482422
MU250425C00083000,2025-04-23 15:09:39+00:00,83.0,0.06,0.04,0.05,0.03,100.0,176.0,809,0.6601596484375001,False,REGULAR,USD,MU,1,2025-04-25,2025-04-23 13:05:18.562652,73.81999969482422
