contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
STZ250425C00160000,2025-04-10 13:31:45+00:00,160.0,19.5,25.3,28.1,0.0,0.0,,2,0.914063359375,True,REGULAR,USD,STZ,1,2025-04-25,2025-04-23 13:01:59.473420,186.52000427246094
STZ250425C00162500,2025-04-08 13:51:14+00:00,162.5,19.1,22.8,25.6,0.0,0.0,,1,0.8359391406249999,True,REGULAR,USD,STZ,1,2025-04-25,2025-04-23 13:01:59.473420,186.52000427246094
STZ250425C00165000,2025-04-17 19:44:48+00:00,165.0,21.88,20.3,23.1,0.0,0.0,2.0,3,0.7587914746093751,True,REGULAR,USD,STZ,1,2025-04-25,2025-04-23 13:01:59.473420,186.52000427246094
STZ250425C00170000,2025-04-09 14:28:53+00:00,170.0,10.2,15.1,18.2,0.0,0.0,1.0,7,0.567387138671875,True,REGULAR,USD,STZ,1,2025-04-25,2025-04-23 13:01:59.473420,186.52000427246094
STZ250425C00172500,2025-04-09 15:56:33+00:00,172.5,9.97,12.8,15.6,0.0,0.0,,1,0.52539537109375,True,REGULAR,USD,STZ,1,2025-04-25,2025-04-23 13:01:59.473420,186.52000427246094
STZ250425C00175000,2025-04-17 16:28:35+00:00,175.0,12.1,10.6,13.1,0.5,4.3103447,1.0,19,0.5136767382812499,True,REGULAR,USD,STZ,1,2025-04-25,2025-04-23 13:01:59.473420,186.52000427246094
STZ250425C00177500,2025-04-16 14:01:06+00:00,177.5,7.9,8.2,10.6,0.0,0.0,1.0,30,0.729494892578125,True,REGULAR,USD,STZ,1,2025-04-25,2025-04-23 13:01:59.473420,186.52000427246094
STZ250425C00180000,2025-04-21 16:01:02+00:00,180.0,5.31,6.1,7.2,0.0,0.0,1.0,47,0.42529871582031253,True,REGULAR,USD,STZ,1,2025-04-25,2025-04-23 13:01:59.473420,186.52000427246094
STZ250425C00182500,2025-04-21 19:40:40+00:00,182.5,5.2,4.1,5.7,0.0,0.0,45.0,68,0.4958546508789063,True,REGULAR,USD,STZ,1,2025-04-25,2025-04-23 13:01:59.473420,186.52000427246094
STZ250425C00185000,2025-04-23 15:52:59+00:00,185.0,2.5,2.35,2.9,-1.6999998,-40.47619,4.0,216,0.3051827294921875,True,REGULAR,USD,STZ,1,2025-04-25,2025-04-23 13:01:59.473420,186.52000427246094
STZ250425C00187500,2025-04-23 16:19:34+00:00,187.5,1.3,1.1,1.3,-1.6000001,-55.172417,1.0,132,0.25830819824218754,False,REGULAR,USD,STZ,1,2025-04-25,2025-04-23 13:01:59.473420,186.52000427246094
STZ250425C00190000,2025-04-23 16:18:59+00:00,190.0,0.6,0.45,0.6,-0.5,-45.454544,116.0,256,0.2700268310546875,False,REGULAR,USD,STZ,1,2025-04-25,2025-04-23 13:01:59.473420,186.52000427246094
STZ250425C00192500,2025-04-23 14:43:11+00:00,192.5,0.35,0.15,0.3,-0.25000003,-41.66667,59.0,165,0.295905478515625,False,REGULAR,USD,STZ,1,2025-04-25,2025-04-23 13:01:59.473420,186.52000427246094
STZ250425C00195000,2025-04-23 13:59:18+00:00,195.0,0.3,0.0,0.2,0.050000012,20.000004,13.0,174,0.34180345703125,False,REGULAR,USD,STZ,1,2025-04-25,2025-04-23 13:01:59.473420,186.52000427246094
STZ250425C00197500,2025-04-22 17:40:26+00:00,197.5,0.13,0.0,0.75,0.0,0.0,3.0,14,0.5903361279296876,False,REGULAR,USD,STZ,1,2025-04-25,2025-04-23 13:01:59.473420,186.52000427246094
STZ250425C00200000,2025-04-23 15:11:31+00:00,200.0,0.05,0.05,0.1,-0.05,-50.0,3.0,95,0.42188078125,False,REGULAR,USD,STZ,1,2025-04-25,2025-04-23 13:01:59.473420,186.52000427246094
STZ250425C00202500,2025-04-21 19:53:08+00:00,202.5,0.1,0.0,1.3,0.0,0.0,48.0,48,0.726565234375,False,REGULAR,USD,STZ,1,2025-04-25,2025-04-23 13:01:59.473420,186.52000427246094
STZ250425C00205000,2025-04-21 19:51:41+00:00,205.0,0.05,0.0,0.75,0.0,0.0,3.0,74,0.70117486328125,False,REGULAR,USD,STZ,1,2025-04-25,2025-04-23 13:01:59.473420,186.52000427246094
