contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
TAP250516C00055000,2025-04-15 13:55:18+00:00,55.0,6.3,4.2,4.5,0.0,0.0,4.0,23,0.4089414575195312,True,REGULAR,USD,TAP,1,2025-05-16,2025-04-23 13:05:24.288256,58.470001220703125
TAP250516C00057500,2025-04-23 15:54:33+00:00,57.5,2.69,2.4,2.95,0.46000004,20.627804,21.0,40,0.4106504248046875,True,REGULAR,USD,TAP,1,2025-05-16,2025-04-23 13:05:24.288256,58.470001220703125
TAP250516C00060000,2025-04-23 15:06:55+00:00,60.0,1.72,1.25,1.5,0.120000005,7.5,6.0,183,0.35986968261718744,False,REGULAR,USD,TAP,1,2025-05-16,2025-04-23 13:05:24.288256,58.470001220703125
TAP250516C00062500,2025-04-22 19:54:48+00:00,62.5,0.77,0.5,0.6,0.01999998,2.8571398,5.0,886,0.3237372314453124,False,REGULAR,USD,TAP,1,2025-05-16,2025-04-23 13:05:24.288256,58.470001220703125
TAP250516C00065000,2025-04-23 16:20:08+00:00,65.0,0.2,0.15,0.25,-0.030000001,-13.043478,12.0,196,0.32520206054687495,False,REGULAR,USD,TAP,1,2025-05-16,2025-04-23 13:05:24.288256,58.470001220703125
TAP250516C00067500,2025-04-16 16:39:10+00:00,67.5,0.15,0.0,0.3,0.0,0.0,2.0,92,0.424810439453125,False,REGULAR,USD,TAP,1,2025-05-16,2025-04-23 13:05:24.288256,58.470001220703125
TAP250516C00070000,2025-04-17 14:54:55+00:00,70.0,0.03,0.0,0.75,0.0,0.0,5.0,10,0.5297898583984376,False,REGULAR,USD,TAP,1,2025-05-16,2025-04-23 13:05:24.288256,58.470001220703125
TAP250516C00075000,2025-04-04 15:33:02+00:00,75.0,0.15,0.0,0.1,0.0,0.0,6.0,21,0.51562984375,False,REGULAR,USD,TAP,1,2025-05-16,2025-04-23 13:05:24.288256,58.470001220703125
TAP250516C00080000,2025-03-26 13:47:46+00:00,80.0,0.05,0.0,1.2,0.0,0.0,,1,0.8886729882812499,False,REGULAR,USD,TAP,1,2025-05-16,2025-04-23 13:05:24.288256,58.470001220703125
TAP250516P00037500,2025-04-16 19:58:54+00:00,37.5,0.96,0.0,0.35,0.0,0.0,,20,0.97460962890625,False,REGULAR,USD,TAP,0,2025-05-16,2025-04-23 13:05:24.289258,58.470001220703125
TAP250516P00040000,2025-04-21 17:02:54+00:00,40.0,0.05,0.0,0.1,0.0,0.0,50.0,51,0.6914093359375001,False,REGULAR,USD,TAP,0,2025-05-16,2025-04-23 13:05:24.289258,58.470001220703125
TAP250516P00047500,2025-04-15 16:34:52+00:00,47.5,0.18,0.0,1.35,0.0,0.0,,1,0.73437765625,False,REGULAR,USD,TAP,0,2025-05-16,2025-04-23 13:05:24.289258,58.470001220703125
TAP250516P00050000,2025-04-21 18:48:34+00:00,50.0,0.3,0.15,0.35,0.0,0.0,1.0,520,0.49121602539062503,False,REGULAR,USD,TAP,0,2025-05-16,2025-04-23 13:05:24.289258,58.470001220703125
TAP250516P00052500,2025-04-22 19:21:25+00:00,52.5,0.37,0.35,0.5,0.0,0.0,10.0,66,0.42090422851562503,False,REGULAR,USD,TAP,0,2025-05-16,2025-04-23 13:05:24.289258,58.470001220703125
TAP250516P00055000,2025-04-23 15:23:03+00:00,55.0,0.7,0.8,0.9,-0.050000012,-6.666668,8.0,1116,0.38233039550781245,False,REGULAR,USD,TAP,0,2025-05-16,2025-04-23 13:05:24.289258,58.470001220703125
TAP250516P00057500,2025-04-23 15:46:04+00:00,57.5,1.5,1.55,1.7,0.14999998,11.11111,12.0,56,0.3627993408203125,False,REGULAR,USD,TAP,0,2025-05-16,2025-04-23 13:05:24.289258,58.470001220703125
TAP250516P00060000,2025-04-22 19:08:42+00:00,60.0,2.6,2.7,2.9,0.0,0.0,13.0,71,0.33740896972656254,True,REGULAR,USD,TAP,0,2025-05-16,2025-04-23 13:05:24.289258,58.470001220703125
