contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
TECH250516C00050000,2025-04-22 17:32:42+00:00,50.0,2.21,3.1,4.2,0.0,0.0,1.0,9,0.5918009570312501,True,REGULAR,USD,TECH,1,2025-05-16,2025-04-23 13:00:58.589046,51.119998931884766
TECH250516C00055000,2025-04-21 13:39:38+00:00,55.0,0.45,0.25,1.95,0.0,0.0,3.0,463,0.6567417138671876,False,REGULAR,USD,TECH,1,2025-05-16,2025-04-23 13:00:58.589046,51.119998931884766
TECH250516C00060000,2025-04-22 18:52:53+00:00,60.0,0.15,0.0,0.7,0.0,0.0,2.0,4,0.6132851171875001,False,REGULAR,USD,TECH,1,2025-05-16,2025-04-23 13:00:58.589046,51.119998931884766
TECH250516C00065000,2025-04-15 14:49:12+00:00,65.0,0.5,0.0,0.35,0.0,0.0,2.0,5,0.569340244140625,False,REGULAR,USD,TECH,1,2025-05-16,2025-04-23 13:00:58.589046,51.119998931884766
TECH250516C00070000,2025-04-08 15:31:19+00:00,70.0,0.05,0.0,0.1,0.0,0.0,1.0,0,0.570316796875,False,REGULAR,USD,TECH,1,2025-05-16,2025-04-23 13:00:58.589046,51.119998931884766
TECH250516P00045000,2025-04-21 17:11:32+00:00,45.0,2.05,0.1,2.05,0.0,0.0,20.0,5,0.6650424121093752,False,REGULAR,USD,TECH,0,2025-05-16,2025-04-23 13:00:58.590048,51.119998931884766
TECH250516P00050000,2025-04-16 18:24:59+00:00,50.0,3.0,1.0,2.7,0.0,0.0,2.0,7,0.6250037500000001,False,REGULAR,USD,TECH,0,2025-05-16,2025-04-23 13:00:58.590048,51.119998931884766
TECH250516P00055000,2025-04-01 14:09:08+00:00,55.0,2.15,4.4,6.8,0.0,0.0,,1,0.6096230444335939,True,REGULAR,USD,TECH,0,2025-05-16,2025-04-23 13:00:58.590048,51.119998931884766
TECH250516P00060000,2025-04-11 18:29:32+00:00,60.0,9.98,7.8,10.3,0.0,0.0,1.0,8,0.8027363476562499,True,REGULAR,USD,TECH,0,2025-05-16,2025-04-23 13:00:58.590048,51.119998931884766
TECH250516P00065000,2025-03-28 15:34:08+00:00,65.0,6.45,13.0,15.1,0.0,0.0,8.0,0,0.5664105859375,True,REGULAR,USD,TECH,0,2025-05-16,2025-04-23 13:00:58.590048,51.119998931884766
TECH250718C00060000,2025-04-07 14:24:37+00:00,60.0,3.06,0.8,2.2,0.0,0.0,2.0,2,0.5148974291992188,False,REGULAR,USD,TECH,1,2025-07-18,2025-04-23 13:00:58.646176,51.119998931884766
TECH250718C00065000,2025-04-09 16:27:33+00:00,65.0,0.96,0.0,2.4,0.0,0.0,1.0,2,0.6555210229492189,False,REGULAR,USD,TECH,1,2025-07-18,2025-04-23 13:00:58.646176,51.119998931884766
TECH250718C00070000,2025-03-03 16:03:37+00:00,70.0,3.5,0.0,0.0,0.0,0.0,1.0,5,0.12500875,False,REGULAR,USD,TECH,1,2025-07-18,2025-04-23 13:00:58.646176,51.119998931884766
TECH250718C00075000,2025-02-28 17:37:17+00:00,75.0,1.68,0.25,0.7,0.0,0.0,2.0,8,0.5268602001953125,False,REGULAR,USD,TECH,1,2025-07-18,2025-04-23 13:00:58.646176,51.119998931884766
TECH250718C00080000,2024-11-26 20:08:45+00:00,80.0,7.0,6.1,8.2,0.0,0.0,,1,1.4660671228027344,False,REGULAR,USD,TECH,1,2025-07-18,2025-04-23 13:00:58.646176,51.119998931884766
TECH250718C00085000,2025-03-11 17:18:43+00:00,85.0,0.39,0.0,2.3,0.0,0.0,1.0,11,0.7995625512695312,False,REGULAR,USD,TECH,1,2025-07-18,2025-04-23 13:00:58.646176,51.119998931884766
TECH250718C00090000,2025-04-23 14:39:16+00:00,90.0,0.3,0.0,1.4,-0.37,-55.22388,3.0,8,0.762697685546875,False,REGULAR,USD,TECH,1,2025-07-18,2025-04-23 13:00:58.646176,51.119998931884766
TECH250718C00095000,2024-12-06 20:42:56+00:00,95.0,2.39,0.0,4.1,0.0,0.0,10.0,10,1.0695847302246095,False,REGULAR,USD,TECH,1,2025-07-18,2025-04-23 13:00:58.646176,51.119998931884766
TECH250718C00105000,2025-03-03 17:08:36+00:00,105.0,0.15,0.0,0.0,0.0,0.0,,1,0.2500075,False,REGULAR,USD,TECH,1,2025-07-18,2025-04-23 13:00:58.646176,51.119998931884766
TECH250718P00030000,2025-04-14 13:30:17+00:00,30.0,1.02,0.0,1.65,0.0,0.0,,1,0.8715833154296875,False,REGULAR,USD,TECH,0,2025-07-18,2025-04-23 13:00:58.647201,51.119998931884766
TECH250718P00035000,2025-04-14 13:30:17+00:00,35.0,1.24,0.0,1.75,0.0,0.0,,1,0.6787141503906251,False,REGULAR,USD,TECH,0,2025-07-18,2025-04-23 13:00:58.647201,51.119998931884766
TECH250718P00045000,2025-04-15 15:50:19+00:00,45.0,2.47,0.85,3.3,0.0,0.0,,1,0.6291540991210938,False,REGULAR,USD,TECH,0,2025-07-18,2025-04-23 13:00:58.647201,51.119998931884766
TECH250718P00050000,2025-03-28 17:29:58+00:00,50.0,1.75,2.9,5.0,0.0,0.0,1.0,7,0.5647016186523439,False,REGULAR,USD,TECH,0,2025-07-18,2025-04-23 13:00:58.647201,51.119998931884766
TECH250718P00055000,2025-03-24 17:41:08+00:00,55.0,2.55,6.1,7.5,0.0,0.0,10.0,15,0.5180712255859375,True,REGULAR,USD,TECH,0,2025-07-18,2025-04-23 13:00:58.647201,51.119998931884766
TECH250718P00060000,2025-03-11 16:14:38+00:00,60.0,6.0,8.8,12.8,0.0,0.0,1.0,6,0.702151416015625,True,REGULAR,USD,TECH,0,2025-07-18,2025-04-23 13:00:58.647201,51.119998931884766
TECH250718P00065000,2025-04-10 14:05:37+00:00,65.0,15.0,13.3,15.3,0.0,0.0,1.0,18,0.5310105493164063,True,REGULAR,USD,TECH,0,2025-07-18,2025-04-23 13:00:58.647201,51.119998931884766
TECH250718P00070000,2025-02-11 18:04:21+00:00,70.0,6.7,7.7,11.9,0.0,0.0,1.0,5,1.0000000000000003e-05,True,REGULAR,USD,TECH,0,2025-07-18,2025-04-23 13:00:58.647201,51.119998931884766
TECH250718P00075000,2025-01-28 17:29:04+00:00,75.0,6.8,12.1,16.3,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD,TECH,0,2025-07-18,2025-04-23 13:00:58.647201,51.119998931884766
TECH251017C00055000,2025-04-23 14:41:30+00:00,55.0,6.0,4.4,6.6,1.6999998,39.534878,32.0,5,0.5720257641601563,False,REGULAR,USD,TECH,1,2025-10-17,2025-04-23 13:00:58.730395,51.119998931884766
TECH251017C00060000,2025-04-22 18:55:20+00:00,60.0,2.5,1.45,3.9,0.0,0.0,1.0,24,0.4892629199218751,False,REGULAR,USD,TECH,1,2025-10-17,2025-04-23 13:00:58.730395,51.119998931884766
TECH251017C00065000,2025-04-23 14:20:34+00:00,65.0,2.55,0.85,2.7,0.56999993,28.787874,16.0,17,0.48303739624023445,False,REGULAR,USD,TECH,1,2025-10-17,2025-04-23 13:00:58.730395,51.119998931884766
TECH251017C00070000,2025-04-23 15:18:26+00:00,70.0,1.2,0.55,1.9,-1.1499999,-48.936165,28.0,5,0.48352567260742196,False,REGULAR,USD,TECH,1,2025-10-17,2025-04-23 13:00:58.730395,51.119998931884766
TECH251017C00075000,2025-03-31 17:06:05+00:00,75.0,2.05,0.0,2.05,0.0,0.0,2.0,21,0.5581098876953126,False,REGULAR,USD,TECH,1,2025-10-17,2025-04-23 13:00:58.730395,51.119998931884766
TECH251017C00080000,2025-03-03 15:08:36+00:00,80.0,2.18,0.0,0.0,0.0,0.0,4.0,9,0.12500875,False,REGULAR,USD,TECH,1,2025-10-17,2025-04-23 13:00:58.730395,51.119998931884766
TECH251017C00090000,2025-03-17 15:18:12+00:00,90.0,1.02,0.0,0.0,0.0,0.0,,0,0.12500875,False,REGULAR,USD,TECH,1,2025-10-17,2025-04-23 13:00:58.730395,51.119998931884766
