contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
T250425C00015000,2025-03-27 18:34:59+00:00,15.0,13.35,12.1,12.25,0.0,0.0,,2,3.031252421875,True,REGULAR,USD,T,1,2025-04-25,2025-04-23 13:00:43.294361,27.139999389648438
T250425C00016000,2025-04-10 16:21:42+00:00,16.0,10.15,11.05,11.2,0.0,0.0,,1,3.0000025,True,REGULAR,USD,T,1,2025-04-25,2025-04-23 13:00:43.294361,27.139999389648438
T250425C00017500,2025-04-21 16:00:48+00:00,17.5,9.07,9.6,9.7,0.0,0.0,1.0,1,1.875000625,True,REGULAR,USD,T,1,2025-04-25,2025-04-23 13:00:43.294361,27.139999389648438
T250425C00019000,2025-04-04 16:35:28+00:00,19.0,8.0,8.05,8.25,0.0,0.0,1.0,0,1.5000025,True,REGULAR,USD,T,1,2025-04-25,2025-04-23 13:00:43.294361,27.139999389648438
T250425C00020000,2025-04-21 13:40:01+00:00,20.0,7.15,7.05,7.2,0.0,0.0,1.0,1,1.859375703125,True,REGULAR,USD,T,1,2025-04-25,2025-04-23 13:00:43.294361,27.139999389648438
T250425C00021000,2025-04-17 16:30:32+00:00,21.0,6.39,5.9,6.2,0.0,0.0,1.0,1,1.609376953125,True,REGULAR,USD,T,1,2025-04-25,2025-04-23 13:00:43.294361,27.139999389648438
T250425C00021500,2025-03-26 19:21:58+00:00,21.5,6.25,5.55,5.75,0.0,0.0,,0,1.0625046875000002,True,REGULAR,USD,T,1,2025-04-25,2025-04-23 13:00:43.294361,27.139999389648438
T250425C00022000,2025-04-22 14:40:04+00:00,22.0,4.94,5.05,5.2,0.0,0.0,3.0,51,1.359378203125,True,REGULAR,USD,T,1,2025-04-25,2025-04-23 13:00:43.294361,27.139999389648438
T250425C00022500,2025-04-07 14:00:16+00:00,22.5,3.95,4.6,4.8,0.0,0.0,34.0,0,1.2421912890624998,True,REGULAR,USD,T,1,2025-04-25,2025-04-23 13:00:43.294361,27.139999389648438
T250425C00023000,2025-04-23 13:30:41+00:00,23.0,3.35,4.05,4.2,-0.08000016,-2.3323662,1.0,9,1.125004375,True,REGULAR,USD,T,1,2025-04-25,2025-04-23 13:00:43.294361,27.139999389648438
T250425C00023500,2025-04-22 13:33:42+00:00,23.5,2.93,3.55,3.75,0.0,0.0,1.0,44,0.6875031250000001,True,REGULAR,USD,T,1,2025-04-25,2025-04-23 13:00:43.294361,27.139999389648438
T250425C00024000,2025-04-23 15:58:20+00:00,24.0,3.2,3.15,3.35,0.23000002,7.744108,1.0,236,1.0312548437500002,True,REGULAR,USD,T,1,2025-04-25,2025-04-23 13:00:43.294361,27.139999389648438
T250425C00024500,2025-04-23 14:02:43+00:00,24.5,2.59,2.56,2.73,0.059999943,2.3715394,17.0,239,0.851563984375,True,REGULAR,USD,T,1,2025-04-25,2025-04-23 13:00:43.294361,27.139999389648438
T250425C00025000,2025-04-23 14:38:12+00:00,25.0,2.07,2.13,2.35,-0.00999999,-0.4807688,29.0,442,0.7460962890625,True,REGULAR,USD,T,1,2025-04-25,2025-04-23 13:00:43.294361,27.139999389648438
T250425C00025500,2025-04-23 14:42:49+00:00,25.5,1.76,1.68,1.77,0.13,7.97546,2007.0,2177,0.5820354296875,True,REGULAR,USD,T,1,2025-04-25,2025-04-23 13:00:43.294361,27.139999389648438
