contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
XOM250425C00065000,2025-04-11 19:03:30+00:00,65.0,38.58,41.3,42.4,0.0,0.0,2.0,3.0,2.4843787890625,1.0,REGULAR,USD,XOM,1,2025-04-25,2025-04-23 13:03:06.309610,107.31500244140625
XOM250425C00077000,2025-04-14 19:53:23+00:00,77.0,26.7,29.2,30.4,0.0,0.0,,21.0,1.71875140625,1.0,REGULAR,USD,XOM,1,2025-04-25,2025-04-23 13:03:06.309610,107.31500244140625
XOM250425C00080000,2025-04-08 17:46:23+00:00,80.0,22.65,26.2,27.6,0.0,0.0,,25.0,1.896484892578125,1.0,REGULAR,USD,XOM,1,2025-04-25,2025-04-23 13:03:06.309610,107.31500244140625
XOM250425C00085000,2025-04-15 17:29:28+00:00,85.0,22.6,21.65,22.45,3.8999996,20.855612,3.0,26.0,1.36328443359375,1.0,REGULAR,USD,XOM,1,2025-04-25,2025-04-23 13:03:06.309610,107.31500244140625
XOM250425C00086000,2025-04-14 16:11:02+00:00,86.0,20.85,20.75,21.45,3.6499996,21.220928,6.0,6.0,1.3046909765624997,1.0,REGULAR,USD,XOM,1,2025-04-25,2025-04-23 13:03:06.309610,107.31500244140625
XOM250425C00087000,2025-04-23 15:18:13+00:00,87.0,20.1,19.9,20.4,-0.8500004,-4.057281,3.0,3.0,1.15625421875,1.0,REGULAR,USD,XOM,1,2025-04-25,2025-04-23 13:03:06.309610,107.31500244140625
XOM250425C00088000,2025-04-23 15:23:02+00:00,88.0,18.85,18.75,19.4,-1.1000004,-5.5137863,3.0,1.0,1.1015669921875002,1.0,REGULAR,USD,XOM,1,2025-04-25,2025-04-23 13:03:06.309610,107.31500244140625
XOM250425C00090000,2025-04-23 16:29:49+00:00,90.0,17.25,16.75,17.45,-0.75,-4.1666665,6.0,25.0,1.0742233789062503,1.0,REGULAR,USD,XOM,1,2025-04-25,2025-04-23 13:03:06.309610,107.31500244140625
XOM250425C00091000,2025-04-23 14:25:33+00:00,91.0,16.75,15.85,16.6,5.95,55.09259,2.0,22.0,1.18359783203125,1.0,REGULAR,USD,XOM,1,2025-04-25,2025-04-23 13:03:06.309610,107.31500244140625
XOM250425C00092000,2025-04-11 17:00:54+00:00,92.0,10.95,14.7,15.5,0.0,0.0,,18.0,1.0234423828125,1.0,REGULAR,USD,XOM,1,2025-04-25,2025-04-23 13:03:06.309610,107.31500244140625
XOM250425C00093000,2025-04-16 17:30:04+00:00,93.0,12.6,13.8,14.35,0.0,0.0,1.0,2.0,0.726565234375,1.0,REGULAR,USD,XOM,1,2025-04-25,2025-04-23 13:03:06.309610,107.31500244140625
XOM250425C00094000,2025-04-16 15:34:42+00:00,94.0,11.41,12.75,13.5,0.0,0.0,2.0,21.0,0.90429783203125,1.0,REGULAR,USD,XOM,1,2025-04-25,2025-04-23 13:03:06.309610,107.31500244140625
XOM250425C00095000,2025-04-22 13:33:00+00:00,95.0,11.75,11.8,12.5,0.3000002,2.620089,7.0,327.0,0.8457046679687499,1.0,REGULAR,USD,XOM,1,2025-04-25,2025-04-23 13:03:06.309610,107.31500244140625
XOM250425C00096000,2025-04-22 13:33:04+00:00,96.0,10.55,10.8,11.45,0.0,0.0,1.0,9.0,0.7382838671874999,1.0,REGULAR,USD,XOM,1,2025-04-25,2025-04-23 13:03:06.309610,107.31500244140625
XOM250425C00097000,2025-04-21 19:13:00+00:00,97.0,7.8,9.85,10.45,0.0,0.0,1.0,9.0,0.6816438085937502,1.0,REGULAR,USD,XOM,1,2025-04-25,2025-04-23 13:03:06.309610,107.31500244140625
XOM250425C00098000,2025-04-23 16:26:14+00:00,98.0,8.75,8.7,9.25,-1.1599998,-11.705347,6.0,41.0,1.0000000000000003e-05,1.0,REGULAR,USD,XOM,1,2025-04-25,2025-04-23 13:03:06.309610,107.31500244140625
XOM250425C00099000,2025-04-21 19:45:20+00:00,99.0,6.3,8.0,8.6,0.0,0.0,12.0,153.0,0.6806672558593752,1.0,REGULAR,USD,XOM,1,2025-04-25,2025-04-23 13:03:06.309610,107.31500244140625
XOM250425C00100000,2025-04-23 15:42:02+00:00,100.0,7.4,6.9,7.55,-1.0999999,-12.941175,29.0,238.0,0.585941640625,1.0,REGULAR,USD,XOM,1,2025-04-25,2025-04-23 13:03:06.309610,107.31500244140625
XOM250425C00101000,2025-04-23 14:23:47+00:00,101.0,6.85,5.95,6.6,0.5999999,9.599998,12.0,113.0,0.551762294921875,1.0,REGULAR,USD,XOM,1,2025-04-25,2025-04-23 13:03:06.309610,107.31500244140625
XOM250425C00102000,2025-04-23 14:18:59+00:00,102.0,5.1,4.95,5.9,-1.9000001,-27.142859,15.0,97.0,0.6191444335937502,1.0,REGULAR,USD,XOM,1,2025-04-25,2025-04-23 13:03:06.309610,107.31500244140625
XOM250425C00103000,2025-04-23 14:22:40+00:00,103.0,4.15,4.05,4.55,-1.6599998,-28.571426,9.0,499.0,0.39453730468750003,1.0,REGULAR,USD,XOM,1,2025-04-25,2025-04-23 13:03:06.309610,107.31500244140625
XOM250425C00104000,2025-04-23 15:44:43+00:00,104.0,3.5,3.4,3.6,-1.25,-26.31579,21.0,313.0,0.34961587890624996,1.0,REGULAR,USD,XOM,1,2025-04-25,2025-04-23 13:03:06.309610,107.31500244140625
XOM250425C00105000,2025-04-23 15:29:20+00:00,105.0,2.35,2.61,2.74,-1.5400002,-39.58869,80.0,686.0,0.3276434423828125,1.0,REGULAR,USD,XOM,1,2025-04-25,2025-04-23 13:03:06.309610,107.31500244140625
XOM250425C00106000,2025-04-23 16:21:33+00:00,106.0,1.67,1.87,2.0,-1.3100001,-43.959732,114.0,857.0,0.3193427441406249,1.0,REGULAR,USD,XOM,1,2025-04-25,2025-04-23 13:03:06.309610,107.31500244140625
XOM250425C00107000,2025-04-23 16:30:22+00:00,107.0,1.35,1.27,1.32,-0.88,-39.461884,405.0,822.0,0.29834686035156244,1.0,REGULAR,USD,XOM,1,2025-04-25,2025-04-23 13:03:06.309610,107.31500244140625
XOM250425C00108000,2025-04-23 16:28:57+00:00,108.0,0.74,0.75,0.81,-0.89,-54.601227,650.0,942.0,0.2876047802734374,0.0,REGULAR,USD,XOM,1,2025-04-25,2025-04-23 13:03:06.309610,107.31500244140625
XOM250425C00109000,2025-04-23 16:29:34+00:00,109.0,0.47,0.41,0.46,-0.5899999,-55.660374,685.0,3151.0,0.282233740234375,0.0,REGULAR,USD,XOM,1,2025-04-25,2025-04-23 13:03:06.309610,107.31500244140625
XOM250425C00110000,2025-04-23 16:30:56+00:00,110.0,0.26,0.2,0.26,-0.47000003,-64.38357,1203.0,3463.0,0.28711650390624993,0.0,REGULAR,USD,XOM,1,2025-04-25,2025-04-23 13:03:06.309610,107.31500244140625
XOM250425C00111000,2025-04-23 16:18:16+00:00,111.0,0.12,0.1,0.13,-0.28,-70.0,754.0,4030.0,0.28711650390624993,0.0,REGULAR,USD,XOM,1,2025-04-25,2025-04-23 13:03:06.309610,107.31500244140625
XOM250425C00112000,2025-04-23 16:22:42+00:00,112.0,0.06,0.06,0.07,-0.16,-76.190475,263.0,1336.0,0.29688203124999996,0.0,REGULAR,USD,XOM,1,2025-04-25,2025-04-23 13:03:06.309610,107.31500244140625
XOM250425C00113000,2025-04-23 15:05:59+00:00,113.0,0.03,0.01,0.05,-0.11,-78.57143,147.0,4943.0,0.32227240234374993,0.0,REGULAR,USD,XOM,1,2025-04-25,2025-04-23 13:03:06.309610,107.31500244140625
XOM250425C00114000,2025-04-23 16:28:40+00:00,114.0,0.02,0.02,0.04,-0.02,-50.0,20.0,782.0,0.35156898437499995,0.0,REGULAR,USD,XOM,1,2025-04-25,2025-04-23 13:03:06.309610,107.31500244140625
XOM250425C00115000,2025-04-23 15:04:51+00:00,115.0,0.02,0.01,0.05,0.0,0.0,6.0,2743.0,0.4101621484375,0.0,REGULAR,USD,XOM,1,2025-04-25,2025-04-23 13:03:06.309610,107.31500244140625
XOM250425C00116000,2025-04-23 14:00:48+00:00,116.0,0.02,0.0,0.04,0.0,0.0,8.0,354.0,0.4335994140625,0.0,REGULAR,USD,XOM,1,2025-04-25,2025-04-23 13:03:06.309610,107.31500244140625
XOM250425C00117000,2025-04-22 18:11:14+00:00,117.0,0.02,0.0,0.15,0.0,0.0,4.0,2823.0,0.5273484765625001,0.0,REGULAR,USD,XOM,1,2025-04-25,2025-04-23 13:03:06.309610,107.31500244140625
XOM250425C00118000,2025-04-21 15:46:39+00:00,118.0,0.01,0.0,0.16,0.0,0.0,26.0,1078.0,0.57617611328125,0.0,REGULAR,USD,XOM,1,2025-04-25,2025-04-23 13:03:06.309610,107.31500244140625
XOM250425C00119000,2025-04-22 15:22:39+00:00,119.0,0.01,0.0,0.01,0.0,0.0,35.0,132.0,0.46094289062500005,0.0,REGULAR,USD,XOM,1,2025-04-25,2025-04-23 13:03:06.309610,107.31500244140625
XOM250425C00120000,2025-04-22 18:50:17+00:00,120.0,0.01,0.0,0.01,0.0,0.0,30.0,983.0,0.49219257812500006,0.0,REGULAR,USD,XOM,1,2025-04-25,2025-04-23 13:03:06.309610,107.31500244140625
XOM250425C00121000,2025-04-22 18:34:30+00:00,121.0,0.01,0.0,0.87,0.0,0.0,2.0,590.0,0.993164130859375,0.0,REGULAR,USD,XOM,1,2025-04-25,2025-04-23 13:03:06.309610,107.31500244140625
